"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","99314100","50/1317511/1317511/1317511/1317511/","1.0/0.0/0.0/0.0/0.0/","0/7/","no"
"1","103636400","2502/50/280941/4494307/4494307/","1.3176575546108673E-21/1.0/0.0/0.0/0.0/","1/7/","no"
"2","107992200","4494307/278324/68/4494307/316/","0.0/0.0/0.9732525092252702/0.0/0.02674749077472989/","2/6/7/","no"
"3","110151600","4494307/4494307/108163/50/283/","0.0/0.0/0.0/0.9897342915541921/0.01026570844580777/","3/6/7/","no"
"4","101924000","14902303/14902303/931925/14902303/50/","0.0/0.0/0.0/0.0/1.0/","4/5/7/","no"
"5","102416200","14902303/14902303/364198/283/283/","0.0/0.0/0.0/0.5/0.5/","3/4/5/6/7/","no"
"6","97519300","278324/4494307/4494307/4494307/4494307/","0.999998944403481/2.638991298111166E-7/2.638991298111166E-7/2.638991298111166E-7/2.638991298111166E-7/","0/7/","no"
"7","105917500","1317511/525508/11675/1317511/177/","0.0/0.0/8.841548923133618E-29/0.0/1.0/","4/5/7/","no"
"0","100505100","375/1317511/1317511/1317511/1317511/","1.0/0.0/0.0/0.0/0.0/","0/7/","no"
"1","103931300","2502/50/711063/4494307/4494307/","1.3176575546108673E-21/1.0/0.0/0.0/0.0/","1/7/","no"
"2","100989100","4494307/278324/50/2130/335/","0.0/0.0/0.9962723226608454/1.9318600706350237E-18/0.003727677339154614/","2/6/7/","no"
"3","101112100","4494307/4494307/107919/51/283/","0.0/0.0/0.0/0.9885871677419513/0.011412832258048773/","3/6/7/","no"
"4","100052100","14902303/14902303/931925/14902303/50/","0.0/0.0/0.0/0.0/1.0/","4/5/7/","no"
"5","116038500","14902303/14902303/364198/283/283/","0.0/0.0/0.0/0.5/0.5/","3/4/5/6/7/","no"
"6","98745000","278324/4494307/4494307/4494307/4494307/","0.999998944403481/2.638991298111166E-7/2.638991298111166E-7/2.638991298111166E-7/2.638991298111166E-7/","0/7/","no"
"7","105521900","1317511/525508/11675/1317511/177/","0.0/0.0/8.841548923133618E-29/0.0/1.0/","4/5/7/","no"
"0","100833400","302/1317511/1317511/1317511/1317511/","1.0/0.0/0.0/0.0/0.0/","0/7/","no"
"1","99747900","2502/50/711063/4494307/4494307/","1.3176575546108673E-21/1.0/0.0/0.0/0.0/","1/7/","no"
"2","98795900","4494307/278324/68/4494307/316/","0.0/0.0/0.9732525092252702/0.0/0.02674749077472989/","2/6/7/","no"
"3","100636600","4494307/4494307/108163/50/283/","0.0/0.0/0.0/0.9897342915541921/0.01026570844580777/","3/6/7/","no"
"4","100150700","14902303/14902303/931925/14902303/50/","0.0/0.0/0.0/0.0/1.0/","4/5/7/","no"
"5","97424900","14902303/14902303/364198/283/283/","0.0/0.0/0.0/0.5/0.5/","3/4/5/6/7/","no"
"6","99037300","278324/4494307/4494307/4494307/4494307/","0.999998944403481/2.638991298111166E-7/2.638991298111166E-7/2.638991298111166E-7/2.638991298111166E-7/","0/7/","no"
"7","100733100","1317511/525508/11675/1317511/177/","0.0/0.0/8.841548923133618E-29/0.0/1.0/","4/5/7/","no"
"0","98109600","409/1317511/1317511/1317511/1317511/","1.0/0.0/0.0/0.0/0.0/","0/7/","no"
"1","100816400","2502/50/711063/4494307/4494307/","1.3176575546108673E-21/1.0/0.0/0.0/0.0/","1/7/","no"
"2","98885200","4494307/278324/50/2319/365/","0.0/0.0/0.997926559928637/4.756110388025854E-20/0.0020734400713629817/","2/6/7/","no"
"3","101114800","4494307/4494307/107919/51/283/","0.0/0.0/0.0/0.9885871677419513/0.011412832258048773/","3/6/7/","no"
"4","100947100","14902303/14902303/931925/14902303/50/","0.0/0.0/0.0/0.0/1.0/","4/5/7/","no"
"5","101451900","14902303/14902303/364198/283/283/","0.0/0.0/0.0/0.5/0.5/","3/4/5/6/7/","no"
"6","96469200","278324/4494307/4494307/4494307/4494307/","0.999998944403481/2.638991298111166E-7/2.638991298111166E-7/2.638991298111166E-7/2.638991298111166E-7/","0/7/","no"
"7","98742400","1317511/525508/11675/1317511/177/","0.0/0.0/8.841548923133618E-29/0.0/1.0/","4/5/7/","no"
"0","100967500","11076/1317511/1317511/1317511/1317511/","1.0/6.008620937460252E-52/6.008620937460252E-52/6.008620937460252E-52/6.008620937460252E-52/","0/7/","no"
"1","100190200","2502/50/711063/4494307/4494307/","1.3176575546108673E-21/1.0/0.0/0.0/0.0/","1/7/","no"
"2","101033400","4494307/278324/50/2319/365/","0.0/0.0/0.997926559928637/4.756110388025854E-20/0.0020734400713629817/","2/6/7/","no"
"3","101648300","4494307/4494307/107919/51/283/","0.0/0.0/0.0/0.9885871677419513/0.011412832258048773/","3/6/7/","no"
"4","102480600","14902303/14902303/931925/14902303/50/","0.0/0.0/0.0/0.0/1.0/","4/5/7/","no"
"5","99978300","14902303/14902303/364198/283/283/","0.0/0.0/0.0/0.5/0.5/","3/4/5/6/7/","no"
"6","96762600","278324/4494307/4494307/4494307/4494307/","0.999998944403481/2.638991298111166E-7/2.638991298111166E-7/2.638991298111166E-7/2.638991298111166E-7/","0/7/","no"
"7","102599400","1317511/525508/11675/1317511/177/","0.0/0.0/8.841548923133618E-29/0.0/1.0/","4/5/7/","no"
"0","92925500","128/1317511/1317511/1317511/1317511/","1.0/0.0/0.0/0.0/0.0/","0/7/","no"
"1","105028400","2502/50/711063/4494307/4494307/","1.3176575546108673E-21/1.0/0.0/0.0/0.0/","1/7/","no"
"2","100463500","4494307/278324/50/2319/365/","0.0/0.0/0.997926559928637/4.756110388025854E-20/0.0020734400713629817/","2/6/7/","no"
"3","99029100","4494307/4494307/107116/50/287/","0.0/0.0/0.0/0.9905013243873066/0.009498675612693366/","3/6/7/","no"
"4","103261500","14902303/14902303/931925/14902303/50/","0.0/0.0/0.0/0.0/1.0/","4/5/7/","no"
"5","99170000","14902303/14902303/364198/283/283/","0.0/0.0/0.0/0.5/0.5/","3/4/5/6/7/","no"
"6","96148300","278324/4494307/4494307/4494307/4494307/","0.999998944403481/2.638991298111166E-7/2.638991298111166E-7/2.638991298111166E-7/2.638991298111166E-7/","0/7/","no"
"7","102362500","1317511/525508/11675/1317511/177/","0.0/0.0/8.841548923133618E-29/0.0/1.0/","4/5/7/","no"
"0","98889300","327/1317511/1317511/1317511/1317511/","1.0/0.0/0.0/0.0/0.0/","0/7/","no"
"1","98619900","2502/50/711063/4494307/4494307/","1.3176575546108673E-21/1.0/0.0/0.0/0.0/","1/7/","no"
"2","99810100","4494307/107919/60/4494307/316/","0.0/0.0/0.9851781685023758/0.0/0.01482183149762419/","2/6/7/","no"
"3","102204000","4494307/4494307/107919/51/283/","0.0/0.0/0.0/0.9885871677419513/0.011412832258048773/","3/6/7/","no"
