"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","111739000","64/1467/289/1557/39911/","0.9695733849421118/4.097333645376871E-10/0.03042661454554935/1.0260546876615427E-10/5.6324892517891405E-267/","0/7/","no"
"1","111777400","152/152/276/690/137249/","0.40414449297841254/0.40414449297841254/0.1797047009731105/0.012006313070064426/0.0/","0/1/5/7/","no"
"2","114399700","109/50/5996/395/137249/","0.23902799942159658/0.7600950129906576/1.7670166431304103E-51/8.769875877457971E-4/0.0/","1/5/","no"
"3","106662400","505/14902303/2364241/5996/17994/","0.9999806302507521/0.0/0.0/1.936974924694025E-5/9.75813222037968E-16/","0/7/","no"
"4","103625400","463537580/2147483647/2147483647/2147483647/5782/","0.0/0.0/0.0/0.0/1.0/","4/","no"
"5","110756500","380/14902303/2364241/360971/137249/","1.0/0.0/0.0/0.0/9.67590841589789E-157/","0/7/","no"
"6","109063700","7128/2250/2250/14902303/20823/","0.054150587847120964/0.47286299803556964/0.47286299803556964/0.0/1.234160817398256E-4/","1/2/5/","no"
"7","104855400","2198/22128/3030195/3030195/48259941/","0.9998841629845385/1.1583701546158505E-4/0.0/0.0/0.0/","0/7/","no"
"0","112387800","364/4494307/711063/278324/14312/","1.0/0.0/0.0/0.0/2.5351376890159303E-17/","0/7/","no"
"1","109408400","2439/152/7599/521/137249/","2.9580197085733116E-7/0.9177197615695935/6.671243176891371E-22/0.0822799426284356/0.0/","1/5/","no"
"2","110602300","583/434/5996/1297/137249/","0.3842870500589559/0.5412701650989572/1.5150779921252962E-6/0.07444126976409488/1.3813753275538134E-137/","1/5/","no"
"3","112322100","380/14902303/2364241/5996/17994/","0.9999996033287072/0.0/0.0/3.9667129282761333E-7/8.358804609635897E-21/","0/7/","no"
"4","107344200","1174886586/1174886586/1174886586/1174886586/5782/","0.0/0.0/0.0/0.0/1.0/","4/","no"
"5","109555600","156/215/2428/122/52519/","0.3404383051423749/0.21072608682376792/3.235552697553482E-9/0.44883560479830453/4.427604901679525E-186/","3/6/","no"
"6","108816400","289/355/17994/521/137249/","0.4452790511860746/0.35464417400138715/1.3620886052704892E-27/0.2000767748125382/3.4820213601496763E-206/","0/7/","no"
"7","105554300","2198/22128/3030195/3030195/48259941/","0.9998841629845385/1.1583701546158505E-4/0.0/0.0/0.0/","0/7/","no"
"0","114986200","50/4494307/390/278324/14312/","0.9987289837369187/0.0/0.001271016263081359/0.0/3.550366001030476E-122/","0/7/","no"
"1","111134700","64/50/1798/64/137249/","0.30157857006418226/0.396842859871635/5.168780540053843E-16/0.30157857006418226/0.0/","1/5/","no"
"2","109086300","379/690/152/14902303/137249/","0.18050417884288955/0.023643167922341224/0.7958526532347693/0.0/0.0/","2/","no"
"3","105198100","395/278324/364/364/4494307/","0.3147341205645972/0.0/0.3426329397177015/0.3426329397177015/0.0/","0/2/3/6/7/","no"
"4","104846100","156530707/2147483647/2147483647/2147483647/1131/","0.0/0.0/0.0/0.0/1.0/","4/","no"
"5","111596400","97/395/8502/79/137249/","0.4392831955549516/0.010592479810229581/1.0343811200358715E-46/0.550124324634819/0.0/","3/6/","no"
"6","108056100","289/355/17994/521/137249/","0.4452790511860746/0.35464417400138715/1.3620886052704892E-27/0.2000767748125382/3.4820213601496763E-206/","0/7/","no"
"7","109051700","22334/22128/3030195/3030195/48259941/","0.49767275393853827/0.5023272460614617/4.633660163230574E-60/4.633660163230574E-60/0.0/","0/1/5/7/","no"
"0","106241100","64/4494307/110371/41310/1557/","0.9999999998941747/0.0/0.0/2.6107551589178482E-276/1.0582537675724469E-10/","0/7/","no"
"1","110742700","50/50/1798/50/137249/","0.3333333333333332/0.3333333333333332/4.341584594068094E-16/0.3333333333333332/0.0/","0/1/3/5/6/7/","no"
"2","109629800","511/511/9465/1078/455732/","0.42910909119216895/0.42910909119216895/1.0901937071076734E-8/0.141781806713725/0.0/","0/1/5/7/","no"
"3","102717100","2502/278324/229/364/4494307/","3.281020977122516E-5/0.0/0.6426454401454182/0.35732174964481045/0.0/","2/","no"
