"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","96183100","50/12187/11833/","1.0/4.430256639375575E-104/4.580823136590739E-101/","0/5/","no"
"1","96970300","6089/60/137/","9.285689938101906E-44/0.7794209403403013/0.2205790596596987/","1/5/","no"
"2","95496300","228/3989/214/","0.4837266739920429/1.2231411135935236E-8/0.5162733137765461/","0/2/3/4/5/","no"
"3","87284500","4028/10317/25963/","0.82354616593729/0.17289532864127521/0.0035585054214348206/","0/5/","no"
"4","91033100","31982/1830/4486/","5.711961920811503E-8/0.8100866276326136/0.18991331524776722/","1/5/","no"
"5","92151100","430/8674/357/","0.44919825059326574/4.4826397886014605E-11/0.550801749361908/","0/2/3/4/5/","no"
"0","94694100","50/207616/207616/","1.0/0.0/0.0/","0/5/","no"
"1","92089700","6089/60/137/","9.285689938101906E-44/0.7794209403403013/0.2205790596596987/","1/5/","no"
"2","90063400","348/375/68/","0.016797413357168643/0.011357979765043368/0.971844606877788/","2/3/4/5/","no"
"3","89097100","3989/4028/25963/","0.5014214409785566/0.4965442041002351/0.002034354921208319/","0/1/5/","no"
"4","91367100","22942/509/1245/","6.381459441560039E-20/0.8089400032568561/0.19105999674314394/","1/5/","no"
"5","95571800","22942/1118/373066/","3.3876553362929944E-9/0.9999999966123446/4.400113161527752E-145/","1/5/","no"
"0","93666000","50/30903/31001/","1.0/1.8572467398954293E-263/2.718585230790438E-264/","0/5/","no"
"1","90927000","15712/50/137/","3.601979584021481E-134/0.8463014434265073/0.1536985565734927/","1/5/","no"
"2","90448600","214/1535/168/","0.43229436659902437/1.7421566608962746E-4/0.567531417734886/","2/3/4/5/","no"
"3","87750000","3989/4028/25963/","0.5014214409785566/0.4965442041002351/0.002034354921208319/","0/1/5/","no"
"4","93864600","643/12354/4616/","0.9979115627707817/1.2634012819965716E-8/0.0020884245952054897/","0/5/","no"
"5","93423200","382/8282/348/","0.4756639436343268/7.023693338042397E-11/0.5243360562954361/","0/2/3/4/5/","no"
"0","90984300","50/80624/80868/","1.0/0.0/0.0/","0/5/","no"
"1","91020000","6089/60/137/","9.285689938101906E-44/0.7794209403403013/0.2205790596596987/","1/5/","no"
"2","95548000","565/3989/68/","7.43871168530413E-4/2.0913216203331685E-25/0.9992561288314695/","2/3/4/5/","no"
"3","88451200","1535/1551/25963/","0.5026041118163712/0.4973958259019357/6.228169303208342E-8/","0/1/5/","no"
"4","89886100","608/4757/11283/","0.9989015824376318/0.0010983931904596143/2.4371908632253352E-8/","0/5/","no"
"5","91201400","1104/22425/1035/","0.4833555728325241/5.577453885213389E-10/0.5166444266097305/","0/2/3/4/5/","no"
"0","91435800","60/12187/11508/","1.0/4.579658362289817E-87/3.1262883742072957E-82/","0/5/","no"
"1","91355600","141/50/146/","0.12719240284876093/0.7574932667618568/0.11531433038938227/","1/5/","no"
"2","92112700","1535/1535/54/","2.0213151999925467E-12/2.0213151999925467E-12/0.9999999999959573/","2/3/4/5/","no"
"3","87186800","3989/4028/25963/","0.5014214409785566/0.4965442041002351/0.002034354921208319/","0/1/5/","no"
"4","91439000","643/12354/4329/","0.9967427148673276/1.2619214675573214E-8/0.003257272513457729/","0/5/","no"
"5","90773800","22942/185/172/","3.57926576735887E-58/0.4812227078078406/0.5187772921921594/","1/2/3/4/5/","no"
"0","92163200","79/80624/80868/","1.0/0.0/0.0/","0/5/","no"
"1","91181300","133/50/137/","0.14254259376386244/0.7256674405743923/0.1317899656617453/","1/5/","no"
"2","90454000","4028/241/508/","1.2006036096714925E-7/0.750878907428052/0.2491209725115871/","1/5/","no"
"3","87895500","3989/4028/25963/","0.5014214409785566/0.4965442041002351/0.002034354921208319/","0/1/5/","no"
"4","90195200","643/12354/4616/","0.9979115627707817/1.2634012819965716E-8/0.0020884245952054897/","0/5/","no"
"5","90914700","22942/185/172/","3.57926576735887E-58/0.4812227078078406/0.5187772921921594/","1/2/3/4/5/","no"
"0","94436800","50/31563/31884/","1.0/4.4523374640218345E-269/8.224083509347009E-272/","0/5/","no"
"1","91810600","6089/60/137/","9.285689938101906E-44/0.7794209403403013/0.2205790596596987/","1/5/","no"
"2","90751300","228/3989/203/","0.46940102862527455/4.621380744720537E-9/0.5305989667533447/","0/2/3/4/5/","no"
"3","88001600","3989/4028/25963/","0.5014214409785566/0.4965442041002351/0.002034354921208319/","0/1/5/","no"
"4","89570900","643/12354/4616/","0.9979115627707817/1.2634012819965716E-8/0.0020884245952054897/","0/5/","no"
"5","91801000","430/3328/322/","0.4171567692356839/5.293586850293137E-5/0.582790294895813/","2/3/4/5/","no"
"0","91127100","60/12226/11636/","1.0/2.416403166403905E-87/3.834622195975057E-83/","0/5/","no"
"1","98218800","133/60/137/","0.19062945382564597/0.6308403521829583/0.1785301939913958/","1/5/","no"
"2","90795200","214/1535/168/","0.43229436659902437/1.7421566608962746E-4/0.567531417734886/","2/3/4/5/","no"
"3","89514600","598/10317/25963/","0.9999999101725937/8.982740627115739E-8/4.0695837322127334E-19/","0/5/","no"
"4","93467000","608/4757/12001/","0.9989015992944071/0.0010983932089953415/7.49659758870266E-9/","0/5/","no"
"5","93108900","430/3328/368/","0.4580116479955764/1.7785904569843304E-4/0.5418104929587252/","0/2/3/4/5/","no"
"0","92434300","79/31465/30582/","1.0/4.1249376395264445E-171/2.564145890502211E-166/","0/5/","no"
"1","92015700","6089/60/137/","9.285689938101906E-44/0.7794209403403013/0.2205790596596987/","1/5/","no"
"2","92893900","565/3989/50/","4.1158488302326696E-5/2.864970016924708E-34/0.9999588415116976/","2/3/4/5/","no"
"3","90225400","4028/10317/25963/","0.82354616593729/0.17289532864127521/0.0035585054214348206/","0/5/","no"
