"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","204903000","50/259/4004/5046/5316/352782/6102/52127/5833/17531735/5422/5833/4791/711813722/404004/1060490/4791/","0.983666026223002/0.016333973776998023/2.1001579439506414E-34/2.8120277469411945E-43/1.4119311540992638E-45/0.0/2.8613379360148004E-52/0.0/5.588041920087178E-50/0.0/1.7666977050066285E-46/5.588041920087178E-50/4.173419214076435E-41/0.0/0.0/0.0/4.173419214076435E-41/","0/","no"
"1","211974200","2704580/6286/5422/4635/4457/2704580/276/2659772/6052/51500/6223/5359/6223/51500/1043142/374952/6223/","0.0/3.777640394634123E-10/8.547578799545798E-9/1.4646746123294628E-7/2.7849568739784675E-7/0.0/0.9999995530791348/0.0/8.792199636507861E-10/4.880288612221762E-81/4.74236712066369E-10/1.0730443458256707E-8/4.74236712066369E-10/4.880288612221762E-81/0.0/0.0/4.74236712066369E-10/","6/","no"
"2","243699700","19475/20230/15931/282/20230/8067255/21462/526/20789/52424717/18092/20789/23380/338447105/8024628/20402234/23380/","2.473253531431266E-30/1.7164789544330721E-31/6.790857593195366E-25/0.7031181745909004/1.7164789544330721E-31/0.0/2.2080027383862803E-33/0.29688182540909963/2.381177583787859E-32/0.0/3.2781856443427855E-28/2.381177583787859E-32/2.5154670412483362E-36/0.0/0.0/0.0/2.5154670412483362E-36/","3/","no"
"3","210338800","13734/14422/14422/12059/13190/383/13176/157/12059/110930/13734/13734/13734/112360/2264568/831481/13734/","3.8704593722379827E-38/4.973446234094334E-40/4.973446234094334E-40/1.5553701542910427E-33/1.2107511952871903E-36/0.19303952217362358/1.3229294850972632E-36/0.8069604778263764/1.5553701542910427E-33/2.6618891253399204E-305/3.8704593722379827E-38/3.8704593722379827E-38/3.8704593722379827E-38/3.122842137906866E-309/0.0/0.0/3.8704593722379827E-38/","7/","no"
"4","219366000","49867/49867/49867/50074/566/2616400/49867/985003/44950/2616400/50074/49867/50074/958718/6861667/2558756/50074/","1.7291262961703622E-38/1.7291262961703622E-38/1.7291262961703622E-38/1.2002584213614335E-38/1.0/0.0/1.7291262961703622E-38/0.0/1.0092763105353883E-34/0.0/1.2002584213614335E-38/1.7291262961703622E-38/1.2002584213614335E-38/0.0/0.0/0.0/1.2002584213614335E-38/","4/","no"
"5","214049600","9355/9388/4791/4037/4490/276/2545/53588/16168/6697389/18052/4824/5656/9880/9438/354072/18052/","5.8259637014386754E-15/5.171645177584617E-15/8.337497181121626E-8/1.2682202603204347E-6/2.471488447406528E-7/0.9997213571907589/2.769663825687757E-4/2.598086641622316E-84/1.2122855812425755E-25/0.0/1.348265192712315E-28/7.401106374765928E-8/3.6715153686351495E-9/8.754804731753926E-16/4.317538459884458E-15/0.0/1.348265192712315E-28/","5/","no"
"6","200623000","6349/6156/7099/6349/6984/58248/52127/49389/21660/161780/21660/7099/7099/7388/7941/17435938/21660/","0.11823219770581045/0.12199705474998028/0.1046726537501569/0.11823219770581045/0.10664609451476523/2.581971239917375E-5/6.977607899771697E-5/1.0885191015149149E-4/0.009834409743732245/1.2857171581041846E-12/0.009834409743732245/0.1046726537501569/0.1046726537501569/0.09987300740426011/0.09129380973487201/0.0/0.009834409743732245/","0/1/2/3/4/11/12/13/","no"
"7","213630800","15931/20230/15931/19558/20230/614/20230/50/19558/7860351/15931/19558/19475/172431/20230/7860351/19475/","5.808951192833551E-136/1.4309602718937646E-172/5.808951192833551E-136/7.552592342694845E-167/1.4309602718937646E-172/1.5747337149290016E-5/1.4309602718937646E-172/0.9999842526628507/7.552592342694845E-167/0.0/5.808951192833551E-136/7.552592342694845E-167/3.844935194672018E-166/0.0/1.4309602718937646E-172/0.0/3.844935194672018E-166/","7/","no"
"8","218450600","13190/12503/13290/13290/12503/5615712/14747/122/13190/14449899/13190/12059/13190/14720974/2294049/108155/14422/","7.225359074785139E-47/1.9255420381661386E-44/3.2046048838871896E-47/3.2046048838871896E-47/1.9255420381661386E-44/0.0/2.297877363317908E-52/1.0/7.225359074785139E-47/0.0/7.225359074785139E-47/7.116232989734315E-43/7.225359074785139E-47/0.0/0.0/0.0/3.2274009086590626E-51/","7/","no"
"9","212422500","37284/46861/42044/38966/38002/54376/39684/467/37284/814132/37284/37284/37284/55486/53947/53229/38966/","6.832392028004106E-35/8.857507985056503E-44/2.6145056535437586E-39/1.8780665841285836E-36/1.473273508932481E-35/9.409019989448837E-51/4.0496882132453285E-37/1.0/6.832392028004106E-35/0.0/6.832392028004106E-35/6.832392028004106E-35/6.832392028004106E-35/8.779847370487349E-52/2.3531394580959193E-50/1.0912821805861494E-49/1.8780665841285836E-36/","7/","no"
"10","207740200","4004/5316/5422/5833/5316/958718/6102/43267/5046/49781/4004/5046/4004/51463/1086775/49781/4791/","0.11451751431945104/0.0825279697308907/0.08037236085085159/0.07253350722570777/0.0825279697308907/3.40036546519453E-105/0.0678217256733443/6.328020204324347E-6/0.08828347934876446/1.2442345318219806E-6/0.11451751431945104/0.08828347934876446/0.11451751431945104/8.175407549854875E-7/4.418463760643086E-119/1.2442345318219806E-6/0.0940873311024102/","0/10/12/16/","no"
"11","205684800","14220/14507/14893/14893/14507/486/15180/188/14220/121662/14220/14220/14220/123457/14625176/121662/14893/","4.7306959715075064E-33/1.0361934073190602E-33/1.3442158927415213E-34/1.3442158927415213E-34/1.0361934073190602E-33/0.17126057180053444/2.9443186678267796E-35/0.8287394281994656/4.7306959715075064E-33/6.149678628178286E-280/4.7306959715075064E-33/4.7306959715075064E-33/4.7306959715075064E-33/4.6153407451317576E-284/0.0/6.149678628178286E-280/1.3442158927415213E-34/","7/","no"
