"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","105645600","50/975/4494307/162/5653/975/162/","0.8180112371785522/1.0860493222315534E-8/0.0/0.09099437055023062/1.5848030811412318E-48/1.0860493222315534E-8/0.09099437055023062/","0/","no"
"1","104236100","2502/50/180/2502/180/2502/902/","1.1395301215122876E-21/0.8648150784888988/0.06759243673291046/1.1395301215122876E-21/0.06759243673291046/1.1395301215122876E-21/4.804528035671763E-8/","1/","no"
"2","107339700","2502/224/147/791/224/791/2502/","5.548305049749301E-8/0.2683947679950381/0.4515694501083088/0.00582045146775703/0.2683947679950381/0.00582045146775703/5.548305049749301E-8/","2/","no"
"3","104701700","236/395/1832/50/395/209/236/","0.023725846631073532/0.0010501342049324429/6.086380626908158E-16/0.9101631349102117/0.0010501342049324429/0.04028490341777568/0.023725846631073532/","3/","no"
"4","103295600","560/112/112/716/50/716/716/","2.8498484335058913E-5/0.18612329885101822/0.18612329885101822/1.337801206054662E-6/0.6277208904100102/1.337801206054662E-6/1.337801206054662E-6/","4/","no"
"5","104264400","395/395/2097/251/395/60/395/","0.003886629250149364/0.003886629250149364/2.965139371716505E-15/0.041190102751614006/0.003886629250149364/0.9432633802477857/0.003886629250149364/","5/","no"
"6","101838700","194/2092/4494307/194/395/395/50/","0.05298008080996248/3.643723613584169E-18/0.0/0.05298008080996248/0.0010291565039639993/0.0010291565039639993/0.891981525372147/","6/","no"
"7","101734700","671/6483/4494307/6483/522/272/6483/","0.1420745897855707/8.065983529195564E-11/0.0/8.065983529195564E-11/0.24521607132587717/0.6127093386465727/8.065983529195564E-11/","5/","no"
"8","101821400","207/395/2009/50/395/237/207/","0.04110196824199178/0.0010302294038747983/1.8569103010216175E-17/0.892911419800565/0.0010302294038747983/0.0228241849077018/0.04110196824199178/","3/","no"
"9","102160800","193/395/2097/60/395/251/193/","0.08842861997075631/0.003224314155710507/2.4598540880925734E-15/0.7825231772182533/0.003224314155710507/0.03417095452881065/0.08842861997075631/","3/","no"
"0","99855000","50/975/4494307/156/5743/975/156/","0.7998383069694603/1.0619216603615034E-8/0.0/0.10008083589605311/2.6534823940849358E-49/1.0619216603615034E-8/0.10008083589605311/","0/","no"
"1","101971300","6483/128/1557/6483/1557/6483/280/","3.080012682319418E-22/0.7646229520590134/1.1817940265040289E-5/3.080012682319418E-22/1.1817940265040289E-5/3.080012682319418E-22/0.23535341206045654/","1/","no"
"2","106256900","6483/273/93/668/273/668/6483/","2.309747913336598E-30/0.11342827133735205/0.7697488428853563/0.0016973072199697836/0.11342827133735205/0.0016973072199697836/2.309747913336598E-30/","2/","no"
"3","101372800","260/395/1678/79/395/184/260/","0.06866835214868684/0.012702367909791838/1.3768509669456958E-9/0.6597021370660301/0.012702367909791838/0.17755642144016157/0.06866835214868684/","3/","no"
"4","103228200","531/123/123/716/109/716/716/","0.00771914230749524/0.3150697890701533/0.3150697890701533/0.0014360338976898875/0.35783317785912866/0.0014360338976898875/0.0014360338976898875/","1/2/4/","no"
"5","104682500","395/395/1832/209/395/50/395/","0.0011000217590750084/0.0011000217590750084/6.375519521376103E-16/0.042198673382550414/0.0011000217590750084/0.9534012395811489/0.0011000217590750084/","5/","no"
"6","101448900","191/2112/4494307/191/395/395/50/","0.05583160671763143/2.4459897968687127E-18/0.0/0.05583160671763143/0.0010225915472179628/0.0010225915472179628/0.8862916034703012/","6/","no"
"7","103306500","2170/2502/4494307/2502/2440/103/2502/","2.335593032265392E-9/9.593908135485403E-11/0.0/9.593908135485403E-11/1.7414133976459668E-10/0.9999999972024484/9.593908135485403E-11/","5/","no"
"8","109594100","227/395/1884/79/395/217/227/","0.10269174753013288/0.012575264613597054/1.0380328270716526E-10/0.6531009807522378/0.012575264613597054/0.11636499485649916/0.10269174753013288/","3/","no"
"9","103302300","207/395/2009/50/395/237/207/","0.04110196824199178/0.0010302294038747983/1.8569103010216175E-17/0.892911419800565/0.0010302294038747983/0.0228241849077018/0.04110196824199178/","3/","no"
"0","102585200","50/975/4494307/120/6310/975/120/","0.6636051693111377/8.810489533683547E-9/0.0/0.16819740653394158/3.268819960939649E-54/8.810489533683547E-9/0.16819740653394158/","0/","no"
"1","103086200","2502/54/208/2502/208/2502/831/","4.169666754155096E-20/0.8915668725282622/0.05421623735301335/4.169666754155096E-20/0.05421623735301335/4.169666754155096E-20/6.527657111315991E-7/","1/","no"
"2","102557400","975/186/50/635/186/635/975/","1.1656581627580753E-8/0.061004561763949756/0.8779725343281544/9.159415391378799E-6/0.061004561763949756/9.159415391378799E-6/1.1656581627580753E-8/","2/","no"
"3","106117600","235/395/1834/60/395/209/235/","0.04696282151134924/0.003408953788516353/1.9388449959191657E-13/0.8273341928718455/0.003408953788516353/0.07192225652822931/0.04696282151134924/","3/","no"
"4","102222100","607/93/93/716/79/716/716/","5.073502663834315E-4/0.3130761171604673/0.3130761171604673/1.2989177786263125E-4/0.37295074007909407/1.2989177786263125E-4/1.2989177786263125E-4/","1/2/4/","no"
"5","99270100","395/395/1855/212/395/50/395/","0.0011026799649044461/0.0011026799649044461/4.0710411478434786E-16/0.039884143648158225/0.0011026799649044461/0.9557051364922236/0.0011026799649044461/","5/","no"
"6","101878000","236/1832/4494307/236/395/395/68/","0.07345927410621911/6.616471443022045E-12/0.0/0.07345927410621911/0.007332989907309683/0.007332989907309683/0.8384154719663259/","6/","no"
"7","99108700","312/6483/4494307/6483/252/572/6483/","0.3808831709012665/9.722610760534912E-12/0.0/9.722610760534912E-12/0.48282141314897686/0.13629541592058886/9.722610760534912E-12/","4/","no"
"8","105718200","210/395/1989/60/395/234/210/","0.06913527221667617/0.003331018679770309/1.492670278170347E-14/0.8084197738767878/0.003331018679770309/0.046647644330304376/0.06913527221667617/","3/","no"
"9","103975700","202/395/2041/50/395/242/202/","0.04505027938209657/0.0010237429402035426/9.852567204598589E-18/0.8872895287300888/0.0010237429402035426/0.02056242662531096/0.04505027938209657/","3/","no"
"0","104078500","50/975/4494307/120/6310/975/120/","0.6636051693111377/8.810489533683547E-9/0.0/0.16819740653394158/3.268819960939649E-54/8.810489533683547E-9/0.16819740653394158/","0/","no"
"1","103874100","6483/138/1713/6483/1713/6483/255/","1.0469210272262122E-20/0.6988170205995369/8.383026124721379E-6/1.0469210272262122E-20/8.383026124721379E-6/1.0469210272262122E-20/0.30116621334821364/","1/","no"
"2","102944500","6483/273/93/668/273/668/6483/","2.309747913336598E-30/0.11342827133735205/0.7697488428853563/0.0016973072199697836/0.11342827133735205/0.0016973072199697836/2.309747913336598E-30/","2/","no"
"3","102474300","235/395/1834/60/395/209/235/","0.04696282151134924/0.003408953788516353/1.9388449959191657E-13/0.8273341928718455/0.003408953788516353/0.07192225652822931/0.04696282151134924/","3/","no"
"4","102703000","552/115/115/716/50/716/716/","3.406271369033693E-5/0.1793027141328264/0.1793027141328264/1.366861275171601E-6/0.6413564084368314/1.366861275171601E-6/1.366861275171601E-6/","4/","no"
"5","101416100","395/395/2041/242/395/50/395/","0.0011225904817080236/0.0011225904817080236/1.0803882234413216E-17/0.022547832569965544/0.0011225904817080236/0.9729618055032023/0.0011225904817080236/","5/","no"
"6","102095700","199/2061/4494307/199/395/395/60/","0.08442858916191767/4.675504308433858E-15/0.0/0.08442858916191767/0.0033966556809320895/0.0033966556809320895/0.8243495103142958/","6/","no"
"7","104308700","1947/2502/4494307/2502/2319/138/2502/","2.228033959462438E-6/4.110250578562941E-8/0.0/4.110250578562941E-8/1.5333358624748973E-7/0.9999974953249371/4.110250578562941E-8/","5/","no"
"8","105778200","218/395/1941/79/395/226/218/","0.11354850869310283/0.012425243072658678/5.0299542011726995E-11/0.6453095569904765/0.012425243072658678/0.10274293942770085/0.11354850869310283/","3/","no"
"9","103095100","236/395/1832/50/395/209/236/","0.023725846631073532/0.0010501342049324429/6.086380626908158E-16/0.9101631349102117/0.0010501342049324429/0.04028490341777568/0.023725846631073532/","3/","no"
"0","105106700","50/975/4494307/143/5957/975/143/","0.7559094164388631/1.003598571852726E-8/0.0/0.12204528174458265/3.775287736647636E-51/1.003598571852726E-8/0.12204528174458265/","0/","no"
"1","103184100","6483/50/240/6483/240/6483/751/","1.5806676694449363E-55/0.9540130967918657/0.022992939799556026/1.5806676694449363E-55/0.022992939799556026/1.5806676694449363E-55/1.0236090221631353E-6/","1/","no"
"2","103344800","6483/269/50/680/269/680/6483/","1.6128221205039926E-55/0.01328582840391053/0.9734199386116044/4.2022902873391465E-6/0.01328582840391053/4.2022902873391465E-6/1.6128221205039926E-55/","2/","no"
"3","100688200","227/395/1884/79/395/217/227/","0.10269174753013288/0.012575264613597054/1.0380328270716526E-10/0.6531009807522378/0.012575264613597054/0.11636499485649916/0.10269174753013288/","3/","no"
"4","101897100","659/151/151/1836/50/1836/1836/","5.1068109200479156E-6/0.10815919375080849/0.10815919375080849/4.845229829698637E-16/0.7836765056874615/4.845229829698637E-16/4.845229829698637E-16/","4/","no"
"5","101209800","395/395/2009/237/395/50/395/","0.0011199892362258902/0.0011199892362258902/2.0186955856231156E-17/0.024812766288858548/0.0011199892362258902/0.9707072767662378/0.0011199892362258902/","5/","no"
"6","100847800","241/1798/4494307/241/395/395/60/","0.046300892651380134/3.8054034096994215E-13/0.0/0.046300892651380134/0.0037082908261206345/0.0037082908261206345/0.899981633044618/","6/","no"
"7","100804900","792/975/4494307/975/15590/123/975/","0.004504028427200603/0.0010295952365153615/0.0/0.0010295952365153615/6.690491642707772E-55/0.9924071858632533/0.0010295952365153615/","5/","no"
"8","102915800","193/395/2097/60/395/251/193/","0.08842861997075631/0.003224314155710507/2.4598540880925734E-15/0.7825231772182533/0.003224314155710507/0.03417095452881065/0.08842861997075631/","3/","no"
"9","101764700","232/395/1855/50/395/212/232/","0.025621387214427298/0.0010484878773472223/3.8709665791973413E-16/0.9087362442623159/0.0010484878773472223/0.03792400555413456/0.025621387214427298/","3/","no"
"0","100900800","50/975/4494307/123/6259/975/123/","0.67660765919777/8.983119745676801E-9/0.0/0.1616961614179952/9.059675293924473E-54/8.983119745676801E-9/0.1616961614179952/","0/","no"
"1","102156600","2502/60/215/2502/215/2502/813/","3.551646751892793E-18/0.8638696246646173/0.06806330673519348/3.551646751892793E-18/0.06806330673519348/3.551646751892793E-18/3.761864995755366E-6/","1/","no"
"2","100561800","975/218/50/554/218/554/975/","1.2358427366727394E-8/0.034534709998026686/0.9308354835179916/4.753588455015353E-5/0.034534709998026686/4.753588455015353E-5/1.2358427366727394E-8/","2/","no"
"3","103468500","207/395/2009/50/395/237/207/","0.04110196824199178/0.0010302294038747983/1.8569103010216175E-17/0.892911419800565/0.0010302294038747983/0.0228241849077018/0.04110196824199178/","3/","no"
"4","101815300","205/1235/1235/4773/128/4773/4773/","0.35496754270504/1.2093890627216793E-4/1.2093890627216793E-4/1.4840574427371332E-16/0.6447905794824151/1.4840574427371332E-16/1.4840574427371332E-16/","4/","no"
"5","102655300","395/395/1884/217/395/50/395/","0.0011068024127253958/0.0011068024127253958/2.3140585394278824E-16/0.03629468193138568/0.0011068024127253958/0.9592781084177125/0.0011068024127253958/","5/","no"
"6","104100800","193/2097/4494307/193/395/395/50/","0.053916033282934574/3.2965318416830754E-18/0.0/0.053916033282934574/0.0010270016971341252/0.0010270016971341252/0.8901139300398625/","6/","no"
"7","101367100","355/2502/4494307/2502/355/463/2502/","0.3642276995346459/8.753603435764776E-4/0.0/8.753603435764776E-4/0.3642276995346459/0.2689185198999787/8.753603435764776E-4/","0/4/","no"
"8","104148400","232/395/1855/50/395/212/232/","0.025621387214427298/0.0010484878773472223/3.8709665791973413E-16/0.9087362442623159/0.0010484878773472223/0.03792400555413456/0.025621387214427298/","3/","no"
"9","102174700","232/395/1855/50/395/212/232/","0.025621387214427298/0.0010484878773472223/3.8709665791973413E-16/0.9087362442623159/0.0010484878773472223/0.03792400555413456/0.025621387214427298/","3/","no"
"0","103577000","68/975/4494307/79/107919/975/79/","0.3696475358519369/7.228002955022E-7/0.0/0.31517550927373605/0.0/7.228002955022E-7/0.31517550927373605/","0/3/6/","no"
"1","106658800","975/137/127/975/127/975/781/","4.5207483740503644E-4/0.3151243921613515/0.3407307093420943/4.5207483740503644E-4/0.3407307093420943/4.5207483740503644E-4/0.002057964642244692/","1/2/4/","no"
"2","102414400","975/116/111/809/116/809/975/","1.5300909127861196E-4/0.3277938543320145/0.34275906812300877/6.736025152025205E-4/0.3277938543320145/6.736025152025205E-4/1.5300909127861196E-4/","1/2/4/","no"
"3","111825500","200/395/2056/50/395/245/200/","0.04673853253890589/0.0010212624117383999/7.32423318312395E-18/0.8851396267904471/0.0010212624117383999/0.019340783308264307/0.04673853253890589/","3/","no"
"4","101601000","617/168/168/1836/50/1836/1836/","1.2396047623580202E-5/0.08256154138323506/0.08256154138323506/5.161709522296499E-16/0.8348645211859048/5.161709522296499E-16/5.161709522296499E-16/","4/","no"
"5","99426400","395/395/1746/195/395/50/395/","0.0010855514151818545/0.0010855514151818545/3.3970693775382963E-15/0.054798164677272436/0.0010855514151818545/0.9408596296619967/0.0010855514151818545/","5/","no"
"6","101160300","241/1798/4494307/241/395/395/60/","0.046300892651380134/3.8054034096994215E-13/0.0/0.046300892651380134/0.0037082908261206345/0.0037082908261206345/0.899981633044618/","6/","no"
"7","102568700","973/6483/4494307/6483/824/151/6483/","0.004408657178034679/7.964001991134608E-19/0.0/7.964001991134608E-19/0.011749765773353842/0.9838415770486115/7.964001991134608E-19/","5/","no"
"8","102294700","241/395/1798/50/395/203/241/","0.021497311827398047/0.0010495064991715992/1.1847564751383141E-15/0.9096190952623198/0.0010495064991715992/0.04528726808453965/0.021497311827398047/","3/","no"
"9","101639100","202/395/2041/50/395/242/202/","0.04505027938209657/0.0010237429402035426/9.852567204598589E-18/0.8872895287300888/0.0010237429402035426/0.02056242662531096/0.04505027938209657/","3/","no"
"0","100834500","50/975/4494307/170/5523/975/170/","0.8402103287747608/1.1155223994784815E-8/0.0/0.07989482445739553/2.0827119226008245E-47/1.1155223994784815E-8/0.07989482445739553/","0/","no"
"1","102682000","975/50/124/975/124/975/788/","9.039880276508372E-9/0.680882856566619/0.15955838133100828/9.039880276508372E-9/0.15955838133100828/9.039880276508372E-9/3.536517236065876E-7/","1/","no"
"2","108240700","975/166/68/683/166/683/975/","1.3180293262312557E-6/0.16288103513870875/0.6740538094045223/9.074212970393441E-5/0.16288103513870875/9.074212970393441E-5/1.3180293262312557E-6/","2/","no"
"3","100833800","260/395/1678/79/395/184/260/","0.06866835214868684/0.012702367909791838/1.3768509669456958E-9/0.6597021370660301/0.012702367909791838/0.17755642144016157/0.06866835214868684/","3/","no"
"4","102934300","595/98/98/716/60/716/716/","7.489235169103488E-5/0.2587435654202505/0.2587435654202505/1.0303104054282043E-5/0.48240706749564494/1.0303104054282043E-5/1.0303104054282043E-5/","4/","no"
"5","100773700","395/395/2092/250/395/50/395/","0.0011262773090713984/0.0011262773090713984/3.987579353286627E-18/0.019337670488608977/0.0011262773090713984/0.9761572202751054/0.0011262773090713984/","5/","no"
"6","104778900","218/1941/4494307/218/395/395/50/","0.03446395980035856/7.328652833726455E-17/0.0/0.03446395980035856/0.0010717854463157097/0.0010717854463157097/0.9289285095066514/","6/","no"
"7","102345400","891/2502/4494307/2502/891/184/2502/","0.020973718819841752/3.465709383833568E-6/0.0/3.465709383833568E-6/0.020973718819841752/0.958042165232165/3.465709383833568E-6/","5/","no"
"8","102113600","210/395/1989/60/395/234/210/","0.06913527221667617/0.003331018679770309/1.492670278170347E-14/0.8084197738767878/0.003331018679770309/0.046647644330304376/0.06913527221667617/","3/","no"
"9","103612700","221/395/1920/78/395/223/221/","0.10744291136371535/0.011874912765797583/4.910183331269977E-11/0.6566073714507291/0.011874912765797583/0.10475698024114313/0.10744291136371535/","3/","no"
"0","102375900","50/975/4494307/157/5737/975/157/","0.8029590160932768/1.066064933552337E-8/0.0/0.09852048129271225/2.9964073778083034E-49/1.066064933552337E-8/0.09852048129271225/","0/","no"
"1","102422100","16776/60/4981/16776/4981/16776/205/","8.923239278463702E-120/0.9150603628451407/8.433121217590268E-36/8.923239278463702E-120/8.433121217590268E-36/8.923239278463702E-120/0.08493963715485932/","1/","no"
"2","103313300","975/175/50/662/175/662/975/","1.1324087602583946E-8/0.07353018888865363/0.8529291184192656/5.240577625904991E-6/0.07353018888865363/5.240577625904991E-6/1.1324087602583946E-8/","2/","no"
"3","102346600","249/395/1746/50/395/195/249/","0.018349764409435372/0.0010479874783163807/3.2795187043588907E-15/0.9083025427901825/0.0010479874783163807/0.05290195343431066/0.018349764409435372/","3/","no"
"4","102527200","617/168/168/1836/50/1836/1836/","1.2396047623580202E-5/0.08256154138323506/0.08256154138323506/5.161709522296499E-16/0.8348645211859048/5.161709522296499E-16/5.161709522296499E-16/","4/","no"
"5","103394100","395/395/1798/203/395/50/395/","0.0010942567991894263/0.0010942567991894263/1.2352737494499563E-15/0.04721828884083852/0.0010942567991894263/0.9484046839624025/0.0010942567991894263/","5/","no"
"6","101546500","207/2009/4494307/207/395/395/50/","0.04206199908673501/1.9002827048541156E-17/0.0/0.04206199908673501/0.0010542927771677291/0.0010542927771677291/0.9137674162721945/","6/","no"
"7","101146200","384/2502/4494307/2502/384/392/2502/","0.3342603954258223/0.0013642729030383435/0.0/0.0013642729030383435/0.3342603954258223/0.3273863904392405/0.0013642729030383435/","0/4/5/","no"
"8","109150800","235/395/1834/60/395/209/235/","0.04696282151134924/0.003408953788516353/1.9388449959191657E-13/0.8273341928718455/0.003408953788516353/0.07192225652822931/0.04696282151134924/","3/","no"
"9","99511500","249/395/1746/50/395/195/249/","0.018349764409435372/0.0010479874783163807/3.2795187043588907E-15/0.9083025427901825/0.0010479874783163807/0.05290195343431066/0.018349764409435372/","3/","no"
"0","102245700","50/975/4494307/157/5737/975/157/","0.8029590160932768/1.066064933552337E-8/0.0/0.09852048129271225/2.9964073778083034E-49/1.066064933552337E-8/0.09852048129271225/","0/","yes"
