"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","110958300","50/656/2648/","0.9999930887487086/6.911251291316201E-6/7.525323178333997E-23/","0/","no"
"1","108688600","361/50/1662/","0.002242230915843631/0.9977577690841377/1.8703085479924757E-14/","1/","no"
"2","109950900","30459/30459/50/","1.121466411236367E-259/1.121466411236367E-259/1.0/","2/","no"
"3","106771200","37014/31067/841/","2.1996739964159983E-19/2.5689551379392753E-16/0.9999999999999997/","2/","no"
"4","109671200","94089/81915/616/","1.6074804277372848E-66/5.9592432252284434E-58/1.0/","2/","no"
"5","104694700","2704/3584/562/","0.021683699224708374/0.0045426281321358265/0.9737736726431558/","2/","no"
"0","103890400","50/656/2648/","0.9999930887487086/6.911251291316201E-6/7.525323178333997E-23/","0/","no"
"1","105671700","361/50/1662/","0.002242230915843631/0.9977577690841377/1.8703085479924757E-14/","1/","no"
"2","108665000","30459/30459/50/","1.121466411236367E-259/1.121466411236367E-259/1.0/","2/","no"
"3","107949800","37014/31067/841/","2.1996739964159983E-19/2.5689551379392753E-16/0.9999999999999997/","2/","no"
"4","107092300","94089/81915/616/","1.6074804277372848E-66/5.9592432252284434E-58/1.0/","2/","no"
"5","110805000","2704/3584/562/","0.021683699224708374/0.0045426281321358265/0.9737736726431558/","2/","no"
"0","112318800","50/656/2648/","0.9999930887487086/6.911251291316201E-6/7.525323178333997E-23/","0/","no"
"1","107709900","361/50/1662/","0.002242230915843631/0.9977577690841377/1.8703085479924757E-14/","1/","no"
"2","105742900","30459/30459/50/","1.121466411236367E-259/1.121466411236367E-259/1.0/","2/","no"
"3","110523300","37014/31067/841/","2.1996739964159983E-19/2.5689551379392753E-16/0.9999999999999997/","2/","no"
"4","106210100","94089/81915/616/","1.6074804277372848E-66/5.9592432252284434E-58/1.0/","2/","no"
"5","111008600","2704/3584/562/","0.021683699224708374/0.0045426281321358265/0.9737736726431558/","2/","no"
"0","107716300","50/656/2648/","0.9999930887487086/6.911251291316201E-6/7.525323178333997E-23/","0/","no"
"1","101915600","361/50/1662/","0.002242230915843631/0.9977577690841377/1.8703085479924757E-14/","1/","no"
"2","107668500","30459/30459/50/","1.121466411236367E-259/1.121466411236367E-259/1.0/","2/","no"
"3","102557200","37014/31067/841/","2.1996739964159983E-19/2.5689551379392753E-16/0.9999999999999997/","2/","no"
"4","106658200","94089/81915/616/","1.6074804277372848E-66/5.9592432252284434E-58/1.0/","2/","no"
"5","107698800","2704/3584/562/","0.021683699224708374/0.0045426281321358265/0.9737736726431558/","2/","no"
"0","106757600","50/656/2648/","0.9999930887487086/6.911251291316201E-6/7.525323178333997E-23/","0/","no"
"1","102089100","361/50/1662/","0.002242230915843631/0.9977577690841377/1.8703085479924757E-14/","1/","no"
"2","105902500","30459/30459/50/","1.121466411236367E-259/1.121466411236367E-259/1.0/","2/","no"
"3","107814500","37014/31067/841/","2.1996739964159983E-19/2.5689551379392753E-16/0.9999999999999997/","2/","no"
"4","107529500","94089/81915/616/","1.6074804277372848E-66/5.9592432252284434E-58/1.0/","2/","no"
"5","107429800","2704/3584/562/","0.021683699224708374/0.0045426281321358265/0.9737736726431558/","2/","no"
"0","102255500","50/656/2648/","0.9999930887487086/6.911251291316201E-6/7.525323178333997E-23/","0/","no"
"1","101841300","361/50/1662/","0.002242230915843631/0.9977577690841377/1.8703085479924757E-14/","1/","no"
"2","106978500","30459/30459/50/","1.121466411236367E-259/1.121466411236367E-259/1.0/","2/","no"
"3","103965700","37014/31067/841/","2.1996739964159983E-19/2.5689551379392753E-16/0.9999999999999997/","2/","no"
"4","106759000","94089/81915/616/","1.6074804277372848E-66/5.9592432252284434E-58/1.0/","2/","no"
"5","104571300","2704/3584/562/","0.021683699224708374/0.0045426281321358265/0.9737736726431558/","2/","no"
"0","105758200","50/656/2648/","0.9999930887487086/6.911251291316201E-6/7.525323178333997E-23/","0/","no"
"1","103597000","361/50/1662/","0.002242230915843631/0.9977577690841377/1.8703085479924757E-14/","1/","no"
"2","108049200","30459/30459/50/","1.121466411236367E-259/1.121466411236367E-259/1.0/","2/","no"
"3","107873200","37014/31067/841/","2.1996739964159983E-19/2.5689551379392753E-16/0.9999999999999997/","2/","no"
"4","106048700","94089/81915/616/","1.6074804277372848E-66/5.9592432252284434E-58/1.0/","2/","no"
"5","105953900","2704/3584/562/","0.021683699224708374/0.0045426281321358265/0.9737736726431558/","2/","no"
"0","102698700","50/656/2648/","0.9999930887487086/6.911251291316201E-6/7.525323178333997E-23/","0/","no"
"1","106345900","361/50/1662/","0.002242230915843631/0.9977577690841377/1.8703085479924757E-14/","1/","no"
"2","107174700","30459/30459/50/","1.121466411236367E-259/1.121466411236367E-259/1.0/","2/","no"
"3","109191900","37014/31067/841/","2.1996739964159983E-19/2.5689551379392753E-16/0.9999999999999997/","2/","no"
"4","106236300","94089/81915/616/","1.6074804277372848E-66/5.9592432252284434E-58/1.0/","2/","no"
"5","105712100","2704/3584/562/","0.021683699224708374/0.0045426281321358265/0.9737736726431558/","2/","no"
"0","102487500","50/656/2648/","0.9999930887487086/6.911251291316201E-6/7.525323178333997E-23/","0/","no"
"1","109235300","361/50/1662/","0.002242230915843631/0.9977577690841377/1.8703085479924757E-14/","1/","no"
"2","104958400","30459/30459/50/","1.121466411236367E-259/1.121466411236367E-259/1.0/","2/","no"
"3","105026500","37014/31067/841/","2.1996739964159983E-19/2.5689551379392753E-16/0.9999999999999997/","2/","no"
"4","106271500","94089/81915/616/","1.6074804277372848E-66/5.9592432252284434E-58/1.0/","2/","no"
"5","108696400","2704/3584/562/","0.021683699224708374/0.0045426281321358265/0.9737736726431558/","2/","no"
"0","104476300","50/656/2648/","0.9999930887487086/6.911251291316201E-6/7.525323178333997E-23/","0/","yes"
"1","110149900","361/50/1662/","0.002242230915843631/0.9977577690841377/1.8703085479924757E-14/","1/","yes"
"2","111047800","30459/30459/50/","1.121466411236367E-259/1.121466411236367E-259/1.0/","2/","yes"
"3","112674100","37014/31067/841/","2.1996739964159983E-19/2.5689551379392753E-16/0.9999999999999997/","2/","yes"
"4","115061700","94089/81915/616/1535/","1.311700784411434E-66/4.862730443339609E-58/0.8159979815479339/0.18400201845206615/","2/","yes"
"5","127055500","2704/3584/562/1549/1073/","0.013885691208043595/0.002908983880570234/0.6235799705908918/0.10802564682470586/0.2515997074957886/","2/","yes"
