"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","86676000","123/134/134/","0.35332912042333325/0.3233354397883334/0.3233354397883334/","0/1/2/","no"
"1","90883800","151/50/50/","0.06455291308528079/0.4677235434573596/0.4677235434573596/","1/2/","no"
"2","90040300","148/55/50/","0.07129948689673422/0.44160620355070024/0.48709430955256544/","1/2/","no"
"3","88306200","2474/354/134/","2.4802588487418834E-8/0.16388110050341315/0.8361188746939984/","2/","no"
"4","86098500","381/69/51/","0.0010259316152870593/0.4138903537613114/0.5850837146234016/","2/","no"
"5","85614500","6209/159/159/","1.8932584653588263E-17/0.5/0.5/","1/2/","no"
"0","88399700","50/72/72/","0.43492751460497875/0.2825362426975106/0.2825362426975106/","0/","no"
"1","86863600","151/50/72/","0.07720554712885729/0.5593992641349478/0.3633951887361949/","1/","no"
"2","89305600","82/50/123/","0.30116844791888714/0.5640374873632708/0.13479406471784208/","1/","no"
"3","85126400","2474/968/348/","0.001930517422006714/0.14445590535169325/0.8536135772263/","2/","no"
"4","89539200","161/159/159/","0.33056136657951574/0.3347193167102421/0.3347193167102421/","0/1/2/","no"
"5","85277400","6209/2474/2474/","0.09954968789302766/0.4502251560534862/0.4502251560534862/","1/2/","no"
"0","87796800","50/60/60/","0.37822977048635387/0.31088511475682307/0.31088511475682307/","0/1/2/","no"
"1","88423200","55/68/68/","0.38674759748934645/0.30662620125532675/0.30662620125532675/","0/","no"
"2","88389300","82/61/148/","0.36389696375446867/0.5105969024898264/0.12550613375570482/","1/","no"
"3","87149100","2474/968/348/","0.001930517422006714/0.14445590535169325/0.8536135772263/","2/","no"
"4","88136800","83/64/159/","0.3773412767343556/0.5054543428436431/0.11720438042200142/","1/","no"
"5","88900500","6209/159/159/","1.8932584653588263E-17/0.5/0.5/","1/2/","no"
"0","87990000","60/159/159/","0.7170354464278389/0.14148227678608047/0.14148227678608047/","0/","no"
"1","88058900","79/50/375/","0.3611598070103885/0.6377510414703126/0.0010891515192989049/","1/","no"
"2","88132700","55/68/68/","0.38674759748934645/0.30662620125532675/0.30662620125532675/","0/","no"
"3","86227600","2474/381/134/","2.556194711961145E-8/0.13828239719895016/0.8617175772391027/","2/","no"
"4","90644400","83/79/79/","0.32231632573317887/0.3388418371334106/0.3388418371334106/","0/1/2/","no"
"5","86370800","6209/2474/2474/","0.09954968789302766/0.4502251560534862/0.4502251560534862/","1/2/","no"
"0","88257800","123/134/134/","0.35332912042333325/0.3233354397883334/0.3233354397883334/","0/1/2/","no"
"1","88385900","151/50/123/","0.10022913968535224/0.7262186341518487/0.1735522261627989/","1/","no"
"2","88556300","136/123/60/","0.17502118017480334/0.216593375542313/0.6083854442828835/","2/","no"
"3","87823000","952/381/134/","0.002009040581055196/0.1380045857789978/0.859986373639947/","2/","no"
"4","84924700","161/61/61/","0.09062310707911123/0.4546884464604444/0.4546884464604444/","1/2/","no"
"5","86255500","6209/375/375/","9.130094319559866E-8/0.4999999543495284/0.4999999543495284/","1/2/","no"
"0","95429400","123/134/134/","0.35332912042333325/0.3233354397883334/0.3233354397883334/","0/1/2/","no"
"1","88804200","78/55/123/","0.3383383101475443/0.5101784661888974/0.15148322366355843/","1/","no"
"2","87747900","151/123/50/","0.10022913968535224/0.1735522261627989/0.7262186341518487/","2/","no"
"3","86002400","381/952/148/","0.172461309541535/0.0037357856842830947/0.8238029047741819/","2/","no"
"4","90070000","381/72/72/","0.007203033705674803/0.49639848314716256/0.49639848314716256/","1/2/","no"
"5","84829100","6209/159/159/","1.8932584653588263E-17/0.5/0.5/","1/2/","no"
"0","86812200","51/233/98/","0.6967639343132388/0.021040447679300016/0.28219561800746107/","0/","no"
"1","85816400","136/68/50/","0.09810658278204609/0.37218379335732565/0.5297096238606283/","2/","no"
"2","93562300","159/50/50/","0.055703244451397065/0.47214837777430146/0.47214837777430146/","1/2/","no"
"3","87520600","354/2474/159/","0.22815641052544924/4.016342958632634E-7/0.7718431878402549/","2/","no"
"4","87295100","79/60/60/","0.26803353625457416/0.3659832318727129/0.3659832318727129/","1/2/","no"
"5","89121600","6209/952/952/","0.002006386350515346/0.49899680682474234/0.49899680682474234/","1/2/","no"
"0","86312300","95/227/64/","0.364651548181727/0.047854875513471076/0.5874935763048018/","2/","no"
"1","88892400","72/51/50/","0.24698382388020013/0.37281695055405356/0.3801992255657462/","1/2/","no"
"2","87058100","354/68/50/","0.0015117843826496734/0.41204550850075206/0.5864427071165983/","2/","no"
"3","85284900","159/968/348/","0.7614613563294892/0.004850051988987395/0.23368859168152345/","0/","no"
"4","86588700","161/159/159/","0.33056136657951574/0.3347193167102421/0.3347193167102421/","0/1/2/","no"
"5","85120300","6209/968/968/","0.0022337975438404076/0.49888310122807983/0.49888310122807983/","1/2/","no"
"0","88992800","50/375/375/","0.9965960257061356/0.0017019871469321868/0.0017019871469321868/","0/","no"
"1","89057000","79/50/123/","0.3136916619908693/0.5539298123765904/0.13237852563254013/","1/","no"
"2","87849500","136/123/60/","0.17502118017480334/0.216593375542313/0.6083854442828835/","2/","no"
"3","86690000","2474/968/348/","0.001930517422006714/0.14445590535169325/0.8536135772263/","2/","no"
"4","86342700","83/82/82/","0.3306613549022378/0.3346693225488811/0.3346693225488811/","0/1/2/","no"
"5","89425600","6209/968/968/","0.0022337975438404076/0.49888310122807983/0.49888310122807983/","1/2/","no"
"0","89785100","61/106/106/","0.5081640921053797/0.24591795394731014/0.24591795394731014/","0/","yes"
"1","90928200","79/148/123/","0.5002362844147438/0.2111524861467305/0.28861122943852563/","0/","yes"
"2","91761700","64/50/50/","0.27534776114831594/0.362326119425842/0.362326119425842/","1/2/","yes"
"3","87380800","227/561/561/","0.6839025965977954/0.1580487017011023/0.1580487017011023/","0/","yes"
"4","91289500","161/61/61/6209/","0.09062310707911123/0.4546884464604444/0.4546884464604444/3.913025819261222E-44/","1/2/","yes"
"5","96742900","6209/159/159/6209/123/","1.9377347201651152E-22/0.2996830555114947/0.2996830555114947/1.9377347201651152E-22/0.4006338889770106/","4/","yes"
