"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","92674900","50/148646/373066/","1.0/0.0/0.0/","0/","no"
"1","97486300","356/50/60/","0.0013586473077619315/0.5481174441525489/0.45052390853968916/","1/2/","no"
"2","97290500","101165/78/50/","0.0/0.3660918973606951/0.6339081026393049/","2/","no"
"3","92882600","101165/15809/6089/","1.379483328266961E-7/0.16853310579912234/0.8314667562525448/","2/","no"
"4","89332600","373066/3343/3056/","1.4229589975010633E-53/0.4765465011287257/0.5234534988712742/","1/2/","no"
"5","91017400","373066/3343/983/","5.509306590238604E-165/0.0832967724296575/0.9167032275703425/","2/","no"
"0","93612300","914/215/373066/","0.037829184690535984/0.9621708153094639/0.0/","1/","no"
"1","91267900","101165/60/50/","0.0/0.4511368443987638/0.5488631556012363/","1/2/","no"
"2","90911800","101165/50/50/","0.0/0.5/0.5/","1/2/","no"
"3","93194000","101165/5922/5922/","5.193135538547244E-8/0.49999997403432234/0.49999997403432234/","1/2/","no"
"4","90753400","373066/3253/2966/","3.5163929861399454E-55/0.47583616236699733/0.5241638376330027/","1/2/","no"
"5","90430900","373066/3253/947/","3.087267462158134E-171/0.08072852851812623/0.9192714714818737/","2/","no"
"0","88837800","246/58686/373066/","1.0/1.7631011842417158E-103/0.0/","0/","no"
"1","90961200","101165/103/61/","0.0/0.33683751901882514/0.6631624809811749/","2/","no"
"2","95236100","15809/51/64/","1.3865675669004093E-132/0.5621765008857981/0.43782349911420193/","1/","no"
"3","88660200","101165/2194/2127/","3.1153603008155845E-21/0.4921294095659869/0.5078705904340131/","1/2/","no"
"4","93254700","373066/3343/3056/","1.4229589975010633E-53/0.4765465011287257/0.5234534988712742/","1/2/","no"
"5","90984700","373066/3253/947/","3.087267462158134E-171/0.08072852851812623/0.9192714714818737/","2/","no"
"0","90199800","272/148646/373066/","1.0/9.1904191536559E-237/0.0/","0/","no"
"1","91456500","101165/72/72/","0.0/0.5/0.5/","1/2/","no"
"2","91515200","101165/83/50/","0.0/0.34365263045781763/0.6563473695421823/","2/","no"
