"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","122517200","787/14449899/1469863019/","1.0/0.0/0.0/","0/","no"
"1","138048300","4622/36824800/1469863019/","1.0/0.0/0.0/","0/","no"
"2","120523600","2147483647/2147483647/50/","0.0/0.0/1.0/","2/","no"
"3","106049900","14146/153196043/61218842/","1.0/0.0/0.0/","0/","no"
"4","110075300","397743778/1005298862/2147483647/","0.8134284003313903/0.17657650415630283/0.009995095512306826/","0/","no"
"5","110238500","83320/1005298862/2147483647/","1.0/0.0/0.0/","0/","no"
"0","114897500","4004/112196018/2147483647/","1.0/0.0/0.0/","0/","no"
"1","115311100","37284/787/1469863019/","7.677524044634755E-21/1.0/0.0/","1/","no"
"2","111755900","289278/2147483647/534426/","0.7000308678090381/0.0/0.2999691321909619/","0/","no"
"3","106945100","153196043/153196043/61218842/","0.1540213676339739/0.1540213676339739/0.6919572647320522/","2/","no"
"4","110006300","397743778/1005298862/2147483647/","0.8134284003313903/0.17657650415630283/0.009995095512306826/","0/","no"
"5","107306800","30769/1005298862/2147483647/","1.0/0.0/0.0/","0/","no"
"0","113620700","4004/112196018/2147483647/","1.0/0.0/0.0/","0/","no"
"1","110225100","3849/5836162/1469863019/","1.0/0.0/0.0/","0/","no"
"2","112744700","2147483647/114187/64059/","0.0/0.31377779978532144/0.6862222002146785/","2/","no"
"3","109184200","478056859/478056859/687/","0.0/0.0/1.0/","2/","no"
"4","107774700","3450112/2147483647/2147483647/","1.0/1.296066389792543E-270/1.296066389792543E-270/","0/","no"
"5","104955500","2147483647/2147483647/2147483647/","0.3333333333333333/0.3333333333333333/0.3333333333333333/","0/1/2/","no"
"0","109626900","4004/44178309/2147483647/","1.0/0.0/0.0/","0/","no"
"1","106277600","14449899/50/1469863019/","0.0/1.0/0.0/","1/","no"
"2","126945100","63723708/2147483647/56652/","0.0/0.0/1.0/","2/","no"
"3","105093500","153196043/153196043/50/","0.0/0.0/1.0/","2/","no"
"4","112877700","3522964/2147483647/2147483647/","1.0/5.042612116553768E-265/5.042612116553768E-265/","0/","no"
"5","107048200","23725841/1005298862/2147483647/","1.0/1.0779478827767092E-18/1.3342737824945709E-39/","0/","no"
"0","106849300","4004/711813722/2147483647/","1.0/0.0/0.0/","0/","no"
"1","115241100","37284/787/1469863019/","7.677524044634755E-21/1.0/0.0/","1/","no"
"2","115817500","188193549/2147483647/188879/","0.0/0.0/1.0/","2/","no"
"3","112207200","478056859/478056859/687/","0.0/0.0/1.0/","2/","no"
"4","109248700","397743778/1005298862/2147483647/","0.8134284003313903/0.17657650415630283/0.009995095512306826/","0/","no"
"5","108050900","30769/1005298862/2147483647/","1.0/0.0/0.0/","0/","no"
"0","107956200","4004/711813722/2147483647/","1.0/0.0/0.0/","0/","no"
"1","110889600","14449899/36824800/1469863019/","0.824689284125801/0.17531071587419897/1.4913284912295113E-44/","0/","no"
"2","119325500","2147483647/38132/18081/","0.0/0.24807735845550247/0.7519226415444975/","2/","no"
"3","107776200","153196043/153196043/50/","0.0/0.0/1.0/","2/","no"
"4","107890600","397743778/1005298862/2147483647/","0.8134284003313903/0.17657650415630283/0.009995095512306826/","0/","no"
"5","105781700","83320/1005298862/2147483647/","1.0/0.0/0.0/","0/","no"
"0","108580000","50/112196018/2147483647/","1.0/0.0/0.0/","0/","no"
"1","110952900","14449899/36824800/1469863019/","0.824689284125801/0.17531071587419897/1.4913284912295113E-44/","0/","no"
"2","113183900","2147483647/114187/64059/","0.0/0.31377779978532144/0.6862222002146785/","2/","no"
"3","106543100","236513/153196043/50/","0.0/0.0/1.0/","2/","no"
"4","110664400","1116045/133313418/2147483647/","1.0/3.6070123567645684E-52/0.0/","0/","no"
"5","118241600","10226/1005298862/2147483647/","1.0/0.0/0.0/","0/","no"
"0","113868900","97/283228681/2147483647/","1.0/0.0/0.0/","0/","no"
"1","113148100","37284/14449899/1469863019/","1.0/1.3253287144503153E-168/0.0/","0/","no"
"2","109044000","2147483647/5921/1202/","0.0/0.019403772677236947/0.980596227322763/","2/","no"
"3","112999900","153196043/153196043/61218842/","0.1540213676339739/0.1540213676339739/0.6919572647320522/","2/","no"
"4","108718900","2147483647/2147483647/469440/","0.0/0.0/1.0/","2/","no"
"5","109569900","10226/1005298862/2147483647/","1.0/0.0/0.0/","0/","no"
"0","110750300","50/283228681/2147483647/","1.0/0.0/0.0/","0/","no"
"1","111272600","755/787/1469863019/","0.51058043091515/0.48941956908484996/0.0/","0/1/","no"
"2","112161500","2147483647/114187/64059/","0.0/0.31377779978532144/0.6862222002146785/","2/","no"
"3","112299800","153196043/153196043/50/","0.0/0.0/1.0/","2/","no"
"4","107987600","3450112/2147483647/2147483647/","1.0/1.296066389792543E-270/1.296066389792543E-270/","0/","no"
"5","112377600","23725841/1005298862/2147483647/","1.0/1.0779478827767092E-18/1.3342737824945709E-39/","0/","no"
"0","115112400","50/112196018/2147483647/","1.0/0.0/0.0/","0/","yes"
"1","124974900","37284/787/1469863019/","7.677524044634755E-21/1.0/0.0/","1/","yes"
"2","110989600","5921/5921/1830/","0.08818400652548827/0.08818400652548827/0.8236319869490234/","2/","yes"
"3","109249600","1472529/3793268/153196043/","0.828640333005467/0.17135966699453298/1.4805583003541615E-45/","0/","yes"
"4","120259000","2147483647/2147483647/469440/166476/","0.0/0.0/0.13945127332308815/0.8605487266769118/","3/","yes"
"5","110282000","2147483647/2147483647/2147483647/23725841/2147483647/","1.3342737824945709E-39/1.3342737824945709E-39/1.3342737824945709E-39/1.0/1.3342737824945709E-39/","3/","yes"
