"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","120784300","50/25963/3989/","1.0/2.1668323098208784E-221/2.8650879396131564E-34/","0/","no"
"1","133073900","25963/50/112/","1.6712853944745533E-221/0.7713035230736016/0.2286964769263984/","1/","no"
"2","130745500","25963/214/182/","3.564278208990756E-62/0.4563952058153308/0.5436047941846691/","1/2/","no"
"3","126106800","103/3989/185/","0.6875008976373818/4.070923271351379E-17/0.31249910236261813/","0/","no"
"4","89183500","1317511/1830/525508/","8.5884907347E-313/1.0/6.150804144756857E-125/","1/","no"
"5","93245200","1317511/30484/705/","0.0/4.80294888987639E-19/1.0/","2/","no"
"0","88745200","54/25963/1484/","0.9999999999948909/2.6044376824675433E-205/5.1090890280372285E-12/","0/","no"
"1","91524100","25963/61/1468/","3.6557211411845574E-182/0.9999999998605825/1.3941745820613722E-10/","1/","no"
"2","93661600","25963/214/182/","3.564278208990756E-62/0.4563952058153308/0.5436047941846691/","1/2/","no"
"3","91305600","112/25963/185/","0.6561124999941387/2.9071545476557355E-100/0.34388750000586127/","0/","no"
"4","89692300","1317511/4757/525508/","1.500246461450357E-120/1.0/2.9347654904369047E-48/","1/","no"
"5","92117300","251/30903/606/","0.8035655790701367/1.2012861967193073E-53/0.19643442092986332/","0/","no"
"0","87985500","68/25963/10317/","1.0/1.032016944037623E-163/3.1012310964847675E-65/","0/","no"
"1","91049600","25963/55/107/","8.553604846004118E-202/0.7167853694650884/0.2832146305349116/","1/","no"
"2","92597600","25963/1468/25963/","5.732043231377761E-8/0.9999998853591353/5.732043231377761E-8/","1/","no"
"3","91288000","90/25963/193/","0.7561834914186483/2.5153173886111403E-124/0.24381650858135176/","0/","no"
"4","89505700","1317511/595/208227/","0.0/1.0/5.0384334427721745E-152/","1/","no"
"5","89760900","31001/210/4549/","4.206100611074954E-64/0.9999999988273282/1.1726718680088984E-9/","1/","no"
"0","89095100","50/25963/3989/","1.0/2.1668323098208784E-221/2.8650879396131564E-34/","0/","no"
"1","87148400","25963/157/214/","6.876187623468095E-72/0.5892242736183966/0.4107757263816036/","1/","no"
"2","90739100","25963/206/157/","6.732553161716431E-72/0.42308384187038767/0.5769161581296123/","2/","no"
"3","87830500","94/25963/214/","0.7795692427463741/4.277416234011388E-119/0.22043075725362582/","0/","no"
"4","90943400","1317511/595/208227/","0.0/1.0/5.0384334427721745E-152/","1/","no"
"5","96214200","4616/210/11833/","8.536357046235801E-10/0.9999999991463643/1.1933138372743208E-24/","1/","no"
"0","89837600","54/25963/1484/","0.9999999999948909/2.6044376824675433E-205/5.1090890280372285E-12/","0/","no"
"1","89704500","25963/203/112/","3.062220385018262E-100/0.30889086238380814/0.6911091376161919/","2/","no"
"2","91630800","25963/93/50/","1.5148878226870305E-221/0.30087445354169606/0.6991255464583039/","2/","no"
"3","89531800","103/3989/185/","0.6875008976373818/4.070923271351379E-17/0.31249910236261813/","0/","no"
"4","86673400","1317511/713/525508/","0.0/1.0/6.1734E-320/","1/","no"
"5","90763300","12001/703/11833/","1.0722936507267887E-7/0.9999997566411533/1.361294815027899E-7/","1/","no"
"0","91011900","51/25963/10317/","1.0/3.8700710731016444E-217/1.8207364724150776E-86/","0/","no"
"1","89326700","25963/203/112/","3.062220385018262E-100/0.30889086238380814/0.6911091376161919/","2/","no"
"2","92724400","25963/93/50/","1.5148878226870305E-221/0.30087445354169606/0.6991255464583039/","2/","no"
"3","102717700","103/25963/193/","0.7037844257867932/7.218490069726257E-109/0.2962155742132067/","0/","no"
"4","94977500","1317511/30903/525508/","8.303744941850338E-19/0.9999998879771118/1.1202288813269164E-7/","1/","no"
"5","95166400","4616/214/30903/","1.2825460848362421E-9/0.9999999987174538/1.020957467501087E-62/","1/","no"
"0","93433900","50/25963/10317/","1.0/2.1668323098208784E-221/3.720145175813745E-88/","0/","no"
"1","94512700","25963/50/4028/","2.1668323098208784E-221/1.0/1.3336148155022567E-34/","1/","no"
"2","94668300","25963/93/50/","1.5148878226870305E-221/0.30087445354169606/0.6991255464583039/","2/","no"
