"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","125933200","50/1468/50/3989/3989/241/1468/1468/1468/10317/25963/10317/228/3989/10317/10317/502/502/241/502/78/","0.37654828105756827/3.167604540814607E-13/0.37654828105756827/1.078843938740104E-34/1.078843938740104E-34/0.0088990829877322/3.167604540814607E-13/3.167604540814607E-13/3.167604540814607E-13/1.400814271237271E-88/8.159169816030519E-222/1.400814271237271E-88/0.011482799236813852/1.078843938740104E-34/1.400814271237271E-88/1.400814271237271E-88/5.330640306467463E-5/5.330640306467463E-5/0.0088990829877322/5.330640306467463E-5/0.21746255346212406/","0/2/","no"
"1","139583800","2474/50/952/136/78/381/55/55/55/2474/136/952/381/2474/2474/55/2474/73/381/123/2474/","3.534659488468402E-22/0.15492048213190832/3.228920965252925E-9/0.02869254855922249/0.0894690145268186/2.3520822069005734E-4/0.14045297722603173/0.14045297722603173/0.14045297722603173/3.534659488468402E-22/0.02869254855922249/3.228920965252925E-9/2.3520822069005734E-4/3.534659488468402E-22/3.534659488468402E-22/0.14045297722603173/3.534659488468402E-22/0.09868486336217376/2.3520822069005734E-4/0.03702300283661532/3.534659488468402E-22/","1/6/7/8/15/","no"
"2","137893800","348/381/381/381/952/136/78/348/78/2474/6209/2474/952/952/2474/68/78/78/6209/78/2474/","0.0029978971505374924/0.0018582779462063086/0.0018582779462063086/0.0018582779462063086/4.7333267099769095E-7/0.0647397159658456/0.15004789923091544/0.0029978971505374924/0.15004789923091544/1.2459809098386763E-16/3.8633340274043364E-40/1.2459809098386763E-16/4.7333267099769095E-7/4.7333267099769095E-7/1.2459809098386763E-16/0.17344873974186972/0.15004789923091544/0.15004789923091544/3.8633340274043364E-40/0.15004789923091544/1.2459809098386763E-16/","6/8/15/16/17/19/","no"
"3","136431600","2474/68/952/78/952/2474/348/348/348/2474/6209/2474/83/123/68/134/348/348/134/348/2474/","1.438872857575926E-16/0.20030056786956743/5.46609925982473E-7/0.17327701238023427/5.46609925982473E-7/1.438872857575926E-16/0.0034620055617634714/0.0034620055617634714/0.0034620055617634714/1.438872857575926E-16/4.461421862796695E-40/1.438872857575926E-16/0.16116485309897333/0.09026209713321125/0.20030056786956743/0.0769608875290064/0.0034620055617634714/0.0034620055617634714/0.0769608875290064/0.0034620055617634714/1.438872857575926E-16/","1/3/12/14/","no"
"4","140881800","241/25963/83/83/78/502/10317/83/241/241/216/228/1551/83/170/241/241/241/1551/55/241/","0.007895161181133589/2.609751477577868E-202/0.13264529816352977/0.13264529816352977/0.1450334417822478/7.46858803621848E-5/5.693447134909398E-81/0.13264529816352977/0.007895161181133589/0.007895161181133589/0.012337934654876885/0.009958166021343947/5.469809831891086E-13/0.13264529816352977/0.028053326197448897/0.007895161181133589/0.007895161181133589/0.007895161181133589/5.469809831891086E-13/0.21869512454057216/0.007895161181133589/","19/","no"
"5","137839300","1366/1366/109/55/1366/109/55/55/55/55/50/55/561/55/55/55/1366/109/95/55/55/","5.041220729133803E-13/5.041220729133803E-13/0.025504531812357244/0.07352898512459619/5.041220729133803E-13/0.025504531812357244/0.07352898512459619/0.07352898512459619/0.07352898512459619/0.07352898512459619/0.08110291466332196/0.07352898512459619/3.610572458190237E-6/0.07352898512459619/0.07352898512459619/0.07352898512459619/5.041220729133803E-13/0.025504531812357244/0.03356104295457372/0.07352898512459619/0.07352898512459619/","3/6/7/8/9/10/11/13/14/15/19/20/","no"
"6","132689400","241/228/78/3989/241/241/1468/78/78/228/78/228/1551/241/78/228/241/241/10317/3989/241/","0.019579182378371782/0.023081324798089112/0.15412408388173057/4.8701793475486723E-23/0.019579182378371782/0.019579182378371782/3.519545516259915E-9/0.15412408388173057/0.15412408388173057/0.023081324798089112/0.15412408388173057/0.023081324798089112/1.2308425749907586E-9/0.019579182378371782/0.15412408388173057/0.023081324798089112/0.019579182378371782/0.019579182378371782/7.943414300084626E-58/4.8701793475486723E-23/0.019579182378371782/","2/7/8/10/14/","no"
"7","137245700","1551/50/502/535/535/1551/50/50/50/1468/203/50/10317/535/1468/228/170/239/10317/157/1551/","3.104273686417278E-14/0.18786362425323982/2.659508641895182E-5/1.3924747518224648E-5/1.3924747518224648E-5/3.104273686417278E-14/0.18786362425323982/0.18786362425323982/0.18786362425323982/1.5803489198440233E-13/0.009353179104530752/0.18786362425323982/6.988799554765763E-89/1.3924747518224648E-5/1.5803489198440233E-13/0.005728880968840181/0.017863778589261227/0.004617410008836645/6.988799554765763E-89/0.02305026073294927/3.104273686417278E-14/","1/6/7/8/11/","no"
"8","137964700","127/198/140/156/2194/156/198/50/198/5922/806/198/40251/2194/93/868/724/895/40251/691/6128/","0.09638224204128994/0.02395471350895409/0.07469551219874167/0.054581474072718114/2.4115548287997267E-19/0.054581474072718114/0.02395471350895409/0.43621092313380677/0.02395471350895409/4.327350481881674E-51/1.59191366470339E-7/0.02395471350895409/0.0/2.4115548287997267E-19/0.18772697377699155/4.7201268475719895E-8/7.946884717955326E-7/2.7799248890662793E-8/0.0/1.5177875617411229E-6/7.621017999369429E-53/","7/","no"
"9","137930400","25963/25963/1551/216/1535/228/10317/1551/3989/73/25963/3989/228/25963/216/25963/25963/1551/1551/1551/25963/","7.400758364262003E-153/7.400758364262003E-153/1.3788102330848389E-9/0.09427829183854732/1.711614699320326E-9/0.08016514326611675/4.934179282561436E-61/1.3788102330848389E-9/6.780503938010126E-24/0.6511131211850059/7.400758364262003E-153/6.780503938010126E-24/0.08016514326611675/7.400758364262003E-153/0.09427829183854732/7.400758364262003E-153/7.400758364262003E-153/1.3788102330848389E-9/1.3788102330848389E-9/1.3788102330848389E-9/7.400758364262003E-153/","9/","no"
"10","133618400","83/1551/1551/1551/25963/82/228/203/228/3989/3989/3989/239/228/1468/78/25963/239/10317/228/3989/","0.23737233536892918/2.0195243645912764E-9/2.0195243645912764E-9/2.0195243645912764E-9/1.2669421661005617E-143/0.24039614614222393/0.03787104764160093/0.05196875132503357/0.03787104764160093/7.9908235644007E-23/7.9908235644007E-23/7.9908235644007E-23/0.03294852184375859/0.03787104764160093/5.774749806999688E-9/0.25288152107656947/1.2669421661005617E-143/0.03294852184375859/1.303328227591096E-57/0.03787104764160093/7.9908235644007E-23/","0/5/15/","no"
"11","135799600","10317/78/3989/535/10317/1551/55/78/50/10317/535/50/1551/10317/3989/170/10317/216/1551/535/502/","8.866603361170492E-89/0.1376452429880617/6.828657795556665E-35/1.7666154563604337E-5/8.866603361170492E-89/3.9383535450249524E-14/0.21608245358373546/0.1376452429880617/0.2383402513110529/8.866603361170492E-89/1.7666154563604337E-5/0.2383402513110529/3.9383535450249524E-14/8.866603361170492E-89/6.828657795556665E-35/0.022663554454747516/8.866603361170492E-89/0.009196264043014886/3.9383535450249524E-14/1.7666154563604337E-5/3.3740856463982714E-5/","6/8/11/","no"
"12","129373400","6209/6209/82/375/6209/2474/381/2474/381/6209/6209/381/952/54/968/6209/952/952/2474/134/6209/","1.356523737478346E-49/1.356523737478346E-49/0.32571119190154996/0.0015820766935518717/1.356523737478346E-49/4.216682006019038E-20/0.0014185673273948447/4.216682006019038E-20/0.0014185673273948447/1.356523737478346E-49/1.356523737478346E-49/0.0014185673273948447/4.396262381099569E-8/0.5419111095077085/3.286573820410824E-8/1.356523737478346E-49/4.396262381099569E-8/4.396262381099569E-8/4.216682006019038E-20/0.12653975516139546/1.356523737478346E-49/","13/","no"
"13","136118600","101165/901/901/136/15712/15712/126/780/2335/2335/2335/2335/156/78/107/50/101165/40251/40251/2335/2335/","0.0/2.321735110672611E-8/2.321735110672611E-8/0.07589792411067232/1.7441578122086417E-134/1.7441578122086417E-134/0.09233910873868964/2.489990076907742E-7/1.4271634255267297E-20/1.4271634255267297E-20/1.4271634255267297E-20/1.4271634255267297E-20/0.051276495559914474/0.23666466785957502/0.1340237180534979/0.4097977902439409/0.0/0.0/0.0/1.4271634255267297E-20/1.4271634255267297E-20/","15/","no"
"14","137600600","1551/157/502/535/535/1551/157/157/157/1468/203/1468/10317/535/50/228/55/239/10317/157/55/","4.6784781628135135E-14/0.034739250588024684/4.008168854235462E-5/2.0986109398715125E-5/2.0986109398715125E-5/4.6784781628135135E-14/0.034739250588024684/0.034739250588024684/0.034739250588024684/2.381757750119437E-13/0.01409625845327245/2.381757750119437E-13/1.053288124829896E-88/2.0986109398715125E-5/0.2831309196420001/0.008634046871366586/0.25669027142972406/0.006958939216480858/1.053288124829896E-88/0.034739250588024684/0.25669027142972406/","14/16/20/","no"
"15","142114200","3410/318/1092/22942/1125/3410/318/318/318/3328/425/3328/148646/914/78/428/83/509/148646/318/83/","1.530971612430969E-19/0.015237836726152377/8.471042737798657E-7/6.453265546059402E-127/5.578567882878715E-7/1.530971612430969E-19/0.015237836726152377/0.015237836726152377/0.015237836726152377/4.322687253134078E-19/0.0039327983204736575/4.322687253134078E-19/0.0/8.06257572716183E-6/0.3179061700880675/0.0037862516902950017/0.2984090324225296/0.0013580638885535268/0.0/0.015237836726152377/0.2984090324225296/","14/16/20/","no"
"16","143625100","1551/170/535/535/55/1551/170/170/170/1551/214/1551/3989/535/1551/73/50/228/10317/157/1551/","5.300401672751059E-14/0.0305015638055591/2.3775853063850294E-5/2.3775853063850294E-5/0.29081284484329556/5.300401672751059E-14/0.0305015638055591/0.0305015638055591/0.0305015638055591/5.300401672751059E-14/0.012871722571269015/5.300401672751059E-14/9.190294570667801E-35/2.3775853063850294E-5/5.300401672751059E-14/0.20433049141521922/0.3207683241970113/0.00978179546574634/1.1933047338153711E-88/0.03935723872571249/5.300401672751059E-14/","4/16/","no"
"17","133543900","83/6209/2474/375/83/83/381/83/83/83/82/83/123/83/83/83/50/123/2474/2474/83/","0.06734576496311837/4.590700853126722E-54/2.934695927114403E-22/2.1966531724218892E-4/0.06734576496311837/0.06734576496311837/1.9528461214860456E-4/0.06734576496311837/0.06734576496311837/0.06734576496311837/0.0686793013194769/0.06734576496311837/0.03073881826202146/0.06734576496311837/0.06734576496311837/0.06734576496311837/0.12862469763278733/0.03073881826202146/2.934695927114403E-22/2.934695927114403E-22/0.06734576496311837/","16/","no"
"18","127609900","381/2474/2474/2474/55/381/2474/73/381/381/68/136/6209/381/381/381/381/83/50/55/381/","3.114167081142721E-4/4.679904549995337E-22/4.679904549995337E-22/4.679904549995337E-22/0.1859603532744575/3.114167081142721E-4/4.679904549995337E-22/0.13065918869158805/3.114167081142721E-4/3.114167081142721E-4/0.14411787422981853/0.037989059198302415/7.320704544453375E-54/3.114167081142721E-4/3.114167081142721E-4/3.114167081142721E-4/3.114167081142721E-4/0.10739502820781605/0.20511539275053148/0.1859603532744575/3.114167081142721E-4/","4/18/19/","no"
"19","139046700","123/6209/50/6209/348/83/375/375/2474/2474/6209/952/83/2474/2474/2474/2474/136/68/123/2474/","0.06989230328548265/1.0438093409598649E-53/0.29246005166247663/1.0438093409598649E-53/8.480555204792059E-4/0.15312724743262657/4.994634095274157E-4/4.994634095274157E-4/6.672756774191678E-22/6.672756774191678E-22/1.0438093409598649E-53/6.095581289941161E-9/0.15312724743262657/6.672756774191678E-22/6.672756774191678E-22/6.672756774191678E-22/6.672756774191678E-22/0.05416600902915717/0.20548784943703263/0.06989230328548265/6.672756774191678E-22/","2/","no"
