"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","132782400","561/233/233/233/1366/233/561/106/","0.0063273576675039675/0.13568055732272777/0.13568055732272777/0.13568055732272777/3.4187449564121154E-6/0.13568055732272777/0.0063273576675039675/0.4446196366291247/","7/","no"
"1","153383100","112/157/502/157/157/157/231/69/","0.19462914829657776/0.10233367537852972/7.405718453715265E-4/0.10233367537852972/0.10233367537852972/0.10233367537852972/0.035555538694201125/0.3597400396497307/","7/","no"
"2","107882500","108/1484/68/50/203/157/73/68/","0.09070999947364412/1.7386802908176364E-13/0.19873679763103846/0.28285163459369933/0.014082353669478577/0.034704983213445194/0.18017743378748213/0.19873679763103846/","3/","no"
"3","109979300","529/79/502/50/157/79/108/69/","2.5534555215753838E-5/0.17343567374363938/4.335596982808109E-5/0.3062599420287368/0.03757710703113175/0.17343567374363938/0.09821700065523972/0.21100571227256917/","3/","no"
"4","121971900","1551/1468/203/50/50/68/592/157/","5.74725323526103E-14/2.925858464785486E-13/0.017316478602932197/0.3478107703587839/0.3478107703587839/0.2443782896357671/8.43140029815786E-6/0.04267525964308469/","3/4/","no"
"5","124473500","1468/93/1535/502/502/502/94/113/","1.5649989627432573E-7/0.3525541980264191/7.672974092617668E-8/0.004545512733476663/0.004545512733476663/0.004545512733476663/0.34882350077057844/0.28498552977293545/","1/6/7/","no"
"6","103711100","109/561/50/95/227/227/50/95/","0.09813947719528789/1.389320517739571E-5/0.31207777906419143/0.12914031255004832/0.009705223185527563/0.009705223185527563/0.31207777906419143/0.12914031255004832/","2/6/","no"
"7","104814100","529/157/502/79/79/79/108/160/","8.113575451417243E-4/0.08485581715653007/0.001137068600329291/0.22496696010652784/0.22496696010652784/0.22496696010652784/0.1565622269821069/0.0817326493963085/","3/4/5/","no"
"0","101751200","61/233/60/60/95/227/65/60/","0.17592505074775755/0.010489617150931357/0.1788328371672572/0.1788328371672572/0.10075390981138375/0.011573830763356822/0.16475908002479886/0.1788328371672572/","0/2/3/6/7/","no"
"1","108410700","571/203/203/1468/1468/1535/214/79/","0.001323819397599082/0.13169926680366176/0.13169926680366176/1.787729728079745E-8/1.787729728079745E-8/7.737136048297139E-9/0.11478043488883162/0.6204971686145151/","7/","no"
"2","104537000","159/952/50/50/348/348/125/51/","0.03538479666352348/6.251198499152849E-9/0.29992641375016194/0.29992641375016194/8.697059631648474E-4/8.697059631648474E-4/0.06892017299734259/0.2941027846612817/","2/3/7/","no"
"3","104547600","4028/1484/565/50/182/79/103/565/","6.683884610312535E-35/3.0807720843975164E-13/2.0628888226023375E-5/0.5011855396788838/0.03766536896104817/0.28382246522015137/0.17728536836315661/2.0628888226023375E-5/","3/","no"
"4","108217500","4028/1484/157/50/50/50/535/157/","4.1091606847054744E-35/1.894016468837942E-13/0.037805575932593274/0.308122003215592/0.308122003215592/0.308122003215592/2.283848784798864E-5/0.037805575932593274/","3/4/5/","no"
