"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","116520000","50/2314/328528/12059/1322/315580/","0.9999999999852707/5.256918387200304E-20/0.0/5.450331012546636E-103/1.4729387463492182E-11/0.0/","0/","no"
"1","116291700","64854/43267/53384/7172/7807/7360/","1.1105181969496489E-4/0.0022517814351740656/5.49522070114613E-4/0.3450834731535071/0.3158476321057152/0.33615653941579404/","3/4/5/","no"
"2","116418400","1333/684/50/864/1142/458/","1.1867681401660876E-11/3.990028983953195E-6/0.9996605437077218/1.1699626477642397E-7/5.021590469596322E-10/3.3534875300264615E-4/","2/","no"
"3","112563600","50/20053/1027418/50/14854/21775/","0.5/2.3007092544814855E-171/0.0/0.5/4.30875856112142E-127/4.989261782646022E-186/","0/3/","no"
"4","110914300","1235/8624/8482/4856/4188/6205/","0.8558460704939592/0.0021682821020329226/0.002432262580832271/0.04571739615419032/0.07848691788314247/0.015349070785842777/","0/","no"
"5","115276400","1360/29474/23645/1360/25958/50/","6.991859935962695E-12/2.7392437287680214E-251/1.1883251374998448E-201/6.991859935962695E-12/2.3900291240642023E-221/0.9999999999860163/","5/","no"
"0","116605200","50/4192/328528/12059/3672/3860/","1.0/5.3515009516763556E-36/0.0/5.450331012626915E-103/1.43408933739877E-31/3.5945748254024294E-33/","0/","no"
"1","117271000","25443/13924/21246/7117/7752/7305/","0.021851448706265354/0.11022887397036313/0.039405253334090166/0.2868234381376675/0.2623439360633923/0.2793470497882216/","3/4/5/","no"
"2","116883300","8405/4971/4004/671/904/498/","6.103873545943774E-8/5.947267231633452E-5/4.1297731733595924E-4/0.3286509049361382/0.20603833433156302/0.464838249703911/","5/","no"
"3","127576400","60/20147/15295/50/51675/964849/","0.4511368443987638/3.998448199891939E-172/8.307613844925255E-131/0.5488631556012363/0.0/0.0/","0/3/","no"
"4","114327000","5608/8674/8464/4977/5163/6031/","0.19044857772538484/0.10287063427446183/0.10730313191675082/0.21618617526337475/0.20825755430915274/0.1749339265108752/","0/3/4/5/","no"
"5","114560400","1307/29256/27884/1307/30757/50/","1.9765980281559145E-11/1.9680072622898733E-249/9.49291992964262E-238/1.9765980281559145E-11/3.251951080624812E-262/0.9999999999604681/","5/","no"
"0","146353900","203/2314/1453/4449/1406/315580/","0.9950627904339684/3.1897317151721975E-5/0.002171362521793352/9.09000994177604E-10/0.0027339488180855927/0.0/","0/","no"
"1","114785900","24972/13924/20855/7516/7510/6960/","0.02195047283546313/0.10733094090618003/0.03965538263344694/0.2694746595039042/0.26970703200417406/0.29188151211683167/","3/4/5/","no"
"2","110044000","3181/1694/894/1008/883/150/","1.8815623558625716E-9/3.5588740590857336E-5/0.007115583786957444/0.003344510653426877/0.0076532849466756595/0.9818510299907868/","5/","no"
"3","118445800","50/20836/15984/50/52353/21955/","0.5/4.944975059090549E-178/1.0274221700513372E-136/0.5/0.0/1.462959279015044E-187/","0/3/","no"
"4","127114000","1890/3329/3245/1890/894/2380/","0.16551421203721284/0.03315640250591485/0.036418998817780525/0.16551421203721284/0.5036624121485335/0.09573376245334553/","4/","no"
"5","118570200","1277/30781/24953/1277/30061/50/","3.559472975986177E-11/2.0312815786521496E-262/8.640903599316487E-213/3.559472975986177E-11/2.7478077563358737E-256/0.9999999999288106/","5/","no"
"0","120223200","50/4398/336576/12059/3981/6422/","1.0/9.42467804425075E-38/0.0/5.450331012626915E-103/3.351680256670321E-34/5.4794440445246834E-55/","0/","no"
"1","108048900","64854/4497/54360/20725/19478/18361/","1.3413039557219093E-6/0.9019124610822987/1.3827773572828031E-5/0.02445150492725957/0.032263162245144784/0.04135770266776853/","1/","no"
"2","127482100","1373/754/50/927/1159/422/","5.414953572407349E-12/1.0109683667986508E-6/0.999319892567866/3.400498279810424E-8/3.596900678133911E-10/6.790620936794045E-4/","2/","no"
"3","122852300","160/19833/407565/150/15788/406275/","0.48344975696731096/1.2658884453249268E-57/0.0/0.5165502430326889/5.4489212387924785E-46/0.0/","0/3/","no"
"4","113448700","5676/8727/8516/5045/4635/6272/","0.18738192338962892/0.09703177140031617/0.10155005591900822/0.21470341690082545/0.23455636662698864/0.16477646576323263/","3/4/","no"
"5","124359100","1307/30170/24759/1307/30114/50/","1.9765980281559145E-11/3.2418158012741625E-257/3.877763396680115E-211/1.9765980281559145E-11/9.719875609353153E-257/0.9999999999604681/","5/","no"
"0","110346100","50/5681/127393/12059/3757/119803/","1.0/1.1188705710795602E-48/0.0/5.450331012626915E-103/2.7086448812411104E-32/0.0/","0/","no"
"1","116671300","162126/4791/138837/52974/52935/49500/","5.505540609379659E-15/0.9998249997798453/7.103301961708488E-13/4.2967860408467954E-5/4.331898398491731E-5/8.871337504555306E-5/","1/","no"
"2","114475800","3417/1847/894/2278/2922/1916/","0.02924186412844393/0.16898185286599018/0.49009330872240603/0.10439972943811515/0.050839520322251384/0.1564437245227932/","2/","no"
"3","109953900","50/15683/1027418/50/14383/14854/","0.5/3.7578369625001415E-134/0.0/0.5/4.417630964124618E-123/4.30875856112142E-127/","0/3/","no"
"4","113947900","516/3329/3272/1862/1220/2325/","0.730117874872626/0.0031651491865231727/0.0035340751605222706/0.05403999220122896/0.18707392617563776/0.022068982403461872/","0/","no"
"5","115619600","1277/30781/24953/1277/30061/50/","3.559472975986177E-11/2.0312815786521496E-262/8.640903599316487E-213/3.559472975986177E-11/2.7478077563358737E-256/0.9999999999288106/","5/","no"
"0","126184600","246/1412/324509/4718/1356/1171/","0.9581084802464459/0.008536176871565604/0.0/1.3134054112536597E-8/0.01070845784704678/0.02264687190088752/","0/","no"
