"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","159276600","79/228/157/502/228/3989/3989/228/228/228/","0.46324897452873504/0.07193512358648994/0.1747339709882125/0.002341436550602542/0.07193512358648994/2.75214723135156E-22/2.75214723135156E-22/0.07193512358648994/0.07193512358648994/0.07193512358648994/","0/","no"
"1","121931800","4494307/50/711063/50/188/513/1467/1467/4824/1839/","0.0/0.48381038677835525/0.0/0.48381038677835525/0.03232402346046066/5.520298199850607E-5/4.150506070692528E-13/4.150506070692528E-13/1.0747450424341397E-41/2.820369496449456E-16/","1/3/","no"
"2","113534300","15712/83/83/83/93/356/283/83/83/83/","2.2340872234543826E-82/0.14247039254430574/0.14247039254430574/0.14247039254430574/0.12648030286348294/0.0055241766103799285/0.013173165260302683/0.14247039254430574/0.14247039254430574/0.14247039254430574/","1/2/3/4/7/8/9/","no"
"3","116284200","4494307/229/711063/50/289/109/513/1467/1839/1467/","0.0/0.022089515355937516/0.0/0.7387111653149786/0.006811637111487785/0.23230339494123992/8.428727508832925E-5/6.337245457966547E-13/4.306311923591397E-16/6.337245457966547E-13/","3/","no"
"4","113107800","4494307/50/711063/50/128/472/1736/1467/4824/1467/","0.0/0.45107667253332767/0.0/0.45107667253332767/0.09773166060453152/1.1499432803717791E-4/1.981461922948237E-15/3.86969052104096E-13/1.0020297844183664E-41/3.86969052104096E-13/","1/3/","no"
"5","113002200","14902303/2364241/2364241/930399/360971/50/50/17994/5996/5996/","0.0/0.0/0.0/0.0/0.0/0.5/0.5/7.860261578707528E-154/1.162365633855388E-51/1.162365633855388E-51/","5/6/","no"
"6","117370000","14902303/2364241/2364241/930399/360971/50/50/17994/5996/5996/","0.0/0.0/0.0/0.0/0.0/0.5/0.5/7.860261578707528E-154/1.162365633855388E-51/1.162365633855388E-51/","5/6/","no"
"7","110992600","2951/8449/941/257/97/102/102/97/97/102/","3.722085785008124E-14/1.6068658770599572E-38/3.007840714517858E-5/0.032318638316919175/0.16538848527215116/0.15716194248648166/0.15716194248648166/0.16538848527215116/0.16538848527215116/0.15716194248648166/","4/5/6/7/8/9/","no"
"8","112009000","22425/2966/2884/947/246/82/55/55/55/55/","7.036675692592266E-175/5.7140592380519266E-24/2.47101819951941E-23/2.599033412801869E-8/0.007099833190573804/0.13277324097510695/0.21503172496099626/0.21503172496099626/0.21503172496099626/0.21503172496099626/","6/7/8/9/","no"
"9","114777800","148646/50/22425/8282/2884/51/50/50/246/50/","0.0/0.19991965563200007/5.8182989581602635E-192/1.5871455983198825E-71/1.471320296963399E-25/0.196037843732141/0.19991965563200007/0.19991965563200007/0.00428353373985859/0.19991965563200007/","1/5/6/7/9/","no"
"0","111931100","50/136/123/136/123/2474/136/136/136/136/","0.38621807685473597/0.07153076708842496/0.09229866030735717/0.07153076708842496/0.09229866030735717/8.81193610545469E-22/0.07153076708842496/0.07153076708842496/0.07153076708842496/0.07153076708842496/","0/","no"
"1","113377000","4494307/50/711063/50/188/513/1467/1839/4824/1839/","0.0/0.4838103867785559/0.0/0.4838103867785559/0.03232402346047407/5.5202981998528965E-5/4.1505060706942497E-13/2.820369496450626E-16/1.0747450424345855E-41/2.820369496450626E-16/","1/3/","no"
"2","111526300","3989/50/50/157/157/168/168/157/97/97/","8.522828093452963E-35/0.29747178003212404/0.29747178003212404/0.036498827900775695/0.036498827900775695/0.029417621726912417/0.029417621726912417/0.036498827900775695/0.11836235638980006/0.11836235638980006/","1/2/","no"
"3","115292100","4494307/50/711063/50/513/1467/4824/4824/14312/4824/","0.0/0.49997147651499474/0.0/0.49997147651499474/5.704696958163471E-5/4.2891486110223997E-13/1.1106455760924709E-41/1.1106455760924709E-41/1.7773407607157512E-122/1.1106455760924709E-41/","1/3/","no"
"4","115348400","1793938/50/278324/50/50/1473/5283/1467/1467/1467/","0.0/0.3333333333329627/0.0/0.3333333333329627/0.3333333333329627/2.5422083589229625E-13/9.138158167912075E-46/2.8595955386060204E-13/2.8595955386060204E-13/2.8595955386060204E-13/","1/3/4/","no"
"5","121525500","5951414/930399/930399/360971/137249/51/17994/5996/1798/1798/","0.0/0.0/0.0/0.0/0.0/0.999999999999995/1.391067782957723E-150/2.2307359931224867E-50/2.5667039055877504E-15/2.5667039055877504E-15/","5/","no"
"6","123295700","48259941/7671210/7671210/1184063/455732/50/68/22128/7304/7304/","0.0/0.0/0.0/0.0/0.0/0.5873306243819909/0.41266937561800915/5.780293258180764E-189/9.928400301270135E-63/9.928400301270135E-63/","5/","no"
"7","120237200","148646/50/22425/8282/2884/246/50/50/50/246/","0.0/0.24735010418687314/7.198676132878245E-192/1.963692003485633E-71/1.8203874331199345E-25/0.005299791626253756/0.24735010418687314/0.24735010418687314/0.24735010418687314/0.005299791626253756/","1/6/7/8/","no"
"8","117755500","101165/15712/15712/50/2111/50/50/50/198/50/","0.0/8.419809596400148E-135/8.419809596400148E-135/0.19782724606268362/5.567749524737993E-19/0.19782724606268362/0.19782724606268362/0.19782724606268362/0.010863769686581889/0.19782724606268362/","3/5/6/7/9/","no"
"9","113455200","373066/246/58441/246/246/246/914/914/50/914/","0.0/0.019734892482123838/0.0/0.019734892482123838/0.019734892482123838/0.019734892482123838/4.044162609050808E-8/4.044162609050808E-8/0.9210603087466265/4.044162609050808E-8/","8/","no"
"0","147225600","78/50/1468/1468/1468/1535/1535/1468/1468/1468/","0.36609189735941866/0.6339081026370946/5.332570311389753E-13/5.332570311389753E-13/5.332570311389753E-13/1.4334840311639723E-13/1.4334840311639723E-13/5.332570311389753E-13/5.332570311389753E-13/5.332570311389753E-13/","1/","no"
"1","165230700","711063/64/41310/14872/4840/400/64/64/64/400/","0.0/0.24929089911151517/6.508375009955323E-277/2.8690756052618557E-100/3.062557027712513E-33/0.0014182017769696002/0.24929089911151517/0.24929089911151517/0.24929089911151517/0.0014182017769696002/","1/6/7/8/","no"
"2","161566200","5922/691/198/50/50/61/60/50/122/122/","1.9187192545359267E-51/6.729772019162879E-7/0.010621365253164363/0.1934131059547979/0.1934131059547979/0.15588866589013267/0.1589754702886359/0.1934131059547979/0.047137253863235626/0.047137253863235626/","3/4/5/6/7/","no"
"3","120195800","4494307/128/711063/109/188/561/4824/1839/14312/1839/","0.0/0.3587264283749797/0.0/0.4263613954544325/0.20791004591219298/0.007002004209190235/1.0335634142943705E-19/6.302460233757386E-8/3.5847922990376856E-57/6.302460233757386E-8/","1/3/","no"
"4","116124400","106872/278324/39911/4824/78/258/137/258/258/258/","0.0/0.0/5.586392823698624E-220/4.308765113294853E-27/0.5308919314786201/0.05438440657872493/0.25157044220648/0.05438440657872493/0.05438440657872493/0.05438440657872493/","4/","no"
"5","129981400","14902303/5996/2364241/5996/360971/2662/5996/1798/631/583/","0.0/4.546139527063204E-5/0.0/4.546139527063204E-5/4.7723500573324584E-269/0.013708448763657238/4.546139527063204E-5/0.0601874823089289/0.44396781313199735/0.4819998716096046/","8/9/","no"
"6","117553400","19280164/3030195/3030195/1184063/455732/50/50/22128/7304/7304/","0.0/0.0/0.0/0.0/0.0/0.5/0.5/4.9208171839013024E-189/8.452139126677698E-63/8.452139126677698E-63/","5/6/","no"
"7","125348200","31465/4027/3944/1321/327/73/73/55/55/68/","6.009708823313189E-245/3.69520933073619E-32/1.6267675852353946E-31/3.575763871892284E-11/0.0018285038786574504/0.17058135963924087/0.17058135963924087/0.23524815529578558/0.23524815529578558/0.18651246621553202/","7/8/","no"
"8","114861300","58686/8449/8282/941/257/51/97/50/54/50/","0.0/6.952557405459357E-73/1.837579436343616E-71/5.985559909658517E-9/0.003997239647238646/0.22697042462182584/0.09209852580473218/0.2314647430576933/0.21400431782525683/0.2314647430576933/","5/7/8/9/","no"
"9","116772000","208227/30903/30484/3854/1199/51/97/50/54/50/","0.0/4.316124002100226E-264/1.5963243102711124E-260/9.396482421404903E-34/3.817904833710637E-11/0.22788132223325352/0.09246814368473273/0.23239367766198052/0.21486317871987357/0.23239367766198052/","5/7/8/9/","no"
"0","105828600","348/83/83/83/78/83/83/83/83/78/","0.003810906958181734/0.10910356702658523/0.10910356702658523/0.10910356702658523/0.11623206192786081/0.10910356702658523/0.10910356702658523/0.10910356702658523/0.10910356702658523/0.11623206192786081/","1/2/3/4/5/6/7/8/9/","no"
