"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","131828800","50/157/157/157/22425/157/22942/148646/1302/157/","0.6197768798161323/0.07604462403407104/0.07604462403407104/0.07604462403407104/1.8037481921056394E-191/0.07604462403407104/7.138747864231416E-196/0.0/1.3512372822888622E-11/0.07604462403407104/","0/","no"
"1","138256300","64/50/64/64/15712/64/101165/40251/234/64/","0.15744164956780232/0.20717517980172617/0.15744164956780232/0.15744164956780232/8.81767098187161E-135/0.15744164956780232/0.0/0.0/0.005616572359262224/0.15744164956780232/","1/","no"
"2","175013100","1560479067/1560479067/589/50/830210/677855/25397/25397/1544/1544/","0.0/0.0/2.5709418342430864E-5/0.9999742905812784/0.0/0.0/1.430972634376216E-216/1.430972634376216E-216/1.8954624621556455E-13/1.8954624621556455E-13/","3/","no"
"3","168910300","535091056/535091056/2037/2037/103535/81915/1399/2050/55/50/","0.0/0.0/6.2991758497092785E-18/6.2991758497092785E-18/0.0/0.0/1.706956859748737E-12/4.881813875240704E-18/0.4755098089418657/0.5244901910564275/","8/9/","no"
"4","134142100","712589/712589/5268/5284/50/78/5268/5351/5335/5284/","0.0/0.0/2.3320609650563263E-45/1.7040826329906906E-45/0.6339081026393049/0.3660918973606951/2.3320609650563263E-45/4.580858947060718E-46/6.268969667345753E-46/1.7040826329906906E-45/","4/","no"
"5","180134200","2147483647/2147483647/50/50/499918262/462722233/25211969/25211969/9345378/9345378/","0.0/0.0/0.5/0.5/0.0/0.0/0.0/0.0/0.0/0.0/","2/3/","no"
"6","155012100","2550689/2550689/51/51/844/64/50/51/50/51/","0.0/0.0/0.1467438566250836/0.1467438566250836/2.5924268691368608E-8/0.11372538447418162/0.1496495815506076/0.1467438566250836/0.1496495815506076/0.1467438566250836/","2/3/6/7/8/9/","no"
"7","154081800","2155485/2155485/50/50/669/64/50/50/50/50/","0.0/0.0/0.14793009021022557/0.14793009021022557/7.923438524461187E-7/0.112418666394794/0.14793009021022557/0.14793009021022557/0.14793009021022557/0.14793009021022557/","2/3/6/7/8/9/","no"
"8","158306100","2147483647/2147483647/89173/89173/2590544/2096973/7907/55/55/50/","0.0/0.0/0.0/0.0/0.0/0.0/4.4045173208527665E-68/0.32226814492234296/0.32226814492234296/0.3554637101553141/","7/8/9/","no"
"9","165613800","2147483647/2147483647/293544/293544/7292492/6368684/31004/1859/50/50/","0.0/0.0/0.0/0.0/0.0/0.0/1.281640501696474E-264/1.9691974462421888E-16/0.49999999999999994/0.49999999999999994/","8/9/","no"
"0","131436700","50/50/914/914/373066/914/914/914/8282/914/","0.4999999341384807/0.4999999341384807/2.195383971026117E-8/2.195383971026117E-8/0.0/2.195383971026117E-8/2.195383971026117E-8/2.195383971026117E-8/3.969458091148782E-71/2.195383971026117E-8/","0/1/","no"
"1","132139000","78/78/78/78/15712/112/15712/15712/78/78/","0.1503700129454342/0.1503700129454342/0.1503700129454342/0.1503700129454342/1.7015041328644293E-87/0.09777992232739471/1.7015041328644293E-87/1.7015041328644293E-87/0.1503700129454342/0.1503700129454342/","0/1/2/3/8/9/","no"
"2","162616300","1560479067/1560479067/2626/2626/875284/677855/7160/2639/1027/482/","0.0/0.0/0.008691292352042666/0.008691292352042666/0.0/0.0/7.28267657668835E-7/0.008460485261592359/0.23814521902845845/0.7360109827382062/","9/","no"
"3","160395600","535091056/535091056/305/305/103535/81915/1399/310/1412/50/","0.0/0.0/0.006608521700694655/0.006608521700694655/0.0/0.0/3.1919928121580533E-12/0.0059913739949188334/2.4737704061366943E-12/0.980791582598026/","9/","no"
"4","134207500","278324/278324/4840/4840/50/61/4824/4840/4981/4840/","0.0/0.0/8.988063333209417E-42/8.988063333209417E-42/0.5537134980256039/0.4462865019743961/1.2300290634407424E-41/8.988063333209417E-42/5.661996742471979E-43/8.988063333209417E-42/","4/5/","no"
"5","167959900","2147483647/2147483647/50/50/510922519/462722233/25211969/25232138/9353445/9345378/","0.0/0.0/0.5/0.5/0.0/0.0/0.0/0.0/0.0/0.0/","2/3/","no"
