"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","99311300","50/51/354/348/952/","0.5035092627860371/0.49373269408500914/0.0012979911434861404/0.0014600414911056369/1.0494361961929514E-8/","0/1/","no"
"1","101965100","69/50/79/68/50/","0.17407627080163207/0.2526594566094938/0.14308160183958263/0.17752321413979774/0.2526594566094938/","1/4/","no"
"2","99249800","15712/5961/54/198/198/","2.000661052153628E-124/1.9844356817137778E-47/0.8726988100615849/0.06365059496920754/0.06365059496920754/","2/","no"
"3","99331800","806/198/79/50/50/","1.3922583621050457E-7/0.02095035109889965/0.2160454362253875/0.3815020367249383/0.3815020367249383/","3/4/","no"
"4","95531600","15712/15712/5922/2111/50/","4.256142550623307E-134/4.256142550623307E-134/9.920316645886167E-51/2.8144503022469383E-18/1.0/","4/","no"
"0","96988600","50/157/157/157/168/","0.6816714058421612/0.08363888273377074/0.08363888273377074/0.08363888273377074/0.06741194595652653/","0/","no"
"1","98650000","160/157/529/50/1468/","0.0934118013418341/0.09907144131810358/6.732144618119745E-5/0.807449435893202/6.792437061271489E-13/","3/","no"
"2","97595800","15712/5922/93/93/50/","2.287367530669696E-134/5.3314497622827485E-51/0.23128631108294137/0.23128631108294137/0.5374273778341173/","4/","no"
"3","97492700","5922/2111/717/50/50/","4.960153140023E-51/1.4072236806995385E-18/1.044910211739132E-6/0.4999994775448941/0.4999994775448941/","3/4/","no"
"4","94536400","15809/15712/5922/2111/50/","6.353383808468554E-135/4.256142550623307E-134/9.920316645886167E-51/2.8144503022469383E-18/1.0/","4/","no"
"0","98488700","50/182/170/157/203/","0.744753880198171/0.055970149699070125/0.07081795889032451/0.09137889886177608/0.037079112350658285/","0/","no"
"1","95935000","968/123/72/50/68/","5.877541397941949E-9/0.09222723135568504/0.2506996070832469/0.38591918679225085/0.2711539688912759/","3/","no"
"2","94518400","40251/40251/50/272/806/","0.0/0.0/0.9872942417805969/0.012705397914992627/3.6030441037153785E-7/","2/","no"
