"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","101644000","50/4494307/16776/215/16776/4824/215/16776/4824/215/","0.8944176698335722/0.0/3.3111698757311785E-143/0.0351941100554759/3.3111698757311785E-143/1.9868754015806352E-41/0.0351941100554759/3.3111698757311785E-143/1.9868754015806352E-41/0.0351941100554759/","0/","no"
"1","112096400","1308/68/373066/373066/111/373066/215/111/215/373066/","6.786861135041797E-9/0.43289382577349483/0.0/0.0/0.23213151500423904/0.0/0.05142156871558309/0.23213151500423904/0.05142156871558309/0.0/","1/","no"
"2","107940900","15809/101165/79/156/83/101165/868/156/156/15809/","1.3058502614921058E-86/0.0/0.322883524033569/0.1233211158615372/0.3071363087472143/0.0/1.6819634604918795E-5/0.1233211158615372/0.1233211158615372/1.3058502614921058E-86/","2/4/","no"
"3","104562700","2319/711063/6483/50/6483/4494307/2319/158/6483/128/","3.564751467298415E-20/0.0/1.23925918304621E-55/0.7479557618590602/1.23925918304621E-55/0.0/3.564751467298415E-20/0.08998984003900147/1.23925918304621E-55/0.16205439810193817/","3/","no"
"4","103673200","4494307/732/248/16776/50/4494307/248/732/16776/4494307/","0.0/1.495678948664243E-6/0.019786918735988545/3.555524873434653E-143/0.9604231711701255/0.0/0.019786918735988545/1.495678948664243E-6/3.555524873434653E-143/0.0/","4/","no"
"5","103351500","83/373066/8282/373066/373066/78/373066/373066/83/373066/","0.32622840964123523/0.0/2.7564583557088004E-46/0.0/0.0/0.34754318071752943/0.0/0.0/0.32622840964123523/0.0/","0/5/8/","no"
"6","113228600","197/1317511/1287/154/1287/1317511/50/4773/4773/197/","0.04508589877772473/0.0/2.3553780756981542E-11/0.10476364227504065/2.3553780756981542E-11/0.0/0.8050645601224022/4.861333921181332E-41/4.861333921181332E-41/0.04508589877772473/","6/","no"
"7","105300900","4494307/227/2502/1851/233/4494307/4494307/50/2502/1851/","0.0/0.029373180668205042/1.2445457109004694E-21/4.3516321858699784E-16/0.02611304445497432/0.0/0.0/0.9445137748768198/1.2445457109004694E-21/4.3516321858699784E-16/","7/","no"
"8","106021200","223/4494307/597/2502/2502/122/4494307/2502/50/4494307/","0.026332251332420467/0.0/1.720528183245568E-5/1.0315387695242687E-21/1.0315387695242687E-21/0.19079253455438233/0.0/1.0315387695242687E-21/0.7828580088313647/0.0/","8/","no"
"9","106698100","215/711063/16776/188/16776/4494307/215/4824/16776/50/","0.034350357453152854/0.0/3.23178704164394E-143/0.05832461340089682/3.23178704164394E-143/0.0/0.034350357453152854/1.9392415421668647E-41/3.23178704164394E-143/0.8729746716927975/","9/","no"
"0","109851000","50/4494307/16776/778/16776/128/778/16776/229/778/","0.8022026871068461/0.0/2.969786332903114E-143/5.069244897247263E-7/2.969786332903114E-143/0.17380770393657827/5.069244897247263E-7/2.969786332903114E-143/0.023988088183106427/5.069244897247263E-7/","0/","no"
"1","105799300","373066/246/373066/3186/93/373066/373066/69/373066/22523/","0.0/0.04457800679937256/0.0/2.5630224259082267E-20/0.39661058378506886/0.0/0.0/0.5588114094155586/0.0/2.741598689681026E-140/","7/","no"
"2","101918600","101165/101165/223/101165/753/331/2268/101165/103/101165/","0.0/0.0/0.2207270507596559/0.0/0.0013509026891228807/0.07813712806964289/6.369754865929358E-10/0.0/0.6997849178446028/0.0/","8/","no"
"3","105220200","186/711063/6483/50/6483/4494307/186/5283/6483/364/","0.06089239885487216/0.0/1.4520044102690356E-55/0.8763582951517216/1.4520044102690356E-55/0.0/0.06089239885487216/2.402490213860133E-45/1.4520044102690356E-55/0.001856907138533962/","3/","no"
"4","106738000","4494307/156/14312/43203/50/4494307/14312/156/43203/4494307/","0.0/0.10008083802161331/2.843332713817941E-122/0.0/0.7998383239567732/0.0/2.843332713817941E-122/0.10008083802161331/0.0/0.0/","4/","no"
"5","106126600","109/373066/1308/404/1308/109/512/1308/109/512/","0.32053622360291945/0.0/5.916532619386529E-6/0.021937052679014878/5.916532619386529E-6/0.32053622360291945/0.008218263457184275/5.916532619386529E-6/0.32053622360291945/0.008218263457184275/","0/5/8/","no"
"6","109221400","197/1317511/1287/154/1287/1317511/50/4773/4773/197/","0.04508589877772473/0.0/2.3553780756981542E-11/0.10476364227504065/2.3553780756981542E-11/0.0/0.8050645601224022/4.861333921181332E-41/4.861333921181332E-41/0.04508589877772473/","6/","no"
"7","107219000","4494307/781/2502/223/794/4494307/4494307/50/2502/223/","0.0/5.582604213004167E-7/1.2346019804026388E-21/0.03151587764215534/4.326476249790493E-7/0.0/0.0/0.936967253807643/1.2346019804026388E-21/0.03151587764215534/","7/","no"
"8","104964700","1920/4494307/597/2502/2502/1920/4494307/2502/50/4494307/","1.190856556953658E-16/0.0/2.1977042474061438E-5/1.317628596394823E-21/1.317628596394823E-21/1.190856556953658E-16/0.0/1.317628596394823E-21/0.9999780229575257/0.0/","8/","no"
"9","107733800","265/711063/6483/128/6483/4494307/265/1651/6483/50/","0.01184588027754341/0.0/1.3295444429627227E-55/0.1738607447107911/1.3295444429627227E-55/0.0/0.01184588027754341/1.8662770907922005E-14/1.3295444429627227E-55/0.8024474947341035/","9/","no"
"0","105210800","54/4494307/6483/230/6483/1494/290/6483/1494/290/","0.9362005993320348/0.0/1.6080224656685582E-51/0.038161599794641114/1.6080224656685582E-51/3.9879504377216065E-12/0.012818900432674113/1.6080224656685582E-51/3.9879504377216065E-12/0.012818900432674113/","0/","no"
"1","104471800","373066/152/373066/186/428/373066/373066/428/373066/186/","0.0/0.34120625140724375/0.0/0.27321660761081584/0.05618026668556238/0.0/0.0/0.05618026668556238/0.0/0.27321660761081584/","1/3/9/","no"
"2","108442500","101165/101165/50/356/244/137/244/356/137/101165/","0.0/0.0/0.7078402856502916/0.001754560648787797/0.015772957363636295/0.12855233916243017/0.015772957363636295/0.001754560648787797/0.12855233916243017/0.0/","2/","no"
