"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","123332700","50/153196043/1517427/1923/153196043/403/1923/153196043/24409196/675/89886/78072/","0.9990099378580984/0.0/0.0/1.1217396500813647E-16/0.0/9.8530513796637E-4/1.1217396500813647E-16/0.0/0.0/4.757003934766824E-6/0.0/0.0/","0/","no"
"1","131207900","478056859/50/16768/6052/128/478056859/6544/50/17698/15536/5134/15647/","0.0/0.45112854975811556/1.9537366742925095E-143/3.497846098100358E-52/0.09774290048376891/0.0/2.2601449015585776E-56/0.45112854975811556/2.3516810396722275E-151/6.054220289142038E-133/2.296684668484015E-44/6.867980488257467E-134/","1/7/","no"
"2","115612500","6128/356/209/6128/101165/697/146/101165/209/356/356/356/","6.46149280986486E-19/0.07295224221050695/0.19830475434616396/6.46149280986486E-19/1.0827264307427895E-299/0.007171229509406523/0.3044102929562376/1.0827264307427895E-299/0.19830475434616396/0.07295224221050695/0.07295224221050695/0.07295224221050695/","6/","no"
"3","122595500","743/32368/12063026/50/12063026/6259/681/12063026/76233608/32368/111310/115515/","1.2551684359271329E-6/6.216491426007133E-276/0.0/0.9999945116407003/0.0/1.3389776849279244E-53/4.233190863683258E-6/0.0/0.0/6.216491426007133E-276/0.0/0.0/","3/","no"
"4","123067800","478056859/128/15536/6544/50/478056859/6052/128/17698/16768/5134/15647/","0.0/0.15116104425161364/9.362953795176026E-133/3.4953522126784894E-56/0.6976779114967727/0.0/5.409477989739869E-52/0.15116104425161364/3.6369143942337316E-151/3.0214867209488274E-143/3.5518615785538853E-44/1.0621447669000816E-133/","4/","no"
"5","124682500","10169/153196043/572115/4838/153196043/50/89886/153196043/571505/859/92335/85443/","6.77431500586115E-87/0.0/0.0/1.688154199621115E-41/0.0/0.9999998709086092/0.0/0.0/0.0/1.2909139086151545E-7/0.0/0.0/","5/","no"
"6","121687400","743/1864415/4713220/2267/40600/972/687/12063026/76233608/841/33086/1078/","0.2276569457877207/0.0/0.0/0.02484666636057036/1.5771366632279165E-26/0.16320238149608474/0.2469621833278561/0.0/0.0/0.1974327483497827/8.73014710666369E-22/0.1398990746779855/","0/6/","no"
"7","121513400","478056859/50/16768/6052/128/478056859/6544/50/17698/15536/5134/15647/","0.0/0.45112854975811556/1.9537366742925095E-143/3.497846098100358E-52/0.09774290048376891/0.0/2.2601449015585776E-56/0.45112854975811556/2.3516810396722275E-151/6.054220289142038E-133/2.296684668484015E-44/6.867980488257467E-134/","1/7/","no"
"8","117147600","148646/373066/8881/373066/373066/8842/58686/373066/122/373066/373066/22942/","0.0/0.0/1.183830975384316E-31/0.0/0.0/1.6255219102039025E-31/1.657040117300637E-207/0.0/1.0/0.0/0.0/2.6669546687594228E-81/","8/","no"
"9","124300200","282/2994/520/2994/5951414/56884/273/5951414/521/50/521/478/","0.010332505392880763/8.316831391821821E-26/9.716236077561589E-5/8.316831391821821E-26/0.0/0.0/0.012326672093875066/0.0/9.527577285065744E-5/0.9768317214933903/9.527577285065744E-5/2.2138711337691574E-4/","9/","no"
