"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","101774600","1468/241/64/10317/239/182/","3.2105283516400955E-10/0.050666398788182014/0.7715024659976428/2.4120921122912137E-69/0.052249596893491825/0.12558153799963062/","2/","no"
"1","116495900","40251/50/354/2111/112/354/","0.0/0.7682484523423476/0.0019804594688480363/2.162197088895663E-18/0.22779062871995626/0.0019804594688480363/","1/","no"
"2","107618400","82/356/50/40251/2111/82/","0.2578999333274889/0.0011972444621545471/0.4830028888828675/0.0/1.3593876266025308E-18/0.2578999333274889/","2/","no"
"3","101646800","1468/571/108/50/108/108/","4.2872841721305256E-13/1.8649011006146048E-5/0.16344380142655138/0.509649946708911/0.16344380142655138/0.16344380142655138/","3/","no"
"4","104096100","112/156/79/40251/50/691/","0.14915273587790656/0.06294276087628897/0.2848690717806111/0.0/0.5030336811691235/1.7502960699155715E-6/","4/","no"
"5","101990000","868/2351/2178/40251/2335/50/","1.0820743100399851E-7/2.5448066963882882E-20/7.565712016208872E-19/0.0/3.48260362811496E-20/0.9999998917925691/","5/","no"
"0","99991700","50/241/55/3989/216/55/","0.34777230449472396/0.00821901135716582/0.31529501387332376/9.96398235339308E-35/0.013418656401462553/0.31529501387332376/","0/2/5/","no"
"1","101442200","40251/50/354/2111/354/354/","0.0/0.9923256827065308/0.0025581057644896883/2.792851317620795E-18/0.0025581057644896883/0.0025581057644896883/","1/","no"
"2","102923000","280/356/50/155/2111/280/","0.009548450497575972/0.0021515377334192427/0.8679922719474191/0.11075928932400975/2.4429211121304205E-18/0.009548450497575972/","2/","no"
"3","102714600","529/3989/529/60/112/112/","2.47109406750984E-4/5.742971988245326E-29/2.47109406750984E-4/0.539477183599578/0.23001429879346/0.23001429879346/","3/","no"
"4","99519700","40251/156/122/40251/50/691/","0.0/0.09141031380198811/0.17804297989562226/0.0/0.7305441643879459/2.5419144436932433E-6/","4/","no"
"5","97418200","868/2351/2178/40251/2335/198/","0.03334532919136005/1.9344568468509136E-5/4.614360652147051E-5/3.751395858852463E-88/2.0964146955657127E-5/0.9665682184866943/","5/","no"
"0","100222400","50/83/64/102/239/182/","0.36443208939994903/0.19081061638578292/0.27694818156055356/0.13146391184215742/0.008957201713878656/0.027387999097678483/","0/","no"
"1","101370400","112/50/112/50/354/354/","0.1141213270226777/0.3848864782414386/0.1141213270226777/0.3848864782414386/9.921947358836401E-4/9.921947358836401E-4/","1/3/","no"
"2","103991900","280/356/50/155/2111/280/","0.009548450497575972/0.0021515377334192427/0.8679922719474191/0.11075928932400975/2.4429211121304205E-18/0.009548450497575972/","2/","no"
"3","100534300","565/1484/108/50/108/108/","2.0977235922484205E-5/3.1327952398464315E-13/0.16344342088554262/0.5096487601071362/0.16344342088554262/0.16344342088554262/","3/","no"
"4","104262200","112/156/79/40251/50/691/","0.14915273587790656/0.06294276087628897/0.2848690717806111/0.0/0.5030336811691235/1.7502960699155715E-6/","4/","no"
"5","100338800","868/2351/2178/40251/2335/50/","1.0820743100399851E-7/2.5448066963882882E-20/7.565712016208872E-19/0.0/3.48260362811496E-20/0.9999998917925691/","5/","no"
"0","100881000","50/241/61/1468/231/185/","0.5183405567409631/0.012250104070027412/0.41777633148594245/4.360391439338496E-13/0.014903750070069026/0.036729257632561615/","0/2/","no"
"1","100753900","40251/50/354/2111/112/354/","0.0/0.7682484523423476/0.0019804594688480363/2.162197088895663E-18/0.22779062871995626/0.0019804594688480363/","1/","no"
"2","101253300","280/356/50/155/2111/280/","0.009548450497575972/0.0021515377334192427/0.8679922719474191/0.11075928932400975/2.4429211121304205E-18/0.009548450497575972/","2/","no"
"3","106492800","565/1484/108/50/108/108/","2.0977235922484205E-5/3.1327952398464315E-13/0.16344342088554262/0.5096487601071362/0.16344342088554262/0.16344342088554262/","3/","no"
"4","100420600","40251/156/122/40251/50/691/","0.0/0.09141031380198811/0.17804297989562226/0.0/0.7305441643879459/2.5419144436932433E-6/","4/","no"
"5","98786500","868/2351/2178/40251/2335/50/","1.0820743100399851E-7/2.5448066963882882E-20/7.565712016208872E-19/0.0/3.48260362811496E-20/0.9999998917925691/","5/","no"
"0","98618600","50/241/61/1468/231/61/","0.37532432207013455/0.008870156783177072/0.30250694519794175/3.1573083364726916E-13/0.010791630750489022/0.30250694519794175/","0/2/5/","no"
