"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","106564900","22425/373066/373066/373066/373066/373066/","0.9999991898372298/1.6203255407883495E-7/1.6203255407883495E-7/1.6203255407883495E-7/1.6203255407883495E-7/1.6203255407883495E-7/","0/","no"
"1","116960100","101165/198/2111/5922/5922/2111/","4.478609258893468E-221/0.9998663186842919/6.684065753184613E-5/3.2208761640920517E-13/3.2208761640920517E-13/6.684065753184613E-5/","1/","no"
"2","106678700","373066/1029/1098/8282/22425/22425/","7.006295399157399E-158/0.5165078812175878/0.4830403816569917/4.517361423427821E-4/4.915387861460526E-10/4.915387861460526E-10/","1/2/","no"
"3","102896600","101165/15712/318/198/5922/5922/","2.8951173281556325E-221/8.973346134436881E-35/0.3536541953697603/0.6463458046298233/2.082078130837033E-13/2.082078130837033E-13/","3/","no"
"4","102361000","208227/31001/1475/11283/50/157/","0.0/2.4214777245733792E-264/6.53188855048745E-13/1.96901484933739E-96/0.8907124548268535/0.10928754517249338/","4/","no"
"5","110807300","1317511/4246/1625/483/181/50/","0.0/1.723775625822627E-36/3.595927061646383E-14/1.9080995868267273E-4/0.07117141766097865/0.9286377723803028/","5/","no"
"0","98495500","499/373066/373066/373066/512/373066/","0.5064996338580845/0.0/0.0/0.0/0.49350036614191545/0.0/","0/4/","no"
"1","107626600","373066/50/2951/8449/8449/2951/","0.0/1.0/1.9783721966512672E-25/3.0037219982683975E-72/3.0037219982683975E-72/1.9783721966512672E-25/","1/","no"
"2","103904200","373066/122/50/1098/22425/22425/","0.0/0.19595586493314038/0.8040441341097668/9.570928320610322E-10/2.3400246128960008E-191/2.3400246128960008E-191/","2/","no"
"3","111430500","101165/6089/2178/209/2178/2178/","1.6440672024892555E-209/6.912643245080247E-13/8.46957956338343E-5/0.9997459126124071/8.46957956338343E-5/8.46957956338343E-5/","3/","no"
"4","112167600","4773/207616/1740/80624/111/192/","5.63261377362507E-19/0.0/3.2475784279934574E-7/4.2525529822E-313/0.6733142129433092/0.32668546229884804/","4/","no"
"5","112424700","1317511/31465/1557/455/167/50/","0.0/2.7621426667977367E-268/1.3339981259132587E-13/3.230890652196397E-4/0.09158170947064669/0.9080952014640004/","5/","no"
"0","96543600","246/373066/373066/373066/373066/373066/","1.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","103864900","101165/201/201/2127/2127/2127/","4.2567777026414213E-218/0.4999457790929784/0.4999457790929784/3.614727134766479E-5/3.614727134766479E-5/3.614727134766479E-5/","1/2/","no"
"2","103409100","373066/3171/50/8282/22425/1029/","0.0/2.647773438304048E-27/0.999999995394794/7.938917191475515E-71/2.910318604227575E-191/4.605205992065794E-9/","2/","no"
"3","139717200","101165/2111/691/50/5922/691/","0.0/2.814430716731268E-18/3.479456655246302E-6/0.9999930410866894/9.920247611262614E-51/3.479456655246302E-6/","3/","no"
"4","103315800","81915/31884/1531/11636/50/210/","0.0/7.8819910923573E-272/2.3441062713358275E-13/2.089588807536478E-99/0.9584035817971804/0.04159641820258512/","4/","no"
"5","101603100","1317511/11076/1505/435/167/60/","0.0/3.1664731875159386E-79/4.386235885704096E-11/0.0018198867841900503/0.14726253048973167/0.850917582682216/","5/","no"
"0","99118600","1098/373066/373066/373066/373066/373066/","1.0/1.0197832531414193E-147/1.0197832531414193E-147/1.0197832531414193E-147/1.0197832531414193E-147/1.0197832531414193E-147/","0/","no"
"1","99591900","101165/691/691/5922/5922/5922/","4.3836230283356535E-64/0.49960935534503953/0.49960935534503953/2.6042976997367137E-4/2.6042976997367137E-4/2.6042976997367137E-4/","1/2/","no"
"2","105306500","101165/753/198/5922/2268/223/","2.3047605479806627E-221/0.03163743551031438/0.5145464387146778/1.657511938151251E-13/1.5627482137784732E-5/0.4538004982927043/","2/5/","no"
"3","103771500","101165/2111/691/50/5922/691/","0.0/2.814430716731268E-18/3.479456655246302E-6/0.9999930410866894/9.920247611262614E-51/3.479456655246302E-6/","3/","no"
"4","103483800","525508/31001/1475/11283/51/157/","0.0/2.8714329951176086E-259/1.1319995075560699E-12/1.3779247388583728E-94/0.8847765191889254/0.11522348080994255/","4/","no"
"5","105572300","1317511/3803/1448/412/181/51/","0.0/4.259256992211015E-32/1.9854675117015165E-12/8.919595408756174E-4/0.07579051759366952/0.9233175228634694/","5/","no"
"0","105679100","1098/373066/373066/373066/3410/373066/","0.8912652511735274/9.088973772536439E-148/9.088973772536439E-148/9.088973772536439E-148/0.10873474882647259/9.088973772536439E-148/","0/","no"
"1","106774500","101165/223/97/717/2178/2111/","0.0/0.2162761068121957/0.7823249171928887/0.0013989745964254096/4.691122640497334E-10/9.293780306516587E-10/","2/","no"
"2","104276900","101165/223/198/5922/2268/2268/","2.3800211189057044E-221/0.4686190809075019/0.5313486435159718/1.7116369946086922E-13/1.613778817753409E-5/1.613778817753409E-5/","1/2/","no"
"3","106078300","101165/15712/5922/691/5922/5922/","8.760401645241049E-64/3.734600873830935E-10/5.204529154536614E-4/0.9984386408801791/5.204529154536614E-4/5.204529154536614E-4/","3/","no"
"4","101539300","525508/31563/1511/11508/51/153/","0.0/5.759630894594063E-264/5.613037256222209E-13/1.8033655911830742E-96/0.8766993528329977/0.123300647166441/","4/","no"
"5","111630000","1317511/11115/1448/412/158/51/","0.0/3.4907043302555316E-93/1.9051431517060438E-12/8.558742970524687E-4/0.11318046970243809/0.8859636559986044/","5/","no"
"0","105272600","246/373066/373066/373066/373066/373066/","1.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","105767400","101165/697/697/2127/2127/2127/","1.2917335981715106E-63/0.41898803432082876/0.41898803432082876/0.05400797711944754/0.05400797711944754/0.05400797711944754/","1/2/","no"
"2","101804100","101165/15712/50/2111/5922/5922/","0.0/4.256142550623307E-134/1.0/2.8144503022469383E-18/9.920316645886167E-51/9.920316645886167E-51/","2/","no"
"3","102255800","373066/58441/22844/977/8674/8674/","5.866519715863827E-166/3.033759268529907E-26/1.946808872676496E-10/0.9992366236374964/3.8168808391134975E-4/3.8168808391134975E-4/","3/","no"
"4","102958100","81915/207616/1688/31465/50/167/","0.0/0.0/1.0227154808124681E-14/2.76303537331401E-268/0.9083886919174399/0.0916113080825499/","4/","no"
"5","101926400","1317511/3944/1505/435/200/50/","0.0/6.573163506177972E-34/3.866066892051788E-13/4.999630467508418E-4/0.050130121123751446/0.9493699158291111/","5/","no"
"0","106484600","246/373066/373066/373066/373066/373066/","1.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","113621000","101165/50/272/2111/5922/5922/","0.0/0.9872945975071947/0.012705402492805181/2.7786915783608937E-18/9.794275030044107E-51/9.794275030044107E-51/","1/","no"
"2","102866800","101165/2111/50/691/5922/691/","0.0/2.814430716731268E-18/0.9999930410866894/3.479456655246302E-6/9.920247611262614E-51/3.479456655246302E-6/","2/","no"
"3","103699800","101165/2111/691/318/5922/691/","3.1160293562696903E-138/0.0022292798096107385/0.19115588295045327/0.6154589398425709/1.444691174999571E-8/0.19115588295045327/","3/","no"
"4","117428200","525508/31563/1511/11508/51/201/","0.0/6.2220132911141955E-264/6.063651135095039E-13/1.9481395392212746E-96/0.9470806594148219/0.052919340584571845/","4/","no"
"5","152456600","1317511/11076/1505/435/167/68/","0.0/4.166782133863035E-70/7.258574177585029E-10/0.003940604512581987/0.19159659848024818/0.8044627962813125/","5/","no"
"0","108883100","914/373066/373066/373066/58686/373066/","1.0/2.302658194181963E-177/2.302658194181963E-177/2.302658194181963E-177/3.7946219562935655E-28/2.302658194181963E-177/","0/","no"
"1","105905500","101165/50/691/5922/5922/5922/","0.0/0.999996520531238/3.4794687619070422E-6/9.920282128454289E-51/9.920282128454289E-51/9.920282128454289E-51/","1/","no"
"2","119396200","373066/2951/941/8449/8449/8449/","2.4465109315941514E-172/0.10576072292486835/0.8933131339990266/3.087143587017702E-4/3.087143587017702E-4/3.087143587017702E-4/","2/","no"
"3","110716600","373066/58441/3171/79/22425/22425/","0.0/1.4836035E-317/1.638771016780686E-17/1.0/4.905619306410485E-122/4.905619306410485E-122/","3/","no"
"4","106399200","525508/80868/1632/30582/51/158/","0.0/0.0/5.5407066085910694E-14/9.08791322013745E-256/0.8867225790642818/0.11327742093566284/","4/","no"
"5","102798600","1317511/11076/1625/483/167/50/","0.0/1.1625905651900404E-94/3.5168609341168484E-14/1.8661448856649026E-4/0.09159421208514289/0.9082191734262555/","5/","no"
"0","111163500","354/373066/373066/373066/373066/373066/","1.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","113431000","101165/697/697/2127/2127/2127/","1.2917335981715106E-63/0.41898803432082876/0.41898803432082876/0.05400797711944754/0.05400797711944754/0.05400797711944754/","1/2/","no"
"2","101921100","373066/2951/54/941/8449/941/","0.0/1.3320640652056632E-23/0.9999998018270585/9.908647081691929E-8/5.138891506856634E-67/9.908647081691929E-8/","2/","no"
"3","111729900","101165/2111/272/806/5922/272/","1.4663107651584683E-161/5.540334055620701E-4/0.4667218365188434/0.0660022930771146/4.796365271906465E-10/0.4667218365188434/","2/5/","no"
"4","112797600","31982/207616/1619/12187/50/200/","1.1434403431234824E-272/0.0/4.137239370543764E-14/4.2080562454481765E-104/0.949844803131153/0.05015519686880568/","4/","no"
