"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","112569200","338/302/3787/338/11076/703/3787/1317511/","0.29188672326681747/0.32871058217464605/3.3243786622132196E-6/0.29188672326681747/1.1865240988002712E-16/0.0875093225343944/3.3243786622132196E-6/0.0/","0/1/3/","no"
"1","124715900","64/50/1798/64/137249/437/50724/395/","0.3013800140080574/0.39658158284143796/5.165377471066582E-16/0.3013800140080574/0.0/2.0081854964393582E-4/0.0/4.575705928027152E-4/","1/","no"
"2","121002900","289/229/883/14902303/137249/1032/17994/14902303/","0.41439178760463025/0.537904716936087/0.031318318362150356/0.0/1.0103883987031092E-259/0.016385177097132355/1.5352433250781039E-34/0.0/","1/","no"
"3","143681600","1467/1467/14312/1467/39911/2496/14312/4494307/","0.28600610432212564/0.28600610432212564/4.5320906282077806E-5/0.28600610432212564/1.2107840102494913E-12/0.14189104521984805/4.5320906282077806E-5/0.0/","0/1/3/","no"
"4","111800300","2147483647/2147483647/2147483647/61193105/1131/9909390/2147483647/2147483647/","0.0/0.0/0.0/0.0/1.0/0.0/0.0/0.0/","4/","no"
"5","119157900","505/14902303/3292/360971/137249/188/515/14902303/","0.13699982120635254/0.0/5.402562292825036E-8/0.0/8.2969354E-316/0.7330605454608647/0.12993957930715988/0.0/","5/","no"
"6","119321000","6966/1887/1887/14902303/18554/501/64/14902303/","7.657471802890385E-47/6.594594208457581E-13/6.594594208457581E-13/0.0/2.8800595212928907E-124/0.0012013864288195138/0.9987986135698615/0.0/","6/","no"
"7","119260700","2198/22128/3030195/3030195/48259941/22128/48259941/7304/","0.9104877507205135/1.0548040219277561E-4/0.0/0.0/0.0/1.0548040219277561E-4/0.0/0.08930128847510109/","0/","no"
"0","118362000","188/4494307/711063/6243/14312/278324/711063/4494307/","0.9999999999999878/0.0/0.0/1.2203702116434007E-14/3.508362269289382E-33/0.0/0.0/0.0/","0/","no"
"1","116170500","64/50/710/1557/39911/210/14312/4494307/","0.4214074305755366/0.5545239168856155/1.329348199574763E-6/8.145994656803791E-14/0.0/0.024067323190566852/1.971268375433012E-122/0.0/","1/","no"
"2","119831400","276/470/64/14902303/18554/375/1887/14902303/","0.03655205475684666/0.0018480333464968278/0.9536301032818487/0.0/2.749815049233951E-124/0.00796980861417826/6.296367927100061E-13/0.0/","2/","no"
"3","115580000","380/14902303/2364241/5996/17994/487/2364241/14902303/","0.5697519945859343/0.0/0.0/2.260043499329516E-7/4.7624474878203565E-21/0.43024777940971565/0.0/0.0/","0/","no"
"4","117200600","1174886586/1174886586/1174886586/1174886586/5782/185567111/1174886586/2147483647/","0.0/0.0/0.0/0.0/1.0/0.0/0.0/0.0/","4/","no"
"5","125151300","394/394/21934/217/137249/50/3292/521/","0.0011310669141609514/0.0011310669141609514/4.245575125104734E-187/0.03637019404877813/0.0/0.9612739137886422/2.37324750430328E-28/9.375833425778941E-5/","5/","no"
"6","124071200","583/568/62940/48259941/455732/568/2165/48259941/","0.3209815289919795/0.32955577724633794/8.164440427766623E-49/0.0/0.0/0.32955577724633794/0.019906916515344663/0.0/","0/1/5/","no"
"7","116135700","2198/22128/3030195/3030195/48259941/22128/48259941/7304/","0.9104877507205135/1.0548040219277561E-4/0.0/0.0/0.0/1.0548040219277561E-4/0.0/0.08930128847510109/","0/","no"
"0","129316600","50/4494307/390/278324/14312/380/711063/4494307/","0.9971869868721519/0.0/0.0012690538657496968/0.0/3.544884380559345E-122/0.0015439592620984212/0.0/0.0/","0/","no"
"1","116791500","50/50/364/65/39911/390/14312/395/","0.363671523668708/0.363671523668708/7.705800836460764E-4/0.2710039525041745/0.0/4.6282067360554815E-4/1.292810195960474E-122/4.1959940115799554E-4/","0/1/","no"
"2","118932300","303/229/883/429/137249/1032/17994/14902303/","0.32466774249570723/0.44788721972861273/0.026077247691184982/0.1877246462641601/8.413015102727771E-260/0.013643143820334871/1.278322801095355E-34/0.0/","1/","no"
"3","126552400","364/4494307/711063/278324/14312/937/711063/4494307/","0.8277640789089534/0.0/0.0/0.0/2.0984959140556445E-17/0.17223592109104655/0.0/0.0/","0/","no"
"4","117264500","463537580/2147483647/2147483647/2147483647/5782/73033324/2147483647/2147483647/","0.0/0.0/0.0/0.0/1.0/0.0/0.0/0.0/","4/","no"
"5","114334500","5951414/14902303/3230/53500/19104/78/505/14902303/","0.0/0.0/4.680073399863749E-18/2.0702834615400045E-294/2.5383341597680807E-105/0.9955263336511612/0.004473666348838801/0.0/","5/","no"
"6","119172600","1109/1275/62940/1424/455732/1120/7304/1689/","0.23804108602406004/0.20497617227463916/1.5306794646884726E-25/0.17922813746916705/3.1808529554406084E-179/0.23569377036015443/8.970552792995916E-4/0.14116377859267965/","0/1/5/","no"
"7","119127000","157/2806/3030195/3030195/48259941/2806/48259941/511/","0.9038283932253739/4.729134439661055E-8/0.0/0.0/0.0/4.729134439661055E-8/0.0/0.0961715121919373/","0/","no"
"0","117340800","64/1467/14312/1557/39911/390/14312/4494307/","0.9934086539877812/4.1980594401688375E-10/6.306341803557831E-96/1.0512784509328947E-10/5.77095416718206E-267/0.006591345487284881/6.306341803557831E-96/0.0/","0/","no"
"1","120016400","152/152/276/690/137249/291/5996/14902303/","0.3475248179614745/0.3475248179614745/0.15452850299221402/0.010324257379613698/0.0/0.14009760370522323/8.966846420072344E-18/0.0/","0/1/","no"
"2","120997900","938466/930399/50/17994/14902303/930399/18201/930399/","0.0/0.0/1.0/1.5720523157415056E-153/0.0/0.0/2.714828081808112E-155/0.0/","2/","no"
"3","120072000","1798/14902303/515/930399/50724/505/2364241/14902303/","0.03773686237685088/0.0/0.47637745903103723/0.0/3.8379048534874157E-44/0.48588567859211196/0.0/0.0/","2/5/","no"
"4","130290300","1174886586/1174886586/1174886586/1174886586/5782/185567111/1174886586/2147483647/","0.0/0.0/0.0/0.0/1.0/0.0/0.0/0.0/","4/","no"
"5","120600400","97/215/2428/79/137249/408/2364241/395/","0.3959281063700518/0.0905799281767659/8.777298462801909E-14/0.49582976158604475/0.0/0.00811514967634923/0.0/0.009547054190700491/","3/","no"
"6","116542500","7128/2250/2250/7128/20823/520/122/14902303/","1.762444162136857E-25/2.948485293372725E-8/2.948485293372725E-8/1.762444162136857E-25/7.782734201407508E-74/0.03784151438199454/0.9621584266482996/0.0/","6/","no"
"7","112997500","2198/22128/3030195/3030195/48259941/22128/48259941/7304/","0.9104877507205135/1.0548040219277561E-4/0.0/0.0/0.0/1.0548040219277561E-4/0.0/0.08930128847510109/","0/","no"
"0","115454300","364/4494307/711063/278324/14312/279/711063/4494307/","0.4246846507737783/0.0/0.0/0.0/9.862730338925251E-23/0.5753153492262217/0.0/0.0/","5/","no"
"1","115234000","291/276/1798/1887/137249/437/50724/14902303/","0.37686691511169973/0.39783754332714993/0.0016346993470028582/0.0011854936413536975/7.023796797357825E-216/0.22247534857279372/3.1974455250412563E-80/0.0/","0/1/","no"
"2","128924000","1275/511/171809/1122/455732/1109/171809/1122/","0.104972353313718/0.46679235075158476/2.337650959879314E-146/0.14153190075608696/0.0/0.14517149442252356/2.337650959879314E-146/0.14153190075608696/","1/","no"
"3","114310400","505/14902303/2364241/5996/17994/361/2364241/14902303/","0.40184337673429216/0.0/0.0/1.0386216392932241E-7/4.1913566877134992E-22/0.5981565194035439/0.0/0.0/","5/","no"
"4","118412700","463537580/2147483647/2147483647/2147483647/5782/73033324/2147483647/2147483647/","0.0/0.0/0.0/0.0/1.0/0.0/0.0/0.0/","4/","no"
"5","125849400","97/395/8502/79/137249/379/2364241/395/","0.4291844159195453/0.010348966922692738/1.0106015011112951E-46/0.5374773934915839/0.0/0.01264025674348528/0.0/0.010348966922692738/","3/","no"
"6","118752100","1109/1275/62940/1424/455732/1120/7304/1689/","0.23804108602406004/0.20497617227463916/1.5306794646884726E-25/0.17922813746916705/3.1808529554406084E-179/0.23569377036015443/8.970552792995916E-4/0.14116377859267965/","0/1/5/","no"
"7","116296900","22334/22128/3030195/3030195/48259941/22128/48259941/7304/","0.09188185501462443/0.09450979030656752/1.3831101640987752E-180/1.3831101640987752E-180/0.0/0.09450979030656752/0.0/0.7190985643722405/","7/","no"
"0","116209500","50/1467/289/1467/39911/394/14312/4494307/","0.9897093895199298/8.490505664372478E-13/0.009126085436068037/8.490505664372478E-13/0.0/0.0011645250423039748/3.518302387004507E-122/0.0/","0/","no"
