"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","96507200","50/25963/3989/216/25963/108/","0.7356821002775794/1.5940997446383424E-221/2.1077939128945694E-34/0.028386001981020096/1.5940997446383424E-221/0.23593189774140044/","0/","no"
"1","102437800","25963/50/112/10317/1535/1468/","1.6712853944731775E-221/0.7713035230729667/0.22869647692621015/2.869361080448043E-88/1.744182285896073E-13/6.488369924755304E-13/","1/","no"
"2","101338300","25963/214/182/571/4028/571/","3.1548985578851123E-62/0.40397536113214233/0.4811683826774741/0.057428127915733485/3.589164641803564E-10/0.057428127915733485/","1/2/","no"
"3","103830600","103/3989/185/50/3989/193/","0.23817716860118857/1.9291398964331784E-34/0.0477114621355863/0.6733265913972786/1.9291398964331784E-34/0.040784777865946635/","3/","no"
"4","100334200","1317511/1830/525508/207616/3787/1803/","7.79246E-318/0.4249812875501718/3.6163201669100872E-127/1.2232147390269292E-50/0.14362900325207437/0.4313897091977538/","1/5/","no"
"5","106494500","1317511/30484/705/554/31465/50/","0.0/6.868683300089486E-260/2.6440705172831867E-6/5.106523362348153E-5/3.0415250621128397E-268/0.9999462906958593/","5/","no"
"0","98630300","54/25963/1484/107/25963/216/","0.6973105691370574/1.8161019226527199E-205/3.562621777930737E-12/0.2660261275171007/1.8161019226527199E-205/0.03666330334227932/","0/","no"
"1","101169800","25963/61/1468/4028/4028/4028/","3.6557211411845574E-182/0.9999999998605825/1.3941745820613722E-10/1.6298885462577883E-28/1.6298885462577883E-28/1.6298885462577883E-28/","1/","no"
"2","101735500","25963/214/182/571/4028/571/","3.1548985578851123E-62/0.40397536113214233/0.4811683826774741/0.057428127915733485/3.589164641803564E-10/0.057428127915733485/","1/2/","no"
"3","101229300","112/25963/185/54/1484/160/","0.21960260396327272/1.6418547270393094E-205/0.05823851118099813/0.6304066087215285/3.220803487837775E-12/0.09175227613097994/","3/","no"
"4","103611500","1317511/4757/525508/207616/1199/4690/","0.0/0.04661542925069471/1.593889585822103E-190/1.784059909290933E-75/0.9040924167910271/0.04929215395827826/","4/","no"
"5","101614600","251/30903/606/1534/30484/171/","0.36768403643342595/1.479647112266465E-78/0.046677884366801134/2.1180730573256302E-4/1.6909069475149557E-77/0.5854262718940404/","5/","no"
"0","100456500","68/25963/10317/195/25963/107/","0.5790515406517829/5.975910014237304E-164/1.7957726443367227E-65/0.09191017855980081/5.975910014237304E-164/0.32903828078841624/","0/","no"
"1","99304300","25963/55/107/1551/1551/1551/","8.553604845958115E-202/0.7167853694612334/0.28321463053338836/1.7927604328039682E-12/1.7927604328039682E-12/1.7927604328039682E-12/","1/","no"
"2","99365100","25963/1468/25963/10317/1535/97/","2.3596396578505505E-115/8.400560825053535E-7/2.3596396578505505E-115/5.1202267640735546E-46/4.24026174275409E-7/0.9999987359177432/","5/","no"
"3","100850400","90/25963/193/50/1535/168/","0.2824640573813074/1.3409470183910618E-221/0.037485098056805444/0.618851312265097/1.3994354546131242E-13/0.06119953229665013/","3/","no"
"4","102749300","1317511/595/208227/207616/1442/4690/","0.0/0.8048444980381614/4.055155435146657E-152/1.1304001790676833E-151/0.19432036227668031/8.351396851582381E-4/","1/","no"
"5","102922100","31001/210/4549/11076/703/312/","2.4549107426367262E-64/0.5836547830772216/6.844355455461122E-10/2.5177891909935024E-23/0.05641960994778055/0.3599256062905624/","1/","no"
"0","99968500","50/25963/3989/83/25963/571/","0.6563316064690691/1.4221605308538207E-221/1.880447770081458E-34/0.3436443771733667/1.4221605308538207E-221/2.401635756417352E-5/","0/","no"
"1","94504600","25963/157/214/25963/25963/25963/","6.876187623468095E-72/0.5892242736183966/0.4107757263816036/6.876187623468095E-72/6.876187623468095E-72/6.876187623468095E-72/","1/","no"
"2","102828400","25963/206/157/592/10317/592/","6.271421923532379E-72/0.3941056561552349/0.5374015704336021/0.03424638670558148/6.360840787764398E-29/0.03424638670558148/","2/","no"
"3","103367000","94/25963/214/68/3989/203/","0.3521948266358843/5.298061511056602E-164/0.061871154685476354/0.5133696245653363/1.0744202253042992E-25/0.07256439411330295/","3/","no"
"4","102962000","1317511/595/208227/207616/1173/595/","0.0/0.4203165252785647/2.1177368375133167E-152/5.903325134210809E-152/0.15936694944287047/0.4203165252785647/","1/5/","no"
"5","105281400","4616/210/11833/4075/703/97/","7.142980571276923E-21/0.23955478444811296/7.43349374161534E-53/1.783866180627747E-18/0.0015654446278299933/0.758879770924057/","5/","no"
"0","99884600","54/25963/1484/228/25963/103/","0.6884424005032951/1.7930053300883545E-205/3.5173135148649664E-12/0.029101662165425077/1.7930053300883545E-205/0.2824559373277626/","0/","no"
"1","104206500","25963/203/112/10317/1468/1468/","3.0621943788958255E-100/0.30888823910638963/0.6911032683231333/4.154546130285175E-40/4.246285238656497E-6/4.246285238656497E-6/","2/","no"
"2","107957700","25963/93/50/206/4028/206/","1.421578339290343E-221/0.282342097939656/0.6560629232115605/0.030797489424391814/8.749352342966564E-35/0.030797489424391814/","2/","no"
"3","108905500","103/3989/185/50/3989/193/","0.23817716860118857/1.9291398964331784E-34/0.0477114621355863/0.6733265913972786/1.9291398964331784E-34/0.040784777865946635/","3/","no"
"4","98700000","1317511/713/525508/207616/1469/703/","0.0/0.42444970838805113/0.0/9.778718328632205E-129/0.14502844415740831/0.4305218474545405/","1/5/","no"
"5","107340600","12001/703/11833/3854/703/703/","3.560804814836539E-8/0.33207358318961533/4.5205015701416385E-8/0.0037791696180900915/0.33207358318961533/0.33207358318961533/","1/4/5/","no"
