"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","102007700","561/233/233/233/1366/","0.07565170471087349/0.30730765393513776/0.30730765393513776/0.30730765393513776/0.0024253334837133086/","1/2/3/5/6/7/","no"
"1","101614000","112/157/502/157/157/","0.3282750486693336/0.2204391584702003/0.010407475920065622/0.2204391584702003/0.2204391584702003/","0/","no"
"2","102825900","108/1484/68/50/203/","0.15469469965103164/2.965104475117438E-13/0.33892106049536375/0.48236852511490663/0.02401571473840155/","3/5/6/7/","no"
"3","98649800","529/79/502/50/157/","4.935724201938001E-5/0.33524400372079555/8.380530139288586E-5/0.5919878357711739/0.07263499796461839/","3/5/6/7/","no"
"4","101723000","1551/1468/203/50/50/","8.061364493839038E-14/4.1039450632366053E-13/0.024288897679251274/0.4878555511601288/0.4878555511601288/","3/4/5/6/7/","no"
"5","98315300","1468/93/1535/502/502/","4.3274398548352754E-7/0.9748614049268878/2.121684083119709E-7/0.012568975080359295/0.012568975080359295/","1/","no"
"6","97658900","109/561/50/95/227/","0.1787354659932414/2.530285031557888E-5/0.5683682944038784/0.23519540353995277/0.017675533212611907/","2/","no"
"7","104569700","529/157/502/79/79/","0.0015116449701064786/0.1580953673963034/0.0021184791349337204/0.4191372542493282/0.4191372542493282/","3/4/5/6/7/","no"
"0","99930200","61/233/60/60/95/","0.272822124739728/0.016267152555360927/0.2773314795239689/0.2773314795239689/0.15624776365697324/","0/2/3/5/6/7/","no"
"1","101479300","571/203/203/1468/1468/","0.07592170867109803/0.46110428348599186/0.46110428348599186/9.348621784591261E-4/9.348621784591261E-4/","1/2/","no"
"2","97752600","159/952/50/50/348/","0.05562708467566663/9.827269930174284E-9/0.47150283701779927/0.47150283701779927/0.0013672314614647765/","2/3/5/6/7/","no"
"3","99864100","4028/1484/565/50/182/","1.2403484216234852E-34/5.717080732316046E-13/3.828164374878242E-5/0.9300649686891442/0.0698967496665353/","3/5/6/7/","no"
"4","106883700","4028/1484/157/50/50/","6.282644000556523E-35/2.8958301020425637E-13/0.05780230880348634/0.47109884559811205/0.47109884559811205/","3/4/5/6/7/","no"
