"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","127427300","50/4038818/11407271/87601/4327389/","1.0/0.0/0.0/0.0/0.0/","0/5/6/","no"
"1","132726400","76862/50/665114/624096/123814/","0.0/1.0/0.0/0.0/0.0/","1/","no"
"2","133865300","2147483647/2147483647/15314/29560/55592/","0.0/0.0/0.6818697609969829/0.26898067104477075/0.0491495679582462/","2/5/7/","no"
"3","121293400","1060013382/36746/647/50/13753/","0.0/3.2534439015E-313/8.24510721760797E-6/0.9999917548927824/2.046586176671085E-117/","3/5/7/","no"
"4","120837100","67939660/68200470/11291/61507/50/","0.0/0.0/1.8896737999299033E-96/0.0/1.0/","4/5/","no"
"5","133742600","136882447/22509/3779205/201466/32016/","0.0/0.6039157666321445/2.0023028570591142E-73/2.129545890908032E-4/0.39587127877876466/","1/","no"
"6","135254000","2147483647/5489/37000/38417/4788/","0.0/0.46295155843985786/6.425901804187286E-4/4.780047927909584E-4/0.5359278465869324/","1/4/5/","no"
"7","121589600","42685534/2135/857156/931615/857156/","0.0/1.0/1.432005406306868E-174/1.0395311994767928E-189/1.432005406306868E-174/","1/","no"
"0","126421100","50/4038818/11407271/87601/4327389/","1.0/0.0/0.0/0.0/0.0/","0/5/6/","no"
"1","125541300","76862/50/665114/624096/123814/","0.0/1.0/0.0/0.0/0.0/","1/","no"
"2","136630100","2147483647/2147483647/15314/29560/55305/","0.0/0.0/0.6812363901213772/0.26873082197844533/0.0500327879001774/","2/5/7/","no"
"3","124084900","2147483647/36694/647/50/14062/","0.0/9.0188960769E-313/8.24510721760797E-6/0.9999917548927824/4.7831765448901634E-120/","3/5/7/","no"
"4","123261500","67939660/68200470/11291/61507/50/","0.0/0.0/1.8896737999299033E-96/0.0/1.0/","4/5/","no"
"5","132800200","136882447/22509/3779205/201466/32016/","0.0/0.6039157666321445/2.0023028570591142E-73/2.129545890908032E-4/0.39587127877876466/","1/","no"
"6","132346600","2147483647/5466/36305/38108/4837/","0.0/0.4669140794592317/7.959785998630156E-4/5.483411566842238E-4/0.5317416007842211/","1/4/5/","no"
"7","120219500","43892294/2183/876244/931615/853413/","0.0/1.0/1.5507297008343836E-174/1.513068396695318E-185/5.377049489244261E-170/","1/","no"
"0","125703600","50/4038818/11407271/87601/4327389/","1.0/0.0/0.0/0.0/0.0/","0/5/6/","no"
"1","124527100","76862/50/665114/624096/123814/","0.0/1.0/0.0/0.0/0.0/","1/","no"
"2","135960000","2147483647/2147483647/16101/29927/57272/","0.0/0.0/0.6660987022564475/0.28224818199797796/0.05165311574557457/","2/5/7/","no"
"3","124221200","2147483647/36694/647/50/14062/","0.0/9.0188960769E-313/8.24510721760797E-6/0.9999917548927824/4.7831765448901634E-120/","3/5/7/","no"
"4","121846700","67939660/68200470/11291/61507/50/","0.0/0.0/1.8896737999299033E-96/0.0/1.0/","4/5/","no"
"5","139148900","136882447/22509/3779205/201466/32016/","0.0/0.6039157666321445/2.0023028570591142E-73/2.129545890908032E-4/0.39587127877876466/","1/","no"
"6","131560800","2147483647/5514/36690/38108/4821/","0.0/0.4635482317043077/7.214756660374733E-4/5.376618331635295E-4/0.5351926307964914/","1/4/5/","no"
"7","116979500","46004775/2562/868812/934959/850068/","0.0/1.0/1.6440719355581405E-147/1.0173329532587913E-158/2.4663158887026047E-144/","1/","no"
"0","127090400","50/4038818/11407271/87601/4327389/","1.0/0.0/0.0/0.0/0.0/","0/5/6/","no"
"1","126746300","76862/50/665114/624096/123814/","0.0/1.0/0.0/0.0/0.0/","1/","no"
"2","126984000","2147483647/2147483647/15314/29560/55592/","0.0/0.0/0.6818697609969829/0.26898067104477075/0.0491495679582462/","2/5/7/","no"
"3","121782700","2147483647/36694/647/50/14062/","0.0/9.0188960769E-313/8.24510721760797E-6/0.9999917548927824/4.7831765448901634E-120/","3/5/7/","no"
"4","123085300","67939660/68200470/11291/61507/50/","0.0/0.0/1.8896737999299033E-96/0.0/1.0/","4/5/","no"
"5","134716500","136882447/22509/3779205/201466/32016/","0.0/0.6039157666321445/2.0023028570591142E-73/2.129545890908032E-4/0.39587127877876466/","1/","no"
"6","125509000","2147483647/5514/36690/38108/4821/","0.0/0.4635482317043077/7.214756660374733E-4/5.376618331635295E-4/0.5351926307964914/","1/4/5/","no"
"7","119464800","161270/2485/878914/915041/864805/","1.823396896093402E-28/1.0/7.785379276750591E-154/3.80219249154225E-160/2.270214644373062E-151/","1/","no"
"0","128504800","50/4038818/11407271/87601/4327389/","1.0/0.0/0.0/0.0/0.0/","0/5/6/","no"
"1","127679400","76862/50/665114/624096/123814/","0.0/1.0/0.0/0.0/0.0/","1/","no"
"2","136365700","2147483647/2147483647/15314/30084/57169/","0.0/0.0/0.691450914982838/0.26358560502146733/0.04496347999569475/","2/5/7/","no"
"3","121058200","1062466346/36746/647/50/13856/","0.0/3.2534439015E-313/8.24510721760797E-6/0.9999917548927824/2.7159732896797357E-118/","3/5/7/","no"
"4","131697300","67939660/68200470/11291/61507/50/","0.0/0.0/1.8896737999299033E-96/0.0/1.0/","4/5/","no"
"5","133034900","136882447/22509/3779205/201466/32016/","0.0/0.6039157666321445/2.0023028570591142E-73/2.129545890908032E-4/0.39587127877876466/","1/","no"
"6","131304400","2147483647/5489/37000/38417/4788/","0.0/0.46295155843985786/6.425901804187286E-4/4.780047927909584E-4/0.5359278465869324/","1/4/5/","no"
"7","122867700","44574540/2282/842899/880445/851129/","0.0/1.0/1.2292833393040116E-160/8.856995342302237E-168/3.342422050235945E-162/","1/","no"
"0","127464400","50/4038818/11407271/87601/4327389/","1.0/0.0/0.0/0.0/0.0/","0/5/6/","no"
"1","130095500","76862/50/665114/624096/123814/","0.0/1.0/0.0/0.0/0.0/","1/","no"
"2","126147100","2147483647/2147483647/15314/30053/56823/","0.0/0.0/0.6903729206799588/0.26370791351292877/0.0459191658071123/","2/5/7/","no"
"3","131856000","2147483647/35663/647/50/13941/","0.0/5.428931720257751E-304/8.24510721760797E-6/0.9999917548927824/5.129810923789663E-119/","3/5/7/","no"
"4","124010000","67939660/68200470/11291/61507/50/","0.0/0.0/1.8896737999299033E-96/0.0/1.0/","4/5/","no"
"5","139883100","136882447/22509/3779205/201466/32016/","0.0/0.6039157666321445/2.0023028570591142E-73/2.129545890908032E-4/0.39587127877876466/","1/","no"
"6","129194100","2147483647/5786/36879/38234/4934/","0.0/0.4562723485923466/8.374307555010818E-4/6.363630145184802E-4/0.5422538576376338/","1/4/5/","no"
"7","122969400","44679314/2331/867258/917494/867258/","0.0/1.0/8.363233205015603E-162/3.6880096510316825E-171/8.363233205015603E-162/","1/","no"
"0","125806500","50/4038818/11407271/87601/4327389/","1.0/0.0/0.0/0.0/0.0/","0/5/6/","no"
"1","133028700","76862/50/665114/624096/123814/","0.0/1.0/0.0/0.0/0.0/","1/","no"
"2","131424700","2147483647/2147483647/15314/30084/57169/","0.0/0.0/0.691450914982838/0.26358560502146733/0.04496347999569475/","2/5/7/","no"
"3","123268000","2147483647/36694/647/50/14062/","0.0/9.0188960769E-313/8.24510721760797E-6/0.9999917548927824/4.7831765448901634E-120/","3/5/7/","no"
"4","126658100","67939660/68200470/11291/61507/50/","0.0/0.0/1.8896737999299033E-96/0.0/1.0/","4/5/","no"
