"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","91230200","55/84/","0.6266465582771191/0.37335344172288093/","0/","no"
"1","88288300","51/68/","0.5810105262638605/0.41898947373613943/","0/","no"
"2","84426500","148646/148646/","0.5/0.5/","0/1/2/3/4/","no"
"3","83293400","40251/40251/","0.5/0.5/","0/1/2/3/4/","no"
"4","89326600","3870/3870/","0.5/0.5/","0/1/2/3/4/","no"
"0","88105800","78/50/","0.3660918973606951/0.6339081026393049/","1/2/3/4/","no"
"1","93104000","150/97/","0.3679977043493296/0.6320022956506705/","1/2/3/4/","no"
"2","88120700","8282/8842/","0.5168956534249286/0.4831043465750714/","0/1/2/3/4/","no"
"3","86284000","58441/58441/","0.5/0.5/","0/1/2/3/4/","no"
"4","90296800","3870/3870/","0.5/0.5/","0/1/2/3/4/","no"
"0","87726700","126/126/","0.5/0.5/","0/1/2/3/4/","no"
"1","92262700","60/60/","0.5/0.5/","0/1/2/3/4/","no"
"2","86975500","8282/8674/","0.5118292542459605/0.48817074575403946/","0/1/2/3/4/","no"
"3","84236900","8449/8282/","0.4949597264534855/0.5050402735465146/","0/1/2/3/4/","no"
"4","85648800","80624/80624/","0.5/0.5/","0/1/2/3/4/","no"
"0","85866100","51/50/","0.4950981962633707/0.5049018037366292/","0/1/2/3/4/","no"
"1","86728900","50/50/","0.5/0.5/","0/1/2/3/4/","no"
"2","86450200","22425/22425/","0.5/0.5/","0/1/2/3/4/","no"
"3","84813000","58441/58441/","0.5/0.5/","0/1/2/3/4/","no"
"4","89317400","81670/81670/","0.5/0.5/","0/1/2/3/4/","no"
"0","88898600","51/50/","0.4950981962633707/0.5049018037366292/","0/1/2/3/4/","no"
"1","87134900","79/50/","0.36155359365622713/0.6384464063437728/","1/2/3/4/","no"
"2","86266000","22942/148646/","0.9958437188665821/0.0041562811334178665/","0/","no"
"3","85307900","5922/5922/","0.5/0.5/","0/1/2/3/4/","no"
"4","90113300","11636/11076/","0.48736389007696107/0.512636109923039/","0/1/2/3/4/","no"
"0","89201300","60/50/","0.4511368443987638/0.5488631556012363/","0/1/2/3/4/","no"
"1","87443900","1173/1173/","0.5/0.5/","0/1/2/3/4/","no"
"2","83779100","22425/22425/","0.5/0.5/","0/1/2/3/4/","no"
"3","87387300","58441/58441/","0.5/0.5/","0/1/2/3/4/","no"
"4","87765400","8282/8282/","0.5/0.5/","0/1/2/3/4/","no"
"0","85636600","64/50/","0.43180028151755934/0.5681997184824406/","1/2/3/4/","no"
"1","87637000","50/50/","0.5/0.5/","0/1/2/3/4/","no"
"2","84151700","22425/22425/","0.5/0.5/","0/1/2/3/4/","no"
"3","86898100","8321/8674/","0.5106028322903785/0.4893971677096215/","0/1/2/3/4/","no"
"4","85688500","80624/80624/","0.5/0.5/","0/1/2/3/4/","no"
"0","89445400","78/83/","0.5158175050575705/0.48418249494242943/","0/1/2/3/4/","no"
"1","88922900","50/68/","0.5873306243819909/0.41266937561800915/","0/","no"
"2","89851500","8321/8282/","0.4988228924317995/0.5011771075682004/","0/1/2/3/4/","no"
"3","82930400","58441/58441/","0.5/0.5/","0/1/2/3/4/","no"
"4","82204200","58441/58441/","0.5/0.5/","0/1/2/3/4/","no"
"0","88161200","79/97/","0.55601389054462/0.44398610945538003/","0/","no"
"1","86172600","188/188/","0.5/0.5/","0/1/2/3/4/","no"
"2","85284500","22523/22425/","0.49890751979791936/0.5010924802020805/","0/1/2/3/4/","no"
"3","83742200","58441/58441/","0.5/0.5/","0/1/2/3/4/","no"
"4","88671100","11076/80624/","0.9981274788807742/0.001872521119225762/","0/","no"
"0","94603000","50/50/","0.5/0.5/","0/1/2/3/4/","yes"
"1","88091400","60/50/","0.4511368443987638/0.5488631556012363/","0/1/2/3/4/","yes"
"2","88020700","58441/58441/","0.5/0.5/","0/1/2/3/4/","yes"
"3","94791500","8282/8282/97/","5.340078095626845E-37/5.340078095626845E-37/1.0/","2/","yes"
"4","103306100","207616/80624/11076/1688/","1.116423986666695E-53/5.0283542972384635E-21/0.0038404475385800567/0.9961595524614199/","3/","yes"
