"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","88528900","50/50/","0.5/0.5/","0/1/2/3/4/","no"
"1","89987400","50/188/","0.9373728571100223/0.06262714288997764/","0/","no"
"2","85184600","58441/58441/","0.5/0.5/","0/1/2/3/4/","no"
"3","83846700","8282/22425/","0.8465082512821535/0.15349174871784654/","0/","no"
"4","84922000","80624/80624/","0.5/0.5/","0/1/2/3/4/","no"
"0","89583400","64/64/","0.5/0.5/","0/1/2/3/4/","no"
"1","88082300","60/54/","0.4727542879102602/0.5272457120897397/","0/1/2/3/4/","no"
"2","83584400","22844/22844/","0.5/0.5/","0/1/2/3/4/","no"
"3","80578300","101165/40251/","0.18044786591944886/0.8195521340805512/","1/2/3/4/","no"
"4","86299200","3787/3787/","0.5/0.5/","0/1/2/3/4/","no"
"0","86242700","79/97/","0.55601389054462/0.44398610945538003/","0/","no"
"1","84219700","246/246/","0.5/0.5/","0/1/2/3/4/","no"
"2","84217600","8842/8842/","0.5/0.5/","0/1/2/3/4/","no"
"3","83279300","58441/148646/","0.823972382961863/0.17602761703813694/","0/","no"
"4","84884500","80624/80624/","0.5/0.5/","0/1/2/3/4/","no"
"0","87717400","79/68/","0.46022912271577787/0.539770877284222/","0/1/2/3/4/","no"
"1","89389300","122/64/","0.29063383041887514/0.7093661695811249/","1/2/3/4/","no"
"2","85142000","22425/58441/","0.8328543297937132/0.16714567020628687/","0/","no"
"3","85828400","8282/22425/","0.8465082512821535/0.15349174871784654/","0/","no"
"4","89413500","11794/11076/","0.4838009227294047/0.5161990772705952/","0/1/2/3/4/","no"
"0","85120500","140/93/","0.37754066879814546/0.6224593312018546/","1/2/3/4/","no"
"1","87172800","50/260/","0.9839780992822404/0.01602190071775949/","0/","no"
"2","80414000","373066/148646/","0.18097565489032474/0.8190243451096753/","1/2/3/4/","no"
"3","88532600","22425/22425/","0.5/0.5/","0/1/2/3/4/","no"
"4","84025400","80624/80624/","0.5/0.5/","0/1/2/3/4/","no"
"0","87667100","246/246/","0.5/0.5/","0/1/2/3/4/","no"
"1","87200300","302/302/","0.5/0.5/","0/1/2/3/4/","no"
"2","81859600","373066/148646/","0.18097565489032474/0.8190243451096753/","1/2/3/4/","no"
"3","84808800","58441/58441/","0.5/0.5/","0/1/2/3/4/","no"
"4","88452900","12187/12187/","0.5/0.5/","0/1/2/3/4/","no"
"0","87430900","50/50/","0.5/0.5/","0/1/2/3/4/","no"
"1","87688000","78/78/","0.5/0.5/","0/1/2/3/4/","no"
"2","84197900","58441/8282/","0.0023390790809488782/0.9976609209190511/","1/2/3/4/","no"
"3","83698200","5922/5922/","0.5/0.5/","0/1/2/3/4/","no"
"4","84320100","58441/58441/","0.5/0.5/","0/1/2/3/4/","no"
"0","84737500","50/60/","0.5488631556012363/0.4511368443987638/","0/1/2/3/4/","no"
"1","88758000","50/50/","0.5/0.5/","0/1/2/3/4/","no"
"2","85383200","373066/148646/","0.18097565489032474/0.8190243451096753/","1/2/3/4/","no"
"3","82097600","101165/40251/","0.18044786591944886/0.8195521340805512/","1/2/3/4/","no"
"4","86606400","11636/11636/","0.5/0.5/","0/1/2/3/4/","no"
"0","88392300","50/60/","0.5488631556012363/0.4511368443987638/","0/1/2/3/4/","no"
"1","87109900","50/60/","0.5488631556012363/0.4511368443987638/","0/1/2/3/4/","no"
"2","87441800","22425/2951/","0.0013627546458200076/0.99863724535418/","1/2/3/4/","no"
"3","84409300","58441/58441/","0.5/0.5/","0/1/2/3/4/","no"
"4","82318900","58441/148646/","0.823972382961863/0.17602761703813694/","0/","no"
"0","89747600","50/156/","0.8887890798973597/0.11121092010264023/","0/","yes"
"1","91004500","68/192/","0.8577957300125626/0.14220426998743743/","0/","yes"
"2","89993700","8282/22425/","0.8465082512821535/0.15349174871784654/","0/","yes"
"3","95775500","8449/58441/72/","1.4561995473979234E-50/0.0/1.0/","2/","yes"
"4","98594600","525508/525508/80624/207616/","0.0033037454063268154/0.0033037454063268154/0.8230343042499381/0.1703582049374083/","2/","yes"
