"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","98399100","2568/82637/1079/50/","3.6122217437973685E-22/0.0/1.7277072611665766E-9/0.9999999982722928/","3/","no"
"1","96743700","3793268/596/751/1207/","0.0/0.46933183986568044/0.3620124397382531/0.16865572039606647/","1/4/6/","no"
"2","101647600","24845/24959/50/1687/","7.1819370191529E-212/7.681847682243077E-213/0.9999999999999885/1.1481501548252955E-14/","2/","no"
"3","97966900","15525/19068/518/12059/","2.7687186411197683E-13/3.002815391282618E-16/0.999999999779635/2.2008787447973698E-10/","2/","no"
"4","92849100","777/520/2046/1772/","0.3480281754774916/0.5699596621832976/0.030465133467355278/0.0515470288718555/","1/4/6/","no"
"5","95891400","253666/11916807/2394/1233/","1.0363705950401622E-89/0.0/0.2807301348387736/0.7192698651612264/","3/","no"
"6","98778400","1245/361012/949/214/","0.007942272625858436/0.0/0.031467134289568155/0.9605905930845734/","3/","no"
"0","95667700","2568/4027/11296/13619/","0.6196919666695087/0.3511794210266906/0.02073434739606717/0.00839426490773351/","0/5/","no"
"1","100338500","76575/596/751/751/","2.1033749751303117E-56/0.3932871305441595/0.3033564347279203/0.3033564347279203/","1/4/6/","no"
"2","95621600","940/3824/7304/473691/","0.954364431669939/0.044532575172840365/0.0011029931572205276/6.217013604503074E-219/","0/5/","no"
"3","98080600","4185/124235/507/79/","5.102446980580977E-23/0.0/0.004725712602395479/0.9952742873976045/","3/","no"
"4","99389900","1386/487/1492/3793268/","0.12322483687663519/0.7776089349970838/0.09916622812628097/0.0/","1/4/6/","no"
"5","94765500","1283/283598/108442/253666/","1.0/3.2435668383729443E-96/5.688708992205817E-37/4.3160867642980445E-86/","0/5/","no"
"6","96120600","17476822/563/137018/700/","0.0/0.5604301063092426/4.727893491149557E-106/0.4395698936907573/","1/4/6/","no"
"0","97129200","50/178978/72/7671210/","0.6062013727915866/0.0/0.39379862720841335/0.0/","0/5/","no"
"1","98422000","751/50/34950/858/","1.0729494097818007E-6/0.9999987954031584/6.402131728166733E-298/1.3164743173162748E-7/","1/4/6/","no"
"2","96889200","174505/28432/50/3551/","0.0/2.0457993288747025E-242/1.0/1.5380170645253535E-30/","2/","no"
"3","97013200","116181/1332/983/50/","0.0/1.2106786977766457E-11/1.1349210460159702E-8/0.9999999886386827/","3/","no"
"4","98109500","282/30825/29118/61/","0.02753125238634275/3.117135151985595E-216/2.8239914953613497E-204/0.9724687476136572/","3/","no"
"5","96777100","194/645/2531/1233/","0.9059278290045394/0.08967025700805514/5.65250911823268E-6/0.004396261478287279/","0/5/","no"
"6","96120400","17476822/50592/17756873/1299/","0.0/3.4084385159379303E-17/0.0/1.0/","3/","no"
"0","97144500","2683/569498/77556/562757/","0.9999999999992328/1.9249358430698934E-92/7.67183275759218E-13/2.3722941231395674E-91/","0/5/","no"
"1","94374400","210600/596/1301/1301/","1.0526474547454168E-153/0.6195779773202202/0.1902110113398899/0.1902110113398899/","1/4/6/","no"
"2","96133800","7461/122/50/155/","5.674310149298553E-64/0.17772174699489812/0.7292260847805891/0.09305216822451261/","2/","no"
"3","98103200","116181/1332/983/50/","0.0/1.2106786977766457E-11/1.1349210460159702E-8/0.9999999886386827/","3/","no"
"4","98035700","366/3793268/29796/3124/","0.9994554392682502/0.0/1.4906285116413905E-35/5.445607317497153E-4/","0/5/","no"
"5","96921800","644/17631/5420/971/","0.6238605989585252/2.2767720510240647E-12/3.7956697386914555E-4/0.3757598340653288/","0/5/","no"
"6","97432100","1222/389484/946/211/","0.008165795008265322/0.0/0.030019311221572136/0.9618148937701625/","3/","no"
"0","99414100","511/1095/4112/3183/","0.7541959360971897/0.2410554997621211/6.652775689116391E-4/0.004083286571777605/","0/5/","no"
"1","95422400","469/50/211/211/","2.4910794452059253E-4/0.9213291080757228/0.03921089198987834/0.03921089198987834/","1/4/6/","no"
"2","97933500","7461/1200917/50/1687/","7.781276983537668E-64/0.0/0.9999999999999885/1.1481501548252955E-14/","2/","no"
"3","95857200","36824800/1332/983/128/","0.0/8.830236258177446E-5/0.0013210646191201027/0.9985906330182981/","3/","no"
"4","95420500","967/521/2131/1037/","0.23083907980561302/0.5424668479710039/0.024824617105771624/0.20186945511761145/","1/4/6/","no"
"5","97298300","31769/1813065/6883/11294/","0.017322356765341666/7.2620870055896575E-115/0.6435806540291722/0.33909698920548614/","2/","no"
"6","97443600","58550/21287/21115/79/","3.79832E-318/7.388101400791005E-116/6.342580434978457E-115/1.0/","3/","no"
"0","99247200","3061/9658374/1051/613/","0.012300420823506797/0.0/0.3248128304958601/0.6628867486806331/","3/","no"
"1","98355500","772/50/29550/29550/","7.108080212523841E-7/0.9999992891919787/6.172291573220797E-252/6.172291573220797E-252/","1/4/6/","no"
"2","101468600","67146/9992/188/9992/","1.3812267394856791E-154/2.963708233498348E-23/1.0/2.963708233498348E-23/","2/","no"
"3","99576300","366/19068/15395/12059/","0.9999999999999855/7.39148804136787E-23/1.6414467136041575E-18/1.455218235737002E-14/","0/5/","no"
"4","96454700","29550/3835402/1500573/122/","1.2421169615968365E-104/0.0/0.0/1.0/","3/","no"
"5","97670200","10621/253666/2145/4537/","0.01429601897151404/9.316228111895892E-52/0.7422268443921466/0.2434771366363394/","2/","no"
"6","98803800","1567/17260660/1505/150/","8.403167809218258E-5/0.0/1.2669591868616048E-4/0.9997892724032216/","3/","no"
"0","97170900","2279/2234/174261/171809/","0.4949666129910703/0.5050333870089297/1.8873759511245551E-34/5.653524756305056E-34/","0/1/4/5/6/","no"
"1","97137600","611/76575/76575/76575/","1.0/1.2403728440939906E-54/1.2403728440939906E-54/1.2403728440939906E-54/","0/5/","no"
"2","95134200","3557/22128/50/22128/","1.367312189719141E-30/9.841634367802605E-189/1.0/9.841634367802605E-189/","2/","no"
"3","97983600","814/141463/46343/109/","0.0016438140850085763/0.0/2.893121266095627E-183/0.9983561859149914/","3/","no"
"4","94892700","29550/3835402/1500573/122/","1.2421169615968365E-104/0.0/0.0/1.0/","3/","no"
"5","97006900","499/12923/1875606/1841020/","0.9999999999838322/1.6167792013131016E-11/0.0/0.0/","0/5/","no"
"6","97921100","2676104/378/18552/1299/","0.0/0.9190924191178685/1.3735680355427328E-21/0.08090758088213157/","1/4/6/","no"
"0","98566700","4101/569498/1603/26718/","0.17402626099705876/1.4299793353346108E-154/0.8259736081148483/1.3088809300151997E-7/","2/","no"
"1","95824100","4364/50/426/569498/","1.8345240586110957E-37/0.9993721297913684/6.278702086316655E-4/0.0/","1/4/6/","no"
"2","96165600","520/2234/2165/2234/","0.8952093028040702/0.03335575407755753/0.03807918904081483/0.03335575407755753/","0/5/","no"
"3","97964500","366/19068/15395/12059/","0.9999999999999855/7.39148804136787E-23/1.6414467136041575E-18/1.455218235737002E-14/","0/5/","no"
"4","97375900","29550/3835402/1500573/777/","8.676828593246231E-17/0.0/0.0/0.9999999999999999/","3/","no"
"5","96696500","12077/6910/1875606/3010/","0.0372077921486464/0.2069670057475254/6.063671589392983E-271/0.7558252021038282/","3/","no"
"6","97333300","388066/555/407167/1088/","1.486607544786386E-303/0.7228480442245706/1.787747E-318/0.2771519557754294/","1/4/6/","no"
"0","99191800","68/214/174261/171809/","0.8924430309581725/0.10755696904182745/0.0/0.0/","0/5/","no"
"1","98301900","104/8750/33903/2147/","0.9999999964529261/1.733610453884661E-36/1.594682920231612E-140/3.5470737800166587E-9/","0/5/","no"
"2","96446800","143/343/50/520/","0.13861731394397242/0.002746008414821907/0.8585512802616964/8.539737950936139E-5/","2/","no"
"3","97873500","109949/5657846/5654031/3488/","5.600543804006641E-14/0.0/0.0/0.999999999999944/","3/","no"
