"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","103051400","109/12226/188/12226/188/12226/1836/","0.5062582936169345/7.325898605666002E-49/0.24687081473954553/7.325898605666002E-49/0.24687081473954553/7.325898605666002E-49/7.690397446330203E-8/","0/8/","no"
"1","104980500","2351/97/15809/97/15809/97/901/","3.420314685396697E-11/0.3333029433350943/7.832701953191663E-71/0.3333029433350943/7.832701953191663E-71/0.3333029433350943/9.116996051385665E-5/","1/3/5/8/","no"
"2","107677200","14312/630/50/816/561/151/4494307/","3.123603868427181E-122/1.0111025254884366E-5/0.8786794702871559/2.6357102949897355E-7/3.911740913586107E-5/0.12127103770742378/0.0/","2/7/8/","no"
"3","103133200","4494307/710/816/50/151/561/4494307/","0.0/2.10645616223226E-6/2.635731392928222E-7/0.8786865038088022/0.12127200843963916/3.91177222570312E-5/0.0/","3/8/","no"
"4","104717800","14312/827/561/151/50/816/4494307/","3.123634788007682E-122/2.1243722170602104E-7/3.911779634689413E-5/0.12127223813160394/0.8786881680611889/2.635736385063918E-7/0.0/","4/8/","no"
"5","111676600","4494307/109/660/128/857/50/4494307/","0.0/0.20538359918552412/4.173325318393948E-6/0.1415043454529845/8.768258784610172E-8/0.6531077943535851/0.0/","5/8/","no"
"6","100865900","1199/1317511/4773/1317511/4773/1317511/50/","1.6428608865326356E-10/0.0/6.038439848406151E-41/0.0/6.038439848406151E-41/0.0/0.999999999835714/","6/8/9/","no"
"7","106988200","248/732/50/919/128/722/4494307/","0.01665142698361747/1.2586693833900831E-6/0.8082317677398959/3.217351923953982E-8/0.17511398310831497/1.5313252690474266E-6/0.0/","2/7/8/","no"
"8","97859100","901/101165/101165/101165/101165/101165/6128/","0.9969661979227759/5.2920368279825E-49/5.2920368279825E-49/5.2920368279825E-49/5.2920368279825E-49/5.2920368279825E-49/0.0030338020772240847/","0/8/","no"
"9","102205300","197/4773/1317511/4773/1317511/4773/197/","0.4999999999311294/4.591366678799274E-11/0.0/4.591366678799274E-11/0.0/4.591366678799274E-11/0.4999999999311294/","0/6/8/9/","no"
"0","104974600","50/12226/3787/208227/3787/208227/156/","0.8887890798973597/1.832820991053283E-104/1.3368523320822812E-32/0.0/1.3368523320822812E-32/0.0/0.11121092010264023/","0/8/","no"
"1","102899500","101165/297/5961/89/5961/89/101165/","0.0/0.047233868104607266/2.2011727012764817E-29/0.47638306594769636/2.2011727012764817E-29/0.47638306594769636/0.0/","3/5/8/","no"
"2","113861400","14312/630/50/816/561/151/4494307/","3.123603868427181E-122/1.0111025254884366E-5/0.8786794702871559/2.6357102949897355E-7/3.911740913586107E-5/0.12127103770742378/0.0/","2/7/8/","no"
"3","103677200","4494307/188/816/50/619/128/4494307/","0.0/0.052054475358905124/2.3370878717010644E-7/0.7791262708289514/1.1123563099438226E-5/0.16880789654025705/0.0/","3/8/","no"
"4","103069500","272/868/171/587/50/784/4494307/","0.011634077117016719/9.782444769340032E-8/0.08429568107698622/2.417268229585413E-5/0.9040454634252736/5.07873979902868E-7/0.0/","4/8/","no"
"5","105639000","4494307/710/151/561/816/50/4494307/","0.0/2.10645616223226E-6/0.12127200843963916/3.91177222570312E-5/2.635731392928222E-7/0.8786865038088022/0.0/","5/8/","no"
"6","101701100","1287/1317511/4773/1317511/4773/1317511/50/","2.925700859656685E-11/0.0/6.038439849221515E-41/0.0/6.038439849221515E-41/0.0/0.9999999999707431/","6/8/9/","no"
"7","104006600","272/671/93/784/128/587/4494307/","0.08067683549641849/0.0011569308020628476/0.5416970021872666/3.477202432474824E-4/0.3732940261701338/0.00282748510087093/0.0/","2/7/8/","no"
"8","101487100","356/156/101165/101165/101165/101165/15809/","0.21859286971813813/0.7814071302818619/3.027509442488207E-280/3.027509442488207E-280/3.027509442488207E-280/3.027509442488207E-280/3.92139782272029E-44/","1/8/","no"
"9","105960000","156/12393/1317511/12393/1317511/12393/156/","0.5/7.061488853212094E-35/0.0/7.061488853212094E-35/0.0/7.061488853212094E-35/0.5/","0/6/8/9/","no"
"0","104000400","50/4706/147/4706/147/4706/31982/","0.7700889625861436/1.7298536987220913E-40/0.11495551870692824/1.7298536987220913E-40/0.11495551870692824/1.7298536987220913E-40/9.270470130619029E-273/","0/8/","no"
"1","106590700","101165/93/345/50/345/50/101165/","0.0/0.17662903854381926/0.0012622239884168965/0.41042325673967345/0.0012622239884168965/0.41042325673967345/0.0/","3/5/8/","no"
"2","106668100","289/630/50/742/128/545/4494307/","0.007521445813218025/9.38618709942005E-6/0.8156887853237655/1.0441056897021516E-6/0.17672964349601752/4.9695074209729654E-5/0.0/","2/7/8/","no"
"3","104062500","4494307/669/857/50/168/561/4494307/","0.0/4.873964244868589E-6/1.221669300344609E-7/0.9099660055403214/0.08998848809269863/4.0510235805114716E-5/0.0/","3/8/","no"
"4","103830000","5112/822/561/193/50/919/4494307/","7.38899274835671E-44/2.514288961363166E-7/4.197406847196804E-5/0.0571102154832667/0.9428475214871571/3.753220806619144E-8/0.0/","4/8/","no"
"5","103668500","4494307/710/151/561/816/50/4494307/","0.0/2.10645616223226E-6/0.12127200843963916/3.91177222570312E-5/2.635731392928222E-7/0.8786865038088022/0.0/","5/8/","no"
"6","101705600","1199/1317511/4773/1317511/4773/1317511/50/","1.6428608865326356E-10/0.0/6.038439848406151E-41/0.0/6.038439848406151E-41/0.0/0.999999999835714/","6/8/9/","no"
"7","104405100","248/732/50/919/128/722/4494307/","0.01665142698361747/1.2586693833900831E-6/0.8082317677398959/3.217351923953982E-8/0.17511398310831497/1.5313252690474266E-6/0.0/","2/7/8/","no"
"8","100538400","156/101165/101165/101165/101165/101165/15809/","1.0/3.8744328342590785E-280/3.8744328342590785E-280/3.8744328342590785E-280/3.8744328342590785E-280/3.8744328342590785E-280/5.018379882591806E-44/","0/8/","no"
"9","100482900","211/4773/1317511/4773/1317511/4773/211/","0.4999999996615179/2.256547124990602E-10/0.0/2.256547124990602E-10/0.0/2.256547124990602E-10/0.4999999996615179/","0/6/8/9/","no"
"0","107876100","50/4706/1287/4706/1287/4706/197/","0.9469671534605023/2.1271758362576684E-40/2.7705426150270926E-11/2.1271758362576684E-40/2.7705426150270926E-11/2.1271758362576684E-40/0.053032846484086925/","0/8/","no"
"1","103785100","101165/223/320/2268/5961/297/901/","8.111727807663494E-197/0.4139442995348943/0.2684583305174862/4.488135336068707E-5/3.1047271308572273E-12/0.29748811652387314/0.020064372067280907/","1/8/","no"
"2","107986700","14312/630/50/742/561/122/4494307/","2.858152192443961E-122/9.251765018031994E-6/0.8040070893244509/1.0291527744755262E-6/3.5793113785803074E-5/0.19594683664397078/0.0/","2/7/8/","no"
"3","104710000","4494307/635/891/50/182/561/4494307/","0.0/9.702742678879297E-6/6.41071583095697E-8/0.9300529799890697/0.06989584868521018/4.140447588284919E-5/0.0/","3/8/","no"
