"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","95800700","914/1275/156/","0.007932460148993034/7.958060038268694E-4/0.9912717338471801/","2/4/","no"
"1","109551200","83/50/358/","0.3431158749451278/0.6553222120499439/0.001561913004928181/","1/","no"
"2","101254600","373066/914/914/","1.1513290970909815E-177/0.5/0.5/","1/2/4/","no"
"3","97326600","8674/914/1239/","1.2190900148151813E-4/0.5878042091900143/0.41207388180850424/","1/","no"
"4","99267500","1281/392/107/","1.774525826843481E-5/0.06667596498479068/0.933306289756941/","2/4/","no"
"5","92070200","150/2884/2951/","0.9999999775113931/1.3698763174939097E-8/8.789843790681249E-9/","0/3/5/","no"
"0","97282500","914/215/1010/","0.03693335395313181/0.9393857038131781/0.02368094223369005/","1/","no"
"1","96503200","150/2884/2951/","0.9999999775113931/1.3698763174939097E-8/8.789843790681249E-9/","0/3/5/","no"
"2","96858400","51/1010/391/","0.9985553676963456/9.771915125196167E-9/0.0014446225317391991/","0/3/5/","no"
"3","95814300","8881/1010/1062/","2.1318825486721404E-4/0.5127463870649696/0.4870404246801632/","1/2/4/","no"
"4","92708100","3186/512/246/","5.0506798729388806E-6/0.2540874539688247/0.7459074953513024/","2/4/","no"
"5","95661900","58441/2884/2951/","2.191246696529974E-9/0.5058056305103478/0.4941943672984055/","1/2/4/","no"
"0","92878200","914/1010/156/","0.007904730405619113/0.004288754642361988/0.987806514952019/","2/4/","no"
"1","94782200","58441/2884/257/","1.143302987008616E-98/3.7837556858758964E-5/0.9999621624431412/","2/4/","no"
"2","98775600","8449/914/914/","1.325895281611788E-4/0.4999337052359194/0.4999337052359194/","1/2/4/","no"
"3","93942500","58441/914/1004/","2.601709254604739E-28/0.5245703576484829/0.4754296423515171/","1/2/4/","no"
"4","95538000","8449/1275/1275/","0.0018049708523206302/0.49909751457383966/0.49909751457383966/","1/2/4/","no"
"5","100651500","331/2884/8282/","0.9995427207636057/4.572791966776165E-4/3.971657279677697E-11/","0/3/5/","no"
"0","93118500","914/1010/156/","0.007904730405619113/0.004288754642361988/0.987806514952019/","2/4/","no"
"1","96669800","1308/246/400/","0.008759438891513637/0.6453075282267824/0.34593303288170396/","1/","no"
"2","93684500","373066/914/914/","1.1513290970909815E-177/0.5/0.5/","1/2/4/","no"
"3","93470800","8881/1010/1062/","2.1318825486721404E-4/0.5127463870649696/0.4870404246801632/","1/2/4/","no"
"4","95847600","1029/197/197/","0.007427082345572138/0.49628645882721395/0.49628645882721395/","1/2/4/","no"
"5","92687800","3041/246/257/","6.225084343007039E-6/0.5111285816462021/0.4888651932694549/","1/2/4/","no"
"0","93159100","914/1010/156/","0.007904730405619113/0.004288754642361988/0.987806514952019/","2/4/","no"
"1","96247100","156/50/1010/","0.1112109194419602/0.8887890746172558/5.94078388693225E-9/","1/","no"
"2","98589500","1281/392/391/","0.049159292902887765/0.47481395036523455/0.4760267567318776/","1/2/4/","no"
"3","95568700","58441/914/941/","2.5164330249307323E-28/0.5073765139398384/0.4926234860601615/","1/2/4/","no"
"4","94113600","50/373066/108/","0.7571752792544765/0.0/0.24282472074552353/","0/3/5/","no"
"5","97774000","3410/331/358/","4.8815814481583055E-5/0.5202947272388692/0.4796564569466493/","1/2/4/","no"
"0","93725300","914/1275/156/","0.007932460148993034/7.958060038268694E-4/0.9912717338471801/","2/4/","no"
"1","98957800","172/50/400/","0.08369252183666123/0.9153499868274352/9.574913359035905E-4/","1/","no"
"2","94416500","403/124/93/","0.021048358036687264/0.4094880252354344/0.5694636167278783/","2/4/","no"
"3","98288400","1239/1239/156/","0.0010076780435179027/0.0010076780435179027/0.9979846439129642/","2/4/","no"
"4","93840100","8449/1275/1275/","0.0018049708523206302/0.49909751457383966/0.49909751457383966/","1/2/4/","no"
"5","95633300","3041/200/204/","3.6712070003172077E-7/0.504974774806391/0.4950248580729091/","1/2/4/","no"
"0","93662500","914/1010/156/","0.007904730405619113/0.004288754642361988/0.987806514952019/","2/4/","no"
"1","101541000","8321/8282/58441/","0.4982374428080111/0.5005888948908577/0.0011736623011311962/","0/1/3/5/","no"
"2","98101900","112/8282/50/","0.2286964769263984/6.123314827373773E-71/0.7713035230736016/","2/4/","no"
"3","98691300","22942/914/1010/","1.844218435036927E-11/0.5262054738920794/0.4737945260894785/","1/2/4/","no"
"4","94876200","186/58441/58441/","1.0/5.091174121017114E-136/5.091174121017114E-136/","0/3/5/","no"
"5","95036500","108/1275/246/","0.780053058321186/1.747367043676579E-5/0.2199294680083772/","0/3/5/","no"
"0","92998600","914/1275/156/","0.007932460148993034/7.958060038268694E-4/0.9912717338471801/","2/4/","no"
"1","98793300","977/50/54/","6.633250859697935E-9/0.5195977944316731/0.480402198935076/","1/2/4/","no"
"2","94869900","8449/914/914/","1.325895281611788E-4/0.4999337052359194/0.4999337052359194/","1/2/4/","no"
"3","96577800","1239/1239/156/","0.0010076780435179027/0.0010076780435179027/0.9979846439129642/","2/4/","no"
"4","95621200","8449/1275/1275/","0.0018049708523206302/0.49909751457383966/0.49909751457383966/","1/2/4/","no"
"5","97225400","94/83/914/","0.4672960296033852/0.5326770519050211/2.691849159377217E-5/","0/1/3/5/","no"
"0","99083100","1010/914/156/","0.004288754642361988/0.007904730405619113/0.987806514952019/","2/4/","no"
"1","92634100","3041/246/257/","6.225084343007039E-6/0.5111285816462021/0.4888651932694549/","1/2/4/","no"
"2","99979200","112/8282/50/","0.2286964769263984/6.123314827373773E-71/0.7713035230736016/","2/4/","no"
"3","95054300","812/156/50/","2.8835540109550965E-7/0.11121088803437078/0.8887888236102282/","2/4/","no"
"4","95703400","58441/1010/1010/","1.0675300357444917E-25/0.5/0.5/","1/2/4/","no"
"5","97830700","8881/320/3171/","2.6145716396433716E-12/0.9998611003500225/1.38899647362773E-4/","1/","no"
"0","93778800","292/8881/94/","0.11064097309428668/6.013444427540023E-41/0.8893590269057133/","2/4/","yes"
"1","102683600","8449/54/150/","4.375142967721609E-67/0.851378569648545/0.148621430351455/","1/","yes"
"2","102488700","1302/58441/285/","0.02776168677768107/4.7553086639848145E-89/0.9722383132223189/","2/4/","yes"
