"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","106677400","50/48054/38036/","1.0/0.0/0.0/","0/3/5/","no"
"1","103797400","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/4/5/","no"
"2","106317700","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/3/","no"
"3","105144600","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/3/4/5/","no"
"4","102304600","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/4/5/","no"
"5","103262100","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/3/5/","no"
"0","101145500","50/48054/38036/","1.0/0.0/0.0/","0/3/5/","no"
"1","102367500","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/4/5/","no"
"2","103185300","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/3/","no"
"3","102008700","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/3/4/5/","no"
"4","103152300","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/4/5/","no"
"5","103459200","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/3/5/","no"
"0","99532300","50/48054/38036/","1.0/0.0/0.0/","0/3/5/","no"
"1","100797600","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/4/5/","no"
"2","104555500","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/3/","no"
"3","103834300","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/3/4/5/","no"
"4","107618800","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/4/5/","no"
"5","101801300","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/3/5/","no"
"0","98661600","50/48054/38036/","1.0/0.0/0.0/","0/3/5/","no"
"1","107799500","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/4/5/","no"
"2","101373400","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/3/","no"
"3","107850300","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/3/4/5/","no"
"4","103413200","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/4/5/","no"
"5","103325900","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/3/5/","no"
"0","101560200","50/48054/38036/","1.0/0.0/0.0/","0/3/5/","no"
"1","103459600","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/4/5/","no"
"2","101638400","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/3/","no"
"3","105702000","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/3/4/5/","no"
"4","102480600","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/4/5/","no"
"5","103961400","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/3/5/","no"
"0","101107600","50/48054/38036/","1.0/0.0/0.0/","0/3/5/","no"
"1","102877300","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/4/5/","no"
"2","98661700","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/3/","no"
"3","105796200","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/3/4/5/","no"
"4","106787600","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/4/5/","no"
"5","104750000","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/3/5/","no"
"0","101120300","50/48054/38036/","1.0/0.0/0.0/","0/3/5/","no"
"1","101159400","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/4/5/","no"
"2","101313200","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/3/","no"
"3","105305700","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/3/4/5/","no"
"4","101393700","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/4/5/","no"
"5","106654000","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/3/5/","no"
"0","98830000","50/48054/38036/","1.0/0.0/0.0/","0/3/5/","no"
"1","101438300","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/4/5/","no"
"2","101847700","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/3/","no"
"3","105647200","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/3/4/5/","no"
"4","102047200","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/4/5/","no"
"5","100019700","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/3/5/","no"
"0","96798600","50/48054/38036/","1.0/0.0/0.0/","0/3/5/","no"
"1","101348200","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/4/5/","no"
"2","98806200","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/3/","no"
"3","103229700","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/3/4/5/","no"
"4","103597400","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/4/5/","no"
"5","100509800","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/3/5/","no"
"0","98002400","50/48054/38036/","1.0/0.0/0.0/","0/3/5/","yes"
"1","109837900","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/4/5/","yes"
"2","105649100","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/3/","yes"
"3","111126000","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/3/4/5/","yes"
"4","131374600","138071/9942/18012/2202285/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/1.208714316849849E-96/","1/4/5/","yes"
"5","123167000","2062/47485/1801/340979/3119/","0.3687199841541807/4.163312833378068E-12/0.42618629937129343/7.679838759357887E-83/0.20509371647036248/","0/2/5/","yes"
