"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","90601300","50/79/2111/","0.6384464063437728/0.36155359365622713/1.796875681302703E-18/","0/3/4/","no"
"1","95740100","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/3/5/","no"
"2","93384500","2111/198/50/","2.6679392520794654E-18/0.0520567195841066/0.9479432804158934/","2/","no"
"3","89677700","79/50/5922/","0.36155359365622713/0.6384464063437728/6.333590512358332E-51/","1/3/5/","no"
"4","102916100","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/3/4/","no"
"5","89909500","79/691/79/","0.4998810172882551/2.3796542348975322E-4/0.4998810172882551/","0/2/3/4/","no"
"0","90676600","50/5922/5922/","1.0/9.920316645886167E-51/9.920316645886167E-51/","0/3/4/","no"
"1","89915600","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/3/5/","no"
"2","88186900","2111/79/691/","9.3049376098963E-12/0.9995241823718612/4.758176188339083E-4/","1/3/5/","no"
"3","92011300","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/3/4/","no"
"4","88693000","50/79/2111/","0.6384464063437728/0.36155359365622713/1.796875681302703E-18/","0/3/4/","no"
"5","88403400","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/3/5/","no"
"0","87770000","50/691/5922/","0.999996520531238/3.4794687619070422E-6/9.920282128454289E-51/","0/3/4/","no"
"1","89597000","79/50/691/","0.36155279048042166/0.6384449880624565/2.221457121650093E-6/","1/3/5/","no"
"2","96272200","2111/2111/691/","0.10221152604377126/0.10221152604377126/0.7955769479124575/","2/","no"
"3","89836400","79/50/5922/","0.36155359365622713/0.6384464063437728/6.333590512358332E-51/","1/3/5/","no"
"4","90358500","50/79/5922/","0.6384464063437728/0.36155359365622713/6.333590512358332E-51/","0/3/4/","no"
"5","89466000","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/3/5/","no"
"0","89562000","50/79/2111/","0.6384464063437728/0.36155359365622713/1.796875681302703E-18/","0/3/4/","no"
"1","90699700","79/50/5922/","0.36155359365622713/0.6384464063437728/6.333590512358332E-51/","1/3/5/","no"
"2","88565100","2111/2111/691/","0.10221152604377126/0.10221152604377126/0.7955769479124575/","2/","no"
"3","89942800","79/50/2111/","0.36155359365622713/0.6384464063437728/1.796875681302703E-18/","1/3/5/","no"
"4","89371000","79/50/5922/","0.36155359365622713/0.6384464063437728/6.333590512358332E-51/","1/3/5/","no"
"5","89494000","691/79/5922/","4.758176188383357E-4/0.9995241823811617/1.9055049612076375E-32/","1/3/5/","no"
"0","90897300","50/79/2111/","0.6384464063437728/0.36155359365622713/1.796875681302703E-18/","0/3/4/","no"
