"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","91651000","50/25963/3989/","1.0/2.1668323098208784E-221/2.8650879396131564E-34/","0/4/","no"
"1","93770000","25963/50/112/","1.6712853944745533E-221/0.7713035230736016/0.2286964769263984/","1/","no"
"2","98926600","25963/214/182/","3.564278208990756E-62/0.4563952058153308/0.5436047941846691/","1/2/3/5/","no"
"3","92342300","103/3989/185/","0.6875008976373818/4.070923271351379E-17/0.31249910236261813/","0/4/","no"
"4","89889600","1317511/1830/525508/","8.5884907347E-313/1.0/6.150804144756857E-125/","1/","no"
"5","91391200","1317511/30484/705/","0.0/4.80294888987639E-19/1.0/","2/3/5/","no"
"0","90273500","54/25963/1484/","0.9999999999948909/2.6044376824675433E-205/5.1090890280372285E-12/","0/4/","no"
"1","91089600","25963/61/1468/","3.6557211411845574E-182/0.9999999998605825/1.3941745820613722E-10/","1/","no"
"2","91004600","25963/214/182/","3.564278208990756E-62/0.4563952058153308/0.5436047941846691/","1/2/3/5/","no"
"3","89163900","112/25963/185/","0.6561124999941387/2.9071545476557355E-100/0.34388750000586127/","0/4/","no"
"4","89326200","1317511/4757/525508/","1.500246461450357E-120/1.0/2.9347654904369047E-48/","1/","no"
"5","90647000","251/30903/606/","0.8035655790701367/1.2012861967193073E-53/0.19643442092986332/","0/4/","no"
"0","94120400","68/25963/10317/","1.0/1.032016944037623E-163/3.1012310964847675E-65/","0/4/","no"
"1","90111700","25963/55/107/","8.553604846004118E-202/0.7167853694650884/0.2832146305349116/","1/","no"
"2","90341000","25963/1468/25963/","5.732043231377761E-8/0.9999998853591353/5.732043231377761E-8/","1/","no"
"3","89915100","90/25963/193/","0.7561834914186483/2.5153173886111403E-124/0.24381650858135176/","0/4/","no"
"4","87506400","1317511/595/208227/","0.0/1.0/5.0384334427721745E-152/","1/","no"
"5","89979900","31001/210/4549/","4.206100611074954E-64/0.9999999988273282/1.1726718680088984E-9/","1/","no"
