"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","119129000","55/170/10317/55/10317/25963/216/535/1551/1551/1551/10317/1468/1468/1468/1468/1551/","0.4576907181643098/0.058710714476060535/1.191539095113106E-80/0.4576907181643098/1.191539095113106E-80/5.461754259553179E-202/0.02582114340554175/8.6705765041201E-5/1.1447357116166482E-12/1.1447357116166482E-12/1.1447357116166482E-12/1.191539095113106E-80/5.0395492721608514E-12/5.0395492721608514E-12/5.0395492721608514E-12/5.0395492721608514E-12/1.1447357116166482E-12/","0/3/","no"
"1","133338700","868/269/868/78/101165/101165/280/150/40251/691/6089/868/101165/40251/40251/40251/150/","2.303213959236648E-5/0.04521431843108424/2.303213959236648E-5/0.5073166349124738/0.0/0.0/0.03933730517770963/0.2039230934856075/7.215874271487215E-222/2.1645808874009098E-4/4.575269586438859E-34/2.303213959236648E-5/0.0/7.215874271487215E-222/7.215874271487215E-222/7.215874271487215E-222/0.2039230934856075/","3/","no"
"2","127011600","3989/1468/3989/78/3989/78/97/10317/3989/3989/78/1468/25963/10317/10317/10317/10317/","8.345790659717116E-23/6.0312748258102415E-9/8.345790659717116E-23/0.26411498384449367/8.345790659717116E-23/0.26411498384449367/0.20765503640396918/1.3612244671292796E-57/8.345790659717116E-23/8.345790659717116E-23/0.26411498384449367/6.0312748258102415E-9/1.3232220697938592E-143/1.3612244671292796E-57/1.3612244671292796E-57/1.3612244671292796E-57/1.3612244671292796E-57/","3/5/10/","no"
"3","120511200","952/348/348/68/6209/6209/375/2474/2474/2474/68/6209/6209/78/2474/78/952/","7.22626411635754E-7/0.004576822588180329/0.004576822588180329/0.2648003150473899/5.89806572888589E-40/5.89806572888589E-40/0.003094729958679059/1.9022112121387178E-16/1.9022112121387178E-16/1.9022112121387178E-16/0.2648003150473899/5.89806572888589E-40/5.89806572888589E-40/0.22907477475867827/1.9022112121387178E-16/0.22907477475867827/7.22626411635754E-7/","3/10/13/15/","no"
"4","122640100","15712/318/2111/122/318/691/328/40251/40251/40251/97/101165/101165/150/40251/150/15712/","1.947912217900443E-70/0.03230395162205721/3.6596475596429545E-10/0.23869571075252247/0.03230395162205721/7.182533730024592E-4/0.02917023230437396/3.492347318411467E-179/3.492347318411467E-179/3.492347318411467E-179/0.3080590867900479/0.0/0.0/0.17937440658498696/3.492347318411467E-179/0.17937440658498696/1.947912217900443E-70/","10/","no"
"5","125872800","3989/97/1468/157/97/157/102/10317/10317/529/97/168/25963/10317/10317/10317/3989/","1.0220677010987845E-18/0.1807901656046515/1.518740702546551E-7/0.09801221901648924/0.1807901656046515/0.09801221901648924/0.1717975321082652/9.256878147557687E-47/9.256878147557687E-47/0.0022015767041924646/0.1807901656046515/0.08760580446653903/4.2660018376782725E-116/9.256878147557687E-47/9.256878147557687E-47/9.256878147557687E-47/1.0220677010987845E-18/","1/4/6/10/","no"
"6","125933500","10317/55/502/55/535/10317/50/1468/502/535/535/170/25963/1551/1551/1551/1551/","1.2789184440324184E-88/0.3116772275280132/4.8667795199019046E-5/0.3116772275280132/2.5481652879010097E-5/1.2789184440324184E-88/0.3437818643065905/2.8919664468227435E-13/4.8667795199019046E-5/2.5481652879010097E-5/2.5481652879010097E-5/0.03268990008783178/7.449176511099774E-222/5.680679266550559E-14/5.680679266550559E-14/5.680679266550559E-14/5.680679266550559E-14/","1/3/6/","no"
"7","118820300","109/561/109/1366/1366/109/55/561/55/1366/109/1366/1366/1366/1366/1366/109/","0.09759476120110808/3.0482432172292826E-5/0.09759476120110808/1.7420733569097556E-11/1.7420733569097556E-11/0.09759476120110808/0.2559826144953745/3.0482432172292826E-5/0.2559826144953745/1.7420733569097556E-11/0.09759476120110808/1.7420733569097556E-11/1.7420733569097556E-11/1.7420733569097556E-11/1.7420733569097556E-11/1.7420733569097556E-11/0.09759476120110808/","6/8/","no"
"8","117126800","561/109/561/1366/1366/561/227/95/50/1366/54/55/55/1366/1366/54/54/","7.014710927811472E-6/0.04955084549183455/7.014710927811472E-6/9.794210349649044E-13/9.794210349649044E-13/7.014710927811472E-6/0.004900189284408954/0.06520323784893682/0.15756878122626794/9.794210349649044E-13/0.14568266031116323/0.14285396053869082/0.14285396053869082/9.794210349649044E-13/9.794210349649044E-13/0.14568266031116323/0.14568266031116323/","8/10/11/12/15/16/","no"
"9","124361100","228/592/228/78/25963/25963/193/10317/10317/78/78/228/25963/3989/10317/10317/1468/","0.04065087361347532/4.0552424783551924E-4/0.04065087361347532/0.27144363287100387/1.3599387679247054E-143/1.3599387679247054E-143/0.06331095010009659/1.398995653832426E-57/1.398995653832426E-57/0.27144363287100387/0.27144363287100387/0.04065087361347532/1.3599387679247054E-143/8.577369230926866E-23/1.398995653832426E-57/1.398995653832426E-57/6.1986303303613E-9/","3/9/10/","no"
"10","122989300","25963/1468/25963/82/25963/25963/228/10317/10317/1535/10317/78/1551/535/10317/10317/10317/","2.3818012890066642E-143/1.0856301812367899E-8/2.3818012890066642E-143/0.4519352706651773/2.3818012890066642E-143/2.3818012890066642E-143/0.07119607548182139/2.4502056491099902E-57/2.4502056491099902E-57/4.648964272799711E-9/2.4502056491099902E-57/0.4754072829701141/3.796626131379442E-9/0.0014613515809949447/2.4502056491099902E-57/2.4502056491099902E-57/2.4502056491099902E-57/","3/11/","no"
"11","125735300","150/5922/122/198/15712/50/272/150/15712/50/78/5922/101165/40251/40251/40251/40251/","0.04439286973442162/3.128935154547048E-51/0.07686867703694321/0.017320701322689626/1.3424162277049168E-134/0.3154067824885991/0.004058940594424863/0.04439286973442162/1.3424162277049168E-134/0.3154067824885991/0.18215237659990094/3.128935154547048E-51/0.0/0.0/0.0/0.0/0.0/","5/9/","no"
"12","124839200","241/228/241/157/193/25963/1468/64/592/592/592/241/25963/50/64/1468/239/","0.008353343141152752/0.010778611951175519/0.008353343141152752/0.043367948673609415/0.021409576148417455/7.658805442560293E-222/2.973349917218939E-13/0.2686071948494134/8.568255669334101E-6/8.568255669334101E-6/8.568255669334101E-6/0.008353343141152752/7.658805442560293E-222/0.3534563061408942/0.2686071948494134/2.973349917218939E-13/0.008687433196015585/","13/","no"
"13","116708500","2474/2474/2474/2474/159/6209/6209/348/952/159/6209/159/6209/6209/6209/6209/2474/","1.5702091319248531E-7/1.5702091319248531E-7/1.5702091319248531E-7/1.5702091319248531E-7/0.3017559094040536/1.1426038599025512E-17/1.1426038599025512E-17/0.09260734364791265/0.002124143035360434/0.3017559094040536/1.1426038599025512E-17/0.3017559094040536/1.1426038599025512E-17/1.1426038599025512E-17/1.1426038599025512E-17/1.1426038599025512E-17/1.5702091319248531E-7/","4/9/11/","no"
"14","120658000","83/82/83/68/83/6209/2474/159/2474/348/2474/83/159/952/159/159/68/","0.112977760703368/0.1146270420000792/0.112977760703368/0.14041218783365658/0.112977760703368/3.127489908127061E-40/1.0086605749328844E-16/0.03755256617341886/1.0086605749328844E-16/0.002426891647836176/1.0086605749328844E-16/0.112977760703368/0.03755256617341886/3.8317762358402776E-7/0.03755256617341886/0.03755256617341886/0.14041218783365658/","0/1/2/3/4/11/16/","no"
"15","116554800","109/561/109/561/561/109/109/1366/227/1366/109/561/50/50/50/50/561/","0.056118721677556806/7.944498349099585E-6/0.056118721677556806/7.944498349099585E-6/7.944498349099585E-6/0.056118721677556806/0.056118721677556806/1.1092415461487445E-12/0.005549700633552421/1.1092415461487445E-12/0.056118721677556806/7.944498349099585E-6/0.17845424212117486/0.17845424212117486/0.17845424212117486/0.17845424212117486/7.944498349099585E-6/","12/13/14/15/","no"
"16","124224600","348/2474/381/2474/78/381/381/83/2474/134/54/54/6209/2474/2474/68/50/","5.975231113423731E-4/4.701492169631684E-22/3.1285322148144764E-4/4.701492169631684E-22/0.11900378879346223/3.1285322148144764E-4/3.1285322148144764E-4/0.10789042357219102/4.701492169631684E-22/0.03969066873148784/0.19051740714840615/0.19051740714840615/7.354473734292063E-54/4.701492169631684E-22/4.701492169631684E-22/0.14478266596187966/0.20606155586838026/","10/11/16/","no"
"17","117677900","381/375/381/375/381/6209/2474/952/2474/2474/2474/381/50/55/55/50/375/","3.9698831230790336E-4/4.4655112661000254E-4/3.9698831230790336E-4/4.4655112661000254E-4/3.9698831230790336E-4/9.332299989957259E-54/5.965856553794782E-22/5.449826034186529E-9/5.965856553794782E-22/5.965856553794782E-22/5.965856553794782E-22/3.9698831230790336E-4/0.26147734361936253/0.23705885034119356/0.23705885034119356/0.26147734361936253/4.4655112661000254E-4/","12/13/14/15/","no"
"18","121804900","78/82/83/82/83/381/381/2474/2474/2474/375/83/6209/2474/2474/50/78/","0.12035518256745728/0.11127625055044794/0.10911561520825057/0.11127625055044794/0.10911561520825057/3.164059478271449E-4/3.164059478271449E-4/4.754881791180235E-22/4.754881791180235E-22/4.754881791180235E-22/3.5590829273263815E-4/0.10911561520825057/7.437990319068887E-54/4.754881791180235E-22/4.754881791180235E-22/0.20840156795105072/0.12035518256745728/","15/","no"
"19","120065400","83/83/83/83/83/381/381/2474/83/6209/381/83/6209/78/6209/6209/83/","0.10947693086119971/0.10947693086119971/0.10947693086119971/0.10947693086119971/0.10947693086119971/0.0025182442972266758/0.0025182442972266758/7.85313002099883E-15/0.10947693086119971/2.3028167057599206E-35/0.0025182442972266758/0.10947693086119971/2.3028167057599206E-35/0.11662982021871449/2.3028167057599206E-35/2.3028167057599206E-35/0.10947693086119971/","0/1/2/3/4/8/11/13/16/","no"
"0","121261800","50/1551/10317/73/10317/25963/216/1551/535/157/1551/10317/25963/1551/1551/1551/1551/","0.5560625512624028/9.188422467348235E-14/2.0686334175295112E-88/0.3542136981308141/2.0686334175295112E-88/1.2048943023568027E-221/0.021455452940543285/9.188422467348235E-14/4.121623151606624E-5/0.06822708143408082/9.188422467348235E-14/2.0686334175295112E-88/1.2048943023568027E-221/9.188422467348235E-14/9.188422467348235E-14/9.188422467348235E-14/9.188422467348235E-14/","0/","no"
"1","125092300","5922/5922/2111/79/101165/50/282/40251/40251/868/272/5922/101165/15712/40251/40251/868/","6.240178430299217E-51/6.240178430299217E-51/1.7703741418892593E-18/0.35622115640858953/0.0/0.6290301663795119/0.006653610282500402/0.0/0.0/6.806574569316422E-8/0.008094930797906718/6.240178430299217E-51/0.0/2.677242056753499E-134/0.0/0.0/6.806574569316422E-8/","5/","no"
"2","132918900","3989/1468/50/79/50/50/102/10317/10317/529/79/25963/25963/228/10317/228/3989/","6.290793942502691E-35/1.8470463374778203E-13/0.21956722010257293/0.12434139606457094/0.21956722010257293/0.21956722010257293/0.07920588363807311/8.168219346314215E-89/8.168219346314215E-89/1.8306512004605075E-5/0.12434139606457094/4.757653466958073E-222/4.757653466958073E-222/0.006695678706438458/8.168219346314215E-89/0.006695678706438458/6.290793942502691E-35/","2/4/5/","no"
"3","119092700","348/348/348/68/6209/6209/375/2474/2474/78/68/123/6209/952/2474/2474/78/","0.004072254285587989/0.004072254285587989/0.004072254285587989/0.23560760702448624/5.247837987682312E-40/5.247837987682312E-40/0.0027535538234570067/1.6925033932340418E-16/1.6925033932340418E-16/0.2038206015763476/0.23560760702448624/0.10617262315709464/5.247837987682312E-40/6.429610160687366E-7/1.6925033932340418E-16/1.6925033932340418E-16/0.2038206015763476/","3/9/10/16/","no"
"4","126447100","2111/5922/806/140/101165/901/126/150/40251/40251/895/5922/101165/40251/40251/40251/150/","4.5760931878590447E-8/4.248550268816771E-21/0.0013277830935725162/0.251540797415933/0.0/6.284361850040003E-4/0.2808558120384752/0.2324941434550173/1.7193513156999324E-138/1.7193513156999324E-138/6.588385960487456E-4/4.248550268816771E-21/0.0/1.7193513156999324E-138/1.7193513156999324E-138/1.7193513156999324E-138/0.2324941434550173/","3/6/7/16/","no"
"5","124262100","193/64/193/64/78/25963/78/592/10317/228/78/228/25963/1468/10317/1468/10317/","0.028311798896462896/0.20600367831190286/0.028311798896462896/0.20600367831190286/0.16608661163540744/1.8659887628250224E-174/0.16608661163540744/6.110369753199178E-5/6.44067737251582E-70/0.016524053404030802/0.16608661163540744/0.016524053404030802/1.8659887628250224E-174/8.572631701277423E-11/6.44067737251582E-70/8.572631701277423E-11/6.44067737251582E-70/","1/3/4/6/10/","no"
"6","124025200","10317/55/502/55/535/10317/50/1468/502/535/535/170/25963/1551/1551/1551/1551/","1.2789184440324184E-88/0.3116772275280132/4.8667795199019046E-5/0.3116772275280132/2.5481652879010097E-5/1.2789184440324184E-88/0.3437818643065905/2.8919664468227435E-13/4.8667795199019046E-5/2.5481652879010097E-5/2.5481652879010097E-5/0.03268990008783178/7.449176511099774E-222/5.680679266550559E-14/5.680679266550559E-14/5.680679266550559E-14/5.680679266550559E-14/","1/3/6/","no"
"7","119670300","109/1366/109/1366/1366/109/55/55/55/1366/109/1366/1366/1366/1366/1366/109/","0.07770768282275105/1.387087608050538E-11/0.07770768282275105/1.387087608050538E-11/1.387087608050538E-11/0.07770768282275105/0.20382052858713556/0.20382052858713556/0.20382052858713556/1.387087608050538E-11/0.07770768282275105/1.387087608050538E-11/1.387087608050538E-11/1.387087608050538E-11/1.387087608050538E-11/1.387087608050538E-11/0.07770768282275105/","6/7/8/","no"
"8","122195000","109/561/109/561/1366/109/55/55/561/561/106/1366/1366/561/561/561/561/","0.10748807045550365/3.357247639797823E-5/0.10748807045550365/3.357247639797823E-5/1.9186696234679198E-11/0.10748807045550365/0.28193190867657403/0.28193190867657403/3.357247639797823E-5/3.357247639797823E-5/0.11340339141159726/1.9186696234679198E-11/1.9186696234679198E-11/3.357247639797823E-5/3.357247639797823E-5/3.357247639797823E-5/3.357247639797823E-5/","6/7/","no"
"9","121712900","1551/3989/1551/82/25963/1551/228/10317/10317/78/1535/228/529/502/10317/10317/10317/","3.5365798466237392E-9/1.3993485828285642E-22/3.5365798466237392E-9/0.4209803954629034/2.2186620820372684E-143/3.5365798466237392E-9/0.06631956821522167/2.282381150755451E-57/2.282381150755451E-57/0.44284471467812814/4.3305379002076025E-9/0.06631956821522167/0.00146867174560146/0.0020670667426462563/2.282381150755451E-57/2.282381150755451E-57/2.282381150755451E-57/","3/9/","no"
"10","123663400","228/592/78/78/25963/78/64/1468/10317/193/1468/228/25963/10317/10317/10317/1468/","0.021580759320999687/7.980270686727557E-5/0.2169125882436172/0.2169125882436172/2.4370203485540435E-174/0.2169125882436172/0.269045112127594/1.1196036285365136E-10/8.411659345434386E-70/0.036975801456806484/1.1196036285365136E-10/0.021580759320999687/2.4370203485540435E-174/8.411659345434386E-70/8.411659345434386E-70/8.411659345434386E-70/1.1196036285365136E-10/","2/3/5/6/","no"
"11","132168300","895/5922/5922/140/101165/901/6089/40251/40251/150/140/2111/101165/15712/40251/40251/150/","0.0012205359525319813/4.0075067347397146E-19/4.0075067347397146E-19/0.2582427403616985/1.75651552229E-312/0.0011696878006412247/1.2260187400430137E-19/7.345618676264372E-125/7.345618676264372E-125/0.24056203808468338/0.2582427403616985/2.1935406301548655E-7/1.75651552229E-312/2.8097568866046688E-49/7.345618676264372E-125/7.345618676264372E-125/0.24056203808468338/","3/9/10/16/","no"
"12","126180100","1551/1468/1551/1551/1551/10317/10317/228/535/25963/10317/1551/55/55/55/55/1468/","6.182112219499306E-13/2.721594060536107E-12/6.182112219499306E-13/6.182112219499306E-13/6.182112219499306E-13/6.434872543206461E-81/6.434872543206461E-81/0.01125496164152184/4.682519852597642E-5/2.949604647189818E-202/6.434872543206461E-81/6.182112219499306E-13/0.2471745532878545/0.2471745532878545/0.2471745532878545/0.2471745532878545/2.721594060536107E-12/","12/13/14/15/","no"
"13","120314600","381/2474/381/2474/952/381/136/136/136/952/381/952/6209/6209/6209/6209/2474/","0.04548623580102234/1.0543906029700347E-8/0.04548623580102234/1.0543906029700347E-8/7.043545401990283E-4/0.04548623580102234/0.2719806538478652/0.2719806538478652/0.2719806538478652/7.043545401990283E-4/0.04548623580102234/7.043545401990283E-4/1.5238048011424606E-20/1.5238048011424606E-20/1.5238048011424606E-20/1.5238048011424606E-20/1.0543906029700347E-8/","6/7/8/","no"
"14","119739700","83/2474/83/2474/2474/83/83/348/952/6209/83/2474/78/952/952/952/2474/","0.16392547688780604/1.175889818637972E-14/0.16392547688780604/1.175889818637972E-14/1.175889818637972E-14/0.16392547688780604/0.16392547688780604/0.005725795750956312/2.7378342668784658E-6/3.4481266848401374E-35/0.16392547688780604/1.175889818637972E-14/0.1746358684728873/2.7378342668784658E-6/2.7378342668784658E-6/2.7378342668784658E-6/1.175889818637972E-14/","0/2/5/6/10/12/","no"
"15","116440300","381/348/381/381/381/2474/2474/134/55/6209/2474/381/6209/6209/6209/6209/348/","0.002334335504649019/0.004208107343326811/0.002334335504649019/0.002334335504649019/0.002334335504649019/1.369011241957214E-19/1.369011241957214E-19/0.1921817532729071/0.7877303545171941/1.4808672316178074E-48/1.369011241957214E-19/0.002334335504649019/1.4808672316178074E-48/1.4808672316178074E-48/1.4808672316178074E-48/1.4808672316178074E-48/0.004208107343326811/","8/","no"
"16","123162800","348/2474/381/2474/78/381/381/83/2474/134/54/54/6209/2474/2474/68/50/","5.975231113423731E-4/4.701492169631684E-22/3.1285322148144764E-4/4.701492169631684E-22/0.11900378879346223/3.1285322148144764E-4/3.1285322148144764E-4/0.10789042357219102/4.701492169631684E-22/0.03969066873148784/0.19051740714840615/0.19051740714840615/7.354473734292063E-54/4.701492169631684E-22/4.701492169631684E-22/0.14478266596187966/0.20606155586838026/","10/11/16/","no"
"17","122856000","2474/55/2474/136/2474/6209/55/381/136/136/136/2474/348/348/348/348/381/","5.853680505148624E-20/0.3368213260950873/5.853680505148624E-20/0.07929095239045371/5.853680505148624E-20/6.331959430838253E-49/0.3368213260950873/9.981257872290939E-4/0.07929095239045371/0.07929095239045371/0.07929095239045371/5.853680505148624E-20/0.00179932166838808/0.00179932166838808/0.00179932166838808/0.00179932166838808/9.981257872290939E-4/","1/6/","no"
"18","123913000","2474/55/2474/136/2474/6209/55/381/136/136/136/2474/348/348/348/348/381/","5.853680505148624E-20/0.3368213260950873/5.853680505148624E-20/0.07929095239045371/5.853680505148624E-20/6.331959430838253E-49/0.3368213260950873/9.981257872290939E-4/0.07929095239045371/0.07929095239045371/0.07929095239045371/5.853680505148624E-20/0.00179932166838808/0.00179932166838808/0.00179932166838808/0.00179932166838808/9.981257872290939E-4/","1/6/","no"
"19","113521100","6209/2474/6209/952/6209/6209/6209/2474/6209/6209/2474/6209/6209/6209/6209/6209/381/","1.91363445643551E-7/0.0033741749315462327/1.91363445643551E-7/0.1813527488696276/1.91363445643551E-7/1.91363445643551E-7/1.91363445643551E-7/0.0033741749315462327/1.91363445643551E-7/1.91363445643551E-7/0.0033741749315462327/1.91363445643551E-7/1.91363445643551E-7/1.91363445643551E-7/1.91363445643551E-7/1.91363445643551E-7/0.808522429974386/","16/","no"
"0","130787000","78/228/3989/1468/3989/157/228/10317/3989/3989/3989/228/25963/10317/10317/10317/10317/","0.5503111927941209/0.0824135401878654/1.738932773107303E-22/1.2566791914445124E-8/1.738932773107303E-22/0.202448174075491/0.0824135401878654/2.836253548596511E-57/1.738932773107303E-22/1.738932773107303E-22/1.738932773107303E-22/0.0824135401878654/2.757071579053259E-143/2.836253548596511E-57/2.836253548596511E-57/2.836253548596511E-57/2.836253548596511E-57/","0/","no"
"1","125989400","868/280/6089/280/101165/101165/280/6128/15712/868/6089/868/101165/40251/40251/40251/6089/","0.03660843732121247/0.2967248956094088/3.1214674204604E-10/0.2967248956094088/3.5592770202818284E-157/3.5592770202818284E-157/0.2967248956094088/2.7169588439877807E-10/4.18508917438051E-25/0.03660843732121247/3.1214674204604E-10/0.03660843732121247/3.5592770202818284E-157/4.964732457535719E-63/4.964732457535719E-63/4.964732457535719E-63/3.1214674204604E-10/","1/3/6/","no"
"2","121080200","1468/502/1468/50/25963/25963/529/3989/10317/239/502/1468/241/83/10317/10317/10317/","5.350730114996178E-13/9.004538682942015E-5/5.350730114996178E-13/0.6360668452276655/1.3782501914451418E-221/1.3782501914451418E-221/5.303234851018224E-5/1.8223874470495727E-34/2.3662610057687684E-88/0.015633582228161032/9.004538682942015E-5/5.350730114996178E-13/0.015032366169693449/0.3330340832507057/2.3662610057687684E-88/2.3662610057687684E-88/2.3662610057687684E-88/","3/","no"
