"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","93521200","50/265/207616/","0.9854525645902817/0.014547435409718246/0.0/","0/","no"
"1","92051600","1793938/150/4494307/","0.0/1.0/0.0/","1/","no"
"2","91762600","2368056/14902303/50/","0.0/0.0/1.0/","2/","no"
"3","90558600","711063/868/334/","0.0/0.16881768032927133/0.8311823196707288/","2/","no"
"4","86933300","5951414/14902303/391/","0.0/0.0/1.0/","2/","no"
"5","86760700","5951414/14902303/56465/","4.57547285024944E-46/6.559247062733105E-115/1.0/","2/","no"
"0","89366400","50/186/207616/","0.9350308308713359/0.06496916912866406/0.0/","0/","no"
"1","96291800","1793938/50/4494307/","0.0/1.0/0.0/","1/","no"
"2","89943100","5951414/14902303/50/","0.0/0.0/1.0/","2/","no"
"3","88737900","281551/868/325/","0.0/0.15900578824253708/0.840994211757463/","2/","no"
"4","87328300","5951414/14902303/391/","0.0/0.0/1.0/","2/","no"
"5","89551800","5951414/14902303/55903/","1.5858925813567483E-46/4.619668693170245E-116/1.0/","2/","no"
"0","91196900","50/205/207616/","0.9543146467293375/0.04568535327066246/0.0/","0/","no"
"1","92563300","712589/150/4494307/","0.0/1.0/0.0/","1/","no"
"2","93411700","5951414/14902303/50/","0.0/0.0/1.0/","2/","no"
"3","87392800","280941/827/390/","1.82549766672E-312/0.24644799076279764/0.7535520092372023/","2/","no"
"4","88406300","5951414/14902303/391/","0.0/0.0/1.0/","2/","no"
"5","87071300","5951414/14902303/55903/","1.5858925813567483E-46/4.619668693170245E-116/1.0/","2/","no"
"0","91268800","50/205/207616/","0.9543146467293375/0.04568535327066246/0.0/","0/","no"
"1","90353400","1793938/50/4494307/","0.0/1.0/0.0/","1/","no"
"2","90113100","2368056/14902303/50/","0.0/0.0/1.0/","2/","no"
"3","87706000","110615/827/347/","1.954490616991307E-138/0.20111978423257484/0.7988802157674252/","2/","no"
"4","88271500","5951414/14902303/385/","0.0/0.0/1.0/","2/","no"
"5","88249200","5951414/14902303/55903/","1.5858925813567483E-46/4.619668693170245E-116/1.0/","2/","no"
"0","92209400","50/205/207616/","0.9543146467293375/0.04568535327066246/0.0/","0/","no"
"1","90658000","712589/50/4494307/","0.0/1.0/0.0/","1/","no"
"2","90136200","2368056/14902303/50/","0.0/0.0/1.0/","2/","no"
"3","88303800","16776/902/292/","3.279636969057686E-25/0.11086742221181203/0.889132577788188/","2/","no"
"4","87584000","2368056/14902303/394/","0.0/0.0/1.0/","2/","no"
"5","88195400","5951414/14902303/55903/","1.5858925813567483E-46/4.619668693170245E-116/1.0/","2/","no"
"0","89712900","357/1302/22523/","0.9333711218201248/0.06662887817987517/1.2027901812786767E-27/","0/","no"
"1","91526900","1793938/50/4494307/","0.0/1.0/0.0/","1/","no"
"2","89974100","5951414/14902303/50/","0.0/0.0/1.0/","2/","no"
"3","88526400","711063/827/364/","0.0/0.21951530896068616/0.7804846910393138/","2/","no"
"4","88051600","5951414/14902303/376/","0.0/0.0/1.0/","2/","no"
"5","87874300","5951414/14902303/55903/","1.5858925813567483E-46/4.619668693170245E-116/1.0/","2/","no"
"0","91861100","50/205/207616/","0.9543146467293375/0.04568535327066246/0.0/","0/","no"
"1","91249000","712589/150/4494307/","0.0/1.0/0.0/","1/","no"
"2","90214300","5951414/14902303/50/","0.0/0.0/1.0/","2/","no"
"3","89410800","280941/827/390/","1.82549766672E-312/0.24644799076279764/0.7535520092372023/","2/","no"
"4","87955800","5951414/14902303/385/","0.0/0.0/1.0/","2/","no"
"5","91342300","5951414/14902303/55903/","1.5858925813567483E-46/4.619668693170245E-116/1.0/","2/","no"
"0","90869400","50/265/207616/","0.9854525645902817/0.014547435409718246/0.0/","0/","no"
"1","91930200","712589/50/4494307/","0.0/1.0/0.0/","1/","no"
"2","91002100","5951414/14902303/50/","0.0/0.0/1.0/","2/","no"
"3","87542000","712589/827/372/","0.0/0.2279647598161021/0.7720352401838979/","2/","no"
"4","91565400","2368056/14902303/394/","0.0/0.0/1.0/","2/","no"
"5","88103300","5951414/14902303/56465/","4.57547285024944E-46/6.559247062733105E-115/1.0/","2/","no"
"0","90547600","50/205/207616/","0.9543146467293375/0.04568535327066246/0.0/","0/","no"
"1","91082000","1793938/128/4494307/","0.0/1.0/0.0/","1/","no"
"2","92621600","5951414/14902303/50/","0.0/0.0/1.0/","2/","no"
"3","94323300","712589/827/348/","0.0/0.2022173897208796/0.7977826102791205/","2/","no"
"4","88822100","5951414/14902303/376/","0.0/0.0/1.0/","2/","no"
"5","88220300","5951414/14902303/56465/","4.57547285024944E-46/6.559247062733105E-115/1.0/","2/","no"
"0","90536100","50/186/207616/","0.9350308308713359/0.06496916912866406/0.0/","0/","yes"
"1","94909900","712589/128/4494307/","0.0/1.0/0.0/","1/","yes"
"2","91135900","931925/14902303/50/","0.0/0.0/1.0/","2/","yes"
"3","91289500","6008/827/364/","1.5026671791266004E-7/0.21951527597484116/0.7804845737584409/","2/","yes"
"4","94926200","14902303/14902303/376/233/","0.0/0.0/0.3518057801362553/0.6481942198637447/","3/","yes"
"5","102699400","14902303/14902303/55903/55386/3115/","0.0/0.0/4.391762874278166E-8/5.184371170656976E-8/0.9999999042386596/","4/","yes"
