"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","98957700","246/1239/914/257/257/","0.3335845382987486/0.005987376920229371/0.02231910147239376/0.3190544916543141/0.3190544916543141/","0/3/4/","no"
"1","101147600","8449/68/947/292/292/","1.645903419707958E-53/0.92778765913678/2.7221655869878956E-6/0.03610480934881651/0.03610480934881651/","1/","no"
"2","103597500","109/1239/914/113/113/","0.34138115647883294/1.179915147802049E-5/2.2646107475981142E-4/0.32919029164746455/0.32919029164746455/","0/3/4/","no"
"3","97582800","832/691/6128/691/50/","2.19187017259377E-7/3.4794558925945764E-6/1.7470821776307377E-52/3.4794558925945764E-6/0.9999928219011976/","4/","no"
"4","97092300","328/198/2351/198/198/","0.14780956542007959/0.28406158315591595/5.6851121726679885E-6/0.28406158315591595/0.28406158315591595/","1/3/4/","no"
"5","98617300","484/246/137/354/354/","0.04149173226556626/0.23278886082721628/0.5128518122830451/0.10643379731208615/0.10643379731208615/","2/","no"
"6","97324000","175/11076/116/109/50/","0.05147361054401378/7.643073217952673E-95/0.1636830612723323/0.18776419746572684/0.597079130717927/","4/","no"
"7","103598600","162/3787/181/3787/3787/","0.5291081532256953/1.1618629481505179E-10/0.4708918464257458/1.1618629481505179E-10/1.1618629481505179E-10/","0/2/","no"
"0","99131600","246/1056/246/257/257/","0.2531300793444333/0.009531015569179957/0.2531300793444333/0.2421044128709767/0.2421044128709767/","0/2/3/4/","no"
"1","96089700","484/50/22942/2884/2884/","2.0144274022046928E-4/0.9997985572597795/1.1515934278505695E-195/7.358075450464001E-25/7.358075450464001E-25/","1/","no"
"2","98495100","93/145/246/97/97/","0.27113651013250883/0.1559337023709282/0.05324813854141414/0.25984082447757434/0.25984082447757434/","0/3/4/","no"
"3","96473600","328/272/6128/198/198/","0.1621111143388516/0.21479606138563914/3.564377309312936E-14/0.3115464121377368/0.3115464121377368/","3/4/","no"
"4","97674600","832/691/6128/691/50/","2.19187017259377E-7/3.4794558925945764E-6/1.7470821776307377E-52/3.4794558925945764E-6/0.9999928219011976/","4/","no"
"5","98046600","142/93/1118/97/97/","0.169140843857263/0.2848629989321713/5.235740672458348E-6/0.27299546073494657/0.27299546073494657/","1/3/4/","no"
"6","98517200","102/3787/154/302/302/","0.5289607203238889/1.5339120326184125E-16/0.31927723719688256/0.07588102123961427/0.07588102123961427/","0/","no"
"7","101661300","386/109/434/3787/3787/","0.07116220934363034/0.8828397742710172/0.04599801638534724/2.6586040920156618E-15/2.6586040920156618E-15/","1/","no"
"0","101635300","246/1239/914/54/257/","0.02887294231871087/4.163912349860108E-10/1.533865057178561E-7/0.9474877380702169/0.023639165808175277/","3/","no"
"1","98351500","411/320/146/428/354/","0.08859162184458143/0.16452868149728558/0.5374084285510807/0.07891655536778877/0.13055471273926353/","2/","no"
"2","95236400","50/115/50/54/54/","0.2422070490852502/0.06771333491300949/0.2422070490852502/0.22393628345824507/0.22393628345824507/","0/2/3/4/","no"
"3","97642800","484/354/8881/246/246/","0.12602838537889596/0.21332630713491552/2.1687738337608396E-16/0.3303226537430942/0.3303226537430942/","3/4/","no"
"4","98489400","145/93/2351/50/50/","0.060042400678000235/0.16644398622448187/9.842214176791025E-21/0.38675680654875894/0.38675680654875894/","3/4/","no"
"5","100031400","1239/246/162/428/428/","6.786683373060964E-4/0.3001858586149144/0.5025721616299791/0.09828165570890018/0.09828165570890018/","2/","no"
"6","97879700","180/3787/173/302/302/","0.32969789123297866/3.275227549793891E-10/0.34323201226594/0.1635350480867793/0.1635350480867793/","0/2/","no"
"7","108577200","161/3787/154/3787/3787/","0.48871159590251645/3.383480417100403E-11/0.5112884039959793/3.383480417100403E-11/3.383480417100403E-11/","0/2/","no"
"0","100233600","246/411/50/257/257/","0.020274520747446366/7.977746175793115E-4/0.9462456588627516/0.01634102288611133/0.01634102288611133/","2/","no"
"1","96083900","145/79/6128/140/691/","0.23001928825743762/0.5248765895293834/7.620188067827473E-34/0.2448542577942722/2.498644189066943E-4/","1/","no"
"2","100642500","138/1239/246/143/143/","0.29502942568638013/1.0712186044433357E-4/0.13565252895786492/0.2846054617476553/0.2846054617476553/","0/3/4/","no"
"3","96836900","282/198/6128/198/198/","0.1793551019940455/0.2735482993353077/3.129643973305803E-14/0.2735482993353077/0.2735482993353077/","1/3/4/","no"
"4","94392800","328/272/6128/198/198/","0.1621111143388516/0.21479606138563914/3.564377309312936E-14/0.3115464121377368/0.3115464121377368/","3/4/","no"
"5","96040600","185/93/3410/170/170/","0.16647022623885321/0.44298675726755776/2.0957511697026875E-16/0.19527150824679437/0.19527150824679437/","1/","no"
"6","97063000","358/4246/434/79/50/","0.0015188587250036056/1.1829048671833982E-36/3.4224211136748347E-4/0.3608807059606806/0.6372581932029483/","4/","no"
"7","103038100","143/3787/162/3787/3787/","0.5329383387437169/5.452727878972028E-12/0.467061661239925/5.452727878972028E-12/5.452727878972028E-12/","0/2/","no"
"0","101127300","109/1239/914/113/113/","0.34138115647883294/1.179915147802049E-5/2.2646107475981142E-4/0.32919029164746455/0.32919029164746455/","0/3/4/","no"
"1","99669300","185/50/3410/170/170/","0.056191285593402016/0.7929978479241894/1.936108410525791E-29/0.0754054332412043/0.0754054332412043/","1/","no"
"2","97798400","50/411/109/257/257/","0.7408214332432861/6.245825595760466E-4/0.23296701345277607/0.012793485372180948/0.012793485372180948/","0/","no"
"3","100619600","3238/2884/306/50/50/","3.547110710908221E-28/3.667662651450255E-25/0.003292681049008203/0.49835365947549587/0.49835365947549587/","3/4/","no"
"4","102226300","832/691/73/691/691/","3.509331744324875E-5/2.3590192143823792E-4/0.999257200918242/2.3590192143823792E-4/2.3590192143823792E-4/","2/","no"
"5","99262600","832/691/6128/691/691/","0.21374481959051903/0.2620512504727483/1.0142899123621083E-4/0.2620512504727483/0.2620512504727483/","0/1/3/4/","no"
"6","99037600","161/4246/103/50/50/","0.04598023556699162/7.523756807510196E-37/0.14337542569279493/0.4053221693701068/0.4053221693701068/","3/4/","no"
"7","98826300","126/1173/146/1442/1442/","0.5391941158147253/1.4170344205221197E-4/0.46063009860702453/1.7041068099030367E-5/1.7041068099030367E-5/","0/2/","no"
"0","96505500","914/3238/246/941/941/","0.05637255253246921/4.622015101767598E-6/0.8425523730211717/0.050535226215628684/0.050535226215628684/","2/","no"
"1","96743500","145/93/6128/272/272/","0.30705714793534417/0.5339089769342411/6.995801109108465E-29/0.07951693756520735/0.07951693756520735/","1/","no"
"2","102547400","109/161/914/113/113/","0.2814885344680685/0.17545181448916844/1.8673027154079473E-4/0.2714364603856111/0.2714364603856111/","0/3/4/","no"
"3","95309500","282/198/6128/198/198/","0.1793551019940455/0.2735482993353077/3.129643973305803E-14/0.2735482993353077/0.2735482993353077/","1/3/4/","no"
"4","97053400","1056/1098/22942/79/50/","1.731621225985051E-9/7.599738020858876E-10/7.353788204731019E-196/0.36155359275538207/0.638446404753023/","4/","no"
"5","98552000","186/50/146/152/152/","0.04655864772101011/0.6700681515044192/0.10200547463120245/0.09068386307168408/0.09068386307168408/","1/","no"
"6","101869100","175/11076/133/109/50/","0.05397814366591647/8.014959507357645E-95/0.12299068606658149/0.1969001730984888/0.6261309971690132/","4/","no"
"7","100974900","175/128/116/93/93/","0.10744658392373345/0.17714946837912576/0.20127123068278/0.2570663585071804/0.2570663585071804/","3/4/","no"
"0","100553600","50/2951/345/83/54/","0.4079593864741322/8.070955075633322E-26/0.0012546465519474865/0.21360078944109/0.3771851775328302/","0/4/","no"
"1","99890500","115/79/6128/122/93/","0.20828726140574333/0.32665945014500336/4.742460406683252E-34/0.1908367196244215/0.2742165688248319/","1/4/","no"
"2","100869200","50/161/50/54/54/","0.25236133094873864/0.02862817364037903/0.25236133094873864/0.2333245822310719/0.2333245822310719/","0/2/3/4/","no"
"3","96907700","255/272/6128/272/198/","0.23992852606886134/0.22028318766615024/3.65543199756662E-14/0.22028318766615024/0.31950509859880155/","4/","no"
"4","97453500","102/122/6128/93/50/","0.17728280678712482/0.11977193265277902/8.586044396123313E-53/0.2114982711407441/0.49144698941935205/","4/","no"
"5","96170700","8449/354/22942/914/914/","8.845482863661217E-11/0.7077161358886535/1.646252324469587E-28/0.14614193201144587/0.14614193201144587/","1/","no"
"6","99714200","432/3787/562/128/50/","4.588428249116656E-4/1.2356614507882742E-32/3.586235414325027E-5/0.17799167094887214/0.8215136238720729/","4/","no"
