"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","94057000","50/68/","0.5873306243819909/0.41266937561800915/","0/","no"
"1","92540500","122/68/","0.31375792494491594/0.6862420750550839/","1/","no"
"2","89380100","58441/8449/","0.002688142673023635/0.9973118573269764/","1/","no"
"3","93117900","58441/58441/","0.5/0.5/","0/1/","no"
"4","86312500","80624/80624/","0.5/0.5/","0/1/","no"
"0","86937600","198/188/","0.486775571748474/0.513224428251526/","0/1/","no"
"1","90534100","50/50/","0.5/0.5/","0/1/","no"
"2","88455500","15809/40251/","0.8243328751219164/0.17566712487808364/","0/","no"
"3","82726600","58686/148646/","0.8224269819592961/0.17757301804070386/","0/","no"
"4","90213600","80624/80624/","0.5/0.5/","0/1/","no"
"0","91736900","54/54/","0.5/0.5/","0/1/","no"
"1","93132300","188/188/","0.5/0.5/","0/1/","no"
"2","86767600","22425/22844/","0.5046707818127519/0.49532921818724807/","0/1/","no"
"3","85929600","8674/8674/","0.5/0.5/","0/1/","no"
"4","86156100","525508/525508/","0.5/0.5/","0/1/","no"
"0","86166000","50/50/","0.5/0.5/","0/1/","no"
"1","87338000","246/246/","0.5/0.5/","0/1/","no"
"2","82445600","148646/148646/","0.5/0.5/","0/1/","no"
"3","85597900","8282/8674/","0.5118292542459605/0.48817074575403946/","0/1/","no"
"4","85532100","525508/525508/","0.5/0.5/","0/1/","no"
"0","92116000","50/50/","0.5/0.5/","0/1/","no"
"1","86683100","198/188/","0.486775571748474/0.513224428251526/","0/1/","no"
"2","86872100","8674/8842/","0.5048413472510851/0.4951586527489149/","0/1/","no"
"3","82206600","40251/40251/","0.5/0.5/","0/1/","no"
"4","93694500","12226/30484/","0.8165659738489858/0.1834340261510142/","0/","no"
"0","86974800","50/83/","0.6563473695421823/0.34365263045781763/","0/","no"
"1","87499000","50/68/","0.5873306243819909/0.41266937561800915/","0/","no"
"2","91339500","8282/8842/","0.5168956534249286/0.4831043465750714/","0/1/","no"
"3","85675000","8282/8674/","0.5118292542459605/0.48817074575403946/","0/1/","no"
"4","86883000","12187/12187/","0.5/0.5/","0/1/","no"
"0","87571700","55/55/","0.5/0.5/","0/1/","no"
"1","89032600","50/50/","0.5/0.5/","0/1/","no"
"2","88411400","22425/22425/","0.5/0.5/","0/1/","no"
"3","87583300","5922/5922/","0.5/0.5/","0/1/","no"
"4","84309600","525508/525508/","0.5/0.5/","0/1/","no"
"0","93960200","122/50/","0.19595586512068833/0.8040441348793117/","1/","no"
"1","90603000","83/83/","0.5/0.5/","0/1/","no"
"2","88901800","8488/148646/","0.9999999324598177/6.754018227244573E-8/","0/","no"
"3","85915800","58441/58441/","0.5/0.5/","0/1/","no"
"4","85279600","80624/80624/","0.5/0.5/","0/1/","no"
"0","85945100","152/152/","0.5/0.5/","0/1/","no"
"1","87783200","50/50/","0.5/0.5/","0/1/","no"
"2","85327700","22425/22425/","0.5/0.5/","0/1/","no"
"3","85341100","8674/8674/","0.5/0.5/","0/1/","no"
"4","89193100","3803/3787/","0.49894403536087667/0.5010559646391234/","0/1/","no"
"0","90188300","79/79/","0.5/0.5/","0/1/","yes"
"1","95076200","64/68/","0.5153797621170841/0.48462023788291597/","0/1/","yes"
"2","91127000","8674/8842/","0.5048413472510851/0.4951586527489149/","0/1/","yes"
"3","96854900","58441/58441/50/","0.0/0.0/1.0/","2/","yes"
"4","95427100","1317511/525508/80624/207616/","1.795732794086642E-7/0.003314695723833404/0.8257622647438345/0.1709228599590527/","2/","yes"
