"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","118416600","122/50/122/122/148646/122/148646/","0.12340818950713994/0.5063672419714402/0.12340818950713994/0.12340818950713994/0.0/0.12340818950713994/0.0/","1/","no"
"1","112641200","136/50/64/64/15712/64/101165/","0.0534505029017175/0.28859679936188376/0.2193175659121329/0.2193175659121329/1.2283091177378109E-134/0.2193175659121329/0.0/","1/","no"
"2","140382400","1560479067/1560479067/50/50/875284/677855/25397/","0.0/0.0/0.5/0.5/0.0/0.0/7.155047123983563E-217/","2/3/","no"
"3","137175200","535091056/535091056/1399/1399/291750/212779/6451/","0.0/0.0/0.4933178810438051/0.4933178810438051/4.1999411374388155E-91/1.3208828361439254E-66/0.013364237912389772/","2/3/","no"
"4","115850900","711063/711063/14312/14312/50/54/14312/","0.0/0.0/1.8471100627268328E-122/1.8471100627268328E-122/0.5195977978782956/0.48040220212170437/1.8471100627268328E-122/","4/5/","no"
"5","138470000","2147483647/2147483647/50/647/499662732/463576498/25211969/","0.0/0.0/0.9999917548927824/8.24510721760797E-6/0.0/0.0/0.0/","2/","no"
"6","126066800","2550689/2550689/51/51/854/51/50/","0.0/0.0/0.24876850356977412/0.24876850356977412/3.6123198556132176E-8/0.24876850356977412/0.253694453167479/","2/3/5/6/","no"
"7","136747700","2155485/2155485/523/523/1078/523/523/","0.0/0.0/0.23005710583135555/0.23005710583135555/0.07977157667457781/0.23005710583135555/0.23005710583135555/","2/3/5/6/","no"
"8","128993100","2147483647/2147483647/32114/32114/908705/818653/1698/","0.0/0.0/1.679313774556656E-8/1.679313774556656E-8/1.4221703984481562E-232/1.4853789472940787E-209/0.9999999664137246/","6/","no"
"9","131002100","2147483647/2147483647/293544/293544/7580742/6346815/8694/","0.0/0.0/5.9213791091045444E-15/5.9213791091045444E-15/0.0/2.666826E-317/0.9999999999999882/","6/","no"
"0","118091200","78/50/79/79/868/112/868/","0.1920809497108283/0.3325986487605329/0.1883513408638812/0.1883513408638812/3.598964923212599E-8/0.09861764782157763/3.598964923212599E-8/","1/","no"
"1","112337600","150/50/97/97/101165/97/2111/","0.06029219761998195/0.4283698750328838/0.17044597578237808/0.17044597578237808/0.0/0.17044597578237808/1.205625724259783E-18/","1/","no"
"2","131343700","1571067938/1560479067/50/50/830210/677855/25397/","0.0/0.0/0.5/0.5/0.0/0.0/7.155047123983563E-217/","2/3/","no"
"3","131892600","535091056/535091056/1399/1399/273302/214178/6451/","0.0/0.0/0.4933178810438051/0.4933178810438051/2.2182149801888538E-85/4.862728533463118E-67/0.013364237912389772/","2/3/","no"
"4","119489000","1793938/1793938/16177/16177/128/1765/16177/","0.0/0.0/9.312190231959113E-55/9.312190231959113E-55/0.9999969179807116/3.0820192885174477E-6/9.312190231959113E-55/","4/","no"
"5","146179300","2147483647/2147483647/50/50/499918262/462722233/25211969/","0.0/0.0/0.5/0.5/0.0/0.0/0.0/","2/3/","no"
"6","125283900","6677220/6677220/50/50/2916/894/50/","0.0/0.0/0.3333333261121298/0.3333333261121298/1.309881379544163E-25/2.1663610529012144E-8/0.3333333261121298/","2/3/6/","no"
"7","133544000","2198857/2155485/50/50/674/50/50/","0.0/0.0/0.2499996964999476/0.2499996964999476/1.214000209486732E-6/0.2499996964999476/0.2499996964999476/","2/3/5/6/","no"
"8","130885000","2147483647/2147483647/38404/38404/1107378/955023/523/","0.0/0.0/4.0178150822031593E-32/4.0178150822031593E-32/0.0/0.0/1.0/","6/","no"
"9","133062200","2147483647/2147483647/108486/108486/2710853/2497088/8694/","0.0/0.0/1.0366184879821439E-5/1.0366184879821439E-5/1.0804460359711871E-135/5.136345752945045E-125/0.9999792676302403/","6/","no"
"0","115170900","103/103/103/103/148646/103/8282/","0.2/0.2/0.2/0.2/0.0/0.2/1.4004723507738202E-35/","0/1/2/3/5/","no"
"1","117089100","64/50/64/64/2335/112/2335/","0.21249224852035886/0.2796154633448492/0.21249224852035886/0.21249224852035886/9.737899324931243E-21/0.08290779109407409/9.737899324931243E-21/","1/","no"
"2","131710500","1571067938/1560479067/50/50/830210/677855/25397/","0.0/0.0/0.5/0.5/0.0/0.0/7.155047123983563E-217/","2/3/","no"
"3","129608400","535091056/535091056/1399/1399/273302/214178/6451/","0.0/0.0/0.4933178810438051/0.4933178810438051/2.2182149801888538E-85/4.862728533463118E-67/0.013364237912389772/","2/3/","no"
"4","113719500","1793938/1793938/1769/1941/60/98/1500/","0.0/0.0/4.427332128610201E-13/2.6398184244793206E-14/0.6508893685753533/0.3491106313877602/3.641745333387353E-11/","4/","no"
"5","139953400","2147483647/2147483647/589/50/499918262/462722233/25211969/","0.0/0.0/2.5709418342440612E-5/0.9999742905816575/0.0/0.0/0.0/","3/","no"
"6","129290800","6677220/6677220/50/50/2454/894/50/","0.0/0.0/0.3333333261121298/0.3333333261121298/1.1257165211238889E-21/2.1663610529012144E-8/0.3333333261121298/","2/3/6/","no"
"7","125234200","2198857/2155485/862/862/858/862/50/","0.0/0.0/1.217167607901394E-7/1.217167607901394E-7/1.3164752491166477E-7/1.217167607901394E-7/0.9999995032021927/","6/","no"
"8","129590000","2147483647/2147483647/42563/42563/2713470/2488340/50/","0.0/0.0/0.0/0.0/0.0/0.0/1.0/","6/","no"
"9","133289800","2147483647/2147483647/108486/108486/2826153/2488340/8694/","0.0/0.0/1.0366184879821439E-5/1.0366184879821439E-5/1.8821033845945518E-141/1.4047400217808562E-124/0.9999792676302403/","6/","no"
"0","115932300","198/198/50/50/40251/50/50/","0.013361970060286428/0.013361970060286428/0.24331901496985678/0.24331901496985678/0.0/0.24331901496985678/0.24331901496985678/","2/3/5/6/","no"
"1","114917600","2111/198/691/691/15712/780/15712/","5.4719557068394745E-5/0.8185473349053054/0.0687271482188386/0.0687271482188386/1.1364053902589872E-34/0.04394364909994904/1.1364053902589872E-34/","1/","no"
"2","142873300","1571067938/1560479067/50/50/830210/677855/25397/","0.0/0.0/0.5/0.5/0.0/0.0/7.155047123983563E-217/","2/3/","no"
"3","134809900","535091056/535091056/50/50/273302/214178/6451/","0.0/0.0/0.5/0.5/0.0/0.0/1.5515105620857612E-55/","2/3/","no"
"4","114505800","278324/281551/14518/14518/128/1500/14518/","0.0/0.0/3.5832059517029046E-49/3.5832059517029046E-49/0.9999759573917428/2.404260825722129E-5/3.5832059517029046E-49/","4/","no"
"5","136822700","2147483647/2147483647/50/50/510922519/462722233/25211969/","0.0/0.0/0.5/0.5/0.0/0.0/0.0/","2/3/","no"
