"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","85579600","50/50/","0.5/0.5/","0/1/","no"
"1","86319400","502/50/","1.4154587988890748E-4/0.9998584541201111/","1/","no"
"2","84574200","40251/40251/","0.5/0.5/","0/1/","no"
"3","83440200","40251/15809/","0.17566712487808364/0.8243328751219164/","1/","no"
"4","82350700","15712/15712/","0.5/0.5/","0/1/","no"
"0","85439700","50/60/","0.5488631556012363/0.4511368443987638/","0/1/","no"
"1","85628900","348/348/","0.5/0.5/","0/1/","no"
"2","84343600","15809/15712/","0.49845669681227234/0.5015433031877277/","0/1/","no"
"3","82135500","40251/15809/","0.17566712487808364/0.8243328751219164/","1/","no"
"4","85383600","8282/3041/","0.15150061385595487/0.8484993861440451/","1/","no"
"0","83413400","51/68/","0.5810105262638605/0.41898947373613943/","0/","no"
"1","90621300","50/50/","0.5/0.5/","0/1/","no"
"2","84360500","15712/5922/","0.16072027680654238/0.8392797231934577/","1/","no"
"3","84104900","1468/502/","0.12780836877448745/0.8721916312255126/","1/","no"
"4","80896400","40251/40251/","0.5/0.5/","0/1/","no"
"0","86974000","50/50/","0.5/0.5/","0/1/","no"
"1","84338800","51/50/","0.4950981962633707/0.5049018037366292/","0/1/","no"
"2","81274100","15712/15712/","0.5/0.5/","0/1/","no"
"3","84034100","502/508/","0.502982071996669/0.49701792800333106/","0/1/","no"
"4","85908100","15712/15712/","0.5/0.5/","0/1/","no"
"0","86104300","90/157/","0.6761782985279606/0.32382170147203937/","0/","no"
"1","83054200","50/50/","0.5/0.5/","0/1/","no"
"2","85786700","5961/691/","4.924589177184026E-4/0.9995075410822817/","1/","no"
"3","86926600","691/201/","0.08123064240779503/0.918769357592205/","1/","no"
"4","83508300","5961/5922/","0.4983538806730233/0.5016461193269768/","0/1/","no"
"0","86894000","97/50/","0.28463838348688203/0.7153616165131179/","1/","no"
"1","84348500","50/50/","0.5/0.5/","0/1/","no"
"2","85198300","15712/15712/","0.5/0.5/","0/1/","no"
"3","84694200","502/157/","0.1012379796714515/0.8987620203285486/","1/","no"
"4","81270000","15712/15712/","0.5/0.5/","0/1/","no"
"0","84609500","160/203/","0.566376092316012/0.43362390768398795/","0/","no"
"1","85924800","50/157/","0.8907124548274352/0.10928754517256477/","0/","no"
"2","84008100","40251/40251/","0.5/0.5/","0/1/","no"
"3","84676100","15712/2111/","0.0015940732129411997/0.9984059267870588/","1/","no"
"4","83348200","5961/2111/","0.13908426401107077/0.8609157359889292/","1/","no"
"0","88228800","50/148/","0.8723132539256138/0.12768674607438618/","0/","no"
"1","85137100","69/157/","0.778533874465742/0.2214661255342581/","0/","no"
"2","84370000","5961/5922/","0.4983538806730233/0.5016461193269768/","0/1/","no"
"3","83595200","40251/15809/","0.17566712487808364/0.8243328751219164/","1/","no"
"4","89424900","8282/8282/","0.5/0.5/","0/1/","no"
"0","82649600","50/157/","0.8907124548274352/0.10928754517256477/","0/","no"
"1","84911100","60/50/","0.4511368443987638/0.5488631556012363/","0/1/","no"
"2","82644100","10317/10317/","0.5/0.5/","0/1/","no"
"3","82579700","5922/2127/","0.1438881635737229/0.8561118364262771/","1/","no"
"4","83360000","5961/5922/","0.4983538806730233/0.5016461193269768/","0/1/","no"
"0","83093600","157/203/","0.5722750149653729/0.42772498503462714/","0/","yes"
"1","85732000","157/157/","0.5/0.5/","0/1/","yes"
"2","81921800","40251/15712/","0.17340277134489332/0.8265972286551067/","1/","yes"
"3","98386300","812/201/65/","1.0777110535703197E-5/0.11298385911119896/0.8870053637782653/","2/","yes"
"4","94554900","10317/4028/160/157/","5.974328189372437E-29/1.1557360908016064E-11/0.49525330715651933/0.5047466928319234/","2/3/","yes"
