"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","98882800","50/110615/712589/712589/110615/280941/1793938/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","106557600","716/50/211/4075/716/31465/1317511/","2.0441961344965222E-6/0.9591743615653666/0.04082155004236443/5.089742412689967E-35/2.0441961344965222E-6/2.9175095570452783E-268/0.0/","1/","no"
"2","112849600","58441/182/50/920/373066/1104/373066/","0.0/0.06989942292492221/0.9301005397849359/3.630588016440374E-8/0.0/9.842617402587979E-10/0.0/","2/","no"
"3","98118300","6128/223/140/50/101165/343/101165/","1.4461847277550042E-52/0.02784276185832565/0.14174419871806598/0.8277654969037206/0.0/0.00264754251988769/0.0/","3/","no"
"4","98322900","1830/716/1317511/1317511/50/1317511/234/","6.771003782770739E-16/2.074947122317018E-6/0.0/0.0/0.9736032896963227/0.0/0.026394635356554313/","4/","no"
"5","109346800","705/293/293/293/1317511/50/4549/","2.578263569926121E-6/0.008312764549658532/0.008312764549658532/0.008312764549658532/0.0/0.9750591280874544/4.7582273176733787E-39/","5/","no"
"6","96656000","512/373066/373066/373066/941/512/50/","1.1633271405307147E-4/0.0/0.0/0.0/2.5853471431545867E-8/1.1633271405307147E-4/0.9997673087184225/","6/","no"
"7","98271000","713/4075/1317511/1317511/3787/1317511/234/","0.11524013132071664/7.053758081502888E-8/0.0/0.0/2.4024939842457107E-7/0.0/0.8847595578923042/","6/","no"
"8","105729200","156/373066/373066/373066/8674/373066/8674/","1.0/0.0/0.0/0.0/2.7381024987490164E-24/0.0/2.7381024987490164E-24/","0/","no"
"9","102275600","670/1287/4690/1317511/1317511/670/276/","0.1598773551901682/0.017235482038055513/7.96213418128285E-8/0.0/0.0/0.1598773551901682/0.6630097279602662/","6/","no"
"0","99308600","50/110615/712589/712589/110615/280941/1793938/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","98643300","716/50/200/3787/716/12187/1317511/","2.0243047475787E-6/0.9498409575805035/0.05015499381000148/1.42868215639576E-32/2.0243047475787E-6/4.208039208671879E-104/0.0/","1/","no"
