"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","100600400","50/4494307/6483/224/6483/1530/284/","0.9586314717048892/0.0/1.5883196775095428E-55/0.03161848794964373/1.5883196775095428E-55/2.391091135701148E-13/0.009750040345227933/","0/","no"
"1","103162200","373066/246/373066/3238/90/373066/373066/","0.0/0.1526086648426309/0.0/8.02339964902237E-16/0.8473913351573683/0.0/0.0/","4/","no"
"2","115686700","101165/101165/68/156/97/901/97/","0.0/0.0/0.3856465060257567/0.10772253959284134/0.2533143752581612/2.203865079553703E-6/0.2533143752581612/","2/","no"
"3","101066500","705/711063/6483/50/6483/4494307/705/","2.64419855245258E-6/0.0/1.6568528414987337E-55/0.999994711602895/1.6568528414987337E-55/0.0/2.64419855245258E-6/","3/","no"
"4","101679100","4494307/732/248/16776/50/4494307/248/","0.0/1.4956811857231065E-6/0.019786948330910624/3.5555301913663114E-143/0.960424607656993/0.0/0.019786948330910624/","4/","no"
"5","100423600","413/373066/1160/512/373066/170/512/","0.15935937744857678/0.0/0.0020192796413620252/0.08931902569051373/0.0/0.6599832915290338/0.08931902569051373/","5/","no"
"6","101294200","691/1317511/138/583/138/1317511/60/","2.0665610108320513E-5/0.0/0.17880386213054847/1.213844491622853E-4/0.17880386213054847/0.0/0.6422502256796324/","6/","no"
"7","102906400","4494307/781/2502/223/794/4494307/4494307/","0.0/0.07133541419249254/3.285527996514207E-5/0.8613184747621931/0.06731325576534922/0.0/0.0/","3/","no"
"8","103031800","1920/4494307/597/2502/2502/1920/4494307/","0.08408237706758287/0.0/0.7682933140778498/0.03177096589349215/0.03177096589349215/0.08408237706758287/0.0/","2/","no"
"9","112485500","293/278934/6483/129/6483/4494307/293/","0.18080405558617366/0.0/3.7853790627285603E-22/0.6383918888276526/3.7853790627285603E-22/0.0/0.18080405558617366/","3/","no"
"0","101017600","50/4494307/6483/753/6483/79/902/","0.6384459631683633/0.0/1.0578166023731562E-55/6.586773923650552E-7/1.0578166023731562E-55/0.3615533426850253/3.546921886079532E-8/","0/","no"
"1","100765000","373066/2884/373066/3410/122/373066/1308/","0.0/1.769153978260311E-10/0.0/2.4577563371425446E-12/0.999935078946188/0.0/6.492087443884243E-5/","4/","no"
"2","99013800","901/101165/68/901/103/2268/839/","3.566852474475302E-6/0.0/0.6241508189645081/3.566852474475302E-6/0.37583328699443463/8.876037066853535E-15/8.760336099435747E-6/","2/","no"
"3","103216400","205/711063/6483/50/6483/4494307/205/","0.04368938813933773/0.0/1.512087064251581E-55/0.9126212237213245/1.512087064251581E-55/0.0/0.04368938813933773/","3/","no"
"4","102792000","4494307/156/14312/43203/50/4494307/14312/","0.0/0.11121092010264023/3.1595423610795715E-122/0.0/0.8887890798973597/0.0/3.1595423610795715E-122/","4/","no"
"5","101061100","947/373066/499/373066/373066/50/373066/","2.298588628955387E-8/0.0/1.501205794991381E-4/0.0/0.0/0.9998498564346145/0.0/","5/","no"
"6","110409700","211/1317511/1199/168/1199/1317511/50/","0.03728503740716726/0.0/1.4392738788646846E-10/0.08663720646655591/1.4392738788646846E-10/0.0/0.8760777558384221/","6/","no"
"7","106414200","4494307/781/2502/223/794/4494307/4494307/","0.0/0.07133541419249254/3.285527996514207E-5/0.8613184747621931/0.06731325576534922/0.0/0.0/","3/","no"
"8","105338600","1920/4494307/597/2502/2502/1920/4494307/","0.08408237706758287/0.0/0.7682933140778498/0.03177096589349215/0.03177096589349215/0.08408237706758287/0.0/","2/","no"
"9","102890700","265/711063/6483/128/6483/4494307/265/","0.20440725141414873/0.0/2.3813813383300336E-22/0.5911854971717027/2.3813813383300336E-22/0.0/0.20440725141414873/","3/","no"
"0","101915700","50/4494307/6483/233/6483/1473/293/","0.9650902984885956/0.0/1.5990210596120332E-55/0.026681925174446314/1.5990210596120332E-55/7.360381871807679E-13/0.00822777633622216/","0/","no"
"1","100296700","373066/354/156/373066/354/373066/1308/","0.0/0.1807742256973712/0.6380364271923048/0.0/0.1807742256973712/0.0/4.151214129529245E-4/","2/","no"
"2","101010100","101165/101165/50/356/79/901/79/","0.0/0.0/0.4683658284442161/0.0011609628167322428/0.2652365911017458/2.6535560084179328E-8/0.2652365911017458/","2/","no"
"3","102890100","306/711063/6483/364/6483/4494307/306/","0.3536257298282273/0.0/6.461190390457936E-10/0.29274853905130743/6.461190390457936E-10/0.0/0.3536257298282273/","0/3/6/","no"
"4","103905500","4494307/205/4981/16776/50/4494307/4981/","0.0/0.04568535327066246/9.758343331599539E-43/3.5329108723972306E-143/0.9543146467293375/0.0/9.758343331599539E-43/","4/","no"
"5","102426900","403/373066/1187/373066/373066/50/373066/","9.853098248844728E-4/0.0/2.076632283541458E-10/0.0/0.0/0.9990146899674524/0.0/","5/","no"
"6","100235300","713/1317511/129/606/129/1317511/50/","1.5862706502436907E-6/0.0/0.1490990531649105/1.2928381021536222E-5/0.1490990531649105/0.0/0.7017873790185073/","6/","no"
"7","102867900","4494307/781/2502/223/794/4494307/4494307/","0.0/0.07133541419249254/3.285527996514207E-5/0.8613184747621931/0.06731325576534922/0.0/0.0/","3/","no"
"8","100766600","1851/4494307/625/2502/2502/1851/4494307/","0.10208870637605648/0.0/0.7236505132736359/0.03608603698712552/0.03608603698712552/0.10208870637605648/0.0/","2/","no"
"9","101065600","778/711063/16776/188/16776/4494307/778/","0.0405108331836037/0.0/7.022576170985574E-39/0.9189783336327926/7.022576170985574E-39/0.0/0.0405108331836037/","3/","no"
"0","102734300","50/4494307/6483/233/6483/1473/293/","0.9650902984885956/0.0/1.5990210596120332E-55/0.026681925174446314/1.5990210596120332E-55/7.360381871807679E-13/0.00822777633622216/","0/","no"
"1","102273300","373066/246/215/181/333/373066/373066/","0.0/0.2361306157277324/0.2799790499402974/0.3374873288775812/0.14640300545438903/0.0/0.0/","2/3/","no"
"2","101847000","101165/101165/93/156/122/901/122/","0.0/0.0/0.3354731058336091/0.17162794540260362/0.24641846142103513/6.202592171708588E-5/0.24641846142103513/","2/","no"
"3","101894100","287/711063/6483/364/6483/4494307/287/","0.3616117809026687/0.0/1.6401340396442825E-10/0.2767764378666358/1.6401340396442825E-10/0.0/0.3616117809026687/","0/6/","no"
"4","104220300","4494307/172/5497/43203/50/4494307/5497/","0.0/0.08377273350317549/3.7813722185672997E-47/0.0/0.9162272664968245/0.0/3.7813722185672997E-47/","4/","no"
"5","99869300","947/373066/58441/373066/373066/109/373066/","4.91193147379116E-4/0.0/4.9816246705241253E-231/0.0/0.0/0.9995088068526208/0.0/","5/","no"
"6","103553600","705/1317511/133/598/133/1317511/50/","1.8983731125908137E-6/0.0/0.1410237418857457/1.5472070240247694E-5/0.1410237418857457/0.0/0.7179351457851557/","6/","no"
"7","102090600","4494307/216/2502/1920/222/4494307/4494307/","0.0/0.5068052920658175/1.3481521331174363E-5/1.9702834611220958E-4/0.49298419806673904/0.0/0.0/","1/4/","no"
"8","102853900","1920/4494307/597/2502/2502/1920/4494307/","0.08408237706758287/0.0/0.7682933140778498/0.03177096589349215/0.03177096589349215/0.08408237706758287/0.0/","2/","no"
"9","102338800","965/280941/6483/133/6483/4494307/965/","0.002003279222067629/0.0/2.617481628924468E-21/0.9959934415558648/2.617481628924468E-21/0.0/0.002003279222067629/","3/","no"
"0","105081100","50/4494307/6483/205/6483/1651/265/","0.9410572471392415/0.0/1.5592016196129597E-55/0.04505068944589603/1.5592016196129597E-55/2.188646102062907E-14/0.01389206341484048/","0/","no"
"1","104847500","101165/50/101165/2351/68/101165/156/","0.0/0.5471223162467082/0.0/1.392320684787538E-20/0.3844182735572183/0.0/0.06845941019607354/","1/","no"
"2","103576900","101165/101165/198/101165/2111/283/5922/","2.7106599587098036E-221/2.7106599587098036E-221/0.6051650049037143/2.7106599587098036E-221/4.045503492532299E-5/0.3947945400611653/1.949422140953696E-13/","2/","no"
"3","101837800","205/711063/6483/50/6483/4494307/205/","0.04368938813933773/0.0/1.512087064251581E-55/0.9126212237213245/1.512087064251581E-55/0.0/0.04368938813933773/","3/","no"
"4","102575500","4494307/172/5497/43203/50/4494307/5497/","0.0/0.08377273350317549/3.7813722185672997E-47/0.0/0.9162272664968245/0.0/3.7813722185672997E-47/","4/","no"
"5","101535700","1092/373066/441/373066/373066/50/373066/","1.3383335496164545E-9/0.0/4.679567250066535E-4/0.0/0.0/0.9995320419366598/0.0/","5/","no"
"6","105747800","567/1317511/188/567/188/1317511/50/","3.490979350415524E-5/0.0/0.0589320258829577/3.490979350415524E-5/0.0589320258829577/0.0/0.8820661286470762/","6/","no"
"7","103317900","4494307/809/2502/212/822/4494307/4494307/","0.0/0.05425294067766518/1.9164424476586555E-5/0.8946871449052244/0.05104074999263381/0.0/0.0/","3/","no"
"8","104221000","1920/4494307/597/2502/2502/1920/4494307/","0.08408237706758287/0.0/0.7682933140778498/0.03177096589349215/0.03177096589349215/0.08408237706758287/0.0/","2/","no"
"9","101889900","265/711063/6483/128/6483/4494307/265/","0.20440725141414873/0.0/2.3813813383300336E-22/0.5911854971717027/2.3813813383300336E-22/0.0/0.20440725141414873/","3/","no"
"0","101292700","50/4494307/6483/205/6483/1651/265/","0.9410572471392415/0.0/1.5592016196129597E-55/0.04505068944589603/1.5592016196129597E-55/2.188646102062907E-14/0.01389206341484048/","0/","no"
"1","104933000","373066/93/373066/22942/103/373066/1308/","0.0/0.5265700150929523/0.0/1.4307242693927585E-106/0.4734287026681755/0.0/1.2822388722555816E-6/","1/4/","no"
"2","103014300","101165/101165/78/101165/82/5961/280/","0.0/0.0/0.4930559191564622/0.0/0.46871255081519525/2.24750554227275E-33/0.03823153002834244/","2/4/","no"
"3","104189700","287/711063/6483/364/6483/4494307/287/","0.3616117809026687/0.0/1.6401340396442825E-10/0.2767764378666358/1.6401340396442825E-10/0.0/0.3616117809026687/","0/6/","no"
