"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","103769700","50/12226/188/208227/188/208227/1836/","0.8821277184400658/1.8190842301230838E-104/0.058936140779966784/0.0/0.058936140779966784/0.0/5.453923275702191E-16/","0/","no"
"1","100986800","101165/111/133/2111/2284/122/101165/","0.0/0.3665535053074892/0.3011823602090001/6.439894779639997E-9/1.3741967028307521E-9/0.3322641266694192/0.0/","1/2/5/","no"
"2","107079700","289/630/50/742/128/545/4494307/","0.007521445813218025/9.38618709942005E-6/0.8156887853237655/1.0441056897021516E-6/0.17672964349601752/4.9695074209729654E-5/0.0/","2/","no"
"3","103943100","4494307/669/857/50/168/561/4494307/","0.0/4.873964244868589E-6/1.221669300344609E-7/0.9099660055403214/0.08998848809269863/4.0510235805114716E-5/0.0/","3/","no"
"4","104233700","5497/868/669/138/50/784/4494307/","3.503217477381227E-47/9.184975773554876E-8/4.546508971143152E-6/0.1511645693030762/0.8488303154829392/4.768552556562451E-7/0.0/","4/","no"
"5","107599600","4494307/710/151/561/816/50/4494307/","0.0/2.10645616223226E-6/0.12127200843963916/3.91177222570312E-5/2.635731392928222E-7/0.8786865038088022/0.0/","5/","no"
"6","100941500","3787/1317511/12393/1317511/12393/1317511/50/","1.504127764752314E-32/0.0/7.802248912324374E-106/0.0/7.802248912324374E-106/0.0/1.0/","6/","no"
"7","104836700","14312/630/50/816/561/151/4494307/","3.123603868427181E-122/1.0111025254884366E-5/0.8786794702871559/2.6357102949897355E-7/3.911740913586107E-5/0.12127103770742378/0.0/","2/","no"
"8","104592600","356/901/101165/901/101165/901/15809/","0.6053955930742778/0.13153480230857406/1.4020592040200374E-123/0.13153480230857406/1.4020592040200374E-123/0.13153480230857406/9.622599171996577E-20/","0/","no"
"9","99530500","670/4773/1317511/4773/1317511/4773/31982/","0.9934136106897066/0.002195463103431208/0.0/0.002195463103431208/0.0/0.002195463103431208/5.381672475289891E-21/","0/","no"
"0","104988500","50/12226/3787/208227/3787/208227/156/","0.8887890798973597/1.832820991053283E-104/1.3368523320822812E-32/0.0/1.3368523320822812E-32/0.0/0.11121092010264023/","0/","no"
"1","107783300","101165/103/812/89/5961/753/101165/","0.0/0.46095352724733923/1.7473573214564495E-4/0.5385351588973418/2.488352284488154E-29/3.365781231732249E-4/0.0/","1/3/","no"
"2","114780300","14312/630/50/816/561/151/4494307/","3.123603868427181E-122/1.0111025254884366E-5/0.8786794702871559/2.6357102949897355E-7/3.911740913586107E-5/0.12127103770742378/0.0/","2/","no"
"3","107147000","4494307/710/816/50/151/561/4494307/","0.0/2.10645616223226E-6/2.635731392928222E-7/0.8786865038088022/0.12127200843963916/3.91177222570312E-5/0.0/","3/","no"
"4","112576700","5497/868/669/138/50/784/4494307/","3.503217477381227E-47/9.184975773554876E-8/4.546508971143152E-6/0.1511645693030762/0.8488303154829392/4.768552556562451E-7/0.0/","4/","no"
"5","106271200","4494307/694/182/561/891/50/4494307/","0.0/3.0512535383883546E-6/0.06989631360119965/4.1404751286943076E-5/6.41075847217744E-8/0.9300591662863904/0.0/","5/","no"
"6","103317600","1287/1317511/4773/1317511/4773/1317511/50/","2.925700859656685E-11/0.0/6.038439849221515E-41/0.0/6.038439849221515E-41/0.0/0.9999999999707431/","6/","no"
"7","115992700","5497/671/93/784/561/138/4494307/","6.617651460111616E-26/0.0013108934605940042/0.6137852467273913/3.9399434449885067E-4/0.0042245878327886975/0.3802852776347269/0.0/","2/","no"
"8","96756500","156/101165/101165/101165/101165/101165/6128/","1.0/3.8744328342590785E-280/3.8744328342590785E-280/3.8744328342590785E-280/3.8744328342590785E-280/3.8744328342590785E-280/3.0214293689415365E-17/","0/","no"
"9","101476200","670/4773/1317511/4773/1317511/4773/31982/","0.9934136106897066/0.002195463103431208/0.0/0.002195463103431208/0.0/0.002195463103431208/5.381672475289891E-21/","0/","no"
"0","106584400","50/4616/1199/4616/1199/4616/211/","0.9591782827601498/1.2582584037163423E-39/1.5757964842170721E-10/1.2582584037163423E-39/1.5757964842170721E-10/1.2582584037163423E-39/0.04082171692469102/","0/","no"
"1","101366300","101165/93/331/123/6128/123/901/","0.0/0.39475354892776643/0.03138552344421583/0.28689397064615496/5.172449677229356E-29/0.28689397064615496/7.298633570787558E-5/","1/","no"
"2","105198900","14312/630/50/816/561/151/4494307/","3.123603868427181E-122/1.0111025254884366E-5/0.8786794702871559/2.6357102949897355E-7/3.911740913586107E-5/0.12127103770742378/0.0/","2/","no"
"3","108484700","4494307/710/816/50/151/561/4494307/","0.0/2.10645616223226E-6/2.635731392928222E-7/0.8786865038088022/0.12127200843963916/3.91177222570312E-5/0.0/","3/","no"
"4","107686700","14312/827/561/151/50/816/4494307/","3.123634788007682E-122/2.1243722170602104E-7/3.911779634689413E-5/0.12127223813160394/0.8786881680611889/2.635736385063918E-7/0.0/","4/","no"
"5","102797100","4494307/170/722/147/919/68/4494307/","0.0/0.14746479391024198/4.9468927288232075E-5/0.20580369864389314/2.8470184168863966E-6/0.6466791915001598/0.0/","5/","no"
"6","103917700","1199/1317511/4773/1317511/4773/1317511/50/","1.6428608865326356E-10/0.0/6.038439848406151E-41/0.0/6.038439848406151E-41/0.0/0.999999999835714/","6/","no"
"7","104731800","14312/630/50/742/561/122/4494307/","2.858152192443961E-122/9.251765018031994E-6/0.8040070893244509/1.0291527744755262E-6/3.5793113785803074E-5/0.19594683664397078/0.0/","2/","no"
"8","100144500","356/901/101165/101165/101165/101165/15809/","0.821509869680109/0.17849013031989103/1.902566664103516E-123/1.902566664103516E-123/1.902566664103516E-123/1.902566664103516E-123/1.3057677132448069E-19/","0/","no"
"9","102385300","156/12393/1317511/12393/1317511/12393/156/","0.5/7.061488853212094E-35/0.0/7.061488853212094E-35/0.0/7.061488853212094E-35/0.5/","0/6/","no"
"0","101833200","50/4616/133/4616/133/4616/208227/","0.7179476168535647/9.418099206068156E-40/0.14102619157321772/9.418099206068156E-40/0.14102619157321772/9.418099206068156E-40/0.0/","0/","no"
"1","108789600","101165/68/133/318/2284/97/901/","0.0/0.48230062966619636/0.1880181775244378/0.012876181725282125/5.439280110954151E-15/0.3168022548669235/2.7562171547253746E-6/","1/","no"
