"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","101851400","3787/4027/386/","1.5249965169775544E-4/8.202362153953155E-5/0.9997654767267627/","2/","no"
"1","110237200","421/348/466/","0.32136978361928814/0.3961375456514159/0.28249267072929596/","0/1/","no"
"2","108277000","716/3854/302/","0.20321105054088345/6.4595827907037535E-6/0.7967824898763257/","2/","no"
"3","105419400","376/4494307/1861/","0.9809039313687493/0.0/0.0190960686312507/","0/","no"
"4","102001100","54/3854/4403/","1.0/9.867324985172719E-31/4.5619537333527624E-35/","0/","no"
"5","97536200","1356/294/294/","0.013477730342102753/0.4932611348289486/0.4932611348289486/","1/2/","no"
"0","99930400","302/703/30903/","0.7897521921841579/0.21024780781584199/1.0879646839425464E-44/","0/","no"
"1","112391300","181/128/459/","0.3810972828794591/0.5747340380983939/0.044168679022146905/","1/","no"
"2","100475600","716/4075/50/","2.1311993520874936E-6/5.306367402406194E-35/0.9999978688006479/","2/","no"
"3","104261200","210/110615/65/","0.10002294157180529/0.0/0.8999770584281948/","2/","no"
"4","98651700","294/4690/4690/","0.999999324996803/3.37501598530741E-7/3.37501598530741E-7/","0/","no"
"5","96634700","3854/283/1803/","3.4446989413301253E-6/0.995280785271803/0.004715770029255774/","1/","no"
"0","97703300","3787/703/525508/","0.01236208747210521/0.9876379125278948/0.0/","1/","no"
"1","99101600","1173/50/3854/","2.735305381591123E-10/0.9999999997264695/4.043346838592561E-33/","1/","no"
"2","103919000","4142/3854/302/","3.133755076459244E-6/8.106993140828987E-6/0.9999887592517827/","2/","no"
"3","103528300","215/106872/50/","0.037858932961968725/0.0/0.9621410670380313/","2/","no"
"4","101264200","554/327/461/","0.23117802866349682/0.4618597489450268/0.3069622223914764/","1/","no"
"5","95938800","207616/289/11244/","3.265047353447E-311/1.0/3.927819793154259E-17/","1/","no"
"0","102388800","302/30484/30903/","1.0/5.491398921010213E-44/1.3776026134649208E-44/","0/","no"
"1","101057700","30484/128/459/","5.896709086823138E-103/0.9286338905932702/0.07136610940672988/","1/","no"
"2","96532200","215/30484/50/","0.037858932961968725/6.608997244137455E-260/0.9621410670380313/","2/","no"
"3","95572300","108/4494307/113/","0.5114658794368199/0.0/0.48853412056318013/","0/2/","no"
"4","101276900","11469/554/81670/","2.8765715972117928E-9/0.9999999971234285/3.355131596966249E-64/","1/","no"
"5","97591300","1287/294/294/","0.016969060557299038/0.49151546972135046/0.49151546972135046/","1/2/","no"
"0","100822400","302/31982/567/","0.7056993553330957/2.7618282164123258E-46/0.29430064466690437/","0/","no"
"1","111910900","1442/302/4314/","0.02270112543184207/0.977297138501651/1.7360665069341791E-6/","1/","no"
"2","103342800","448/31982/113/","0.05027824893530029/3.7104884863096413E-122/0.9497217510646998/","2/","no"
"3","97093400","2502/361/50/","1.3147030621054238E-21/0.002242230915843673/0.9977577690841564/","2/","no"
"4","102373000","207616/119/133/","0.0/0.5291336290720469/0.47086637092795314/","1/2/","no"
"5","97248600","207616/4027/4027/","5.600545924206446E-23/0.5/0.5/","1/2/","no"
"0","100950700","30484/459/567/","2.5107916423620843E-29/0.5584275074178574/0.4415724925821425/","1/","no"
"1","103311800","446/107/448/","0.03990444951774694/0.920923271966904/0.03917227851534911/","1/","no"
"2","98207000","716/207616/50/","2.1311993520874936E-6/0.0/0.9999978688006479/","2/","no"
"3","99488500","215/110615/1563/","0.9980553772056154/1.0627214435283622E-222/0.0019446227943845172/","0/","no"
"4","97561000","150/156/4027/","0.5099324680206179/0.4900675319757781/3.6040112076047104E-12/","0/1/","no"
"5","96276900","294/207616/1356/","0.9734030064231342/5.915882511507575E-306/0.02659699357686587/","0/","no"
"0","98914900","302/207616/567/","0.7056993553330957/5.038816714702626E-298/0.29430064466690437/","0/","no"
"1","103124400","1538/340/4075/","0.028938582329137964/0.9710444204761333/1.6997194728767836E-5/","1/","no"
"2","102197100","716/4075/50/","2.1311993520874936E-6/5.306367402406194E-35/0.9999978688006479/","2/","no"
"3","100071300","106872/395/113/","0.0/0.07772372957540265/0.9222762704245974/","2/","no"
"4","99162600","11469/554/81670/","2.8765715972117928E-9/0.9999999971234285/3.355131596966249E-64/","1/","no"
"5","96741000","207616/289/11244/","3.265047353447E-311/1.0/3.927819793154259E-17/","1/","no"
"0","99903400","302/703/30903/","0.7897521921841579/0.21024780781584199/1.0879646839425464E-44/","0/","no"
"1","104183000","4075/348/4600/","2.3020826991801384E-5/0.9999718645620715/5.1146109367048085E-6/","1/","no"
"2","100340200","215/4075/50/","0.037858932961968725/5.105484875452981E-35/0.9621410670380313/","2/","no"
"3","100604700","215/110615/1563/","0.9980553772056154/1.0627214435283622E-222/0.0019446227943845172/","0/","no"
"4","98350300","4690/31982/294/","3.375017124381085E-7/2.235689945055618E-47/0.9999996624982876/","2/","no"
"5","98846200","81670/1199/1235/","3.819526441779501E-30/0.5074994375506203/0.4925005624493796/","1/2/","no"
