"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","98713700","50/592/1468/","0.9999757592434573/2.4240755701552095E-5/8.412009601498738E-13/","0/","no"
"1","97674600","112/50/61/","0.14102602799961328/0.47562548274928124/0.38334848925110543/","1/2/","no"
"2","96357500","113/79/157/","0.32190151292065505/0.49237747023858125/0.18572101684076373/","1/","no"
"3","95292700","502/79/157/","0.003656641252738578/0.7234598392660695/0.27288351948119194/","1/","no"
"4","92505700","113/79/157/","0.32190151292065505/0.49237747023858125/0.18572101684076373/","1/","no"
"5","94524900","157/50/157/","0.09852048339329691/0.8029590332134062/0.09852048339329691/","1/","no"
"0","92987800","50/3989/502/","0.9998584541201111/2.8646823982197844E-34/1.4154587988890748E-4/","0/","no"
"1","94399100","83/50/502/","0.3436207024530395/0.6562863897617484/9.290778521214752E-5/","1/","no"
"2","92604900","10317/1535/170/","1.6950119478612144E-26/3.412833518256674E-4/0.9996587166481744/","2/","no"
"3","93637600","78/107/228/","0.5427389778097974/0.37598148227726/0.08127953991294248/","0/","no"
"4","92917100","54/55/55/","0.3373859062572369/0.33130704687138157/0.33130704687138157/","0/1/2/","no"
"5","93699300","55/73/73/","0.4081258103770823/0.29593709481145886/0.29593709481145886/","0/","no"
"0","93895200","79/97/1468/","0.5560138816375814/0.44398610234296526/1.6019453362663815E-8/","0/","no"
"1","95835800","10317/50/571/","3.720009053971217E-88/0.9999634095348178/3.659046518219147E-5/","1/","no"
"2","93146700","50/203/1468/","0.9525741268216699/0.04742587317752877/8.013256948373964E-13/","0/","no"
"3","94086000","61/107/182/","0.6179567817505658/0.2942656817531952/0.08777753649623908/","0/","no"
"4","93175500","60/1551/50/","0.45113684439872287/9.069459072502331E-14/0.5488631556011865/","0/2/","no"
"5","95160200","60/61/61/","0.33698621933820694/0.33150689033089653/0.33150689033089653/","0/1/2/","no"
"0","93089800","50/68/1468/","0.5873306243817007/0.4126693756178052/4.94075061908601E-13/","0/","no"
"1","91767700","50/50/50/","0.33333333333333337/0.33333333333333337/0.33333333333333337/","0/1/2/","no"
"2","92368800","157/68/502/","0.21556378968066706/0.7829837529295426/0.0014524573897903407/","1/","no"
"3","96842700","157/3989/50/","0.10928754517256477/2.551969511989313E-34/0.8907124548274352/","2/","no"
"4","92380900","113/79/157/","0.32190151292065505/0.49237747023858125/0.18572101684076373/","1/","no"
"5","92708500","50/182/79/","0.609215705289282/0.045784110872967354/0.3450001838377507/","0/","no"
"0","93863500","97/50/502/","0.2846095608421612/0.715289178588664/1.0126056917470821E-4/","1/","no"
"1","94253100","50/61/151/","0.5144024389824203/0.4146022553525445/0.07099530566503522/","0/1/","no"
"2","92302900","50/2474/50/","0.5/1.1407979886929306E-21/0.5/","0/2/","no"
"3","93669400","50/50/592/","0.49999393973762196/0.49999393973762196/1.2120524756126038E-5/","0/1/","no"
"4","93893300","73/54/72/","0.2914619152732725/0.4117283930749885/0.2968096916517391/","1/","no"
"5","93144400","502/157/1468/","0.10121531516722784/0.8985608112993688/2.2387353340330013E-4/","1/","no"
"0","95706800","112/50/61/","0.14102602799961328/0.47562548274928124/0.38334848925110543/","1/2/","no"
"1","95280400","168/55/535/","0.1173211311642047/0.8825116842115489/1.6718462424639133E-4/","1/","no"
"2","92780100","50/565/50/","0.49998971016616733/2.057966766516878E-5/0.49998971016616733/","0/2/","no"
"3","92058700","64/84/170/","0.5178877395648512/0.38072075964398544/0.10139150079116341/","0/","no"
"4","95189800","54/73/73/","0.4139420626597339/0.293028968670133/0.293028968670133/","0/","no"
"5","91421700","79/50/1468/","0.36155359365603296/0.6384464063434299/5.370747491185683E-13/","1/","no"
"0","94423800","50/502/64/","0.5681540174716592/8.043124502679158E-5/0.431765551283314/","0/","no"
"1","93121500","50/97/50/","0.41703254265841694/0.16593491468316604/0.41703254265841694/","0/2/","no"
"2","94697900","157/50/50/","0.05780230880350307/0.4710988455982485/0.4710988455982485/","1/2/","no"
"3","94140600","82/112/193/","0.5104100674575949/0.35558654780204607/0.1340033847403592/","0/","no"
"4","93022100","78/79/61/","0.3030790042760668/0.2982298444902038/0.39869115123372934/","2/","no"
"5","92920300","502/592/1468/","0.504361610349256/0.4217307386444654/0.07390765100627865/","0/1/","no"
"0","91934200","61/10317/50/","0.4462865019743961/2.059894598462904E-88/0.5537134980256039/","0/2/","no"
"1","93066400","50/72/529/","0.606170735527317/0.393778724725258/5.0539747424898433E-5/","0/","no"
"2","96064100","79/68/157/","0.4006853948556059/0.4699361609711769/0.12937844417321714/","0/1/","no"
"3","92697100","502/502/157/","0.09193106443863779/0.09193106443863779/0.8161378711227244/","2/","no"
"4","94824200","73/55/73/","0.29593709481145886/0.4081258103770823/0.29593709481145886/","1/","no"
"5","94487200","97/97/502/","0.4960218387553123/0.4960218387553123/0.007956322489375415/","0/1/","no"
