"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","111290700","1261/2147483647/181867042/","1.0/0.0/0.0/","0/","no"
"1","117575600","5592204/388/17607/","0.0/1.0/5.971035535398602E-20/","1/","no"
"2","125946500","14449899/115228/3941/","0.0/5.48767816304731E-13/0.9999999999994512/","2/","no"
"3","108484400","98715/11916807/98715/","0.5/5.082291989471985E-53/0.5/","0/2/","no"
"4","110132500","453/1286209/156530707/","1.0/0.0/0.0/","0/","no"
"5","113215600","302339/5635880/302339/","0.499999994547358/1.0905283983239918E-8/0.499999994547358/","0/2/","no"
"0","103851500","355/11662666/181867042/","1.0/0.0/0.0/","0/","no"
"1","112552400","11945988/50/39045/","0.0/1.0/0.0/","1/","no"
"2","117492600","14449899/115228/968/","0.0/6.165986615107377E-52/1.0/","2/","no"
"3","110148600","682183/11916807/682183/","0.4999999823919028/3.5216194486263766E-8/0.4999999823919028/","0/2/","no"
"4","106505300","50/1286209/156530707/","1.0/0.0/0.0/","0/","no"
"5","112735300","2155485/36824800/2155485/","0.4999999741386498/5.172270033936153E-8/0.4999999741386498/","0/2/","no"
"0","105158700","1261/2147483647/181867042/","1.0/0.0/0.0/","0/","no"
"1","113018300","5099228/65/16286/","0.0/1.0/1.8291981064750756E-107/","1/","no"
"2","114101600","14449899/36824800/138589/","1.422866926170985E-45/1.0907982474422368E-115/1.0/","2/","no"
"3","111453300","682183/11916807/682183/","0.4999999823919028/3.5216194486263766E-8/0.4999999823919028/","0/2/","no"
"4","110786200","64/167876/23862523/","1.0/0.0/0.0/","0/","no"
"5","111640200","92159/1804279/92159/","0.49999999786326177/4.273476565330563E-9/0.49999999786326177/","0/2/","no"
"0","111610600","112/717842/3123/","0.9999999999973221/0.0/2.67782103401332E-12/","0/","no"
"1","115055600","1872973/390/6176/","0.0/0.9999996256049594/3.743950406381526E-7/","1/","no"
"2","120442700","14449899/138589/814132/","1.4120790910386177E-45/0.9924182402908205/0.007581759709179534/","1/","no"
"3","108181600","682183/11916807/682183/","0.4999999823919028/3.5216194486263766E-8/0.4999999823919028/","0/2/","no"
