"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","105437000","60/82/565/571/82/","0.41755014631224574/0.2911238885149018/1.0600342473359809E-4/9.607323321708133E-5/0.2911238885149018/","0/","no"
"1","101196100","112/50/2268/5961/112/","0.18612935026759891/0.6277412994648021/8.132583449399721E-20/2.898669438716391E-51/0.18612935026759891/","1/","no"
"2","104994200","3989/73/68/565/1551/","1.0839190490952614E-25/0.48170619044987706/0.5179082654886281/3.8554382157365884E-4/2.3992115455599965E-10/","1/2/","no"
"3","99035000","5961/780/320/68/101165/","7.899505592769676E-38/3.216998002242312E-5/0.025278269356475598/0.974689560663502/0.0/","3/","no"
"4","102451200","126/127/22844/137/50/","0.1384171769034707/0.13572955000280296/4.8337840530052026E-195/0.11156260035865097/0.6142906727350754/","4/","no"
"5","98180300","141/141/234/780/141/","0.28323896804952065/0.28323896804952065/0.1471365951358807/0.003146500715557449/0.28323896804952065/","0/1/4/","no"
"6","98920200","112/502/565/1484/112/","0.48783744993231853/0.015466166355491019/0.008856332133109806/2.6016467621528253E-6/0.48783744993231853/","0/4/","no"
"7","108382700","102/103/1535/10317/103/","0.3354942082487969/0.3322527436525772/3.0444604884470627E-7/2.848624437968029E-44/0.3322527436525772/","0/1/4/","no"
"0","100539000","50/69/592/592/69/","0.4205214045960681/0.2897291036982196/1.0194003746449847E-5/1.0194003746449847E-5/0.2897291036982196/","0/","no"
"1","98769400","112/50/5922/2284/112/","0.18612935026759891/0.6277412994648021/6.227392462390889E-51/5.942638046400671E-20/0.18612935026759891/","1/","no"
"2","103252700","529/529/50/535/83/","5.471459584399104E-5/5.471459584399104E-5/0.6562436200560134/4.864181001537418E-5/0.3435983089422832/","2/","no"
"3","99460500","2335/5961/297/79/101165/","5.312798255199361E-13/1.0988184231601207E-32/0.06151418169460174/0.9384858183048669/0.0/","3/","no"
"4","98633100","126/127/22844/137/50/","0.1384171769034707/0.13572955000280296/4.8337840530052026E-195/0.11156260035865097/0.6142906727350754/","4/","no"
"5","97744600","140/145/354/2351/145/","0.31750771823088453/0.30644587048731/0.06960049163049684/4.9163998682780535E-8/0.30644587048731/","0/1/4/","no"
"6","98211400","1468/193/97/160/10317/","4.4184391221755787E-7/0.19748254557460293/0.5259688762359416/0.2765481363455432/2.693083321451802E-46/","2/","no"
"7","100231600","102/103/1535/10317/103/","0.3354942082487969/0.3322527436525772/3.0444604884470627E-7/2.848624437968029E-44/0.3322527436525772/","0/1/4/","no"
"0","96764300","50/55/1535/65/55/","0.28102395446737544/0.2547800686752837/6.354917210044834E-14/0.2094159081819937/0.2547800686752837/","0/1/4/","no"
"1","100030000","112/50/2268/5961/112/","0.18612935026759891/0.6277412994648021/8.132583449399721E-20/2.898669438716391E-51/0.18612935026759891/","1/","no"
"2","99554400","1551/1551/60/565/1551/","2.4243397865083917E-11/2.4243397865083917E-11/0.9997461944348985/2.5380549237128324E-4/2.4243397865083917E-11/","2/","no"
"3","102669900","6089/2284/328/60/101165/","1.1768143113816917E-43/1.4478254208579472E-16/0.012207252991117103/0.9877927470088826/0.0/","3/","no"
"4","100014800","126/127/22844/137/50/","0.1384171769034707/0.13572955000280296/4.8337840530052026E-195/0.11156260035865097/0.6142906727350754/","4/","no"
"5","97821100","146/146/297/2268/146/","0.29779589741863705/0.29779589741863705/0.1066121475245885/1.6021950033469173E-7/0.29779589741863705/","0/1/4/","no"
"6","103509800","112/502/1468/571/112/","0.48806077951812515/0.015473246690399024/2.9987490706902604E-6/0.008402195524280072/0.48806077951812515/","0/4/","no"
"7","98244000","107/107/1535/1551/107/","0.3333329588182795/0.3333329588182795/6.033094218480233E-7/5.202357396686827E-7/0.3333329588182795/","0/1/4/","no"
"0","101650500","50/64/1468/1484/64/","0.39684285987140583/0.3015785700640082/3.338326871093427E-13/2.4393808436046004E-13/0.3015785700640082/","0/","no"
"1","102496400","112/50/5922/2284/112/","0.18612935026759891/0.6277412994648021/6.227392462390889E-51/5.942638046400671E-20/0.18612935026759891/","1/","no"
"2","96854300","598/598/50/1468/598/","2.1549397727185004E-5/2.1549397727185004E-5/0.9999353518059773/8.411669685506864E-13/2.1549397727185004E-5/","2/","no"
"3","97675400","895/2127/269/50/101165/","6.287081195652032E-8/2.0288824191332047E-18/0.013464832184781183/0.9865351049444068/0.0/","3/","no"
"4","99132900","93/691/40251/2127/50/","0.30087372163809695/2.432588046188569E-6/0.0/1.437799904309846E-18/0.6991238457738568/","4/","no"
"5","98930800","145/155/212/724/155/","0.2842096550040029/0.2653949349083179/0.17961363614429474/0.005386839035066654/0.2653949349083179/","0/1/4/","no"
"6","101859900","3989/170/502/182/1551/","9.627723724754255E-11/0.48168935468065677/0.06911549501444442/0.4490453906147173/1.4975959390419496E-4/","1/3/","no"
"7","106372000","102/103/1535/10317/103/","0.3354942082487969/0.3322527436525772/3.0444604884470627E-7/2.848624437968029E-44/0.3322527436525772/","0/1/4/","no"
"0","97833000","50/55/1535/65/55/","0.28102395446737544/0.2547800686752837/6.354917210044834E-14/0.2094159081819937/0.2547800686752837/","0/1/4/","no"
"1","98964500","112/50/5922/2284/112/","0.18612935026759891/0.6277412994648021/6.227392462390889E-51/5.942638046400671E-20/0.18612935026759891/","1/","no"
"2","97413700","1551/103/60/565/1551/","1.6226916971589647E-11/0.3306665566642059/0.6691635627991895/1.6988050415052606E-4/1.6226916971589647E-11/","2/","no"
"3","96892100","6089/2284/328/60/101165/","1.1768143113816917E-43/1.4478254208579472E-16/0.012207252991117103/0.9877927470088826/0.0/","3/","no"
"4","98159800","753/2111/40251/2284/111/","0.0032296620776175013/1.7512029938060426E-8/2.2415833171848993E-156/3.736858228932327E-9/0.9967703166734944/","4/","no"
"5","97585800","122/122/345/6128/122/","0.3161392984332543/0.3161392984332543/0.05158210470023724/1.9660597412797772E-22/0.3161392984332543/","0/1/4/","no"
"6","105456000","112/50/1468/571/112/","0.1861250749397888/0.6277268804608604/5.280572550629215E-13/2.296965903393791E-5/0.1861250749397888/","1/","no"
