"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","203329200","78/720/48185/44545/46227/352782/46060/6152/44378/2594061/44378/49295/48185/1002351/502/2594061/43267/2659772/595/204/","0.8269089850731753/2.444150085383526E-4/2.8451674129654233E-265/2.9149988278198413E-245/1.652015428139066E-254/0.0/1.3679796888539893E-253/3.3593804533535954E-34/2.413814738996193E-244/0.0/2.413814738996193E-244/2.2490312254885139E-271/2.8451674129654233E-265/0.0/0.0038597639434005213/0.0/3.0925282387139555E-238/0.0/0.0011893308489663121/0.16779750512591943/","0/","no"
"1","224970800","633/276/7652/7652/7537/633/4004/2578733/7652/17260660/7652/7652/7652/2550689/523/17435938/7652/7537/523/633/","0.10412858122152142/0.37782652346272944/1.0299828481491941E-12/1.0299828481491941E-12/1.560029302430306E-12/0.10412858122152142/5.399421267291565E-7/0.0/1.0299828481491941E-12/0.0/1.0299828481491941E-12/1.0299828481491941E-12/1.0299828481491941E-12/0.0/0.1548935964601248/0.0/1.0299828481491941E-12/1.560029302430306E-12/0.1548935964601248/0.10412858122152142/","1/","no"
"2","220085900","5976/1697/1009/6009/20230/3951/1893/2538/2523/3965/1354/20789/23380/12401/11353/20402234/23380/6771/21462/20706/","0.0022841736478641465/0.15800678580405564/0.31225685397454117/0.0022107482868128467/1.6966294181273436E-9/0.01696164827919598/0.13013580698592994/0.06871480738512352/0.06974294007761753/0.01672815830868426/0.2219033530872556/9.754837678981606E-10/7.500741576349361E-11/3.944702175324152E-6/1.113393018835225E-5/0.0/7.500741576349361E-11/0.0010396411483994303/5.009953835067357E-10/1.0590332450403142E-9/","2/","no"
"3","223214600","108155/117644/115849/787/109949/814132/109949/5134/108155/5615712/108155/115849/115849/234390286/14625176/50/108155/5685823/109949/115849/","0.0/0.0/0.0/5.296862844185073E-7/0.0/0.0/0.0/5.090973411443531E-44/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.9999994703137155/0.0/0.0/0.0/0.0/","15/","no"
"4","216995600","109949/117644/117644/109949/12059/1294/117644/5249/109949/1299/109949/109949/109949/188/1294/5685823/109949/50/1491/117644/","0.0/0.0/0.0/0.0/5.108992353143864E-103/2.3907449470466398E-11/0.0/5.005205969444088E-45/0.0/2.167481284462331E-11/0.0/0.0/0.0/0.06262714288559423/2.3907449470466398E-11/0.0/0.0/0.9373728570444136/5.023013732313421E-13/0.0/","17/","no"
"5","237888600","4457/6200/6398/4969/5046/48185/6497/523/4182/2704580/4457/5789/5611/44855997/1068366/1020275/5244/1068366/5914/432/","5.0707704022344844E-5/9.054472079657365E-7/5.731538313739915E-7/1.5543302138722485E-5/1.3011072372286901E-5/7.020147259901925E-49/4.5601090965507716E-7/0.44754313296995596/9.569650508019674E-5/0.0/5.0707704022344844E-5/2.3393319122643928E-6/3.5287751628511723E-6/0.0/0.0/0.0/8.236091419636606E-6/0.0/1.7527426299627996E-6/0.5522134091893344/","7/19/","no"
"6","239566800","733/50/734/734/661/112196018/78/51463/704/393490/733/739/733/48671/552/404004/733/690/552/733/","9.679445764690214E-7/0.6338555787410255/9.491501324536826E-7/9.491501324536826E-7/3.971660450779687E-6/0.0/0.3660615639835103/0.0/1.7092368800354977E-6/0.0/9.679445764690214E-7/8.605121808496143E-7/9.679445764690214E-7/0.0/3.366434141088792E-5/0.0/9.679445764690214E-7/2.2491599835061287E-6/3.366434141088792E-5/9.679445764690214E-7/","1/","no"
"7","230651500","122/18537/17063/16375/18537/1009/18738/1009/16375/1177601/17063/17507/17063/156031/18738/1177601/17063/18738/18738/122/","0.49963120409073364/4.764935203569661E-66/7.630079853968809E-61/2.0499983064082267E-58/4.764935203569661E-66/3.687959092663633E-4/9.297287492407768E-67/3.687959092663633E-4/2.0499983064082267E-58/0.0/7.630079853968809E-61/2.0645810128161963E-62/7.630079853968809E-61/0.0/9.297287492407768E-67/0.0/7.630079853968809E-61/9.297287492407768E-67/9.297287492407768E-67/0.49963120409073364/","0/19/","no"
"8","228887000","14026/14699/15257/259/12732/5615712/15930/175/12059/5615712/14108/14026/14108/36824800/2229264/2163553/15339/2229264/16012/15339/","4.0914374368338466E-35/8.937026338127708E-37/3.7521666895994646E-38/0.38289633744764623/6.381567827464946E-32/0.0/8.195948990471433E-40/0.6171036625523537/2.9215294357580295E-30/0.0/2.567640205064312E-35/4.0914374368338466E-35/2.567640205064312E-35/0.0/0.0/0.0/2.35472598495211E-38/0.0/5.143485259516881E-40/2.35472598495211E-38/","7/","no"
"9","225418900","13662/13949/14893/231/13949/486/15180/152/13662/118173/13662/13662/13662/123457/14625176/118173/14893/15180/15180/14893/","2.6222192465502256E-39/4.018019419208798E-40/8.40317606946419E-43/0.34906961687942495/4.018019419208798E-40/0.06593073432037812/1.2876163835101748E-43/0.584999648800197/2.6222192465502256E-39/0.0/2.6222192465502256E-39/2.6222192465502256E-39/2.6222192465502256E-39/0.0/0.0/0.0/8.40317606946419E-43/1.2876163835101748E-43/1.2876163835101748E-43/8.40317606946419E-43/","7/","no"
"10","221628000","453/22984/22673/22598/23271/2016/22984/2087/22311/7860351/22229/22311/16375/1145556/22984/7860351/15931/22984/22984/453/","0.4855960003637852/1.3589882188546879E-22/2.695981935598764E-22/3.1802529271458385E-22/7.222253106508068E-23/0.015528013661982566/1.3589882188546879E-22/0.013279985610445985/5.984180002047774E-22/0.0/7.168784115936223E-22/5.984180002047774E-22/2.8533639473887617E-16/0.0/1.3589882188546879E-22/0.0/7.587272701247775E-16/1.3589882188546879E-22/1.3589882188546879E-22/0.4855960003637852/","0/19/","no"
"11","237112500","13662/13949/13662/152/13949/407/13949/407/13662/876748/13662/13662/13662/119968/13949/876748/13662/13949/13949/13662/","3.253438454637927E-39/4.9852348948829465E-40/3.253438454637927E-39/0.7258204499338335/4.9852348948829465E-40/0.1370897750330832/4.9852348948829465E-40/0.1370897750330832/3.253438454637927E-39/0.0/3.253438454637927E-39/3.253438454637927E-39/3.253438454637927E-39/0.0/4.9852348948829465E-40/0.0/3.253438454637927E-39/4.9852348948829465E-40/4.9852348948829465E-40/3.253438454637927E-39/","3/","no"
"12","221946400","22229/1159678/24196/22673/23346/7840182/23346/578/22673/7948612/22229/16375/15931/2136842333/21033580/7948612/15931/23346/25313/22229/","5.755547644793665E-17/0.0/1.926129744037363E-18/2.6733298206369224E-17/8.360857844849195E-18/0.0/8.360857844849195E-18/0.9999999999924871/2.6733298206369224E-17/0.0/5.755547644793665E-17/1.4159124133413975E-12/3.048389799467256E-12/0.0/0.0/0.0/3.048389799467256E-12/8.360857844849195E-18/2.798012973656738E-19/5.755547644793665E-17/","7/","no"
