"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","107686700","64/227/54/64/1366/106/61/233/","0.2074968167737157/0.010713232236646456/0.24887087322314527/0.2074968167737157/1.0866172931520357E-11/0.09668706555830703/0.21912918752042126/0.009606007903182334/","0/2/3/6/","no"
"1","116567300","231/1484/79/502/79/502/535/79/","0.04728659948659487/7.45762876949836E-9/0.31615321270171043/0.0015979586108383003/0.31615321270171043/0.0015979586108383003/0.001057837728968491/0.31615321270171043/","2/4/7/","no"
"2","103610400","136/348/60/50/50/375/148/50/","0.04454111708473055/6.973624401916578E-4/0.19767194643358477/0.240492102652286/0.240492102652286/4.1071252252171896E-4/0.03520255356211319/0.240492102652286/","2/3/4/7/","no"
"3","106198800","1468/592/1535/50/50/157/195/25963/","3.8571084997501067E-13/1.1114968870240475E-5/1.0368552345290374E-13/0.45851290990381355/0.45851290990381355/0.056258055090321266/0.026705010132692098/9.935205876495726E-222/","3/4/","no"
"4","104265800","4028/571/1468/50/50/157/195/1468/","6.114761470515327E-35/1.6777719563818895E-5/3.857086657662413E-13/0.45851031343052595/0.45851031343052595/0.05625773651142392/0.026704858907189048/3.857086657662413E-13/","3/4/","no"
"5","103585000","55/10317/69/193/4028/72/1535/214/","0.3758670866255535/9.785217626367305E-81/0.2927255813947487/0.03197485694828661/5.799517435285312E-32/0.27745649865872785/1.2509834428363073E-12/0.021975976371432414/","0/","no"
"6","102979900","65/233/50/51/98/95/50/561/","0.16351038854655614/0.0060663607588083935/0.219421420200403/0.215160945274487/0.0856113359156116/0.09079836081192777/0.219421420200403/9.768291803091556E-6/","2/3/6/","no"
"7","108727600","112/157/502/157/157/157/231/69/","0.19462914829657776/0.10233367537852972/7.405718453715265E-4/0.10233367537852972/0.10233367537852972/0.10233367537852972/0.035555538694201125/0.3597400396497307/","7/","no"
"0","102550800","50/233/61/98/1366/233/561/106/","0.38684424004894424/0.010695112243192287/0.3117918622464281/0.15093445367185182/2.4045587140442138E-12/0.010695112243192287/1.7221688820043213E-5/0.12902199785516677/","0/2/","no"
"1","104266900","571/50/157/157/1468/60/529/50/","1.1929019058986035E-5/0.3260024848340852/0.03999945335285106/0.03999945335285106/2.74240251044837E-13/0.2679570140085275/2.718059826670972E-5/0.3260024848340852/","1/5/7/","no"
"2","103360100","136/348/60/50/50/375/148/50/","0.04454111708473055/6.973624401916578E-4/0.19767194643358477/0.240492102652286/0.240492102652286/4.1071252252171896E-4/0.03520255356211319/0.240492102652286/","2/3/4/7/","no"
