"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","106407100","244/101165/691/101165/101165/2194/","0.860844964738103/1.0946578091731844E-179/0.13885422309806067/1.0946578091731844E-179/1.0946578091731844E-179/3.0081216383628137E-4/","0/","no"
"1","114120800","373066/79/373066/83/320/373066/","0.0/0.4999005128062211/0.0/0.4755200771042735/0.024579410089505354/0.0/","1/3/","no"
"2","106065300","143/373066/109/373066/58686/3123/","0.4233366531419605/0.0/0.5766633468573129/0.0/3.0989493025143202E-232/7.265299867832196E-13/","2/","no"
"3","104086200","1317511/188/1317511/50/11675/1317511/","0.0/0.06262714288997764/0.0/0.9373728571100223/9.512994246298791E-100/0.0/","3/","no"
"4","107159800","1317511/216/716/222/302/1317511/","0.0/0.3642497995000807/0.03636811499875406/0.35431633827374787/0.2450657472274173/0.0/","1/3/","no"
"5","108091700","535/1317511/143/1317511/1317511/50/","6.381379402940513E-5/0.0/0.13900203942710926/0.0/0.0/0.8609341467788613/","5/","no"
"0","109707600","60/101165/60/101165/101165/787/","0.49999833274247585/0.0/0.49999833274247585/0.0/0.0/3.3345150483265155E-6/","0/2/","no"
"1","116554100","373066/50/373066/51/1118/373066/","0.0/0.5049018035316185/0.0/0.4950981960623407/4.0604067051775826E-10/0.0/","1/3/","no"
"2","106442800","1239/373066/68/373066/22523/108/","2.7317474780816664E-8/0.0/0.6410006904491584/0.0/2.9670727227492695E-142/0.3589992822333667/","2/","no"
"3","105579800","1317511/188/1317511/50/1317511/1317511/","0.0/0.06262714288997764/0.0/0.9373728571100223/0.0/0.0/","3/","no"
"4","102125000","1317511/1477/525508/191/51/1317511/","0.0/1.1530544570692925E-12/0.0/0.06342879034505894/0.936571209653788/0.0/","4/","no"
"5","105410000","1317511/1317511/143/1317511/1317511/50/","0.0/0.0/0.1390109102407032/0.0/0.0/0.8609890897592968/","5/","no"
"0","113471800","50/101165/54/101165/101165/787/","0.5195976548725648/0.0/0.4804020699035382/0.0/0.0/2.7522389698434217E-7/","0/2/","no"
"1","116290900","373066/109/373066/119/487/373066/","0.0/0.514064228552854/0.0/0.46939241530669956/0.016543356140446466/0.0/","1/3/","no"
"2","110006500","1219/373066/50/373066/22425/108/","8.403992475562019E-11/0.0/0.7571752791908435/0.0/2.20362131183845E-191/0.24282472072511654/","2/","no"
"3","110003500","1317511/188/1317511/128/1317511/1317511/","0.0/0.38577280428185057/0.0/0.6142271957181493/0.0/0.0/","3/","no"
"4","106247600","1317511/216/1317511/222/302/1317511/","0.0/0.3779968317461909/0.0/0.36768847501687824/0.2543146932369309/0.0/","1/3/","no"
"5","106576700","215/1317511/143/1317511/1317511/50/","0.03276858288323547/0.0/0.13445571970680673/0.0/0.0/0.8327756974099577/","5/","no"
"0","113329700","111/101165/691/101165/101165/2194/","0.9943955266088453/0.0/0.005604465064753607/0.0/0.0/8.326401032116948E-9/","0/","no"
"1","107649400","373066/79/373066/79/3410/373066/","0.0/0.5/0.0/0.5/4.130793777003276E-19/0.0/","1/3/","no"
"2","105849300","1239/373066/109/373066/22523/392/","3.2110939459593116E-5/0.0/0.9290557603873362/0.0/2.9827640160821256E-89/0.07091212867320419/","2/","no"
"3","109874700","1317511/128/1317511/50/11675/1317511/","0.0/0.17807976793235317/0.0/0.8219202320676469/8.341315175993367E-100/0.0/","3/","no"
