"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","116852500","160/5852/130068/13635/4234/129552/","0.9999999999897558/4.425238701353802E-16/0.0/4.481672339580492E-37/1.0243806610410708E-11/0.0/","0/","no"
"1","119880900","63676/4004/53384/19819/19804/18429/","3.1736827397627654E-7/0.9381670918480486/4.1457981752596436E-6/0.01808556464990409/0.01815342785241491/0.02558945248318309/","1/","no"
"2","109658700","3292/2084/940/1024/864/175/","1.9548600744978226E-8/1.870488641567489E-5/0.012441398696431306/0.007719555534456609/0.019160439260883087/0.9606598820732125/","5/","no"
"3","118954900","175/20699/2631609/175/15891/2623541/","0.5/1.133212136099617E-51/0.0/0.5/8.287944538797489E-40/0.0/","0/3/","no"
"4","111733400","370/3288/3231/1696/1429/1537/","0.8853457624509354/3.398500290299828E-4/3.962888019219585E-4/0.024825076004164025/0.05098496683800729/0.03810805587594134/","0/","no"
"5","113412800","1307/29772/27884/1307/30241/50/","1.9765980281559145E-11/7.943070353900232E-254/9.49291992964262E-238/1.9765980281559145E-11/8.057165627569382E-258/0.9999999999604681/","5/","no"
"0","111719000","50/4450/846500/12059/4119/4417/","1.0/3.399824218526337E-38/0.0/5.450331012626915E-103/2.239302714644022E-35/6.493375824776232E-38/","0/","no"
"1","105602000","165072/4791/138837/49502/53470/50678/","2.97712641954999E-15/0.9998032060644247/7.103147127270929E-13/8.867442422984262E-5/3.874201860212246E-5/6.937749203005665E-5/","1/","no"
"2","114549800","3292/1827/894/2257/2798/1916/","0.033022702225065/0.16970587295937312/0.4813164144309087/0.1049642537963223/0.0573487231073601/0.15364203348097077/","2/","no"
"3","113565700","50/20354/1039178/50/15155/1035951/","0.5/6.290319985899621E-174/0.0/0.5/1.1780484665171879E-129/0.0/","0/3/","no"
"4","112369400","1249/3455/2577/1249/894/1729/","0.2281264664955389/0.019396559083653557/0.05173327906649791/0.2281264664955389/0.3391858534721415/0.1334313753866295/","4/","no"
"5","113394100","1344/30645/23897/1344/31117/50/","9.568458309500849E-12/2.9234034047105955E-261/8.49199263580475E-204/9.568458309500849E-12/2.795991818729693E-265/0.9999999999808631/","5/","no"
"0","114206100","60/4398/841413/12059/4234/4365/","1.0/1.3039313083285093E-31/0.0/3.733700991689823E-86/1.9180773068613285E-30/2.2397570295035482E-31/","0/","no"
"1","111127500","165072/4004/138837/19302/20890/19773/","3.238583889780711E-18/0.9468009271961993/2.2658334990106305E-15/0.02076696522054436/0.013969259201805154/0.018462848381449033/","1/","no"
"2","115555200","1333/972/286/1333/1066/529/","0.015892767115462527/0.0559077957103962/0.6102982249284727/0.015892767115462527/0.040292997565701046/0.261715447564505/","2/","no"
