"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","100796000","123/50/54/54/60/","0.061119450066832795/0.2557505860282744/0.23645817057653776/0.23645817057653776/0.21021362275181732/","1/2/3/4/","no"
"1","105748100","64/68/72/203/54/","0.2454736949919241/0.2282547934332479/0.2122437221917759/0.019607596457515176/0.29442019292553695/","0/4/","no"
"2","104372400","40251/40251/50/806/244/","0.0/0.0/0.978202153974896/3.5698633233841656E-7/0.021797489038771645/","2/","no"
"3","99573400","2111/2111/50/68/51/","1.0489149366111082E-18/1.0489149366111082E-18/0.37268909519336646/0.2618582614773716/0.365452643329262/","2/4/","no"
"4","99396500","2884/2884/428/140/123/","1.0921314190411156E-10/1.0921314190411156E-10/0.0436623938566258/0.4454423459555933/0.5108952599693546/","3/4/","no"
"0","101841700","68/50/592/529/1468/","0.41264329382650444/0.5872935035395089/1.4236783454811536E-5/4.8965850037860944E-5/4.940438350635454E-13/","1/","no"
"1","97046600","50/50/592/565/1468/","0.4999836501530114/0.4999836501530114/1.2120275322772768E-5/2.0579418233921973E-5/4.2059692215554437E-13/","0/1/","no"
"2","99329200","40251/40251/50/806/244/","0.0/0.0/0.978202153974896/3.5698633233841656E-7/0.021797489038771645/","2/","no"
"3","100455300","40251/2111/50/5922/51/","0.0/1.4210210341315804E-18/0.5049018037366292/5.0087857681464333E-51/0.4950981962633707/","2/4/","no"
"4","97734700","40251/15712/691/691/51/","0.0/1.5929079185400532E-131/4.516824562718551E-6/4.516824562718551E-6/0.9999909663508746/","4/","no"
"0","107389700","157/157/10317/1551/502/","0.47330804736167964/0.47330804736167964/5.602211267090576E-29/6.9736015661288E-5/0.053314169260979496/","0/1/","no"
"1","100604800","182/157/529/1468/565/","0.42167194448038303/0.49396046176444225/0.04690034808707184/1.230686588443801E-4/0.03734417700925831/","0/1/","no"
"2","96981100","15712/691/198/122/51/","1.211825397629199E-131/3.4362329787113237E-6/0.04503273901097469/0.19420770299954296/0.7607561217565036/","4/","no"
"3","98871200","40251/15712/691/691/51/","0.0/1.5929079185400532E-131/4.516824562718551E-6/4.516824562718551E-6/0.9999909663508746/","4/","no"
"4","101172400","3171/914/282/64/68/","8.812469299492856E-22/1.0595911429923955E-6/0.01769363134214225/0.5062602765131522/0.47604503255356256/","3/4/","no"
"0","98001900","50/50/529/529/565/","0.4999480276408159/0.4999480276408159/4.1683383181741064E-5/4.1683383181741064E-5/2.0577952004822705E-5/","0/1/","no"
"1","98013500","50/50/565/1468/529/","0.4999688680345108/0.4999688680345108/2.0578809799228334E-5/4.2058448712183404E-13/4.168512075858508E-5/","0/1/","no"
"2","99002900","40251/40251/50/68/244/","0.0/0.0/0.5797431691841369/0.40733828905612135/0.012918541759741687/","2/","no"
"3","96231900","40251/15712/50/272/274/","0.0/4.1513503519780074E-134/0.9753785975448701/0.012552056595838006/0.01206934585929177/","2/","no"
"4","99217600","2899/2884/68/282/51/","9.446040467558584E-25/1.260454160710396E-24/0.41614397827235006/0.0067913292389331515/0.577064692488717/","4/","no"
"0","98854100","64/68/159/348/134/","0.3959613428588184/0.37232909453104523/0.09181522429848314/0.005013257072899963/0.13488108123875328/","0/1/","no"
"1","97924000","502/50/54/1468/50/","4.84034518218416E-5/0.34191458310653744/0.3161224303348156/2.8762584786661667E-13/0.34191458310653744/","1/2/4/","no"
"2","101465400","40251/15712/198/79/80/","3.7492424266174335E-219/6.142528294777044E-86/0.102071516860854/0.45177023154315016/0.44615825159599587/","3/4/","no"
"3","100733900","15712/691/198/122/51/","1.211825397629199E-131/3.4362329787113237E-6/0.04503273901097469/0.19420770299954296/0.7607561217565036/","4/","no"
"4","98314200","40251/5922/691/150/122/","1.131816589962124E-142/1.837835769261719E-21/0.005422257695164646/0.4409300567446919/0.5536476855601435/","4/","no"
"0","94436700","79/50/239/239/3989/","0.3505518272111353/0.6190190285675723/0.015214572110646123/0.015214572110646123/1.7735439531400032E-34/","1/","no"
"1","97703400","50/68/4028/3989/502/","0.5872817942505208/0.41263506666317423/7.832077016872425E-35/1.6826139858615422E-34/8.31390863050505E-5/","0/","no"
"2","98055800","40251/40251/122/68/68/","4.929647658860871E-254/4.929647658860871E-254/0.18606932514992935/0.4069653374250353/0.4069653374250353/","3/4/","no"
"3","96444200","2268/209/107/107/97/","7.659717423792939E-11/0.10205362709006528/0.28896765384558526/0.28896765384558526/0.320011065142167/","2/3/4/","no"
"4","98700300","58441/8282/272/55/60/","0.0/8.141988837264387E-65/0.010723879664344042/0.5167054583771388/0.47257066195851716/","3/4/","no"
"0","96131100","50/68/968/952/123/","0.5150393437634411/0.36187618282838757/7.84403877324729E-9/1.0734676991205655E-8/0.1230844548294557/","0/","no"
"1","100125800","54/50/168/565/168/","0.43562450480908316/0.47116672738165255/0.046594687250413845/1.9393308436641735E-5/0.046594687250413845/","0/1/","no"
"2","96838900","40251/40251/79/198/691/","6.766891683996917E-219/6.766891683996917E-219/0.8153861167267337/0.18422572349951236/3.8815977375402814E-4/","2/","no"
"3","99536700","3989/1468/50/50/51/","9.612508038614208E-35/2.822338154607404E-13/0.3355048166483884/0.3355048166483884/0.32899036670294096/","2/3/4/","no"
"4","100484400","22425/914/391/82/78/","7.16540079511629E-124/1.2875963321437159E-5/0.009658710497169733/0.4826310815414314/0.5076973319980774/","3/4/","no"
"0","98607600","157/79/1468/83/50/","0.055454103389325236/0.25594625406391724/3.801988767396725E-13/0.2366390784933755/0.4519605640530017/","4/","no"
"1","96234700","157/502/3989/10317/3989/","0.8987620202812003/0.10123797966611812/2.6340813050874025E-11/1.0638007835528895E-28/2.6340813050874025E-11/","0/","no"
"2","98193700","2268/691/269/55/68/","3.79138638453983E-18/6.439332738161652E-6/0.01206590768791233/0.5510428097727244/0.4368848432066252/","3/","no"
"3","97136900","806/198/107/55/97/","7.705780448552232E-7/0.0399957516606829/0.2031151866399389/0.5140624049848733/0.24282588613646008/","3/","no"
"4","100592800","22844/8282/257/246/60/","5.639385400993397E-163/2.670423014195871E-59/0.036410191934824275/0.04360520842513701/0.9199845996400388/","4/","no"
"0","97960600","50/50/233/227/227/","0.4785044919738189/0.4785044919738189/0.013229250227130694/0.014880882912615736/0.014880882912615736/","0/1/","no"
"1","96887400","50/54/50/203/60/","0.2634143534016792/0.24354382555384094/0.2634143534016792/0.013114628421886073/0.21651283922091463/","0/1/2/4/","no"
"2","96610600","5922/5922/54/691/198/","4.3067491757623026E-47/4.3067491757623026E-47/0.9320144949933693/8.699673222270888E-6/0.06797680533340834/","2/","no"
"3","98563800","6089/2178/60/60/50/","1.41964482942387E-52/2.8615778291005168E-19/0.31088511475682307/0.31088511475682307/0.37822977048635387/","2/3/4/","no"
"4","97463100","40251/40251/15712/5922/198/","3.8811496044476E-88/3.8811496044476E-88/1.3883196997887572E-34/3.221306792621351E-13/0.9999999999996778/","4/","no"
"0","101359000","102/97/502/502/529/","0.47643570733378343/0.5013744340318147/0.008042179544141041/0.008042179544141041/0.0061054995461198094/","0/1/","yes"
"1","103617600","50/50/4028/3989/3989/","0.5/0.5/6.668074077511283E-35/1.4325439698065782E-34/1.4325439698065782E-34/","0/1/","yes"
"2","100778600","5922/806/244/64/68/","3.6170607714878227E-40/5.503921842215774E-6/0.031307555792114125/0.4992416448505472/0.46944529543549646/","3/4/","yes"
"3","97393300","160/1468/50/502/50/","0.05467714556436409/3.9758474261388275E-13/0.4726279732111782/6.690801288184219E-5/0.4726279732111782/","2/4/","yes"
"4","99315600","15712/15712/717/201/54/","2.144387279437124E-124/2.144387279437124E-124/5.442162629346955E-6/0.0646016160587076/0.9353929417786632/","4/","yes"
