"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","108174500","50/64/373066/373066/8842/8842/373066/8842/373066/373066/","0.5681997184824406/0.43180028151755934/0.0/0.0/7.683136788578705E-76/7.683136788578705E-76/0.0/7.683136788578705E-76/0.0/0.0/","0/","no"
"1","111217700","50/50/101165/101165/101165/101165/101165/101165/101165/101165/","0.5/0.5/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/1/","no"
"2","137164900","2136842333/2147483647/50/408902/31468/15931/60/50/50/50/","0.0/0.0/0.2073850752017461/0.0/5.9476511798417924E-269/1.204708750923926E-136/0.1704596991930156/0.2073850752017461/0.2073850752017461/0.2073850752017461/","2/6/7/8/9/","no"
"3","143225900","2136842333/2147483647/50/50/81143/49722/50/1009/50/50/","0.0/0.0/0.1999999997273405/0.1999999997273405/0.0/0.0/0.1999999997273405/1.3632974415131251E-9/0.1999999997273405/0.1999999997273405/","2/3/6/8/9/","no"
"4","135476300","107116/712589/5570/5570/231/97/820/937/937/486/","0.0/0.0/4.371037637012103E-25/4.371037637012103E-25/0.19988060580761075/0.7845161482595967/4.904245353529454E-4/1.4862017105097804E-4/1.4862017105097804E-4/0.014815581055337665/","5/","no"
"5","143062100","113050284/711813722/3275/1002/44178309/64/1002/621/987/621/","0.0/0.0/3.513071196065309E-22/5.402949530780391E-7/0.0/0.9996186663930061/5.402949530780391E-7/1.8978623928227471E-4/6.805385231894086E-7/1.8978623928227471E-4/","5/","no"
"6","150876800","76174004/191073762/31769/10334/1062/60/60/50/50/50/","0.0/0.0/1.6884824418231827E-271/5.740009608292047E-89/5.19221353548736E-10/0.17699531776475771/0.17699531776475771/0.21533645465042106/0.21533645465042106/0.21533645465042106/","5/6/7/8/9/","no"
"7","142650600","14730510/36848642/12503/3488/14720974/78/79/78/50/79/","0.0/0.0/2.7455067127218795E-107/1.6090104690338253E-30/0.0/0.1756629253337091/0.17225210296224788/0.1756629253337091/0.3041699434080859/0.17225210296224788/","8/","no"
"8","143984500","2136842333/2147483647/50/50/81143/49722/50/1009/50/50/","0.0/0.0/0.1999999997273405/0.1999999997273405/0.0/0.0/0.1999999997273405/1.3632974415131251E-9/0.1999999997273405/0.1999999997273405/","2/3/6/8/9/","no"
"9","147344900","2136842333/2147483647/50/408902/31468/15931/60/50/50/50/","0.0/0.0/0.2073850752017461/0.0/5.9476511798417924E-269/1.204708750923926E-136/0.1704596991930156/0.2073850752017461/0.2073850752017461/0.2073850752017461/","2/6/7/8/9/","no"
"0","119406800","65/65/148646/148646/148646/148646/148646/148646/148646/148646/","0.5/0.5/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/1/","no"
"1","120519200","122/122/40251/40251/40251/40251/40251/40251/40251/40251/","0.5/0.5/1.0221451470685986E-142/1.0221451470685986E-142/1.0221451470685986E-142/1.0221451470685986E-142/1.0221451470685986E-142/1.0221451470685986E-142/1.0221451470685986E-142/1.0221451470685986E-142/","0/1/","no"
"2","147218300","2136842333/2147483647/2982135/1116045/10951/4559/523/50/50/523/","0.0/0.0/0.0/0.0/7.423567534676138E-94/2.005338671808611E-39/4.688790688510242E-5/0.4999531120931149/0.4999531120931149/4.688790688510242E-5/","7/8/","no"
"3","144595500","851367397/2137773656/50/408902/31755/15931/51/50/50/51/","0.0/0.0/0.20156550767118042/0.0/2.0797603784234604E-271/1.170902634819163E-136/0.1976517384932293/0.20156550767118042/0.20156550767118042/0.1976517384932293/","2/6/7/8/9/","no"
"4","129730400","42784/278934/5268/5268/188/78/438/435/710/694/","1.330713990256491E-235/0.0/2.314659113626469E-29/2.314659113626469E-29/0.19555613545210151/0.7870191172062021/0.008258892627237356/0.008578552539606972/2.640155012675075E-4/3.2328667358457857E-4/","5/","no"
"5","141877900","711813722/1783526897/8902/2853/283228681/50/833/833/833/833/","0.0/0.0/4.169677759130675E-76/1.3515567258984737E-24/0.0/0.9999991402701929/2.1493245172618112E-7/2.1493245172618112E-7/2.1493245172618112E-7/2.1493245172618112E-7/","5/","no"
"6","141005800","76174004/191073762/91642/31769/2673/687/50/50/50/50/","0.0/0.0/0.0/1.9602821732742485E-271/1.1523338122552046E-23/9.408412826537663E-7/0.2499997647896793/0.2499997647896793/0.2499997647896793/0.2499997647896793/","6/7/8/9/","no"
"7","141988000","76174004/191073762/11466/3462/76174004/122/122/122/122/122/","0.0/0.0/1.766338259743063E-41/3.2210157231039867E-13/0.0/0.1999999999999356/0.1999999999999356/0.1999999999999356/0.1999999999999356/0.1999999999999356/","5/6/7/8/9/","no"
"8","145181000","2136842333/2147483647/50/408902/31755/16088/60/50/50/50/","0.0/0.0/0.2073850752017461/0.0/2.1398068918843576E-271/5.545443783481352E-138/0.1704596991930156/0.2073850752017461/0.2073850752017461/0.2073850752017461/","2/6/7/8/9/","no"
"9","157530000","851367397/2137773656/408902/145561/1299/4673/69/1009/50/51/","0.0/0.0/0.0/0.0/8.66170632221843E-12/1.6071004567797867E-40/0.2580860250934703/2.5534131870208293E-9/0.3745937028541229/0.36732026949033186/","8/9/","no"
"0","115707700","50/50/148646/148646/148646/148646/148646/148646/148646/148646/","0.5/0.5/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/1/","no"
"1","112259000","50/50/25963/25963/25963/25963/25963/25963/25963/25963/","0.5/0.5/1.0834161549104392E-221/1.0834161549104392E-221/1.0834161549104392E-221/1.0834161549104392E-221/1.0834161549104392E-221/1.0834161549104392E-221/1.0834161549104392E-221/1.0834161549104392E-221/","0/1/","no"
"2","144376100","851367397/2137773656/50/408902/31755/15931/51/50/50/51/","0.0/0.0/0.20156550767118042/0.0/2.0797603784234604E-271/1.170902634819163E-136/0.1976517384932293/0.20156550767118042/0.20156550767118042/0.1976517384932293/","2/6/7/8/9/","no"
"3","149234000","2136842333/2147483647/50/50/80751/49722/50/1009/50/50/","0.0/0.0/0.1999999997273405/0.1999999997273405/0.0/0.0/0.1999999997273405/1.3632974415131251E-9/0.1999999997273405/0.1999999997273405/","2/3/6/8/9/","no"
"4","127761600","278324/1793938/42687/42687/50/78/14312/15422/15422/16569/","0.0/0.0/0.0/0.0/0.6339081026393049/0.3660918973606951/2.2534699723715748E-122/7.953533423906394E-132/7.953533423906394E-132/1.3589142621828546E-141/","4/","no"
"5","141888600","711813722/1783526897/8902/2853/283228681/60/843/514/833/514/","0.0/0.0/1.1172436051105864E-63/1.301659530819978E-20/0.0/0.9988240904688065/2.6598464158874223E-6/5.850580105736857E-4/3.133663630269543E-6/5.850580105736857E-4/","5/","no"
"6","141315600","76174004/191073762/31769/10334/1062/60/60/50/50/50/","0.0/0.0/1.6884824418231827E-271/5.740009608292047E-89/5.19221353548736E-10/0.17699531776475771/0.17699531776475771/0.21533645465042106/0.21533645465042106/0.21533645465042106/","5/6/7/8/9/","no"
"7","136885000","191073762/30356191/10417/3043/11916807/55/55/55/55/55/","0.0/0.0/8.730524317822932E-82/1.343746303867936E-24/0.0/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/","5/6/7/8/9/","no"
"8","145915600","2136842333/2147483647/167709/58582/4870/1576/286/276/276/50/","0.0/0.0/0.0/0.0/8.721100180086778E-42/9.792316893028488E-14/0.009461961533294786/0.011511633620310694/0.011511633620310694/0.967514771225986/","9/","no"
"9","143009400","2136842333/2147483647/50/408902/31755/16088/60/50/50/50/","0.0/0.0/0.2073850752017461/0.0/2.1398068918843576E-271/5.545443783481352E-138/0.1704596991930156/0.2073850752017461/0.2073850752017461/0.2073850752017461/","2/6/7/8/9/","no"
"0","121711000","920/920/58441/58441/58441/58441/58686/58441/58441/58686/","0.5/0.5/3.7595344790421843E-28/3.7595344790421843E-28/3.7595344790421843E-28/3.7595344790421843E-28/2.8814105256513423E-28/3.7595344790421843E-28/3.7595344790421843E-28/2.8814105256513423E-28/","0/1/","no"
"1","124126800","50/97/40251/40251/40251/40251/101165/40251/40251/101165/","0.7153616165131179/0.28463838348688203/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"2","147845700","2136842333/2147483647/50/50/80751/49722/50/1009/50/50/","0.0/0.0/0.1999999997273405/0.1999999997273405/0.0/0.0/0.1999999997273405/1.3632974415131251E-9/0.1999999997273405/0.1999999997273405/","2/3/6/8/9/","no"
"3","157050500","2136842333/2147483647/159069/49722/4870/1009/198/188/188/188/","0.0/0.0/0.0/3.8038711091378424E-115/4.401405822073462E-12/0.0032779872361924766/0.23942372198452716/0.2524327635916263/0.2524327635916263/0.2524327635916263/","6/7/8/9/","no"
"4","124866300","278934/712589/106872/106872/50/188/4840/39911/39911/41803/","0.0/0.0/0.0/0.0/0.9373728571100223/0.06262714288997764/1.5215750810804253E-41/0.0/0.0/0.0/","4/","no"
"5","144116500","711813722/1783526897/8902/2853/711813722/50/833/833/833/833/","0.0/0.0/4.169677759130675E-76/1.3515567258984737E-24/0.0/0.9999991402701929/2.1493245172618112E-7/2.1493245172618112E-7/2.1493245172618112E-7/2.1493245172618112E-7/","5/","no"
"6","138578500","30253979/76233608/31769/10334/1062/50/51/50/50/51/","0.0/0.0/1.5805025719730726E-271/5.372931174374483E-89/4.860167120370052E-10/0.20156550757321623/0.1976517383971673/0.20156550757321623/0.20156550757321623/0.1976517383971673/","5/6/7/8/9/","no"
"7","132421100","76174004/191073762/12496/3874/76174004/188/188/188/188/188/","0.0/0.0/1.0448116835227467E-29/6.778579143826332E-10/0.0/0.1999999998644284/0.1999999998644284/0.1999999998644284/0.1999999998644284/0.1999999998644284/","5/6/7/8/9/","no"
"8","132682100","2136842333/2147483647/50/408902/31468/15931/60/50/50/50/","0.0/0.0/0.2073850752017461/0.0/5.9476511798417924E-269/1.204708750923926E-136/0.1704596991930156/0.2073850752017461/0.2073850752017461/0.2073850752017461/","2/6/7/8/9/","no"
"9","137090900","2136842333/2147483647/426585/152634/12483/5011/122/122/122/122/","0.0/0.0/0.0/0.0/5.66382729521523E-45/1.3665233765220961E-18/0.25/0.25/0.25/0.25/","6/7/8/9/","no"
"0","111128400","78/50/148646/22425/148646/148646/148646/148646/22425/148646/","0.3660918973606951/0.6339081026393049/0.0/1.8448745529777993E-191/0.0/0.0/0.0/0.0/1.8448745529777993E-191/0.0/","1/","no"
"1","115271500","691/691/101165/101165/15712/15712/101165/15712/101165/101165/","0.49999999971946696/0.49999999971946696/4.387050581597636E-64/4.387050581597636E-64/1.8702205217354765E-10/1.8702205217354765E-10/4.387050581597636E-64/1.8702205217354765E-10/4.387050581597636E-64/4.387050581597636E-64/","0/1/","no"
"2","132159300","2136842333/2147483647/50/408902/31755/16088/60/50/50/50/","0.0/0.0/0.2073850752017461/0.0/2.1398068918843576E-271/5.545443783481352E-138/0.1704596991930156/0.2073850752017461/0.2073850752017461/0.2073850752017461/","2/6/7/8/9/","no"
