"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","98957700","50/50/3989/3989/3989/","0.5/0.5/1.4325439698065782E-34/1.4325439698065782E-34/1.4325439698065782E-34/","0/1/","no"
"1","106011500","502/50/182/55/182/","6.88195373710583E-5/0.48613068994373454/0.03653395868474441/0.44073257314940545/0.03653395868474441/","1/3/","no"
"2","100583100","40251/40251/198/691/806/","3.431390289566846E-88/3.431390289566846E-88/0.8841169857594621/0.0742325294237416/0.04165048481679633/","2/","no"
"3","99284200","40251/15809/2111/97/97/","5.668307584637509E-179/1.1750124181568295E-70/5.93984679303316E-10/0.4999999997030077/0.4999999997030077/","3/4/","no"
"4","96498700","15712/15712/198/272/50/","3.985957064848195E-134/3.985957064848195E-134/0.05142933345146966/0.01205197211136757/0.9365186944371627/","4/","no"
"0","99274500","50/60/535/502/502/","0.5487555538376226/0.4510484013695807/4.067462536606871E-5/7.768508371539978E-5/7.768508371539978E-5/","0/1/","no"
"1","99443900","348/348/952/123/82/","0.02398444353197285/0.02398444353197285/1.6577598222027945E-5/0.3607729479856444/0.5912415873521878/","4/","no"
"2","94857700","15809/15712/50/198/272/","5.950062709565178E-135/3.985957064848195E-134/0.9365186944371627/0.05142933345146966/0.01205197211136757/","2/","no"
"3","94949900","40251/15809/2111/122/122/","1.0221450985818563E-142/2.044253352075468E-56/4.7436259358489716E-8/0.4999999762818703/0.4999999762818703/","3/4/","no"
"4","97945400","8282/3041/55/50/68/","3.0426261891299316E-71/1.2983545319917336E-26/0.34746369582268405/0.38325455496437966/0.26928174921293624/","2/3/","no"
"0","95987000","51/68/1468/565/592/","0.5809830935801703/0.41896969095220876/8.504305694530532E-13/2.960258095534027E-5/1.7612885815027734E-5/","0/","no"
"1","95668700","50/50/529/157/502/","0.47104892872666454/0.47104892872666454/3.927390830226208E-5/0.05779618416436893/6.668447399989023E-5/","0/1/","no"
"2","96432400","15712/5922/717/122/122/","4.480320377371385E-56/1.6531990629473372E-21/0.003948176132544982/0.49802591193372747/0.49802591193372747/","3/4/","no"
"3","99304800","1468/502/168/50/50/","4.007660041516464E-13/6.744337519617503E-5/0.047113175131762455/0.47640969074632034/0.47640969074632034/","3/4/","no"
"4","99239800","40251/40251/15712/5922/50/","0.0/0.0/4.256142550623307E-134/9.920316645886167E-51/1.0/","4/","no"
"0","95859100","50/50/592/565/1468/","0.4999836501530114/0.4999836501530114/1.2120275322772768E-5/2.0579418233921973E-5/4.2059692215554437E-13/","0/1/","no"
"1","101404100","51/50/529/502/1468/","0.49504197271578254/0.5048444668874871/4.2091625923108056E-5/7.146877038262415E-5/4.2468594498070466E-13/","0/1/","no"
"2","99911700","15712/15712/50/691/198/","4.0345684239347114E-134/4.0345684239347114E-134/0.9479401537770049/3.2983396296941544E-6/0.0520565478833654/","2/","no"
"3","96690200","502/508/214/50/68/","8.121904934349761E-5/7.22045280030993E-5/0.02302207094319876/0.5737189467148776/0.40310555876457704/","3/","no"
"4","96006400","15712/15712/79/79/198/","6.108248924301637E-86/6.108248924301637E-86/0.4492490548560202/0.4492490548560202/0.10150189028795971/","2/3/","no"
"0","97438500","90/157/565/157/529/","0.5072945310924524/0.2429432866500454/0.0027437114409035552/0.2429432866500454/0.0040751841665531184/","0/","no"
"1","99526900","50/50/529/157/502/","0.47104892872666454/0.47104892872666454/3.927390830226208E-5/0.05779618416436893/6.668447399989023E-5/","0/1/","no"
"2","99384400","5961/691/198/50/50/","2.2471046557079274E-51/1.6932448480507781E-6/0.026723894870398928/0.48663720594237647/0.48663720594237647/","3/4/","no"
"3","98546400","691/201/51/50/60/","1.2190258262749244E-6/0.018140370972311855/0.343544401589983/0.35034704092141794/0.287966967490461/","2/3/4/","no"
"4","99984300","5961/5922/50/93/209/","3.131396283508822E-51/6.727374067640152E-51/0.6781410622038875/0.29184360741557985/0.03001533038053276/","2/","no"
"0","95373700","97/50/3989/502/10317/","0.2846095608421612/0.715289178588664/2.0493663989101825E-34/1.0126056917470821E-4/2.660979587038395E-88/","1/","no"
"1","96576400","50/50/535/170/565/","0.4772804122565139/0.4772804122565139/3.537677537354076E-5/0.04538415376277746/1.964494882118565E-5/","0/1/","no"
"2","95305900","15712/15712/122/691/198/","5.808183824463962E-56/5.808183824463962E-56/0.6456292859026524/0.0063230976214909505/0.3480476164758565/","2/","no"
"3","97074800","502/157/60/55/60/","1.1416652758832567E-4/0.05408826004343778/0.305747627431003/0.33430231856696785/0.305747627431003/","2/3/4/","no"
"4","94602000","15712/15712/50/93/272/","2.9490454782060974E-134/2.9490454782060974E-134/0.6928916132694412/0.29819162890295087/0.008916757827607993/","2/","no"
"0","92999600","160/203/1468/68/592/","0.18755358866770677/0.10057223293523428/1.0975203738170042E-9/0.7115160278612939/3.581494382449234E-4/","3/","no"
"1","96530900","50/157/214/203/182/","0.776539695973283/0.09527891593074407/0.031160818504032375/0.038661634933782114/0.05835893465815849/","0/","no"
"2","96648000","40251/40251/68/244/691/","1.1235212479417205E-253/1.1235212479417205E-253/0.9275190346533922/0.07236977060549528/1.1119474111246882E-4/","2/","no"
"3","98073700","15712/2111/691/55/50/","2.232300945698004E-134/1.4761488828436396E-18/1.824950255130092E-6/0.4755089411609302/0.5244892338888147/","3/4/","no"
"4","98888600","5961/2111/691/198/50/","4.3772253885927244E-51/2.6679304523097006E-18/3.2983396296941544E-6/0.0520565478833654/0.9479401537770049/","4/","no"
"0","97891500","50/148/136/123/123/","0.5526245665261669/0.08089162050782234/0.1023506187940367/0.132066597085987/0.132066597085987/","0/","no"
"1","97322000","69/157/203/203/193/","0.5716083230211739/0.16260291912090014/0.08428199776702763/0.08428199776702763/0.09722476232387071/","0/","no"
"2","98706100","5961/5922/50/50/97/","1.925696919072828E-51/4.1370948748105265E-51/0.417032542658417/0.417032542658417/0.16593491468316607/","2/3/","no"
"3","98181700","40251/15809/50/198/272/","0.0/5.950062709565178E-135/0.9365186944371627/0.05142933345146966/0.01205197211136757/","2/","no"
"4","111307300","8282/8282/1029/246/72/","1.3135068600217155E-49/1.3135068600217155E-49/1.8546684327894365E-6/0.08443466634271425/0.915563478988853/","4/","no"
