"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","109482200","768/852/180039/180039/7671210/19280164/7671210/7671210/","0.5272810718307049/0.4727189281692951/3.0084388354932096E-102/3.0084388354932096E-102/0.0/0.0/0.0/0.0/","0/1/","no"
"1","115352400","1184063/51/187208/395/187208/4323/187208/3030195/","0.0/0.998662192659616/0.0/0.001337807340384016/0.0/2.0914936816630095E-36/0.0/0.0/","1/","no"
"2","114395800","743739/682183/1033/11916807/1890933/743739/1890933/30230137/","1.129998522896E-312/8.080905186739358E-287/1.0/0.0/0.0/1.129998522896E-312/0.0/0.0/","2/","no"
"3","114033000","186964/1184063/22128/24553/186964/7671210/186964/3030195/","3.066990148279034E-4/8.280664583959687E-24/0.5268835630915822/0.472196339863934/3.066990148279034E-4/4.01824395007943E-151/3.066990148279034E-4/4.8601770978987116E-60/","2/3/","no"
"4","109748000","187208/187208/19280164/187208/511/171809/11108/8290/","4.3425051622520117E-159/4.3425051622520117E-159/0.0/4.3425051622520117E-159/0.9999997468533958/5.00790204541066E-146/1.0263409061879647E-9/2.5212026325246215E-7/","4/","no"
"5","114546200","15715/45221/76174004/45221/269066/3010/76174004/45221/","0.014492423146200813/8.041086020345062E-7/0.0/8.041086020345062E-7/4.1573421671141834E-39/0.985505164527993/0.0/8.041086020345062E-7/","5/","no"
"6","106818300","6467/6467/278324/6467/106872/6467/122/6467/","3.9514843186678004E-23/3.9514843186678004E-23/0.0/3.9514843186678004E-23/0.0/3.9514843186678004E-23/1.0/3.9514843186678004E-23/","6/","no"
"7","113273300","56786/56786/2364241/56786/2185/56786/2947/1798/","2.276305584902559E-14/2.276305584902559E-14/0.0/2.276305584902559E-14/0.34545699553606335/2.276305584902559E-14/0.22617284684026295/0.4283701576235826/","4/7/","no"
"0","106391500","768/852/7671210/7671210/177342/19280164/7671210/7671210/","0.5272810718307049/0.4727189281692951/0.0/0.0/1.003409042173368E-100/0.0/0.0/0.0/","0/1/","no"
"1","117613200","63038/511/7671210/7671210/7671210/4323/11124/11124/","9.170246267939214E-54/0.9994161655546033/0.0/0.0/0.0/5.838324570303715E-4/9.941831905315052E-10/9.941831905315052E-10/","1/","no"
"2","114038800","15731/102008/869/98715/76174004/746966/191073762/279579/","3.8111160972515427E-8/3.2547503217605635E-51/0.9999999618888391/1.433333502321926E-49/0.0/0.0/0.0/7.430485070344275E-140/","2/","no"
"3","114512800","180039/24592/50/22128/1687/187208/19280164/69100/","0.0/1.0249031919436505E-209/0.9999999999999885/9.841634367802492E-189/1.1481501548252955E-14/0.0/0.0/0.0/","2/","no"
"4","109231700","7671210/19280164/3030195/180039/9465/222/1184063/7671210/","0.0/0.0/0.0/0.0/9.981029822363017E-19/1.0/0.0/0.0/","5/","no"
"5","118367100","15715/45221/76174004/45221/669/3010/76174004/45221/","1.7146493295949355E-10/1.2834084416868488E-29/0.0/1.2834084416868488E-29/0.9705174221009165/0.029482577727618576/0.0/1.2834084416868488E-29/","4/","no"
"6","110732100","711063/711063/711063/711063/1678/711063/2108/711063/","1.818330907554584E-184/1.818330907554584E-184/1.818330907554584E-184/1.818330907554584E-184/0.5636785314146219/1.818330907554584E-184/0.4363214685853781/1.818330907554584E-184/","4/","no"
"7","110887600","56786/56786/2364241/56786/935/56786/2364241/188/","8.66509574045541E-131/8.66509574045541E-131/0.0/8.66509574045541E-131/0.01884688365539914/8.66509574045541E-131/0.0/0.9811531163446009/","7/","no"
"0","116905900","50/294/11124/11124/11124/48259941/187208/3030195/","0.9917094488998592/0.008290551100140825/4.953051362946206E-95/4.953051362946206E-95/4.953051362946206E-95/0.0/0.0/0.0/","0/","no"
"1","111016000","63038/511/7671210/1122/7671210/11124/19280164/3692/","7.030012410283279E-54/0.7661635076748586/0.0/0.2323015305554585/0.0/7.621518510322558E-10/0.0/0.001534961007531009/","1/","no"
"2","112630800","583333/854/76575/76575/24385354/153196043/601256/14146/","1.3541839811440115E-296/0.9999998228375994/3.4495553897082646E-39/3.4495553897082646E-39/0.0/0.0/1.0659770351631729E-305/1.7716240059089154E-7/","1/","no"
"3","111908300","186964/24553/50/22128/7671210/186964/7671210/72789/","0.0/2.2018634918980506E-209/1.0/9.841634367802605E-189/0.0/0.0/0.0/0.0/","2/","no"
"4","112579600","4323/4323/19280164/4323/50/4112/186964/4323/","4.101425988398207E-37/4.101425988398207E-37/0.0/4.101425988398207E-37/1.0/2.5687500821994403E-35/0.0/4.101425988398207E-37/","4/","no"
"5","111243300","9658374/235222/600646/600646/1446/596/600646/600646/","0.0/1.678530625726445E-171/0.0/0.0/0.19406880767217938/0.8059311923278206/0.0/0.0/","5/","no"
"6","107724500","395/4494307/395/395/711063/711063/50/1861/","0.001149806897397146/0.0/0.001149806897397146/0.001149806897397146/0.0/0.0/0.9965505793078081/3.7738744627311843E-16/","6/","no"
"7","109306200","930399/22140/22140/22140/699/22140/1211/78/","0.0/5.202672642621891E-122/5.202672642621891E-122/5.202672642621891E-122/3.85432070905672E-4/5.202672642621891E-122/5.905814664120823E-7/0.9996139773476279/","7/","no"
"0","111995000","7387/514/1689/1689/48259941/1689/48259941/1192131/","1.2246084062251775E-6/0.7654752735134843/0.07817450062603648/0.07817450062603648/0.0/0.07817450062603648/0.0/0.0/","1/","no"
"1","108344500","656/511/7671210/7671210/7671210/3046549/7671210/7671210/","0.4296686628598425/0.5703313371401575/0.0/0.0/0.0/0.0/0.0/0.0/","1/","no"
"2","112862500","76174004/11916807/253666/253666/1884392/76174004/191073762/30230137/","5.224433917072862E-131/5.377246007641012E-21/0.4995966518784632/0.4995966518784632/8.066962430736283E-4/5.224433917072862E-131/0.0/2.382001959800044E-52/","2/3/","no"
"3","107135000","3050363/10111/1184063/511/186964/69002/186964/48259941/","0.0/7.194132978569833E-9/0.0/0.999999992805867/6.993730842613583E-159/8.012766678127582E-59/6.993730842613583E-159/0.0/","3/","no"
"4","112641600","476308/476308/7671210/72789/8436/2617/7831/26274/","2.114768196911854E-79/2.114768196911854E-79/0.0/1.8372830975421905E-12/0.08700798636329617/0.8032684664116859/0.109627948733256/9.559848992447705E-5/","5/","no"
"5","117354600","720682/17025/1077/1077/42796/253666/41318/45260/","6.184269814445298E-291/1.8792733810564745E-7/0.4999999060363309/0.4999999060363309/7.791343018346521E-18/8.675485194115437E-103/3.0694109456637014E-17/7.923904328856592E-19/","2/3/","no"
"6","107205500","294/4494307/5810/16776/1861/711063/1467/294/","0.49414727671729064/0.0/3.743567661724601E-9/2.6872522655740504E-25/0.002437490915680725/0.0/0.009267951906170233/0.49414727671729064/","0/7/","no"
"7","112085500","936940/1297/1284/1297/145479/361582/521/7599/","0.0/0.13427841005092467/0.13766449729911615/0.13427841005092467/1.4832391860844462E-121/2.384819925202076E-301/0.5937779154899954/7.671090392717636E-7/","6/","no"
"0","113580000","22128/24385/1687/1687/1687/7671210/1687/1687/","1.1012810561001994E-6/2.8920739762334405E-7/0.19999972190230927/0.19999972190230927/0.19999972190230927/0.0/0.19999972190230927/0.19999972190230927/","2/3/4/6/7/","no"
"1","107179300","63038/511/7671210/7671210/7671210/10951/19280164/3692/","9.157257292129549E-54/0.9980005664508409/0.0/0.0/0.0/1.3918578004731909E-9/0.0/0.001999432157301335/","1/","no"
"2","111452900","1890933/268822/1254/253666/76174004/1890933/76174004/743739/","0.0/2.5569624804916433E-93/1.0/4.492406746581958E-88/0.0/0.0/0.0/1.1535624713468735E-257/","2/","no"
"3","113135700","186964/24553/50/22128/7671210/186964/7671210/72789/","0.0/2.2018634918980506E-209/1.0/9.841634367802605E-189/0.0/0.0/0.0/0.0/","2/","no"
"4","114740600","4317/4323/4323/4323/79/456342/1185589/3030195/","9.845773057446038E-24/9.134351821914761E-24/9.134351821914761E-24/9.134351821914761E-24/1.0/0.0/0.0/0.0/","4/","no"
"5","108784200","225755/600646/24385354/600646/24385354/50/24385354/351/","0.0/0.0/0.0/0.0/0.0/0.9972733761828493/0.0/0.002726623817150773/","5/","no"
"6","108402600","711063/1793938/278324/711063/106872/1793938/1467/711063/","1.1815743337401837E-210/0.0/1.2427056483087527E-82/1.1815743337401837E-210/6.559745842232027E-32/0.0/1.0/1.1815743337401837E-210/","6/","no"
"7","105024100","2364241/2364241/2364241/2364241/137249/2364241/142783/434/","0.0/0.0/0.0/0.0/2.5520995181791795E-137/0.0/7.618563526754787E-143/1.0/","7/","no"
"0","112250600","50/294/10111/11124/11124/48259941/187208/7671210/","0.9917094488998592/0.008290551100140825/2.0948523733566364E-86/4.953051362946206E-95/4.953051362946206E-95/0.0/0.0/0.0/","0/","no"
"1","107755800","711/511/7671210/7671210/7671210/4254/19280164/3692/","0.40292475150709683/0.5954841806875706/0.0/0.0/0.0/3.9805222993555224E-4/0.0/0.0011930155753970856/","1/","no"
