"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","111757400","50/110615/4494307/712589/110615/280941/1793938/41408/4494307/280941/41408/4494307/42784/4494307/107919/108163/1793938/278934/110371/108163/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","120392700","716/50/200/3787/716/12187/1317511/716/1317511/234/451/294/1317511/1317511/716/716/1317511/1317511/451/703/","1.9569264359494876E-6/0.9182258165724125/0.04848560148815192/1.3811289450189308E-32/1.9569264359494876E-6/4.06797602031599E-104/0.0/1.9569264359494876E-6/0.0/0.02489333783060932/3.5334804305708504E-4/0.007676238299642163/0.0/0.0/1.9569264359494876E-6/1.9569264359494876E-6/0.0/0.0/3.5334804305708504E-4/2.525090890398365E-6/","1/","no"
"2","116147800","512/170/79/1098/373066/1098/373066/373066/373066/186/22425/215/512/373066/373066/373066/373066/512/22425/1160/","0.002507021691074238/0.1802050684067533/0.5620526177171261/1.6517754675328011E-6/0.0/1.6517754675328011E-6/0.0/0.0/0.0/0.1475394313651303/2.7572161726916863E-122/0.1026777529076291/0.002507021691074238/0.0/0.0/0.0/0.0/0.002507021691074238/2.7572161726916863E-122/7.609792032536971E-7/","2/","no"
"3","115136000","15712/201/98/50/101165/320/101165/101165/101165/101165/201/101165/155/101165/101165/101165/101165/155/201/5961/","2.357017237804553E-134/0.028674397662253773/0.2160721760516993/0.5537918924870998/0.0/0.0027806127686352444/0.0/0.0/0.0/0.0/0.028674397662253773/0.0/0.07066606285290207/0.0/0.0/0.0/0.0/0.07066606285290207/0.028674397662253773/2.55719933598423E-51/","3/","no"
"4","113993000","1830/716/1317511/1317511/50/1317511/234/234/31465/1317511/716/234/1317511/234/716/716/3787/1317511/716/716/","6.274128674698262E-16/1.9226817258230207E-6/0.0/0.0/0.9021575697842269/0.0/0.024457723531354465/0.024457723531354465/2.7440822412212206E-268/0.0/1.9226817258230207E-6/0.024457723531354465/0.0/0.024457723531354465/1.9226817258230207E-6/1.9226817258230207E-6/1.3569602488939287E-32/0.0/1.9226817258230207E-6/1.9226817258230207E-6/","4/","no"
"5","116268000","713/234/234/234/1317511/50/31465/1317511/1317511/31465/234/1317511/3787/1317511/451/716/31465/716/3787/567/","2.0384043616355787E-6/0.0244485011135216/0.0244485011135216/0.0244485011135216/0.0/0.9018173879169749/2.743047513971816E-268/0.0/0.0/2.743047513971816E-268/0.0244485011135216/0.0/1.3564485719023298E-32/0.0/3.4703381615298505E-4/1.921956728902828E-6/2.743047513971816E-268/1.921956728902828E-6/1.3564485719023298E-32/3.5691494966399086E-5/","5/","no"
"6","114283400","512/373066/373066/373066/3041/512/50/2884/167/512/373066/138/373066/157/512/1308/474/1308/512/373066/","8.29683617204757E-5/0.0/0.0/0.0/2.4155473727378771E-26/8.29683617204757E-5/0.7130329278505001/5.247607174157997E-25/0.07190961293059735/8.29683617204757E-5/0.0/0.1269809919266469/0.0/0.0874868403261351/8.29683617204757E-5/1.3820137556764724E-11/1.7478512987756292E-4/1.3820137556764724E-11/8.29683617204757E-5/0.0/","6/","no"
"7","112630000","705/1179/1317511/1317511/1442/1317511/293/50/293/1317511/1179/293/716/293/4549/1179/525508/1317511/4549/4549/","2.5570024948327996E-6/2.351511697590334E-10/0.0/0.0/1.3544098681491722E-12/0.0/0.008244215192104503/0.9670185206086426/0.008244215192104503/0.0/2.351511697590334E-10/0.008244215192104503/2.060913636795553E-6/0.008244215192104503/4.7189896580748114E-39/2.351511697590334E-10/0.0/0.0/4.7189896580748114E-39/4.7189896580748114E-39/","7/","no"
"8","117968400","211/373066/373066/373066/22844/373066/3238/3238/54/373066/373066/3171/373066/246/373066/58686/54/58686/373066/373066/","0.02757685252151238/0.0/0.0/0.0/5.301725787983156E-181/0.0/3.45585621831525E-26/3.45585621831525E-26/0.478914554603762/0.0/0.0/1.1684370157740022E-25/0.0/0.01459403827096365/0.0/0.0/0.478914554603762/0.0/0.0/0.0/","8/16/","no"
"9","112841700","713/1179/11833/1317511/1317511/713/293/1317511/1317511/50/1317511/12001/293/1317511/713/716/293/716/293/716/","2.185762647130954E-6/2.351492599486246E-10/4.4297048360072143E-101/0.0/0.0/2.185762647130954E-6/0.008244148235652608/0.0/0.0/0.9670106668436027/0.0/1.6434544513730978E-102/0.008244148235652608/0.0/2.185762647130954E-6/2.060896898820917E-6/0.008244148235652608/2.060896898820917E-6/0.008244148235652608/2.060896898820917E-6/","9/","no"
