"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","104540400","60/6039/137/6023/899/50/899/756/753/137/","0.37614750839700106/4.5784330697723226E-52/0.0831110324727634/6.265649820279209E-52/2.6964239949371245E-8/0.45762945543821393/2.6964239949371245E-8/4.45159707241845E-7/4.7213107101750664E-7/0.0831110324727634/","0/5/","no"
"1","111853900","4706/128/4773/705/4773/4706/4773/50/705/4773/","1.8462744468574063E-40/0.17807899388287918/4.963094309442687E-41/2.173322334605259E-6/4.963094309442687E-41/1.8462744468574063E-40/4.963094309442687E-41/0.8219166594724515/2.173322334605259E-6/4.963094309442687E-41/","7/","no"
"2","105691000","210/395/50/394/301/210/301/395/394/50/","0.020608241682839496/5.478466303022589E-4/0.4748248406192783/5.586947274263568E-4/0.0034603763401535436/0.020608241682839496/0.0034603763401535436/5.478466303022589E-4/5.586947274263568E-4/0.4748248406192783/","2/9/","no"
"3","106803600","291/213/2433/93/621/281/621/292/621/2433/","0.07297889692641026/0.1673282664186426/9.26461320184589E-12/0.5997742262867125/0.002180451615204554/0.08117061479253249/0.002180451615204554/0.0722066407115595/0.002180451615204554/9.26461320184589E-12/","3/","no"
"4","102472900","355/395/305/193/50/355/50/395/193/305/","0.001180137512520093/5.38653507632078E-4/0.0031456581111362946/0.02827849313832995/0.46685705773038155/0.001180137512520093/0.46685705773038155/5.38653507632078E-4/0.02827849313832995/0.0031456581111362946/","4/6/","no"
"5","107601500","50/6180/128/6180/891/50/891/778/767/128/","0.4109598536156784/2.590035930221949E-53/0.08903982710985336/2.590035930221949E-53/2.8326846923201627E-8/0.4109598536156784/2.8326846923201627E-8/2.596919923601913E-7/3.222032502951422E-7/0.08903982710985336/","0/5/","no"
"6","103878500","364/395/311/200/50/364/50/395/200/311/","9.975320082378906E-4/5.431801861684189E-4/0.0028200218806075316/0.02485888495837904/0.4707803809666071/9.975320082378906E-4/0.4707803809666071/5.431801861684189E-4/0.02485888495837904/0.0028200218806075316/","4/6/","no"
"7","103968700","483/109/716/1626/716/483/716/50/483/716/","1.5624178244893537E-4/0.23912412037969605/1.6205688732431616E-6/2.887296892103011E-14/1.6205688732431616E-6/1.5624178244893537E-4/1.6205688732431616E-6/0.7604006719974353/1.5624178244893537E-4/1.6205688732431616E-6/","7/","no"
"8","105678800","767/6180/891/109/128/778/128/778/50/891/","4.485789549545226E-7/3.6059090335351077E-53/3.9437303560181056E-8/0.17992407108971886/0.12396334474491669/3.61549309127962E-7/0.12396334474491669/3.61549309127962E-7/0.5721479888682673/3.9437303560181056E-8/","8/","no"
"9","105065500","207/395/50/391/305/207/305/395/391/50/","0.021812295550182072/5.467297358973392E-4/0.47385681566763815/5.913369371584839E-4/0.003192822109123958/0.021812295550182072/0.003192822109123958/5.467297358973392E-4/5.913369371584839E-4/0.47385681566763815/","2/9/","no"
"0","105233600","60/5653/162/5637/927/50/927/694/645/162/","0.4020411797835364/9.476377582609153E-49/0.05441035693878684/1.2968555528174536E-48/1.6644254446907518E-8/0.48913227407023196/1.6644254446907518E-8/1.6047006858240747E-6/4.194279463303855E-6/0.05441035693878684/","0/5/","no"
"1","104506900","4486/109/4773/1721/4773/4486/4773/451/1721/4773/","5.0125660623427285E-18/0.9572653905083511/3.689319987976834E-19/4.1366057544763826E-7/3.689319987976834E-19/5.0125660623427285E-18/3.689319987976834E-19/0.04273378217049791/4.1366057544763826E-7/3.689319987976834E-19/","1/","no"
"2","123399400","199/395/60/391/305/199/305/395/391/60/","0.045359787320062114/0.0018248744982707328/0.4428869277152386/0.0019485489884274994/0.007979861478001017/0.045359787320062114/0.007979861478001017/0.0018248744982707328/0.0019485489884274994/0.4428869277152386/","2/9/","no"
"3","105440900","781/15461/927/127/126/738/126/784/109/927/","6.223055836217873E-4/6.8459074228821625E-62/1.6503515912687575E-4/0.23772880057279014/0.2398998248272167/9.199693506711931E-4/0.2398998248272167/6.055629594242574E-4/0.2799936415608054/1.6503515912687575E-4/","3/4/6/8/","no"
"4","103508300","361/395/305/199/60/361/60/395/199/305/","0.003178519891214543/0.001820367850354032/0.007960154683840941/0.045247768333977506/0.44179318924061295/0.003178519891214543/0.44179318924061295/0.001820367850354032/0.045247768333977506/0.007960154683840941/","4/6/","no"
"5","107035300","50/5794/153/5794/919/50/919/716/706/153/","0.441419290584147/5.387295984339517E-50/0.05857964919542095/5.387295984339517E-50/1.7571707281473184E-8/0.441419290584147/1.7571707281473184E-8/9.407545110272595E-7/1.144542938532675E-6/0.05857964919542095/","0/5/","no"
"6","103752300","375/395/312/235/50/375/50/395/235/312/","8.247699791467807E-4/5.572130551555345E-4/0.002836705583309416/0.012838484921570135/0.4829428264608181/8.247699791467807E-4/0.4829428264608181/5.572130551555345E-4/0.012838484921570135/0.002836705583309416/","4/6/","no"
"7","105177900","667/358/1836/519/1836/667/1836/128/667/1836/","0.01213937024277069/0.13319347187119965/1.4080329857295162E-6/0.03823459489961467/1.4080329857295162E-6/0.01213937024277069/1.4080329857295162E-6/0.7921481903689307/0.01213937024277069/1.4080329857295162E-6/","7/","no"
"8","105875800","788/6310/891/119/120/799/120/799/50/891/","2.9421182772683325E-7/2.790217057471726E-54/3.9044115255076517E-8/0.1464137490264807/0.14357085380701234/2.3713123827375191E-7/0.14357085380701234/2.3713123827375191E-7/0.5664436967969599/3.9044115255076517E-8/","8/","no"
"9","105349500","260/395/50/394/305/260/305/395/394/50/","0.007940100251744171/5.626300778166213E-4/0.4876378209709831/5.737709070040273E-4/0.003285677792452012/0.007940100251744171/0.003285677792452012/5.626300778166213E-4/5.737709070040273E-4/0.4876378209709831/","2/9/","no"
"0","104569000","50/6129/132/6113/899/54/899/770/767/132/","0.43006950162755253/7.3678286716431725E-53/0.08615118259689922/1.0082976793330017E-52/2.5340364565666636E-8/0.3976274273888534/2.5340364565666636E-8/3.179233533284277E-7/3.371857130521492E-7/0.08615118259689922/","0/5/","no"
"1","106780900","448/109/716/1538/716/448/716/50/448/716/","3.101999243582243E-4/0.23901362327109052/1.6198200229201365E-6/1.6205468244487315E-13/1.6198200229201365E-6/3.101999243582243E-4/1.6198200229201365E-6/0.7600492976755812/3.101999243582243E-4/1.6198200229201365E-6/","7/","no"
"2","106667700","199/395/60/391/305/199/305/395/391/60/","0.045359787320062114/0.0018248744982707328/0.4428869277152386/0.0019485489884274994/0.007979861478001017/0.045359787320062114/0.007979861478001017/0.0018248744982707328/0.0019485489884274994/0.4428869277152386/","2/9/","no"
"3","106641000","2061/2068/2381/60/119/1953/119/2068/109/2381/","2.568564348376417E-15/2.2900943673154264E-15/1.3533942146879087E-17/0.4528698132039827/0.172154371214247/1.5087082691065715E-14/0.172154371214247/2.2900943673154264E-15/0.2028214443675011/1.3533942146879087E-17/","3/","no"
"4","106639800","361/395/305/207/50/361/50/395/207/305/","0.0010638765264046849/5.462124211930944E-4/0.003189801066519833/0.021791656794905804/0.4734084531909766/0.0010638765264046849/0.4734084531909766/5.462124211930944E-4/0.021791656794905804/0.003189801066519833/","4/6/","no"
"5","102800900","50/5743/156/5727/927/54/927/708/660/156/","0.459806660720235/1.5254194107393694E-49/0.05753392223712421/2.0875578415356928E-49/1.56463587931464E-8/0.4251213790016243/1.56463587931464E-8/1.1463701888123722E-6/2.938140985821783E-6/0.05753392223712421/","0/5/","no"
"6","106007500","355/395/305/193/50/355/50/395/193/305/","0.001180137512520093/5.38653507632078E-4/0.0031456581111362946/0.02827849313832995/0.46685705773038155/0.001180137512520093/0.46685705773038155/5.38653507632078E-4/0.02827849313832995/0.0031456581111362946/","4/6/","no"
"7","103244800","459/302/12393/459/12393/459/12393/50/459/12393/","3.261887933875392E-4/0.007086222657559684/7.736780414668258E-106/3.261887933875392E-4/7.736780414668258E-106/3.261887933875392E-4/7.736780414668258E-106/0.9916090221688901/3.261887933875392E-4/7.736780414668258E-106/","7/","no"
