"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","105543600","50/1981/2374/931925/2468/2284/","1.0/3.6009636235760866E-17/1.6210505211115317E-20/0.0/2.5664464735684407E-21/9.466699182397635E-20/","0/","no"
"1","110339300","2931/89/1860/3184/19272/1824/","1.931725252931492E-14/0.9999999929112701/2.8447865889117446E-9/1.1617035424884697E-15/2.707347022503654E-93/4.243922892857213E-9/","1/","no"
"2","109584400","19309/363588/1798/19715/2558/20069/","3.5788201715887175E-5/2.7653488027631613E-88/0.6040179803617743/2.8558006774544084E-5/0.3958942166080134/2.345682172182131E-5/","2/","no"
"3","107498300","476308/3034010/3030195/50/593/1357/","0.0/0.0/0.0/0.9999762299050472/2.377008753759063E-5/7.41530691000574E-12/","3/","no"
"4","104959200","778/581/1052/2827/434/287/","0.08216112596267289/0.16283054320824122/0.031730976523354916/6.681009659058811E-5/0.27127327686020763/0.4519372673489327/","5/","no"
"5","108278300","2657/6915/363588/5951414/107/50/","4.7533652471476083E-23/2.616192743623424E-59/0.0/0.0/0.24644799076279764/0.7535520092372023/","5/","no"
"0","108404900","270/3115/2353/51802/22101/2259/","0.9988652637848178/2.7555997193910253E-5/4.5853118927768443E-4/2.6076404966195885E-83/1.0326696087315169E-35/6.486490287106151E-4/","0/","no"
"1","111259800","2994/50/1975/3115/20026/2071/","8.514088157484244E-26/1.0/4.05053326039071E-17/7.938769553307526E-27/7.812901394024829E-171/6.166187227492802E-18/","1/","no"
"2","108807000","18161/378/18712/18751/3292/19533/","4.191190139703277E-21/0.9995422156072/9.793745542299072E-22/8.836064606738308E-22/4.577843927999969E-4/1.1224536623619573E-22/","1/","no"
"3","108751800","476308/476308/73208/511/511/388/","0.0/0.0/2.0436832315699433E-82/0.2965688530913437/0.2965688530913437/0.40686229381731265/","5/","no"
"4","104759900","2678/589/1041/1034/445/233/","1.718316640789462E-5/0.12947986102626383/0.018763273540383374/0.01933304782363094/0.2395854099731864/0.5928212244701276/","5/","no"
"5","105323800","2657/6915/363588/5951414/107/50/","4.7533652471476083E-23/2.616192743623424E-59/0.0/0.0/0.24644799076279764/0.7535520092372023/","5/","no"
"0","104524200","50/3115/1981/19898/3136/1824/","0.9999999999999992/7.93876955330752E-27/3.600963623576084E-17/9.611835663870848E-170/5.259277128536334E-27/7.822840801313641E-16/","0/","no"
"1","107859300","1798/79/2455/2461/930399/2284/","4.656904371690586E-10/0.9999999995329952/1.263146977656546E-13/1.1718763807964553E-13/0.0/1.0709232377506807E-12/","1/","no"
"2","110925200","19180/361582/1798/54/2428/51705/","9.463852958636736E-152/0.0/1.6940132074848634E-14/0.9999999999999831/1.7958535123077241E-19/0.0/","3/","no"
"3","108860700","456342/456342/73208/511/511/505/","0.0/0.0/1.3368550570469595E-63/0.33201321681866547/0.33201321681866547/0.33597356636266895/","3/4/5/","no"
"4","108300800","2649/972/775/1019/631/386/","0.0012472726110946953/0.09503949952758817/0.1581171979656245/0.08417058902707/0.22939136001729057/0.43203408085133216/","5/","no"
"5","103967800","2185/2678/360971/2368056/107/128/","2.4154400401441675E-9/2.5149095857844485E-11/0.0/0.0/0.548458526634715/0.4515414709246959/","4/5/","no"
"0","106181700","50/1798/2455/931925/2554/2468/","0.9999999999999987/1.3024753782204269E-15/3.3115759959358823E-21/0.0/4.753270132790319E-22/2.5664464735684373E-21/","0/","no"
"1","109007700","2931/79/1798/3236/19272/1824/","3.2915595739794536E-16/0.9999999991978351/4.656904370129778E-10/7.272002299519312E-18/6.416897616325638E-105/3.3647407907140715E-10/","1/","no"
"2","108006900","19309/363588/1798/51/2455/51705/","1.4478013942473964E-161/0.0/2.5667039055877568E-15/0.9999999999999974/8.360495720972907E-21/0.0/","3/","no"
"3","112427800","476308/476308/73208/511/511/388/","0.0/0.0/2.0436832315699433E-82/0.2965688530913437/0.2965688530913437/0.40686229381731265/","5/","no"
"4","106383800","51142/51142/8502/51/5996/360971/","0.0/0.0/2.6229793635283176E-71/1.0/2.2307359931224976E-50/0.0/","3/","no"
"5","113049100","2649/3141/56367/6942/50724/50/","7.379256034057375E-23/4.768130853935445E-27/0.0/2.044729659040551E-59/0.0/1.0/","5/","no"
