"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","112632100","1468/241/64/10317/239/182/","3.2105283516400955E-10/0.050666398788182014/0.7715024659976428/2.4120921122912137E-69/0.052249596893491825/0.12558153799963062/","2/","no"
"1","102139900","40251/50/354/2111/354/354/","0.0/0.9923256827065308/0.0025581057644896883/2.792851317620795E-18/0.0025581057644896883/0.0025581057644896883/","1/","no"
"2","101761700","82/356/50/40251/2111/82/","0.2578999333274889/0.0011972444621545471/0.4830028888828675/0.0/1.3593876266025308E-18/0.2578999333274889/","2/","no"
"3","104127400","1468/571/108/50/108/108/","4.2872841721305256E-13/1.8649011006146048E-5/0.16344380142655138/0.509649946708911/0.16344380142655138/0.16344380142655138/","3/","no"
"4","101857600","40251/15809/107/40251/50/753/","0.0/4.787601412296917E-135/0.24644779916664297/0.0/0.7535514234029788/7.774303781589718E-7/","4/","no"
"5","98871600","868/2351/2178/40251/2335/50/","1.0820743100399851E-7/2.5448066963882882E-20/7.565712016208872E-19/0.0/3.48260362811496E-20/0.9999998917925691/","5/","no"
"0","100174500","1468/241/64/10317/239/60/","4.631873747586912E-11/0.025204809708187295/0.45882743556859007/4.619324911969974E-74/0.02604489352279866/0.48992286115410527/","2/5/","no"
"1","105600500","40251/50/354/50/112/354/","0.0/0.4344686128946818/0.0011200119905234918/0.4344686128946818/0.1288227502295894/0.0011200119905234918/","1/3/","no"
"2","100032400","82/356/50/40251/2111/82/","0.2578999333274889/0.0011972444621545471/0.4830028888828675/0.0/1.3593876266025308E-18/0.2578999333274889/","2/","no"
"3","100016300","529/3989/529/60/112/112/","2.47109406750984E-4/5.742971988245326E-29/2.47109406750984E-4/0.539477183599578/0.23001429879346/0.23001429879346/","3/","no"
"4","101394500","6128/40251/98/6128/50/146/","1.1327117985021138E-52/0.0/0.2529619647256476/1.1327117985021138E-52/0.648340233955679/0.09869780131867333/","4/","no"
"5","101405800","868/2351/2178/40251/2335/198/","0.03334532919136005/1.9344568468509136E-5/4.614360652147051E-5/3.751395858852463E-88/2.0964146955657127E-5/0.9665682184866943/","5/","no"
"0","98298900","97/241/64/102/239/182/","0.2451286980501708/0.026746369791486896/0.40726972400158246/0.2269796336527227/0.027582126880812033/0.06629344762322517/","2/","no"
"1","98653400","40251/50/354/2111/354/354/","0.0/0.9923256827065308/0.0025581057644896883/2.792851317620795E-18/0.0025581057644896883/0.0025581057644896883/","1/","no"
"2","102313500","82/356/50/40251/2111/82/","0.2578999333274889/0.0011972444621545471/0.4830028888828675/0.0/1.3593876266025308E-18/0.2578999333274889/","2/","no"
"3","101276000","565/1484/108/50/108/108/","2.0977235922484205E-5/3.1327952398464315E-13/0.16344342088554262/0.5096487601071362/0.16344342088554262/0.16344342088554262/","3/","no"
"4","108136600","6128/40251/98/6128/50/146/","1.1327117985021138E-52/0.0/0.2529619647256476/1.1327117985021138E-52/0.648340233955679/0.09869780131867333/","4/","no"
"5","104094500","83/2351/83/40251/2335/93/","0.34628850274366585/6.508592197428939E-13/0.34628850274366585/7.310599028710731E-209/7.87426125163944E-13/0.30742299451123006/","0/2/5/","no"
"0","101530900","50/83/64/1468/239/193/","0.4221763139869354/0.22104453762006238/0.32083059054742885/3.551437296310323E-13/0.010376469342831917/0.02557208850238629/","0/","no"
"1","97988400","40251/2111/354/2111/354/354/","5.155233433300683E-50/0.002351686539009506/0.331765542307327/0.002351686539009506/0.331765542307327/0.331765542307327/","2/4/5/","no"
"2","100701100","280/356/50/40251/122/82/","0.006141673243975237/0.0013838938301139736/0.5583026182049206/0.0/0.1360655066104202/0.29810630811057004/","2/","no"
"3","102510600","1468/571/108/50/108/108/","4.2872841721305256E-13/1.8649011006146048E-5/0.16344380142655138/0.509649946708911/0.16344380142655138/0.16344380142655138/","3/","no"
"4","101439800","112/156/79/40251/50/691/","0.14915273587790656/0.06294276087628897/0.2848690717806111/0.0/0.5030336811691235/1.7502960699155715E-6/","4/","no"
"5","104674100","868/2351/126/40251/2335/50/","8.830891951103013E-8/2.076836383946492E-20/0.1838922827049936/0.0/2.842179697184207E-20/0.8161076289860869/","5/","no"
"0","100294700","50/241/64/1468/239/193/","0.535123229105194/0.01264673420124391/0.40666398355730443/4.501570862701244E-13/0.013152537452916174/0.03241351568289127/","0/","no"
"1","101980500","6128/50/331/127/331/331/","1.4168382280470161E-52/0.8109681822543829/0.003281907798025467/0.17918609435154045/0.003281907798025467/0.003281907798025467/","1/","no"
"2","100788000","82/113/50/40251/2111/280/","0.29087042380110234/0.1583859461615303/0.544751032595718/0.0/1.5331747083383501E-18/0.0059925974416494615/","2/","no"
"3","100950100","565/1535/565/50/112/112/","2.5836611251767244E-5/1.4194654181322197E-13/2.5836611251767244E-5/0.6277088620488711/0.1861197323642417/0.1861197323642417/","3/","no"
"4","103274800","112/156/79/40251/50/691/","0.14915273587790656/0.06294276087628897/0.2848690717806111/0.0/0.5030336811691235/1.7502960699155715E-6/","4/","no"
"5","101128400","868/2351/2178/40251/2335/198/","0.03334532919136005/1.9344568468509136E-5/4.614360652147051E-5/3.751395858852463E-88/2.0964146955657127E-5/0.9665682184866943/","5/","no"
"0","99793900","50/83/55/3989/216/170/","0.39003530085053323/0.20421603457051368/0.3536112105632625/1.117485436490252E-34/0.015049357349368176/0.037088096666322345/","0/2/","no"
"1","106158700","40251/50/354/2111/112/354/","0.0/0.7682484523423476/0.0019804594688480363/2.162197088895663E-18/0.22779062871995626/0.0019804594688480363/","1/","no"
"2","99562600","82/356/50/40251/2111/82/","0.2578999333274889/0.0011972444621545471/0.4830028888828675/0.0/1.3593876266025308E-18/0.2578999333274889/","2/","no"
"3","100859000","565/1535/565/50/112/112/","2.5836611251767244E-5/1.4194654181322197E-13/2.5836611251767244E-5/0.6277088620488711/0.1861197323642417/0.1861197323642417/","3/","no"
"4","101677900","40251/156/122/40251/50/691/","0.0/0.09141031380198811/0.17804297989562226/0.0/0.7305441643879459/2.5419144436932433E-6/","4/","no"
"5","99812500","868/2351/2178/40251/2335/50/","1.0820743100399851E-7/2.5448066963882882E-20/7.565712016208872E-19/0.0/3.48260362811496E-20/0.9999998917925691/","5/","no"
"0","100334500","50/241/64/1468/239/64/","0.389392793828102/0.0092026413647906/0.29591693294913085/3.275655324799659E-13/0.009570698908518128/0.29591693294913085/","0/","no"
