"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","103254500","50/6483/278324/4494307/311/4494307/4494307/","0.9940455669723802/1.6469959321859276E-55/0.0/0.0/0.005954433027619873/0.0/0.0/","0/","no"
"1","104061100","12393/1173/1317511/1317511/1317511/678/80624/","2.1678045334908008E-8/0.3254112921469524/0.0/0.0/0.0/0.6745886861750023/4.952920590382845E-52/","5/","no"
"2","100800500","200/1317511/50/1317511/229/1317511/1317511/","0.048769983160166064/0.0/0.9236114689101942/0.0/0.027618547929639713/0.0/0.0/","2/","no"
"3","98611400","975/4494307/4494307/68/975/4494307/4494307/","1.9553693686966793E-6/0.0/0.0/0.9999960892612626/1.9553693686966793E-6/0.0/0.0/","3/","no"
"4","101822300","109325/4494307/2171/4494307/50/4494307/4494307/","0.0/0.0/8.67878439988959E-19/0.0/1.0/0.0/0.0/","4/","no"
"5","100525500","4494307/278324/4494307/4494307/2502/50/278324/","0.0/0.0/0.0/0.0/1.3176575546108673E-21/1.0/0.0/","5/","no"
"6","100109800","4494307/278324/4494307/4494307/4494307/278324/50/","0.0/0.0/0.0/0.0/0.0/0.0/1.0/","6/","no"
"0","102678000","50/6483/278324/4494307/311/4494307/4494307/","0.9940455669723802/1.6469959321859276E-55/0.0/0.0/0.005954433027619873/0.0/0.0/","0/","no"
"1","100161000","1836/1173/1317511/1317511/1317511/678/80624/","0.10918420116042694/0.28988152644937/0.0/0.0/0.0/0.6009342723902031/4.4121400079574355E-52/","5/","no"
"2","100671000","200/1317511/50/1317511/201/1317511/1317511/","0.04780412587907315/0.0/0.9053199542459763/0.0/0.046875919874950545/0.0/0.0/","2/","no"
"3","101257200","975/4494307/712589/50/975/4494307/712589/","1.327670384014767E-8/0.0/0.0/0.9999999734465922/1.327670384014767E-8/0.0/0.0/","3/","no"
"4","103383700","40989/4494307/1908/4494307/60/4494307/4494307/","4.0053623046288867E-292/0.0/6.966474837966629E-14/0.0/0.9999999999999304/0.0/0.0/","4/","no"
"5","100554100","4494307/278324/4494307/4494307/2502/50/278324/","0.0/0.0/0.0/0.0/1.3176575546108673E-21/1.0/0.0/","5/","no"
"6","101915800","4494307/278324/4494307/4494307/4494307/39911/50/","0.0/0.0/0.0/0.0/0.0/0.0/1.0/","6/","no"
"0","105042700","50/6483/278324/4494307/311/4494307/4494307/","0.9940455669723802/1.6469959321859276E-55/0.0/0.0/0.005954433027619873/0.0/0.0/","0/","no"
"1","100563400","1317511/1173/1317511/1317511/1317511/678/80624/","0.0/0.3254112992012333/0.0/0.0/0.0/0.6745887007987666/4.952920697752484E-52/","5/","no"
"2","101274800","200/1317511/50/1317511/229/1317511/1317511/","0.048769983160166064/0.0/0.9236114689101942/0.0/0.027618547929639713/0.0/0.0/","2/","no"
"3","100839600","975/4494307/4494307/68/975/4494307/4494307/","1.9553693686966793E-6/0.0/0.0/0.9999960892612626/1.9553693686966793E-6/0.0/0.0/","3/","no"
"4","102038000","6243/4494307/15459/4494307/109/4494307/4494307/","6.0556454017841055E-25/0.0/2.4898840102986296E-61/0.0/1.0/0.0/0.0/","4/","no"
"5","102310800","4494307/278324/4494307/4494307/2502/50/39911/","0.0/0.0/0.0/0.0/1.3176575546108673E-21/1.0/0.0/","5/","no"
"6","100948100","4494307/278324/4494307/4494307/4494307/278324/50/","0.0/0.0/0.0/0.0/0.0/0.0/1.0/","6/","no"
"0","101590300","50/6483/278324/4494307/311/4494307/4494307/","0.9940455669723802/1.6469959321859276E-55/0.0/0.0/0.005954433027619873/0.0/0.0/","0/","no"
"1","99534500","1836/1173/1317511/1317511/1317511/678/80624/","0.10918420116042694/0.28988152644937/0.0/0.0/0.0/0.6009342723902031/4.4121400079574355E-52/","5/","no"
