"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","129699200","55/5421/43002/92159/4674901/2567/30356191/2106/4674901/30356191/","0.9999999999999999/2.428188082893795E-42/0.0/0.0/0.0/3.302101231758632E-20/0.0/1.2415511035985877E-16/0.0/0.0/","0/","no"
"1","141461300","753/91642/30230137/6253/30230137/30230137/191073762/30230137/30230137/191073762/","0.9993211489287059/4.454391790856226E-53/0.0/6.788510712941368E-4/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"2","150043500","55094/97/229/93157409/36824800/36824800/674/36824800/50/587572708/","0.0/0.278676170141281/0.020943223493136674/0.0/0.0/0.0/3.401036424816249E-6/0.0/0.7003772053291575/0.0/","8/","no"
"3","136543700","355/5615712/93157409/108155/93157409/93157409/587572708/93157409/93157409/587572708/","1.0/0.0/0.0/3.102609436637393E-132/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"4","127303200","2334/397743778/1005298862/2147483647/166476/7266/227899/23369/397743778/2147483647/","0.8919864845168313/0.0/0.0/0.0/2.6365568471977075E-31/0.10790437444771878/9.925841791504655E-43/1.0914103544990383E-4/0.0/0.0/","0/","no"
"5","123612300","1317/14449899/36824800/93157409/42202/50/48634/2200/14449899/587572708/","1.6246603328857775E-11/0.0/0.0/0.0/0.0/0.9999999999837534/0.0/4.914814551571214E-19/0.0/0.0/","5/","no"
"6","124784300","2147483647/112196018/2147483647/514/2147483647/2147483647/50/2147483647/2147483647/2147483647/","0.0/0.0/0.0/1.1187245900815378E-4/0.0/0.0/0.9998881275409918/0.0/0.0/0.0/","6/","no"
"7","137740900","5551/14449899/36824800/3319/814132/46143/914637/814132/14449899/587572708/","0.33798389037543175/0.0/0.0/0.6620144538854809/5.71648398360847E-107/1.655739087383134E-6/4.072959054433182E-120/5.71648398360847E-107/0.0/0.0/","3/","no"
"8","144003400","2384/52298663/337659267/850994868/133313418/78886/2147483647/65667/408902/2147483647/","0.9999999999969923/0.0/0.0/0.0/0.0/1.1733712659769395E-14/0.0/2.9959713275947874E-12/9.45064726123106E-75/0.0/","0/","no"
"9","128684600","4873/1523968/601256/153196043/153196043/153196043/675/153196043/153196043/3793268/","0.0020050901139984758/0.0/0.0/0.0/0.0/0.0/0.9979949098860015/0.0/0.0/0.0/","6/","no"
"0","139006700","50/131516/905889/2155485/93157409/55094/587572708/50176/93157409/587572708/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","125102100","675/3010/478056859/11967229/478056859/2712/11916807/2250/478056859/1892459/","0.8488601921386779/0.02683622052964729/0.0/0.0/0.0/0.041703326162531286/0.0/0.08260026116914347/0.0/0.0/","0/","no"
"2","148527600","55094/97/50/93157409/36824800/36824800/674/36824800/50/587572708/","0.0/0.16593457864692107/0.4170316981221725/0.0/0.0/0.0/2.0251087340141273E-6/0.0/0.4170316981221725/0.0/","2/8/","no"
"3","139042000","355/5615712/93157409/108155/93157409/93157409/587572708/93157409/93157409/587572708/","1.0/0.0/0.0/3.102609436637393E-132/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"4","131394600","2147483647/397743778/5837/2147483647/166476/3450112/227899/3450112/397743778/2147483647/","0.0/0.0/0.9999999999988783/0.0/1.1217833674692223E-12/5.98469976101267E-257/3.024074292286245E-17/5.98469976101267E-257/0.0/0.0/","2/","no"
"5","125731900","93157409/8154/1299/93157409/42202/108155/48634/108155/14449899/587572708/","0.0/0.0051016481283194665/0.9948983518716588/0.0/2.153792931655167E-14/1.9957612667464815E-36/1.529144334403573E-16/1.9957612667464815E-36/0.0/0.0/","2/","no"
"6","135996600","2147483647/112196018/2147483647/514/2147483647/2147483647/50/2147483647/2147483647/2147483647/","0.0/0.0/0.0/1.1187245900815378E-4/0.0/0.0/0.9998881275409918/0.0/0.0/0.0/","6/","no"
"7","125983000","1062/14449899/36824800/93157409/42202/108155/48634/50/14449899/587572708/","2.411209718947461E-9/0.0/0.0/0.0/0.0/0.0/0.0/0.9999999975887903/0.0/0.0/","7/","no"
