"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","104059400","89/3989/1468/214/203/10317/","0.6531159392867354/9.898348348723038E-20/1.4475504918279479E-7/0.16285590204880596/0.18402801390940943/2.882937064260607E-50/","0/","no"
"1","113509200","89/157/1468/529/1468/83/","0.39613029895421814/0.17630569387127354/2.9388019350128905E-8/0.0021035953596072244/2.9388019350128905E-8/0.4254603530388624/","0/5/","no"
"2","101563100","25963/4028/50/60/1468/10317/","1.1892944192264538E-221/7.319720359927911E-35/0.5488631556009829/0.4511368443985555/4.617154058131807E-13/2.0418506204909054E-88/","2/3/","no"
"3","103464900","61/231/565/157/10317/60/","0.4375100713485333/0.026956231088641106/1.1290648647391315E-4/0.09067931158864631/4.193324211783877E-74/0.44474147948770537/","0/5/","no"
"4","102609900","1535/565/502/1468/50/1468/","2.2609304694254925E-13/4.11526627275543E-5/1.415400548987818E-4/8.410676669753402E-13/0.9998173072804655/8.410676669753402E-13/","4/","no"
"5","109072200","133/812/272/806/280/198/","0.4316275916563405/0.0027193665876577328/0.15297120900895408/0.0028438964474834273/0.14410586956185661/0.2657320667377075/","0/","no"
"0","108298900","79/214/1468/565/203/182/","0.5968407299349422/0.11040443374506294/1.7195725779312622E-8/0.0013725225083189132/0.12667823562596583/0.16470406098998422/","0/","no"
"1","100815700","89/157/1468/529/1468/83/","0.39613029895421814/0.17630569387127354/2.9388019350128905E-8/0.0021035953596072244/2.9388019350128905E-8/0.4254603530388624/","0/5/","no"
"2","102126800","25963/4028/50/60/1468/10317/","1.1892944192264538E-221/7.319720359927911E-35/0.5488631556009829/0.4511368443985555/4.617154058131807E-13/2.0418506204909054E-88/","2/3/","no"
"3","106571600","25963/1484/89/50/10317/157/","1.36435998665461E-221/3.870478947919732E-13/0.29308671037053047/0.6296564715556577/2.342413485077685E-88/0.0772568180734247/","3/","no"
"4","112497600","1484/185/157/228/50/3989/","5.021824499913464E-13/0.05788918729573553/0.10023828756257776/0.024913089904684375/0.8169594352365002/2.340660625049272E-34/","4/","no"
"5","101979900","104/247/2111/198/272/50/","0.24160600127435422/0.014634572908528062/1.960390178127982E-18/0.03825105151802216/0.00896376785751466/0.6965446064415809/","5/","no"
"0","99955200","79/168/1468/565/1468/89/","0.4517665360966771/0.14851196588296528/1.3015957325558506E-8/0.001038903191753597/1.3015957325558506E-8/0.3986825687966894/","0/5/","no"
"1","100780100","60/50/348/134/348/134/","0.37142150173981686/0.45187969024066826/0.0013103296115918736/0.08703907439816558/0.0013103296115918736/0.08703907439816558/","0/1/","no"
"2","104543400","25963/4028/50/60/1535/157/","1.1142562381586307E-221/6.857884759882506E-35/0.5142327964690268/0.4226724980860893/1.1628570434303945E-13/0.06309470544476779/","2/3/","no"
"3","100273200","25963/1484/89/79/10317/1468/","1.6191463226236334E-141/1.2530513801755026E-8/0.4687906135773077/0.5312093585873745/1.4009718081836835E-56/1.5304804118627653E-8/","2/3/","no"
"4","104657300","15712/780/247/5922/50/156/","3.7134669361094295E-134/5.301410088648205E-7/0.01833135276657423/8.655435625585259E-51/0.8724959025551428/0.10917221453727406/","4/","no"
"5","102662500","185/69/502/50/79/50/","0.021302878635658603/0.20713111835008036/4.2559845517557726E-5/0.30063624162126407/0.1702509599262153/0.30063624162126407/","3/5/","no"
"0","99919700","50/83/1468/182/203/565/","0.6065884337509276/0.3175996744059425/5.102751423425837E-13/0.04558666472973588/0.030200259822312937/2.4967290570801127E-5/","0/","no"
"1","106286600","54/348/348/952/348/60/","0.5232976484536307/0.002496016033655148/0.002496016033655148/4.245260386162721E-8/0.002496016033655148/0.4692142609928/","0/5/","no"
"2","99941800","25963/4028/50/60/1468/10317/","1.1892944192264538E-221/7.319720359927911E-35/0.5488631556009829/0.4511368443985555/4.617154058131807E-13/2.0418506204909054E-88/","2/3/","no"
"3","100748600","90/160/1468/157/239/50/","0.26546120443791027/0.06728381300613175/4.892540969358599E-13/0.07136040881496133/0.014294860683544113/0.5815997130569631/","5/","no"
"4","101037400","231/98/83/228/51/182/","0.015010807892408946/0.1937294843692877/0.2585073983794419/0.015902284457861602/0.4783338546314745/0.03851617026952537/","4/","no"
"5","101438900","151/299/2268/297/354/89/","0.2867880155251565/0.05538445044878525/1.7457806904965766E-11/0.056628993050116316/0.03005977097674285/0.5711387699817414/","5/","no"
"0","102858600","79/214/1468/3989/1468/10317/","0.84389506151817/0.15610488985449175/2.4313669186022877E-8/5.013553369375934E-22/2.4313669186022877E-8/2.225625680609933E-56/","0/","no"
"1","101654200","89/157/1468/529/1468/83/","0.39613029895421814/0.17630569387127354/2.9388019350128905E-8/0.0021035953596072244/2.9388019350128905E-8/0.4254603530388624/","0/5/","no"
