"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","111857300","123/348/50/6209/2474/83/375/348/952/2474/348/2474/83/2474/952/2474/2474/136/","0.09629472902414712/0.001168415872752322/0.4029393810387683/1.4381174022845722E-53/9.193448709084026E-22/0.21097239759733405/6.881400585908161E-4/0.001168415872752322/8.398240163326617E-9/9.193448709084026E-22/0.001168415872752322/9.193448709084026E-22/0.21097239759733405/9.193448709084026E-22/8.398240163326617E-9/9.193448709084026E-22/9.193448709084026E-22/0.0746276902690885/","2/19/","no"
"1","122011800","381/50/123/136/136/381/50/50/50/348/68/348/2474/136/348/78/55/82/","2.017062915079761E-4/0.132854352784855/0.03174962414474245/0.024605719761043785/0.024605719761043785/2.017062915079761E-4/0.132854352784855/0.132854352784855/0.132854352784855/3.852419045214298E-4/0.09334592908304323/3.852419045214298E-4/3.0311995689212723E-22/0.024605719761043785/3.852419045214298E-4/0.07672547784313338/0.12044752978616728/0.070937730423782/","1/6/7/8/16/","no"
"2","119764400","123/348/50/952/952/83/348/348/348/2474/6209/2474/78/952/2474/2474/123/123/","0.08445620815800932/0.0010247702565271974/0.3534018173677607/7.365756429066903E-9/7.365756429066903E-9/0.18503534832739055/0.0010247702565271974/0.0010247702565271974/0.0010247702565271974/8.063201649071356E-22/1.2613145487178674E-53/8.063201649071356E-22/0.20409510670744255/7.365756429066903E-9/8.063201649071356E-22/8.063201649071356E-22/0.08445620815800932/0.08445620815800932/","2/19/","no"
"3","118962900","381/50/123/136/136/381/50/50/50/348/68/348/2474/136/348/78/55/82/","2.017062915079761E-4/0.132854352784855/0.03174962414474245/0.024605719761043785/0.024605719761043785/2.017062915079761E-4/0.132854352784855/0.132854352784855/0.132854352784855/3.852419045214298E-4/0.09334592908304323/3.852419045214298E-4/3.0311995689212723E-22/0.024605719761043785/3.852419045214298E-4/0.07672547784313338/0.12044752978616728/0.070937730423782/","1/6/7/8/16/","no"
"4","121363200","10317/1535/3989/1535/50/502/1551/239/1535/10317/25963/3989/1551/10317/10317/54/82/241/","1.483980077202675E-88/9.020585735676849E-14/1.1428944895650637E-34/9.020585735676849E-14/0.39890380806928294/5.647118376759727E-5/6.591518713233639E-14/0.009804465570510222/9.020585735676849E-14/1.483980077202675E-88/8.643576598351086E-222/1.1428944895650637E-34/6.591518713233639E-14/1.483980077202675E-88/1.483980077202675E-88/0.3688127020817423/0.21299513496305017/0.009427418131244175/","4/15/","no"
"5","112060700","1366/1366/95/227/1366/95/227/227/227/95/95/227/64/227/50/227/64/64/","1.20631179437512E-12/1.20631179437512E-12/0.08030809227150933/0.006035357540248168/1.20631179437512E-12/0.08030809227150933/0.006035357540248168/0.006035357540248168/0.006035357540248168/0.08030809227150933/0.08030809227150933/0.006035357540248168/0.14748309051264535/0.006035357540248168/0.19407085659067047/0.006035357540248168/0.14748309051264535/0.14748309051264535/","14/","no"
"6","119889400","10317/50/3989/535/3989/1551/50/50/78/502/535/50/1468/3989/502/157/228/203/","7.781223353695809E-89/0.2091645079951414/5.992747092519992E-35/1.550360254777101E-5/5.992747092519992E-35/3.456251208198099E-14/0.2091645079951414/0.2091645079951414/0.12079579244000933/2.9610565579261636E-5/1.550360254777101E-5/0.2091645079951414/1.7595365020438635E-13/5.992747092519992E-35/2.9610565579261636E-5/0.025663810461081935/0.006378449122193599/0.010413687659684728/","1/6/7/11/","no"
"7","119622800","381/78/348/952/381/381/78/50/123/348/68/348/2474/381/348/78/136/82/","3.441983595280727E-4/0.13092692057436253/6.573896657680762E-4/4.7251294875036585E-9/3.441983595280727E-4/3.441983595280727E-4/0.13092692057436253/0.22670710934617866/0.05417862013402346/6.573896657680762E-4/0.1592886142460102/6.573896657680762E-4/5.172540287290178E-22/3.441983595280727E-4/6.573896657680762E-4/0.13092692057436253/0.04198802284966828/0.12105051487471777/","7/","no"
"8","119661000","146/198/2111/15712/116/6128/269/50/198/5922/691/78/40251/6128/2111/121/6128/895/","0.06407295944583964/0.023113447298022616/1.1845785479746516E-18/1.7913747343718872E-134/0.11538307961326888/7.353375268707107E-53/0.005744585273200506/0.4208916203028826/0.023113447298022616/4.1753781470046864E-51/1.4644843406198353E-6/0.24307152916701913/0.0/7.353375268707107E-53/1.1845785479746516E-18/0.10460784029443708/7.353375268707107E-53/2.6822966340998938E-8/","7/","no"
"9","120809400","241/193/64/78/83/1468/64/64/193/193/157/193/10317/50/193/193/241/241/","0.004786045812156455/0.01226661116797337/0.1538984234576435/0.11695426874128712/0.10603230133263236/1.7035800731415473E-13/0.1538984234576435/0.1538984234576435/0.01226661116797337/0.01226661116797337/0.02484765507938912/0.01226661116797337/7.533766440549449E-89/0.20251270002928073/0.01226661116797337/0.01226661116797337/0.004786045812156455/0.004786045812156455/","13/","no"
