"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","105431800","952/78/78/78/375/","5.185502550124181E-6/0.3307631700956818/0.3307631700956818/0.3307631700956818/0.007705304210404573/","1/2/3/5/6/7/","no"
"1","112346500","2178/691/80/724/123/","3.549103696977984E-12/3.3335541238591515E-4/0.6293350733177504/2.2180570986080563E-4/0.3701097655564539/","2/5/","no"
"2","104608300","239/68/502/82/78/","0.03031558765437264/0.3613774188722948/6.703655096042026E-4/0.2950144514522376/0.31262217651149066/","1/3/4/6/7/","no"
"3","100384300","375/50/54/50/54/","4.4348790922991326E-4/0.25968368126863706/0.24009457477674798/0.25968368126863706/0.24009457477674798/","1/2/3/4/5/6/7/","no"
"4","98195300","15712/198/691/753/60/","3.3210668264593095E-112/0.09429043762101602/2.914163322012247E-5/1.0546292790838109E-5/0.9056698744529731/","4/7/","no"
"5","100101500","565/89/214/90/89/","0.0015562197684009555/0.3083231878411508/0.07688106790544814/0.30491633664384926/0.3083231878411508/","1/3/4/6/7/","no"
"6","99402500","1535/79/83/79/83/","3.1952297841909393E-9/0.25624869742333173/0.24375130097905343/0.25624869742333173/0.24375130097905343/","1/2/3/4/5/6/7/","no"
"7","99858000","10317/102/72/571/1535/","6.743183850940244E-62/0.398424714230979/0.6009294029176433/6.458816626399157E-4/1.1887378680172156E-9/","2/5/","no"
"0","97247800","50/123/50/123/50/","0.2875247577535024/0.06871286336974639/0.2875247577535024/0.06871286336974639/0.2875247577535024/","0/2/4/5/6/7/","no"
"1","100867100","6089/50/282/272/54/","1.926781071984945E-52/0.51334386427489/0.005429930385464497/0.006606174519026377/0.4746200308206191/","1/4/7/","no"
"2","97440100","529/80/50/83/79/","3.151862104355818E-5/0.20992384142508355/0.3780324729396653/0.19793155233456075/0.2140806146796468/","2/5/","no"
"3","95464800","952/50/123/68/123/","9.558209999274473E-9/0.4585936036652537/0.10959501323327818/0.3222163603099798/0.10959501323327818/","1/7/","no"
"4","97531200","4028/1484/79/10317/203/","3.0098660039923745E-22/1.94586042843443E-8/0.8249137157842904/2.175565699879795E-56/0.17508626475710543/","2/5/","no"
"5","97239400","3989/50/50/89/60/","8.715312243230455E-35/0.3041900432699178/0.3041900432699178/0.14159158705886316/0.2500283264013013/","1/2/4/5/7/","no"
"6","99180900","3989/79/60/79/182/","4.094295245411008E-29/0.28167187767626084/0.38460554436629435/0.28167187767626084/0.05205070028118405/","2/5/","no"
"7","94465200","10317/3989/182/103/1468/","1.5156174764259655E-43/4.034023880948976E-17/0.3187293430595782/0.6812692979895939/1.3589508278033208E-6/","3/6/","no"
"0","96558400","348/68/69/125/69/","0.005044573368510741/0.29186287900060626/0.2876634860899906/0.12776557545090178/0.2876634860899906/","1/2/4/5/7/","no"
"1","97666100","308/93/93/84/93/","0.01901654575148849/0.2385839390104145/0.2385839390104145/0.2652316372172681/0.2385839390104145/","1/2/3/4/5/6/7/","no"
"2","96942100","10317/3989/182/1551/60/","8.304752048153318E-74/9.376472443738822E-29/0.1192029220195715/2.1358935015936743E-11/0.8807970779590696/","4/7/","no"
"3","96204300","64/55/159/952/2474/","0.42414457337547773/0.49809392206668346/0.07776144949681628/5.506102264781494E-8/8.656466961690075E-20/","0/1/6/7/","no"
"4","97857200","806/122/97/140/272/","2.7863637262936657E-4/0.2993891300653627/0.38638960755530816/0.249153879665539/0.06478874634116065/","2/5/","no"
"5","97555300","3989/68/68/228/78/","7.062250122706243E-26/0.3374419625294536/0.3374419625294536/0.03320010215712134/0.29191597278397147/","1/2/4/5/7/","no"
"6","95359900","592/60/54/60/54/","1.4886305805961557E-5/0.23637362517267968/0.2636189316744174/0.23637362517267968/0.2636189316744174/","1/2/3/4/5/6/7/","no"
"7","97313400","4028/97/68/112/1468/","5.441863565186415E-26/0.30056947438957543/0.45758779973780206/0.24184272516678887/7.058336191412352E-10/","2/5/","no"
"0","96056200","50/60/60/60/60/","0.23322031913224936/0.19169492021693765/0.19169492021693765/0.19169492021693765/0.19169492021693765/","0/1/2/3/4/5/6/7/","no"
"1","98289000","15712/93/111/97/93/","1.8190924556663823E-73/0.2642658712628678/0.21821183753779247/0.25325641993647174/0.2642658712628678/","1/2/3/4/5/6/7/","no"
"2","98310500","3989/79/79/182/182/","2.3280387365394305E-22/0.3918618688272133/0.3918618688272133/0.10813813117278669/0.10813813117278669/","1/2/5/7/","no"
"3","96715900","952/348/60/348/78/","2.530805274944725E-7/0.005052264278980315/0.5674473616680953/0.005052264278980315/0.42244785669341667/","2/5/","no"
"4","96410900","2127/274/51/83/79/","2.1461496639918426E-18/0.00642061798484537/0.46776962051186877/0.2527981376785981/0.2730116238246878/","2/5/","no"
"5","101905000","214/68/69/73/69/","0.029966289807274477/0.24864224736358043/0.2450647232384381/0.23126201635226887/0.2450647232384381/","1/2/3/4/5/6/7/","no"
"6","96970300","565/193/93/168/89/","0.0018748355233842477/0.11696260496736922/0.3553010218906016/0.15441318759438966/0.37144835002425536/","2/4/5/7/","no"
"7","95268400","10317/3989/203/25963/565/","2.513829922672441E-22/7.446983790030868E-9/0.855017606790637/1.2349581628003798E-55/0.1449823857623791/","2/5/","no"
"0","96829900","348/50/50/51/50/","7.279386503169253E-4/0.25103660095096514/0.25103660095096514/0.24616225849678755/0.25103660095096514/","1/2/3/4/5/6/7/","no"
"1","100765500","2178/297/132/285/126/","3.8455902951308936E-8/0.10406599560833976/0.3815484607280088/0.11437853840808677/0.40000696679966175/","2/4/5/7/","no"
"2","98816800","3989/50/68/97/50/","9.240690195800166E-35/0.3225272798100516/0.226613640858653/0.12833179952124385/0.3225272798100516/","1/4/7/","no"
"3","96469500","348/50/51/50/51/","7.31504252550544E-4/0.25226623296003775/0.24736801491368698/0.25226623296003775/0.24736801491368698/","1/2/3/4/5/6/7/","no"
"4","97572300","2335/89/89/308/79/","2.0059504431000634E-13/0.3127071266684887/0.3127071266684887/0.020242149815451752/0.3543435968473701/","1/2/4/5/7/","no"
"5","101717600","157/50/97/97/68/","0.04681110310992549/0.3815186121930477/0.15180412051475564/0.15180412051475564/0.2680620436675155/","1/7/","no"
"6","97341100","182/89/97/89/79/","0.07187445979071506/0.22984863489772717/0.20797564533994933/0.22984863489772717/0.2604526250738812/","1/3/4/6/7/","no"
"7","95141900","2474/148/50/6209/68/","1.2339650035826377E-21/0.07916577157324033/0.5408341423341976/1.9302729602536105E-53/0.38000008609256214/","2/5/","no"
"0","99405200","54/82/2474/55/54/","0.2790938443390115/0.16774704761935133/2.1716661104882697E-20/0.27406526370262557/0.2790938443390115/","0/3/4/6/7/","no"
"1","101544100","308/64/102/65/93/","0.0073083712254055026/0.31195738383226346/0.1738601435967134/0.3071947689018853/0.19967933244373226/","1/3/6/7/","no"
"2","96894300","193/72/72/61/50/","0.019133291997716892/0.2051987196725959/0.2051987196725959/0.2545927343928653/0.31587653426422607/","3/4/6/7/","no"
"3","96721300","952/50/50/60/60/","5.7198238594747255E-9/0.27443157623091785/0.27443157623091785/0.22556842090917026/0.22556842090917026/","1/2/3/4/5/6/7/","no"
"4","95674800","5922/209/282/282/93/","7.521391936464571E-28/0.18674044136822154/0.0858948517314264/0.0858948517314264/0.6414698551689255/","4/7/","no"
"5","97732600","3989/50/68/97/50/","9.240690195800166E-35/0.3225272798100516/0.226613640858653/0.12833179952124385/0.3225272798100516/","1/4/7/","no"
"6","98619600","3989/79/203/50/203/","1.719868339341426E-34/0.3399425133227159/0.02988641340135534/0.6002846598745735/0.02988641340135534/","3/6/","no"
"7","93999800","4028/1484/69/25963/68/","5.989338733127219E-26/6.160665086978552E-10/0.49637687470491626/5.197475980779182E-164/0.5036231246790173/","2/4/5/7/","no"
"0","97636900","50/123/50/123/50/","0.2875247577535024/0.06871286336974639/0.2875247577535024/0.06871286336974639/0.2875247577535024/","0/2/4/5/6/7/","no"
"1","99191300","15712/111/68/107/115/","1.3122527428506853E-99/0.20541363116122505/0.3830685922063811/0.2176735957938228/0.19384418083857105/","2/5/","no"
"2","97334700","565/80/50/89/83/","1.6176761934437183E-5/0.21824633600772697/0.3930196853817854/0.18293919288214025/0.20577860896641292/","2/5/","no"
"3","97969000","54/134/123/54/123/","0.35664388759420695/0.08327865848141876/0.10171678316508369/0.35664388759420695/0.10171678316508369/","0/3/6/","no"
"4","100185000","2178/132/89/136/691/","3.7518558835808886E-11/0.280031811503343/0.45154768730623684/0.2678584755660299/5.620255868717173E-4/","2/5/","no"
"5","98429800","228/78/529/79/78/","0.04768611815990793/0.3184210325691631/0.0010560269960080194/0.3144157897057578/0.3184210325691631/","1/3/4/6/7/","no"
"6","98201900","1535/50/168/50/168/","1.0289197240206607E-13/0.4550037083358427/0.044996291664105896/0.4550037083358427/0.044996291664105896/","1/3/6/7/","no"
"7","98143300","4028/1468/68/10317/68/","5.946250713095432E-26/7.712548487976519E-10/0.4999999996143725/1.550615547046464E-65/0.4999999996143725/","2/4/5/7/","no"
"0","100176700","50/60/60/60/60/","0.23322031913224936/0.19169492021693765/0.19169492021693765/0.19169492021693765/0.19169492021693765/","0/1/2/3/4/5/6/7/","no"
"1","98339800","2268/753/132/760/132/","5.250299292893696E-8/0.004647535419542002/0.49547157910776246/0.0044092538619400585/0.49547157910776246/","2/4/5/7/","no"
"2","100431600","10317/565/157/25963/203/","6.492706814809109E-29/0.04147065579948007/0.5485423947971017/6.401434216021776E-72/0.40998694940341834/","2/5/","no"
"3","93916700","134/50/55/54/55/","0.04900651600574356/0.25442652539187016/0.23066648441060167/0.23523398978118293/0.23066648441060167/","1/2/3/4/5/6/7/","no"
"4","98686800","122/272/198/274/50/","0.18409104006449784/0.00972066418196025/0.041480952242849416/0.009346839467964893/0.7553605040427276/","4/7/","no"
"5","96916300","1468/97/157/98/97/","2.3784304543138409E-7/0.283127221778904/0.15349246004457492/0.28025285855457166/0.283127221778904/","1/3/4/6/7/","no"
"6","97061500","1535/157/168/157/54/","1.4103019977344085E-12/0.10724151943832982/0.08780192997097083/0.10724151943832982/0.6977150311509592/","4/7/","no"
"7","95595800","10317/107/502/241/502/","6.542333219070521E-42/0.7458408752075774/0.01924218233985418/0.21567476011271408/0.01924218233985418/","1/7/","no"
"0","99830200","50/60/60/60/60/","0.23322031913224936/0.19169492021693765/0.19169492021693765/0.19169492021693765/0.19169492021693765/","0/1/2/3/4/5/6/7/","no"
"1","97612500","6089/691/126/691/83/","5.541280314749264E-32/4.489528727939767E-4/0.3744106235517878/4.489528727939767E-4/0.6246914707026242/","4/7/","no"
"2","101108600","3989/89/50/107/157/","1.49596073412905E-34/0.2430382855044581/0.5221343168723241/0.17076320111168966/0.06406419651152806/","2/5/","no"
"3","98410100","348/50/125/50/125/","0.0011775652247820565/0.4060946225326063/0.09331659485500268/0.4060946225326063/0.09331659485500268/","1/3/6/7/","no"
"4","96850100","2335/89/60/93/79/","2.1635668847999348E-17/0.2117145752816978/0.34057959607038973/0.19827704185953277/0.24942878678837965/","2/5/","no"
"5","97579200","3989/60/60/228/78/","3.790926207242755E-29/0.35610798689303813/0.35610798689303813/0.02267211279848497/0.26511191341543877/","1/2/5/7/","no"
"6","96221800","1468/79/51/79/160/","6.391433904922967E-13/0.25484261870651803/0.43663941253705385/0.25484261870651803/0.053675350049270903/","2/5/","no"
"7","96138100","10317/102/72/571/1535/","6.743183850940244E-62/0.398424714230979/0.6009294029176433/6.458816626399157E-4/1.1887378680172156E-9/","2/5/","no"
"0","95975300","68/123/123/123/50/","0.2903909617858528/0.09877028363528194/0.09877028363528194/0.09877028363528194/0.4132981873083014/","4/7/","yes"
"1","95898600","255/60/269/55/255/","0.014109243649430057/0.4589645700755361/0.010988290002721375/0.5018286526228825/0.014109243649430057/","1/3/6/7/","yes"
"2","100091000","228/89/50/78/79/","0.011552042384068402/0.17632915499045923/0.3788189284438019/0.21877388803317996/0.2145259861484905/","2/5/","yes"
"3","98785400","134/54/50/54/50/","0.04765652362382172/0.22875395161367768/0.24741778657441144/0.22875395161367768/0.24741778657441144/","1/2/3/4/5/6/7/","yes"
"4","103964400","2111/272/79/2127/93/","4.825886599566292E-12/0.04644313366051611/0.5183904030179282/3.951101769931854E-12/0.4351664633127787/","2/4/5/7/","yes"
"5","101932600","502/168/160/508/80/","0.0031750335269545103/0.1961294660190818/0.21648914642112155/0.0029483453594382333/0.5812580086734037/","4/7/","yes"
"6","100306400","185/61/60/193/64/61/","0.031076933012199815/0.23728281108594285/0.2412047524622491/0.027257216158692248/0.22589547619497313/0.23728281108594285/","1/2/4/5/7/","yes"
"7","107370800","25963/1468/78/1551/228/78/1551/","2.3305053288836467E-143/1.062249371619254E-8/0.4651686148066597/3.7148596198168983E-9/0.06966275233446767/0.4651686148066597/3.7148596198168983E-9/","2/5/","yes"
