"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","83774600","123/50/","0.1928849152795503/0.8071150847204498/","1/2/3/4/","no"
"1","87580400","64/68/","0.5153797621170841/0.48462023788291597/","0/1/2/3/4/","no"
"2","80555000","40251/40251/","0.5/0.5/","0/1/2/3/4/","no"
"3","84450100","2111/2111/","0.5/0.5/","0/1/2/3/4/","no"
"4","83706400","2884/2884/","0.5/0.5/","0/1/2/3/4/","no"
"0","85137100","68/50/","0.41266937561800915/0.5873306243819909/","1/2/3/4/","no"
"1","85288800","50/50/","0.5/0.5/","0/1/2/3/4/","no"
"2","77282600","40251/40251/","0.5/0.5/","0/1/2/3/4/","no"
"3","84984800","40251/2111/","1.436153858054694E-8/0.9999999856384615/","1/2/3/4/","no"
"4","81503000","40251/15712/","0.17340277134489332/0.8265972286551067/","1/2/3/4/","no"
"0","84234700","157/157/","0.5/0.5/","0/1/2/3/4/","no"
"1","83086500","182/157/","0.4605253610559026/0.5394746389440974/","0/1/2/3/4/","no"
"2","82136300","15712/691/","3.7404410441704976E-10/0.999999999625956/","1/2/3/4/","no"
"3","81369400","40251/15712/","0.17340277134489332/0.8265972286551067/","1/2/3/4/","no"
"4","84248000","3171/914/","0.07822825945178398/0.921771740548216/","1/2/3/4/","no"
"0","84048200","50/50/","0.5/0.5/","0/1/2/3/4/","no"
"1","82567800","50/50/","0.5/0.5/","0/1/2/3/4/","no"
"2","79305500","40251/40251/","0.5/0.5/","0/1/2/3/4/","no"
"3","80802600","40251/15712/","0.17340277134489332/0.8265972286551067/","1/2/3/4/","no"
"4","83732200","2899/2884/","0.49870017623837926/0.5012998237616207/","0/1/2/3/4/","no"
"0","83340700","64/68/","0.5153797621170841/0.48462023788291597/","0/1/2/3/4/","no"
"1","83817800","502/50/","1.4154587988890748E-4/0.9998584541201111/","1/2/3/4/","no"
"2","82760500","40251/15712/","0.17340277134489332/0.8265972286551067/","1/2/3/4/","no"
"3","84680700","15712/691/","3.7404410441704976E-10/0.999999999625956/","1/2/3/4/","no"
"4","80221500","40251/5922/","0.003030838676157435/0.9969691613238426/","1/2/3/4/","no"
"0","83417000","79/50/","0.36155359365622713/0.6384464063437728/","1/2/3/4/","no"
"1","85439100","50/68/","0.5873306243819909/0.41266937561800915/","0/","no"
"2","79121100","40251/40251/","0.5/0.5/","0/1/2/3/4/","no"
"3","86278200","2268/209/","5.5185126336734E-5/0.9999448148736634/","1/2/3/4/","no"
"4","82881700","58441/8282/","0.0023390790809488782/0.9976609209190511/","1/2/3/4/","no"
"0","84129300","50/68/","0.5873306243819909/0.41266937561800915/","0/","no"
"1","83103500","54/50/","0.48040220212170437/0.5195977978782956/","0/1/2/3/4/","no"
"2","83707400","40251/40251/","0.5/0.5/","0/1/2/3/4/","no"
"3","81829200","3989/1468/","0.15236987371932806/0.847630126280672/","1/2/3/4/","no"
"4","84027300","22425/914/","6.166592432597181E-11/0.999999999938334/","1/2/3/4/","no"
"0","84054500","157/79/","0.2738850187392209/0.7261149812607791/","1/2/3/4/","no"
"1","82419700","157/502/","0.8987620203285486/0.1012379796714515/","0/","no"
"2","84504300","2268/691/","0.09288544915607637/0.9071145508439236/","1/2/3/4/","no"
"3","84332800","806/198/","0.04499022285895436/0.9550097771410457/","1/2/3/4/","no"
"4","83973200","22844/8282/","0.1470336438759457/0.8529663561240544/","1/2/3/4/","no"
"0","83773000","50/50/","0.5/0.5/","0/1/2/3/4/","no"
"1","85324000","50/54/","0.5195977978782956/0.48040220212170437/","0/1/2/3/4/","no"
"2","82770100","5922/5922/","0.5/0.5/","0/1/2/3/4/","no"
"3","83994400","6089/2178/","0.1424779029084595/0.8575220970915406/","1/2/3/4/","no"
"4","80907800","40251/40251/","0.5/0.5/","0/1/2/3/4/","no"
"0","83889800","102/97/","0.48724766412056125/0.5127523358794388/","0/1/2/3/4/","yes"
"1","85567600","50/50/","0.5/0.5/","0/1/2/3/4/","yes"
"2","91314500","5922/806/","0.0017620230014390398/0.998237976998561/","1/2/3/4/","yes"
"3","98062500","160/1468/50/","0.10369166468796837/7.539937096321318E-13/0.8963083353112776/","2/","yes"
"4","93815800","15712/15712/717/201/","4.161615118879657E-34/4.161615118879657E-34/0.0721277341906651/0.9278722658093349/","3/","yes"
