"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","103086700","50/64/373066/373066/8842/8842/373066/","0.5681997184824406/0.43180028151755934/0.0/0.0/7.683136788578705E-76/7.683136788578705E-76/0.0/","0/","no"
"1","107607500","50/50/101165/101165/101165/101165/101165/","0.5/0.5/0.0/0.0/0.0/0.0/0.0/","0/1/","no"
"2","122803300","2136842333/2147483647/50/408902/31468/15931/60/","0.0/0.0/0.5488631556012363/0.0/1.574099096479194E-268/3.1883694907615156E-136/0.4511368443987638/","2/6/7/8/9/","no"
"3","116717700","2136842333/2147483647/50/50/81143/49722/50/","0.0/0.0/0.33333333333333337/0.33333333333333337/0.0/0.0/0.33333333333333337/","2/3/6/7/8/9/","no"
"4","116985600","107116/712589/5570/5570/231/97/820/","0.0/0.0/4.43811000079633E-25/4.43811000079633E-25/0.20294771842924986/0.796554331606523/4.979499642271721E-4/","5/","no"
"5","112890600","113050284/711813722/3275/1002/44178309/64/1002/","0.0/0.0/3.51440756014333E-22/5.405004800163027E-7/0.0/0.9999989189990401/5.405004800163027E-7/","5/","no"
"6","115581200","76174004/191073762/31769/10334/1062/60/60/","0.0/0.0/8.793358856714398E-227/3.567696523622542E-74/3.674084619300344E-8/0.4999999816295769/0.4999999816295769/","5/6/7/8/9/","no"
"7","117220500","14730510/36848642/12503/3488/14720974/78/79/","0.0/0.0/2.49191703687475E-69/9.027782821041247E-20/0.0/0.5031645147077624/0.49683548529223753/","5/6/7/8/9/","no"
"8","118165000","2136842333/2147483647/50/50/81143/49722/50/","0.0/0.0/0.33333333333333337/0.33333333333333337/0.0/0.0/0.33333333333333337/","2/3/6/7/8/9/","no"
"9","119210900","2136842333/2147483647/50/408902/31468/15931/60/","0.0/0.0/0.5488631556012363/0.0/1.574099096479194E-268/3.1883694907615156E-136/0.4511368443987638/","2/6/7/8/9/","no"
"0","105868100","65/65/148646/148646/148646/148646/148646/","0.5/0.5/0.0/0.0/0.0/0.0/0.0/","0/1/","no"
"1","107012200","122/122/40251/40251/40251/40251/40251/","0.5/0.5/1.0221451470685986E-142/1.0221451470685986E-142/1.0221451470685986E-142/1.0221451470685986E-142/1.0221451470685986E-142/","0/1/","no"
"2","116904600","2136842333/2147483647/2982135/1116045/10951/4559/523/","0.0/0.0/0.0/0.0/2.275160925896581E-9/4.5158733629481224E-4/0.9995484103885443/","6/7/8/9/","no"
"3","119685600","851367397/2137773656/50/408902/31755/15931/51/","0.0/0.0/0.5049018037366292/0.0/5.2095955232529E-271/2.9329961219584936E-136/0.4950981962633707/","2/6/7/8/9/","no"
"4","110752300","42784/278934/5268/5268/188/78/438/","1.3430239526848384E-235/0.0/2.3360712028746494E-29/2.3360712028746494E-29/0.1973651557958226/0.7942995514949649/0.008335292709212487/","5/","no"
"5","111131200","711813722/1783526897/8902/2853/283228681/50/833/","0.0/0.0/4.1696804477296E-76/1.3515575973792382E-24/0.0/0.9999997850674096/2.1493259031414695E-7/","5/","no"
"6","116624400","76174004/191073762/91642/31769/2673/687/50/","0.0/0.0/0.0/7.841106561386731E-271/4.609322239098876E-23/3.763354508457217E-6/0.9999962366454915/","6/7/8/9/","no"
"7","114122000","76174004/191073762/11466/3462/76174004/122/122/","0.0/0.0/4.415845649355524E-41/8.052539307756076E-13/0.0/0.4999999999995974/0.4999999999995974/","5/6/7/8/9/","no"
"8","114974700","2136842333/2147483647/50/408902/31755/16088/60/","0.0/0.0/0.5488631556012363/0.0/5.663190381055123E-271/1.4676513106113853E-137/0.4511368443987638/","2/6/7/8/9/","no"
"9","117690800","851367397/2137773656/408902/145561/1299/4673/69/","0.0/0.0/0.0/0.0/2.3378977991237835E-8/2.72791914883934E-29/0.9999999766210219/","6/7/8/9/","no"
"0","103302000","50/50/148646/148646/148646/148646/148646/","0.5/0.5/0.0/0.0/0.0/0.0/0.0/","0/1/","no"
